[964315] ['1/7', '2/9', '5/3', '7/4', '9/7'] -> (9/7 / ((1/7 * (7/4 - 5/3)) / 2/9))
[976951] ['1/7', '3/4', '4/7', '6/5', '7/5'] -> ((6/5 / ((3/4 - 1/7) - 4/7)) / 7/5)
[976968] ['1/7', '3/4', '4/7', '6/7', '7/5'] -> (((6/7 / (3/4 - 4/7)) / 1/7) / 7/5)
[976972] ['1/7', '3/4', '4/7', '6/7', '8/3'] -> ((((3/4 * 4/7) + 6/7) / 1/7) * 8/3)
[976974] ['1/7', '3/4', '4/7', '6/7', '8/7'] -> (8/7 / ((1/7 + (4/7 / 3/4)) - 6/7))
[976978] ['1/7', '3/4', '4/7', '6/7', '9/5'] -> ((((4/7 + 6/7) / 1/7) / 3/4) * 9/5)
[976983] ['1/7', '3/4', '4/7', '7/2', '7/4'] -> ((((3/4 + 7/2) - 4/7) / 1/7) - 7/4)
[977007] ['1/7', '3/4', '4/7', '7/3', '9/2'] -> ((((3/4 * 4/7) / 1/7) + 7/3) * 9/2)
[977009] ['1/7', '3/4', '4/7', '7/3', '9/5'] -> (((7/3 - (3/4 * 4/7)) / 1/7) * 9/5)
[977021] ['1/7', '3/4', '4/7', '7/4', '9/2'] -> (9/2 / (7/4 - ((1/7 + 3/4) / 4/7)))
[977031] ['1/7', '3/4', '4/7', '7/5', '8/5'] -> (((3/4 + (7/5 / 4/7)) / 1/7) + 8/5)
[977057] ['1/7', '3/4', '4/7', '7/8', '9/2'] -> (9/2 / (((3/4 - 1/7) / 4/7) - 7/8))
[977074] ['1/7', '3/4', '4/7', '8/3', '8/7'] -> (8/7 / ((3/4 * 4/7) - (1/7 * 8/3)))
[977078] ['1/7', '3/4', '4/7', '8/3', '9/5'] -> (((8/3 - (4/7 / 3/4)) / 1/7) * 9/5)
[977079] ['1/7', '3/4', '4/7', '8/3', '9/7'] -> (9/7 / (3/4 * ((4/7 / 8/3) - 1/7)))
[977091] ['1/7', '3/4', '4/7', '8/7', '9/2'] -> ((((8/7 - 4/7) / 1/7) / 3/4) * 9/2)
[977093] ['1/7', '3/4', '4/7', '8/7', '9/5'] -> ((((4/7 / 3/4) + 8/7) / 1/7) * 9/5)
[977096] ['1/7', '3/4', '4/7', '8/9', '8/9'] -> ((8/9 / ((3/4 - 1/7) - 4/7)) - 8/9)
[977100] ['1/7', '3/4', '4/7', '8/9', '9/7'] -> (9/7 / (((1/7 + 4/7) / 8/9) - 3/4))
[977102] ['1/7', '3/4', '4/7', '9/2', '9/2'] -> ((4/7 / (3/4 - (1/7 * 9/2))) * 9/2)
[977105] ['1/7', '3/4', '4/7', '9/2', '9/7'] -> (9/7 / (3/4 * ((1/7 * 9/2) - 4/7)))
[977107] ['1/7', '3/4', '4/7', '9/4', '9/4'] -> ((((9/4 / 1/7) - 3/4) / 4/7) - 9/4)
[977126] ['1/7', '3/4', '4/9', '4/9', '6/7'] -> ((6/7 / 1/7) / ((4/9 / 4/9) - 3/4))
[977136] ['1/7', '3/4', '4/9', '4/9', '8/7'] -> (8/7 / (4/9 - ((1/7 + 3/4) * 4/9)))
[977166] ['1/7', '3/4', '4/9', '5/2', '9/7'] -> (9/7 / (((1/7 * 5/2) / 4/9) - 3/4))
[977176] ['1/7', '3/4', '4/9', '5/3', '7/2'] -> (7/2 / (((3/4 / 4/9) - 5/3) / 1/7))
[977181] ['1/7', '3/4', '4/9', '5/3', '7/8'] -> ((((5/3 / 4/9) - 3/4) / 1/7) / 7/8)
[977183] ['1/7', '3/4', '4/9', '5/3', '8/3'] -> (((3/4 / 1/7) + (5/3 / 4/9)) * 8/3)
[977185] ['1/7', '3/4', '4/9', '5/3', '8/7'] -> ((((5/3 / 4/9) - 3/4) / 1/7) * 8/7)
[977186] ['1/7', '3/4', '4/9', '5/3', '8/9'] -> ((3/4 + ((5/3 / 1/7) / 4/9)) * 8/9)
[977187] ['1/7', '3/4', '4/9', '5/3', '9/2'] -> (((4/9 / 1/7) + (5/3 / 3/4)) * 9/2)
[977190] ['1/7', '3/4', '4/9', '5/3', '9/7'] -> (9/7 / (1/7 / (4/9 + (5/3 / 3/4))))
[977191] ['1/7', '3/4', '4/9', '5/3', '9/8'] -> ((3/4 + ((5/3 / 1/7) / 4/9)) / 9/8)
[977206] ['1/7', '3/4', '4/9', '5/4', '8/3'] -> ((((3/4 / 1/7) - 5/4) / 4/9) * 8/3)
[977211] ['1/7', '3/4', '4/9', '5/4', '9/4'] -> ((((5/4 / 1/7) / 3/4) / 4/9) - 9/4)
[977238] ['1/7', '3/4', '4/9', '5/7', '5/8'] -> ((((5/7 / 1/7) / 3/4) / 4/9) / 5/8)
[977249] ['1/7', '3/4', '4/9', '5/7', '8/3'] -> (((1/7 / (3/4 - 5/7)) / 4/9) * 8/3)
[977250] ['1/7', '3/4', '4/9', '5/7', '8/5'] -> ((((5/7 / 1/7) / 3/4) / 4/9) * 8/5)
[977251] ['1/7', '3/4', '4/9', '5/7', '8/7'] -> (8/7 / (4/9 * ((1/7 + 5/7) - 3/4)))
[977253] ['1/7', '3/4', '4/9', '5/7', '9/2'] -> (((3/4 * 4/9) + (5/7 / 1/7)) * 9/2)
[977274] ['1/7', '3/4', '4/9', '5/8', '9/4'] -> (9/4 / (1/7 * ((5/8 / 4/9) - 3/4)))
[977280] ['1/7', '3/4', '4/9', '5/9', '6/7'] -> (6/7 / (1/7 * ((4/9 + 5/9) - 3/4)))
[977323] ['1/7', '3/4', '4/9', '6/7', '8/3'] -> (8/3 / (4/9 * ((1/7 + 6/7) - 3/4)))
[977339] ['1/7', '3/4', '4/9', '7/2', '8/3'] -> (8/3 / (4/9 * (3/4 - (1/7 * 7/2))))
[977341] ['1/7', '3/4', '4/9', '7/2', '8/7'] -> (8/7 / (1/7 - ((3/4 * 4/9) / 7/2)))
[977349] ['1/7', '3/4', '4/9', '7/3', '7/4'] -> (((3/4 + (7/3 / 4/9)) / 1/7) / 7/4)
[977357] ['1/7', '3/4', '4/9', '7/3', '8/9'] -> (((4/9 + (7/3 / 3/4)) / 1/7) - 8/9)
[977370] ['1/7', '3/4', '4/9', '7/4', '8/7'] -> (8/7 / (((3/4 * 4/9) / 7/4) - 1/7))
[977372] ['1/7', '3/4', '4/9', '7/4', '9/2'] -> (9/2 / (3/4 - ((1/7 * 7/4) / 4/9)))
[977382] ['1/7', '3/4', '4/9', '7/5', '8/5'] -> (8/5 / (((1/7 * 3/4) * 4/9) * 7/5))
[977417] ['1/7', '3/4', '4/9', '7/9', '8/9'] -> (8/9 / (((1/7 * 3/4) * 4/9) * 7/9))
[977418] ['1/7', '3/4', '4/9', '7/9', '9/2'] -> ((((4/9 / 1/7) / 3/4) / 7/9) * 9/2)
[977448] ['1/7', '3/4', '4/9', '8/9', '9/2'] -> ((((4/9 / 1/7) + 8/9) / 3/4) * 9/2)
[977451] ['1/7', '3/4', '4/9', '8/9', '9/7'] -> (9/7 / (((1/7 * 3/4) * 4/9) / 8/9))
[977466] ['1/7', '3/4', '4/9', '9/7', '9/8'] -> ((((9/7 / 1/7) / 3/4) / 4/9) / 9/8)
[977470] ['1/7', '3/4', '5/2', '5/2', '5/4'] -> ((((3/4 + 5/2) / 1/7) + 5/2) - 5/4)
[977471] ['1/7', '3/4', '5/2', '5/2', '5/6'] -> ((((5/2 / 1/7) - 5/2) / 3/4) / 5/6)
[977473] ['1/7', '3/4', '5/2', '5/2', '5/8'] -> (((5/2 / 1/7) + 5/2) * (3/4 / 5/8))
[977475] ['1/7', '3/4', '5/2', '5/2', '6/5'] -> ((((5/2 / 1/7) - 5/2) / 3/4) * 6/5)
[977484] ['1/7', '3/4', '5/2', '5/2', '8/3'] -> ((((5/2 / 1/7) + 5/2) / 3/4) - 8/3)
[977485] ['1/7', '3/4', '5/2', '5/2', '8/5'] -> (((5/2 / 1/7) + 5/2) * (3/4 * 8/5))
[977489] ['1/7', '3/4', '5/2', '5/2', '9/4'] -> (((3/4 * (5/2 + 5/2)) / 1/7) - 9/4)
[977496] ['1/7', '3/4', '5/2', '5/3', '5/7'] -> (5/7 / (1/7 * ((3/4 * 5/2) - 5/3)))
[977497] ['1/7', '3/4', '5/2', '5/3', '5/8'] -> (((5/2 / 3/4) + (5/3 / 1/7)) / 5/8)
[977509] ['1/7', '3/4', '5/2', '5/3', '8/5'] -> (((5/2 / 3/4) + (5/3 / 1/7)) * 8/5)
[977513] ['1/7', '3/4', '5/2', '5/3', '9/4'] -> (((5/2 + (3/4 * 5/3)) / 1/7) - 9/4)
[977518] ['1/7', '3/4', '5/2', '5/4', '5/6'] -> ((5/2 * ((5/4 / 1/7) - 3/4)) / 5/6)
[977520] ['1/7', '3/4', '5/2', '5/4', '5/8'] -> (((5/2 + (5/4 / 1/7)) / 3/4) / 5/8)
[977522] ['1/7', '3/4', '5/2', '5/4', '6/5'] -> ((5/2 * ((5/4 / 1/7) - 3/4)) * 6/5)
[977523] ['1/7', '3/4', '5/2', '5/4', '6/7'] -> (6/7 / (1/7 * (3/4 - (5/4 / 5/2))))
[977529] ['1/7', '3/4', '5/2', '5/4', '7/8'] -> ((((5/2 + 5/4) - 3/4) / 1/7) / 7/8)
[977531] ['1/7', '3/4', '5/2', '5/4', '8/3'] -> ((((3/4 / 1/7) + 5/2) + 5/4) * 8/3)
[977532] ['1/7', '3/4', '5/2', '5/4', '8/5'] -> (((5/2 + (5/4 / 1/7)) / 3/4) * 8/5)
[977533] ['1/7', '3/4', '5/2', '5/4', '8/7'] -> ((((5/2 + 5/4) - 3/4) / 1/7) * 8/7)
[977534] ['1/7', '3/4', '5/2', '5/4', '8/9'] -> ((3/4 + ((5/2 + 5/4) / 1/7)) * 8/9)
[977535] ['1/7', '3/4', '5/2', '5/4', '9/2'] -> (((3/4 + (5/2 / 1/7)) + 5/4) + 9/2)
[977538] ['1/7', '3/4', '5/2', '5/4', '9/7'] -> (9/7 / (((1/7 * 3/4) * 5/4) / 5/2))
[977539] ['1/7', '3/4', '5/2', '5/4', '9/8'] -> ((3/4 + ((5/2 + 5/4) / 1/7)) / 9/8)
[977541] ['1/7', '3/4', '5/2', '5/6', '5/7'] -> (5/7 / ((1/7 * 5/2) * (5/6 - 3/4)))
[977545] ['1/7', '3/4', '5/2', '5/6', '6/7'] -> ((((5/2 / 1/7) / 3/4) / 5/6) * 6/7)
[977548] ['1/7', '3/4', '5/2', '5/6', '7/4'] -> ((5/2 / ((1/7 + 3/4) - 5/6)) / 7/4)
[977550] ['1/7', '3/4', '5/2', '5/6', '7/6'] -> ((((5/2 / 1/7) / 3/4) / 5/6) / 7/6)
[977579] ['1/7', '3/4', '5/2', '5/7', '9/4'] -> ((((5/2 + 5/7) / 1/7) - 3/4) + 9/4)
[977592] ['1/7', '3/4', '5/2', '5/8', '7/8'] -> ((((3/4 * 5/2) / 1/7) / 5/8) / 7/8)
[977596] ['1/7', '3/4', '5/2', '5/8', '8/7'] -> ((((3/4 * 5/2) / 1/7) / 5/8) * 8/7)
[977608] ['1/7', '3/4', '5/2', '5/9', '7/4'] -> ((((5/2 / 1/7) / 3/4) / 5/9) / 7/4)
[977618] ['1/7', '3/4', '5/2', '5/9', '9/4'] -> ((((5/2 / 5/9) - 3/4) / 1/7) - 9/4)
[977623] ['1/7', '3/4', '5/2', '6/5', '6/7'] -> ((((5/2 * 6/5) / 1/7) / 3/4) * 6/7)
[977628] ['1/7', '3/4', '5/2', '6/5', '7/6'] -> ((((5/2 * 6/5) / 1/7) / 3/4) / 7/6)
[977652] ['1/7', '3/4', '5/2', '6/7', '9/2'] -> ((((3/4 + 5/2) * 6/7) / 1/7) + 9/2)
[977661] ['1/7', '3/4', '5/2', '7/2', '7/6'] -> ((((5/2 / 1/7) + 7/2) / 3/4) / 7/6)
[977671] ['1/7', '3/4', '5/2', '7/2', '9/7'] -> (9/7 / (3/4 / ((5/2 / 1/7) - 7/2)))
[977677] ['1/7', '3/4', '5/2', '7/3', '7/8'] -> ((((5/2 / 1/7) / 3/4) - 7/3) / 7/8)
[977681] ['1/7', '3/4', '5/2', '7/3', '8/7'] -> ((((5/2 / 1/7) / 3/4) - 7/3) * 8/7)
[977693] ['1/7', '3/4', '5/2', '7/4', '8/3'] -> ((((7/4 / 1/7) - 3/4) - 5/2) * 8/3)
[977699] ['1/7', '3/4', '5/2', '7/4', '9/5'] -> ((((5/2 / 1/7) / 3/4) / 7/4) * 9/5)
[977721] ['1/7', '3/4', '5/2', '7/6', '8/9'] -> ((((5/2 / 1/7) + 7/6) / 3/4) - 8/9)
[977722] ['1/7', '3/4', '5/2', '7/6', '9/2'] -> ((((3/4 + 5/2) / 1/7) / 7/6) + 9/2)
[977729] ['1/7', '3/4', '5/2', '7/8', '8/3'] -> ((((5/2 / 1/7) / 3/4) / 7/8) - 8/3)
[977730] ['1/7', '3/4', '5/2', '7/8', '8/5'] -> ((((3/4 * 5/2) / 1/7) / 7/8) * 8/5)
[977734] ['1/7', '3/4', '5/2', '7/8', '9/4'] -> ((5/2 + ((7/8 / 1/7) / 3/4)) * 9/4)
[977744] ['1/7', '3/4', '5/2', '7/9', '9/4'] -> ((((5/2 / 1/7) / 7/9) - 3/4) + 9/4)
[977752] ['1/7', '3/4', '5/2', '8/3', '9/2'] -> (((5/2 / 1/7) + (3/4 * 8/3)) + 9/2)
[977753] ['1/7', '3/4', '5/2', '8/3', '9/4'] -> (((8/3 / (5/2 - 3/4)) / 1/7) * 9/4)
[977758] ['1/7', '3/4', '5/2', '8/5', '8/7'] -> ((((3/4 * 5/2) * 8/5) / 1/7) * 8/7)
[977768] ['1/7', '3/4', '5/2', '8/7', '9/4'] -> ((3/4 + ((5/2 + 8/7) / 1/7)) - 9/4)
[977774] ['1/7', '3/4', '5/2', '8/9', '9/4'] -> ((((5/2 / 1/7) / 3/4) / 8/9) - 9/4)
[977783] ['1/7', '3/4', '5/2', '9/4', '9/4'] -> (((5/2 * (9/4 - 3/4)) / 1/7) - 9/4)
[977787] ['1/7', '3/4', '5/2', '9/5', '9/5'] -> (9/5 / ((1/7 * 3/4) * (5/2 - 9/5)))
[977798] ['1/7', '3/4', '5/3', '5/3', '5/9'] -> ((((5/3 / 1/7) - 5/3) / 3/4) / 5/9)
[977800] ['1/7', '3/4', '5/3', '5/3', '6/7'] -> ((6/7 / 1/7) / ((5/3 / 5/3) - 3/4))
[977811] ['1/7', '3/4', '5/3', '5/3', '8/9'] -> (((5/3 + 5/3) / 1/7) + (3/4 * 8/9))
[977814] ['1/7', '3/4', '5/3', '5/3', '9/5'] -> ((((5/3 / 1/7) - 5/3) / 3/4) * 9/5)
[977816] ['1/7', '3/4', '5/3', '5/3', '9/8'] -> (((5/3 + 5/3) / 1/7) + (3/4 / 9/8))
[977833] ['1/7', '3/4', '5/3', '5/4', '8/7'] -> (8/7 / (1/7 * ((3/4 + 5/4) - 5/3)))
[977850] ['1/7', '3/4', '5/3', '5/6', '7/6'] -> ((5/3 / ((1/7 + 3/4) - 5/6)) / 7/6)
[977855] ['1/7', '3/4', '5/3', '5/6', '8/7'] -> (8/7 / ((1/7 / (5/6 - 3/4)) - 5/3))
[977860] ['1/7', '3/4', '5/3', '5/6', '9/7'] -> (9/7 / (((1/7 * 3/4) * 5/6) / 5/3))
[977865] ['1/7', '3/4', '5/3', '5/7', '6/5'] -> (6/5 / (((1/7 / 5/3) + 5/7) - 3/4))
[977895] ['1/7', '3/4', '5/3', '5/8', '8/5'] -> (8/5 / (1/7 * (5/3 - (3/4 / 5/8))))
[977897] ['1/7', '3/4', '5/3', '5/8', '8/9'] -> ((((5/3 / 1/7) / 3/4) / 5/8) - 8/9)
[977905] ['1/7', '3/4', '5/3', '5/9', '6/7'] -> ((((5/3 / 1/7) / 3/4) / 5/9) * 6/7)
[977910] ['1/7', '3/4', '5/3', '5/9', '7/6'] -> ((((5/3 / 1/7) / 3/4) / 5/9) / 7/6)
[977914] ['1/7', '3/4', '5/3', '5/9', '8/5'] -> ((((5/3 / 1/7) / 3/4) - 5/9) * 8/5)
[977922] ['1/7', '3/4', '5/3', '6/5', '6/5'] -> (6/5 / ((1/7 * 3/4) * (5/3 - 6/5)))
[977938] ['1/7', '3/4', '5/3', '6/5', '9/7'] -> (9/7 / (((1/7 * 3/4) / 5/3) / 6/5))
[977940] ['1/7', '3/4', '5/3', '6/7', '6/7'] -> (6/7 / ((5/3 * (6/7 - 3/4)) - 1/7))
[977954] ['1/7', '3/4', '5/3', '6/7', '9/5'] -> ((((5/3 * 6/7) / 1/7) / 3/4) * 9/5)
[977959] ['1/7', '3/4', '5/3', '7/2', '7/4'] -> (((3/4 * 5/3) + (7/2 / 1/7)) - 7/4)
[977962] ['1/7', '3/4', '5/3', '7/2', '7/8'] -> ((((7/2 / 3/4) - 5/3) / 1/7) / 7/8)
[977966] ['1/7', '3/4', '5/3', '7/2', '8/7'] -> ((((7/2 / 3/4) - 5/3) / 1/7) * 8/7)
[977977] ['1/7', '3/4', '5/3', '7/3', '7/8'] -> (((3/4 * (5/3 + 7/3)) / 1/7) / 7/8)
[977981] ['1/7', '3/4', '5/3', '7/3', '8/7'] -> (((3/4 * (5/3 + 7/3)) / 1/7) * 8/7)
[977986] ['1/7', '3/4', '5/3', '7/3', '9/7'] -> (9/7 / (3/4 / ((5/3 / 1/7) + 7/3)))
[977990] ['1/7', '3/4', '5/3', '7/4', '7/6'] -> (((5/3 + (7/4 / 3/4)) / 1/7) / 7/6)
[977991] ['1/7', '3/4', '5/3', '7/4', '7/8'] -> ((((3/4 * 5/3) + 7/4) / 1/7) / 7/8)
[977995] ['1/7', '3/4', '5/3', '7/4', '8/7'] -> ((((3/4 * 5/3) + 7/4) / 1/7) * 8/7)
[977998] ['1/7', '3/4', '5/3', '7/4', '9/4'] -> (((3/4 + (5/3 / 1/7)) - 7/4) * 9/4)
[978000] ['1/7', '3/4', '5/3', '7/4', '9/7'] -> (9/7 / (1/7 / ((5/3 + 7/4) - 3/4)))
[978015] ['1/7', '3/4', '5/3', '7/6', '7/6'] -> (((5/3 / (7/6 - 3/4)) / 1/7) / 7/6)
[978024] ['1/7', '3/4', '5/3', '7/6', '9/5'] -> ((((5/3 / 1/7) / 3/4) / 7/6) * 9/5)
[978025] ['1/7', '3/4', '5/3', '7/6', '9/7'] -> (9/7 / ((1/7 * 3/4) * (5/3 - 7/6)))
[978036] ['1/7', '3/4', '5/3', '7/8', '9/7'] -> (9/7 / (1/7 * ((3/4 * 5/3) - 7/8)))
[978041] ['1/7', '3/4', '5/3', '7/9', '8/7'] -> ((((5/3 / 3/4) + 7/9) / 1/7) * 8/7)
[978043] ['1/7', '3/4', '5/3', '7/9', '9/2'] -> ((3/4 * (5/3 + (7/9 / 1/7))) * 9/2)
[978044] ['1/7', '3/4', '5/3', '7/9', '9/4'] -> ((((3/4 + 5/3) / 1/7) / 7/9) + 9/4)
[978059] ['1/7', '3/4', '5/3', '8/5', '8/9'] -> ((((5/3 * 8/5) / 1/7) / 3/4) - 8/9)
[978065] ['1/7', '3/4', '5/3', '8/7', '8/7'] -> (8/7 / (((1/7 + 8/7) / 3/4) - 5/3))
[978084] ['1/7', '3/4', '5/3', '9/4', '9/5'] -> ((((9/4 / 1/7) - 3/4) - 5/3) * 9/5)
[978086] ['1/7', '3/4', '5/3', '9/4', '9/8'] -> ((3/4 + ((5/3 * 9/4) / 1/7)) / 9/8)
[978093] ['1/7', '3/4', '5/4', '5/4', '5/4'] -> ((((3/4 + 5/4) + 5/4) / 1/7) + 5/4)
[978097] ['1/7', '3/4', '5/4', '5/4', '5/9'] -> ((((5/4 / 1/7) + 5/4) / 3/4) / 5/9)
[978099] ['1/7', '3/4', '5/4', '5/4', '6/7'] -> ((6/7 / 1/7) / ((5/4 / 5/4) - 3/4))
[978102] ['1/7', '3/4', '5/4', '5/4', '7/4'] -> (((5/4 / 1/7) - 3/4) * (5/4 + 7/4))
[978104] ['1/7', '3/4', '5/4', '5/4', '7/6'] -> (((5/4 / 1/7) + 5/4) / (7/6 - 3/4))
[978113] ['1/7', '3/4', '5/4', '5/4', '9/5'] -> ((((5/4 / 1/7) + 5/4) / 3/4) * 9/5)
[978120] ['1/7', '3/4', '5/4', '5/6', '6/5'] -> (6/5 / (1/7 * (5/4 - (3/4 / 5/6))))
[978127] ['1/7', '3/4', '5/4', '5/6', '7/8'] -> ((5/4 / ((1/7 + 3/4) - 5/6)) / 7/8)
[978133] ['1/7', '3/4', '5/4', '5/6', '9/2'] -> (((3/4 + (5/6 / 1/7)) - 5/4) * 9/2)
[978162] ['1/7', '3/4', '5/4', '5/8', '6/7'] -> (6/7 / (1/7 * (3/4 - (5/8 / 5/4))))
[978171] ['1/7', '3/4', '5/4', '5/8', '8/5'] -> ((((3/4 + 5/4) / 1/7) / 5/8) + 8/5)
[978189] ['1/7', '3/4', '5/4', '5/9', '8/3'] -> (8/3 / (((3/4 - 5/9) / 1/7) - 5/4))
[978190] ['1/7', '3/4', '5/4', '5/9', '8/5'] -> ((((5/4 / 1/7) / 5/9) - 3/4) * 8/5)
[978207] ['1/7', '3/4', '5/4', '6/5', '8/3'] -> (((3/4 / 5/4) + (6/5 / 1/7)) * 8/3)
[978216] ['1/7', '3/4', '5/4', '6/7', '6/7'] -> (6/7 / ((1/7 + (6/7 / 3/4)) - 5/4))
[978217] ['1/7', '3/4', '5/4', '6/7', '7/2'] -> ((((5/4 / 1/7) - 3/4) * 6/7) * 7/2)
[978224] ['1/7', '3/4', '5/4', '6/7', '8/3'] -> ((((3/4 + 6/7) / 1/7) / 5/4) * 8/3)
[978231] ['1/7', '3/4', '5/4', '6/7', '9/7'] -> (9/7 / (1/7 * (5/4 - (3/4 / 6/7))))
[978241] ['1/7', '3/4', '5/4', '7/2', '8/5'] -> ((((7/2 - 5/4) / 1/7) - 3/4) * 8/5)
[978244] ['1/7', '3/4', '5/4', '7/2', '9/2'] -> ((((5/4 / 3/4) - 1/7) * 7/2) * 9/2)
[978253] ['1/7', '3/4', '5/4', '7/3', '7/8'] -> (((5/4 + (3/4 * 7/3)) / 1/7) / 7/8)
[978255] ['1/7', '3/4', '5/4', '7/3', '8/3'] -> (((3/4 + (5/4 / 7/3)) / 1/7) * 8/3)
[978266] ['1/7', '3/4', '5/4', '7/4', '7/6'] -> ((((5/4 + 7/4) / 1/7) / 3/4) / 7/6)
[978276] ['1/7', '3/4', '5/4', '7/4', '9/7'] -> (9/7 / ((1/7 * 3/4) * (7/4 - 5/4)))
[978286] ['1/7', '3/4', '5/4', '7/5', '9/2'] -> (9/2 / (((1/7 * 3/4) * 5/4) * 7/5))
[978292] ['1/7', '3/4', '5/4', '7/6', '7/8'] -> (((5/4 / (7/6 - 3/4)) / 1/7) / 7/8)
[978296] ['1/7', '3/4', '5/4', '7/6', '8/7'] -> (((5/4 / (7/6 - 3/4)) / 1/7) * 8/7)
[978298] ['1/7', '3/4', '5/4', '7/6', '9/2'] -> ((((3/4 / 1/7) + 5/4) - 7/6) * 9/2)
[978299] ['1/7', '3/4', '5/4', '7/6', '9/4'] -> (((3/4 + (5/4 / 1/7)) + 7/6) * 9/4)
[978301] ['1/7', '3/4', '5/4', '7/6', '9/7'] -> (9/7 / (1/7 * (5/4 - (3/4 * 7/6))))
[978311] ['1/7', '3/4', '5/4', '7/8', '9/5'] -> ((((5/4 / 1/7) / 3/4) / 7/8) * 9/5)
[978315] ['1/7', '3/4', '5/4', '7/9', '8/3'] -> (8/3 / (((5/4 - 1/7) * 7/9) - 3/4))
[978316] ['1/7', '3/4', '5/4', '7/9', '8/5'] -> ((((5/4 / 1/7) / 3/4) / 7/9) * 8/5)
[978319] ['1/7', '3/4', '5/4', '7/9', '9/2'] -> ((5/4 + ((3/4 * 7/9) / 1/7)) * 9/2)
[978328] ['1/7', '3/4', '5/4', '8/3', '9/2'] -> ((((5/4 / 1/7) - 3/4) - 8/3) * 9/2)
[978339] ['1/7', '3/4', '5/4', '8/5', '9/7'] -> (9/7 / (((1/7 * 3/4) / 5/4) / 8/5))
[978341] ['1/7', '3/4', '5/4', '8/7', '8/7'] -> ((3/4 / ((1/7 + 8/7) - 5/4)) * 8/7)
[978343] ['1/7', '3/4', '5/4', '8/7', '9/2'] -> (9/2 / (3/4 * ((1/7 + 5/4) - 8/7)))
[978345] ['1/7', '3/4', '5/4', '8/7', '9/5'] -> ((((5/4 * 8/7) / 1/7) / 3/4) * 9/5)
[978350] ['1/7', '3/4', '5/4', '8/9', '9/4'] -> (9/4 / (1/7 * ((5/4 / 8/9) - 3/4)))
[978357] ['1/7', '3/4', '5/4', '9/2', '9/7'] -> (9/7 / (((1/7 * 5/4) * 9/2) - 3/4))
[978391] ['1/7', '3/4', '5/6', '5/7', '5/7'] -> (5/7 / (((1/7 + 3/4) * 5/6) - 5/7))
[978397] ['1/7', '3/4', '5/6', '5/7', '7/3'] -> (((1/7 + 5/7) / (5/6 - 3/4)) * 7/3)
[978432] ['1/7', '3/4', '5/6', '5/9', '5/9'] -> (5/9 / ((1/7 * 5/6) * (3/4 - 5/9)))
[978467] ['1/7', '3/4', '5/6', '6/5', '9/7'] -> (9/7 / ((1/7 * 5/6) * (6/5 - 3/4)))
[978479] ['1/7', '3/4', '5/6', '6/7', '8/7'] -> (8/7 / ((5/6 - (3/4 * 6/7)) - 1/7))
[978481] ['1/7', '3/4', '5/6', '6/7', '9/2'] -> ((5/6 + ((3/4 * 6/7) / 1/7)) * 9/2)
[978495] ['1/7', '3/4', '5/6', '7/2', '8/7'] -> (8/7 / ((5/6 / 7/2) - (1/7 / 3/4)))
[978496] ['1/7', '3/4', '5/6', '7/2', '8/9'] -> ((((7/2 - 5/6) / 1/7) / 3/4) - 8/9)
[978501] ['1/7', '3/4', '5/6', '7/2', '9/8'] -> (((3/4 * 5/6) + (7/2 / 1/7)) - 9/8)
[978520] ['1/7', '3/4', '5/6', '7/4', '7/8'] -> ((((3/4 + 7/4) / 1/7) / 5/6) / 7/8)
[978524] ['1/7', '3/4', '5/6', '7/4', '8/7'] -> ((((3/4 + 7/4) / 1/7) / 5/6) * 8/7)
[978527] ['1/7', '3/4', '5/6', '7/4', '9/4'] -> ((((7/4 / 1/7) - 3/4) - 5/6) * 9/4)
[978549] ['1/7', '3/4', '5/6', '7/6', '8/7'] -> (8/7 / ((5/6 - (3/4 / 7/6)) - 1/7))
[978551] ['1/7', '3/4', '5/6', '7/6', '9/2'] -> ((5/6 + ((3/4 / 1/7) / 7/6)) * 9/2)
[978554] ['1/7', '3/4', '5/6', '7/6', '9/7'] -> (9/7 / ((1/7 * 3/4) / (5/6 + 7/6)))
[978558] ['1/7', '3/4', '5/6', '7/8', '8/3'] -> ((5/6 + ((7/8 / 1/7) / 3/4)) * 8/3)
[978570] ['1/7', '3/4', '5/6', '7/9', '8/7'] -> (8/7 / (1/7 * ((5/6 / 3/4) - 7/9)))
[978610] ['1/7', '3/4', '5/6', '9/2', '9/7'] -> (9/7 / ((1/7 * (5/6 - 3/4)) * 9/2))
[978611] ['1/7', '3/4', '5/6', '9/2', '9/8'] -> ((3/4 + ((5/6 * 9/2) / 1/7)) / 9/8)
[978613] ['1/7', '3/4', '5/6', '9/4', '9/5'] -> ((((3/4 + 5/6) / 1/7) + 9/4) * 9/5)
[978624] ['1/7', '3/4', '5/7', '5/7', '5/9'] -> ((((5/7 + 5/7) / 1/7) / 3/4) / 5/9)
[978625] ['1/7', '3/4', '5/7', '5/7', '6/5'] -> (6/5 / (((5/7 - 1/7) / 5/7) - 3/4))
[978631] ['1/7', '3/4', '5/7', '5/7', '7/6'] -> (((5/7 + 5/7) / 1/7) / (7/6 - 3/4))
[978636] ['1/7', '3/4', '5/7', '5/7', '8/7'] -> (8/7 / (((5/7 - 1/7) / 3/4) - 5/7))
