[568363] ['1/4', '5/3', '5/8', '5/9', '8/5'] -> (8/5 / ((1/4 / 5/8) - (5/9 / 5/3)))
[576064] ['1/4', '5/8', '5/8', '7/3', '8/5'] -> ((5/8 * 8/5) / (5/8 - (1/4 * 7/3)))
[576069] ['1/4', '5/8', '5/8', '7/3', '9/5'] -> ((((5/8 / 5/8) + 7/3) / 1/4) * 9/5)
[576083] ['1/4', '5/8', '5/8', '7/4', '9/5'] -> (9/5 / (((1/4 * 7/4) / 5/8) - 5/8))
[576085] ['1/4', '5/8', '5/8', '7/4', '9/8'] -> (9/8 / ((1/4 * 7/4) - (5/8 * 5/8)))
[576095] ['1/4', '5/8', '5/8', '7/5', '9/4'] -> (9/4 / ((5/8 * (7/5 - 1/4)) - 5/8))
[576101] ['1/4', '5/8', '5/8', '7/6', '7/9'] -> (((5/8 / 1/4) + 7/6) / (7/9 - 5/8))
[576111] ['1/4', '5/8', '5/8', '7/8', '7/8'] -> (((5/8 + 7/8) / (7/8 - 5/8)) / 1/4)
[576123] ['1/4', '5/8', '5/8', '7/9', '8/3'] -> (8/3 / ((1/4 + (5/8 * 7/9)) - 5/8))
[576133] ['1/4', '5/8', '5/8', '8/3', '8/5'] -> ((5/8 * 8/5) / ((1/4 * 8/3) - 5/8))
[576138] ['1/4', '5/8', '5/8', '8/3', '9/5'] -> ((((5/8 + 5/8) * 8/3) / 1/4) * 9/5)
[576141] ['1/4', '5/8', '5/8', '8/5', '8/5'] -> (8/5 / ((5/8 / (5/8 - 1/4)) - 8/5))
[576145] ['1/4', '5/8', '5/8', '8/5', '9/4'] -> ((9/4 / 1/4) / ((5/8 * 8/5) - 5/8))
[576153] ['1/4', '5/8', '5/8', '8/7', '9/5'] -> (9/5 / ((5/8 / (8/7 - 1/4)) - 5/8))
[576167] ['1/4', '5/8', '5/8', '9/4', '9/4'] -> (9/4 / ((1/4 * (5/8 + 9/4)) - 5/8))
[576171] ['1/4', '5/8', '5/8', '9/5', '9/5'] -> (9/5 / (((5/8 / 1/4) - 5/8) - 9/5))
[576187] ['1/4', '5/8', '5/9', '5/9', '8/3'] -> ((5/9 / 5/9) / ((1/4 * 8/3) - 5/8))
[576192] ['1/4', '5/8', '5/9', '5/9', '9/4'] -> ((9/4 / 1/4) / ((5/9 / 5/9) - 5/8))
[576198] ['1/4', '5/8', '5/9', '6/5', '7/2'] -> (7/2 / ((5/8 - (1/4 / 5/9)) / 6/5))
[576202] ['1/4', '5/8', '5/9', '6/5', '7/6'] -> (7/6 / (1/4 * ((5/8 * 6/5) - 5/9)))
[576224] ['1/4', '5/8', '5/9', '6/7', '8/7'] -> (8/7 / (((5/8 * 5/9) * 6/7) - 1/4))
[576238] ['1/4', '5/8', '5/9', '7/2', '8/3'] -> (8/3 / ((1/4 * (7/2 - 5/9)) - 5/8))
[576247] ['1/4', '5/8', '5/9', '7/3', '7/3'] -> (7/3 / ((1/4 * (5/9 + 7/3)) - 5/8))
[576254] ['1/4', '5/8', '5/9', '7/3', '8/5'] -> ((7/3 / (5/9 - (1/4 / 5/8))) * 8/5)
[576264] ['1/4', '5/8', '5/9', '7/4', '7/6'] -> (7/6 / (5/8 - (1/4 * (5/9 + 7/4))))
[576294] ['1/4', '5/8', '5/9', '7/6', '8/7'] -> (8/7 / (((5/8 * 5/9) / 7/6) - 1/4))
[576323] ['1/4', '5/8', '5/9', '8/3', '8/5'] -> ((5/8 / (1/4 - (5/9 / 8/3))) * 8/5)
[576328] ['1/4', '5/8', '5/9', '8/3', '9/5'] -> ((5/9 / ((1/4 * 8/3) - 5/8)) * 9/5)
[576370] ['1/4', '5/8', '6/5', '6/5', '7/3'] -> ((6/5 / 6/5) / (5/8 - (1/4 * 7/3)))
[576374] ['1/4', '5/8', '6/5', '6/5', '7/8'] -> (((6/5 / 1/4) + 6/5) / (7/8 - 5/8))
[576376] ['1/4', '5/8', '6/5', '6/5', '8/3'] -> ((6/5 / 6/5) / ((1/4 * 8/3) - 5/8))
[576381] ['1/4', '5/8', '6/5', '6/5', '9/4'] -> ((9/4 / 1/4) / ((6/5 / 6/5) - 5/8))
[576387] ['1/4', '5/8', '6/5', '6/7', '7/3'] -> (((6/5 + (6/7 / 5/8)) / 1/4) * 7/3)
[576400] ['1/4', '5/8', '6/5', '6/7', '9/7'] -> (9/7 / ((1/4 * 5/8) * (6/5 - 6/7)))
[576416] ['1/4', '5/8', '6/5', '7/2', '9/7'] -> (9/7 / (((1/4 * 5/8) * 6/5) / 7/2))
[576430] ['1/4', '5/8', '6/5', '7/3', '9/5'] -> (9/5 / (((1/4 * 6/5) * 7/3) - 5/8))
[576440] ['1/4', '5/8', '6/5', '7/4', '8/7'] -> (8/7 / (((5/8 / 6/5) / 7/4) - 1/4))
[576442] ['1/4', '5/8', '6/5', '7/4', '9/2'] -> (9/2 / (5/8 * ((7/4 - 1/4) - 6/5)))
[576443] ['1/4', '5/8', '6/5', '7/4', '9/4'] -> (9/4 / ((5/8 * (7/4 - 6/5)) - 1/4))
[576458] ['1/4', '5/8', '6/5', '7/5', '9/7'] -> (9/7 / (((6/5 - 1/4) / 7/5) - 5/8))
[576468] ['1/4', '5/8', '6/5', '7/6', '9/4'] -> (((1/4 + 5/8) / (6/5 - 7/6)) - 9/4)
[576484] ['1/4', '5/8', '6/5', '7/9', '8/3'] -> ((1/4 / (7/9 - (5/8 * 6/5))) * 8/3)
[576490] ['1/4', '5/8', '6/5', '7/9', '9/5'] -> (9/5 / (6/5 - ((1/4 + 5/8) / 7/9)))
[576497] ['1/4', '5/8', '6/5', '8/3', '9/2'] -> ((8/3 / ((5/8 * 6/5) - 1/4)) * 9/2)
[576499] ['1/4', '5/8', '6/5', '8/3', '9/5'] -> (9/5 / ((1/4 + (6/5 / 8/3)) - 5/8))
[576505] ['1/4', '5/8', '6/5', '8/5', '9/2'] -> ((6/5 / (5/8 - (1/4 * 8/5))) * 9/2)
[576506] ['1/4', '5/8', '6/5', '8/5', '9/4'] -> (9/4 / (5/8 * ((8/5 - 1/4) - 6/5)))
[576507] ['1/4', '5/8', '6/5', '8/5', '9/5'] -> (9/5 / ((1/4 * (6/5 + 8/5)) - 5/8))
[576527] ['1/4', '5/8', '6/5', '9/2', '9/8'] -> (9/8 / (5/8 * (6/5 - (1/4 * 9/2))))
[576540] ['1/4', '5/8', '6/7', '6/7', '7/3'] -> ((6/7 / 6/7) / (5/8 - (1/4 * 7/3)))
[576546] ['1/4', '5/8', '6/7', '6/7', '8/3'] -> ((6/7 / 6/7) / ((1/4 * 8/3) - 5/8))
[576551] ['1/4', '5/8', '6/7', '6/7', '9/4'] -> ((9/4 / 1/4) / ((6/7 / 6/7) - 5/8))
[576555] ['1/4', '5/8', '6/7', '7/2', '7/2'] -> (7/2 / ((1/4 * 7/2) - (5/8 / 6/7)))
[576574] ['1/4', '5/8', '6/7', '7/3', '7/6'] -> ((6/7 / (5/8 - (1/4 * 7/3))) * 7/6)
[576581] ['1/4', '5/8', '6/7', '7/3', '9/2'] -> (((6/7 * 7/3) / (5/8 - 1/4)) * 9/2)
[576584] ['1/4', '5/8', '6/7', '7/3', '9/7'] -> (9/7 / ((5/8 / 7/3) - (1/4 * 6/7)))
[576596] ['1/4', '5/8', '6/7', '7/4', '9/4'] -> (((5/8 + (7/4 / 6/7)) / 1/4) * 9/4)
[576608] ['1/4', '5/8', '6/7', '7/5', '9/2'] -> (9/2 / (((1/4 * 5/8) * 6/7) * 7/5))
[576610] ['1/4', '5/8', '6/7', '7/5', '9/5'] -> (9/5 / (((6/7 - 5/8) * 7/5) - 1/4))
[576611] ['1/4', '5/8', '6/7', '7/5', '9/7'] -> (9/7 / ((6/7 - (1/4 / 7/5)) - 5/8))
[576620] ['1/4', '5/8', '6/7', '7/6', '9/2'] -> (9/2 / ((7/6 - (5/8 / 6/7)) - 1/4))
[576621] ['1/4', '5/8', '6/7', '7/6', '9/4'] -> (9/4 / (1/4 * ((6/7 * 7/6) - 5/8)))
[576636] ['1/4', '5/8', '6/7', '7/9', '7/9'] -> (7/9 / (((7/9 / 6/7) - 1/4) - 5/8))
[576648] ['1/4', '5/8', '6/7', '8/3', '8/7'] -> (8/7 / (((1/4 + 5/8) - 6/7) * 8/3))
[576665] ['1/4', '5/8', '6/7', '8/7', '9/2'] -> (((6/7 + 8/7) / (5/8 - 1/4)) * 9/2)
[576668] ['1/4', '5/8', '6/7', '8/7', '9/7'] -> (9/7 / ((1/4 * 8/7) - (6/7 - 5/8)))
[576688] ['1/4', '5/8', '6/7', '9/7', '9/7'] -> (9/7 / (((1/4 + 9/7) - 5/8) - 6/7))
[576691] ['1/4', '5/8', '7/2', '7/2', '7/2'] -> (((7/2 / 1/4) + (7/2 / 7/2)) / 5/8)
[576692] ['1/4', '5/8', '7/2', '7/2', '7/3'] -> ((7/2 / 7/2) / (5/8 - (1/4 * 7/3)))
[576697] ['1/4', '5/8', '7/2', '7/2', '7/9'] -> (((7/2 + 7/2) / (5/8 - 1/4)) / 7/9)
[576703] ['1/4', '5/8', '7/2', '7/2', '9/4'] -> ((9/4 / 1/4) / ((7/2 / 7/2) - 5/8))
[576705] ['1/4', '5/8', '7/2', '7/2', '9/7'] -> (((7/2 + 7/2) / (5/8 - 1/4)) * 9/7)
[576709] ['1/4', '5/8', '7/2', '7/3', '7/5'] -> (7/5 / (1/4 * ((7/3 / 5/8) - 7/2)))
[576715] ['1/4', '5/8', '7/2', '7/3', '8/7'] -> ((7/2 / ((5/8 / 1/4) - 7/3)) * 8/7)
[576718] ['1/4', '5/8', '7/2', '7/3', '9/4'] -> (((5/8 / 1/4) + (7/2 * 7/3)) * 9/4)
[576720] ['1/4', '5/8', '7/2', '7/3', '9/7'] -> (9/7 / (5/8 / ((7/2 / 1/4) - 7/3)))
[576723] ['1/4', '5/8', '7/2', '7/4', '7/5'] -> ((((7/2 + 7/4) / 1/4) / 5/8) / 7/5)
[576726] ['1/4', '5/8', '7/2', '7/4', '7/9'] -> ((7/2 / (5/8 - (1/4 * 7/4))) / 7/9)
[576730] ['1/4', '5/8', '7/2', '7/4', '8/9'] -> (((5/8 + (7/2 * 7/4)) / 1/4) * 8/9)
[576737] ['1/4', '5/8', '7/2', '7/5', '7/6'] -> ((((7/2 / 5/8) + 7/5) / 1/4) / 7/6)
[576738] ['1/4', '5/8', '7/2', '7/5', '7/8'] -> ((((7/2 / 1/4) / 5/8) - 7/5) / 7/8)
[576745] ['1/4', '5/8', '7/2', '7/5', '9/4'] -> (9/4 / (5/8 * ((7/5 / 7/2) - 1/4)))
[576753] ['1/4', '5/8', '7/2', '7/6', '8/5'] -> (8/5 / ((1/4 / 5/8) - (7/6 / 7/2)))
[576756] ['1/4', '5/8', '7/2', '7/6', '9/2'] -> (((7/2 + 7/6) / (1/4 + 5/8)) * 9/2)
[576757] ['1/4', '5/8', '7/2', '7/6', '9/4'] -> ((7/2 + ((5/8 + 7/6) / 1/4)) * 9/4)
[576773] ['1/4', '5/8', '7/2', '7/9', '8/3'] -> (8/3 / (1/4 - ((5/8 * 7/9) / 7/2)))
[576782] ['1/4', '5/8', '7/2', '8/3', '8/3'] -> ((((7/2 / 1/4) + 8/3) / 5/8) - 8/3)
[576784] ['1/4', '5/8', '7/2', '8/3', '8/7'] -> ((7/2 / (8/3 - (5/8 / 1/4))) * 8/7)
[576785] ['1/4', '5/8', '7/2', '8/3', '8/9'] -> (((7/2 * 8/3) / (5/8 - 1/4)) - 8/9)
[576786] ['1/4', '5/8', '7/2', '8/3', '9/2'] -> ((((7/2 - 8/3) / 1/4) / 5/8) * 9/2)
[576793] ['1/4', '5/8', '7/2', '8/5', '8/9'] -> ((7/2 / ((5/8 / 8/5) - 1/4)) - 8/9)
[576813] ['1/4', '5/8', '7/2', '9/2', '9/4'] -> (9/4 / (1/4 * ((9/2 - 5/8) - 7/2)))
[576817] ['1/4', '5/8', '7/2', '9/4', '9/4'] -> (9/4 / ((5/8 * (1/4 + 7/2)) - 9/4))
[576827] ['1/4', '5/8', '7/3', '7/3', '7/3'] -> ((7/3 / (5/8 - (1/4 * 7/3))) / 7/3)
[576832] ['1/4', '5/8', '7/3', '7/3', '7/9'] -> ((((7/3 / 1/4) + 7/3) / 5/8) / 7/9)
[576833] ['1/4', '5/8', '7/3', '7/3', '8/3'] -> ((7/3 / 7/3) / ((1/4 * 8/3) - 5/8))
[576837] ['1/4', '5/8', '7/3', '7/3', '9/2'] -> (((7/3 + 7/3) / (1/4 + 5/8)) * 9/2)
[576838] ['1/4', '5/8', '7/3', '7/3', '9/4'] -> ((9/4 / 1/4) / ((7/3 / 7/3) - 5/8))
[576840] ['1/4', '5/8', '7/3', '7/3', '9/7'] -> ((((7/3 / 1/4) + 7/3) / 5/8) * 9/7)
[576848] ['1/4', '5/8', '7/3', '7/4', '8/5'] -> (8/5 / (((7/4 - 1/4) / 5/8) - 7/3))
[576865] ['1/4', '5/8', '7/3', '7/5', '9/4'] -> ((((7/3 / 1/4) / 5/8) / 7/5) * 9/4)
[576869] ['1/4', '5/8', '7/3', '7/6', '7/6'] -> ((7/6 / (5/8 - (1/4 * 7/3))) / 7/6)
[576874] ['1/4', '5/8', '7/3', '7/6', '8/7'] -> (8/7 / ((1/4 * 7/3) - (5/8 / 7/6)))
[576876] ['1/4', '5/8', '7/3', '7/6', '9/2'] -> (((7/3 / (5/8 - 1/4)) / 7/6) * 9/2)
[576877] ['1/4', '5/8', '7/3', '7/6', '9/4'] -> ((((5/8 + 7/3) / 1/4) - 7/6) * 9/4)
[576879] ['1/4', '5/8', '7/3', '7/6', '9/7'] -> (9/7 / ((5/8 / 7/3) - (1/4 / 7/6)))
[576885] ['1/4', '5/8', '7/3', '7/8', '8/7'] -> ((7/8 / (5/8 - (1/4 * 7/3))) * 8/7)
[576888] ['1/4', '5/8', '7/3', '7/8', '9/4'] -> (((5/8 + (7/3 * 7/8)) / 1/4) * 9/4)
[576892] ['1/4', '5/8', '7/3', '7/9', '7/9'] -> (7/9 / ((5/8 - (1/4 * 7/3)) * 7/9))
[576894] ['1/4', '5/8', '7/3', '7/9', '8/5'] -> (8/5 / ((1/4 / 5/8) - (7/9 / 7/3)))
[576903] ['1/4', '5/8', '7/3', '8/3', '8/5'] -> (8/5 / (((1/4 / 5/8) + 7/3) - 8/3))
[576904] ['1/4', '5/8', '7/3', '8/3', '8/7'] -> (8/7 / (((5/8 / 7/3) - 1/4) * 8/3))
[576906] ['1/4', '5/8', '7/3', '8/3', '9/2'] -> (((7/3 / (1/4 + 5/8)) + 8/3) * 9/2)
[576907] ['1/4', '5/8', '7/3', '8/3', '9/4'] -> ((((7/3 / 1/4) - 8/3) / 5/8) * 9/4)
[576911] ['1/4', '5/8', '7/3', '8/5', '8/5'] -> (8/5 / ((5/8 - (1/4 * 7/3)) * 8/5))
[576918] ['1/4', '5/8', '7/3', '8/5', '9/8'] -> (9/8 / (1/4 / ((7/3 / 5/8) + 8/5)))
[576919] ['1/4', '5/8', '7/3', '8/7', '8/7'] -> (8/7 / ((5/8 - (1/4 * 7/3)) * 8/7))
[576922] ['1/4', '5/8', '7/3', '8/7', '9/4'] -> (((5/8 + (7/3 / 8/7)) / 1/4) * 9/4)
[576931] ['1/4', '5/8', '7/3', '8/9', '9/8'] -> (9/8 / ((5/8 - (1/4 * 7/3)) / 8/9))
[576932] ['1/4', '5/8', '7/3', '9/2', '9/2'] -> ((9/2 / (5/8 - (1/4 * 7/3))) / 9/2)
[576936] ['1/4', '5/8', '7/3', '9/2', '9/8'] -> ((9/2 / ((5/8 / 1/4) - 7/3)) / 9/8)
[576946] ['1/4', '5/8', '7/3', '9/8', '9/8'] -> ((9/8 / (5/8 - (1/4 * 7/3))) / 9/8)
[576952] ['1/4', '5/8', '7/4', '7/4', '8/3'] -> ((7/4 / 7/4) / ((1/4 * 8/3) - 5/8))
[576953] ['1/4', '5/8', '7/4', '7/4', '8/5'] -> ((((7/4 + 7/4) / 1/4) / 5/8) + 8/5)
[576957] ['1/4', '5/8', '7/4', '7/4', '9/4'] -> ((9/4 / 1/4) / ((7/4 / 7/4) - 5/8))
[576984] ['1/4', '5/8', '7/4', '7/6', '9/7'] -> (9/7 / ((1/4 * 5/8) / (7/4 + 7/6)))
[576993] ['1/4', '5/8', '7/4', '7/8', '9/4'] -> (9/4 / (((5/8 / 7/4) - 1/4) * 7/8))
[577010] ['1/4', '5/8', '7/4', '8/3', '8/9'] -> ((8/3 / ((5/8 / 7/4) - 1/4)) - 8/9)
[577021] ['1/4', '5/8', '7/4', '8/5', '9/5'] -> (9/5 / (((1/4 * 7/4) * 8/5) - 5/8))
[577023] ['1/4', '5/8', '7/4', '8/5', '9/8'] -> (9/8 / ((1/4 * 7/4) - (5/8 / 8/5)))
[577026] ['1/4', '5/8', '7/4', '8/7', '9/2'] -> (((7/4 * 8/7) / (5/8 - 1/4)) * 9/2)
[577027] ['1/4', '5/8', '7/4', '8/7', '9/4'] -> ((8/7 / ((5/8 / 7/4) - 1/4)) * 9/4)
[577029] ['1/4', '5/8', '7/4', '8/7', '9/7'] -> (9/7 / (5/8 - (8/7 / (1/4 + 7/4))))
[577037] ['1/4', '5/8', '7/4', '9/2', '9/2'] -> ((9/2 / ((5/8 * 7/4) - 1/4)) * 9/2)
[577043] ['1/4', '5/8', '7/4', '9/4', '9/5'] -> (9/5 / ((7/4 / (1/4 + 9/4)) - 5/8))
[577056] ['1/4', '5/8', '7/5', '7/5', '8/3'] -> ((7/5 / 7/5) / ((1/4 * 8/3) - 5/8))
[577061] ['1/4', '5/8', '7/5', '7/5', '9/4'] -> ((9/4 / 1/4) / ((7/5 / 7/5) - 5/8))
[577062] ['1/4', '5/8', '7/5', '7/5', '9/5'] -> (9/5 / ((1/4 * (7/5 + 7/5)) - 5/8))
[577066] ['1/4', '5/8', '7/5', '7/6', '7/8'] -> (7/8 / ((1/4 * 5/8) * (7/5 - 7/6)))
[577072] ['1/4', '5/8', '7/5', '7/6', '9/2'] -> ((((7/6 / 1/4) / 5/8) / 7/5) * 9/2)
[577099] ['1/4', '5/8', '7/5', '8/3', '8/5'] -> (8/5 / (1/4 * ((5/8 * 8/3) - 7/5)))
[577111] ['1/4', '5/8', '7/5', '8/5', '9/4'] -> (9/4 / (((7/5 - 1/4) / 8/5) - 5/8))
[577134] ['1/4', '5/8', '7/5', '9/4', '9/5'] -> (9/5 / ((7/5 / (9/4 - 1/4)) - 5/8))
[577145] ['1/4', '5/8', '7/6', '7/6', '7/9'] -> ((7/6 + 7/6) / ((1/4 + 5/8) - 7/9))
[577146] ['1/4', '5/8', '7/6', '7/6', '8/3'] -> ((7/6 / 7/6) / ((1/4 * 8/3) - 5/8))
[577150] ['1/4', '5/8', '7/6', '7/6', '9/2'] -> (9/2 / ((7/6 - (5/8 * 7/6)) - 1/4))
[577151] ['1/4', '5/8', '7/6', '7/6', '9/4'] -> ((9/4 / 1/4) / ((7/6 / 7/6) - 5/8))
[577152] ['1/4', '5/8', '7/6', '7/6', '9/5'] -> ((7/6 + 7/6) / ((5/8 / 9/5) - 1/4))
[577155] ['1/4', '5/8', '7/6', '7/8', '7/8'] -> (7/8 / (1/4 * (7/8 - (5/8 * 7/6))))
[577158] ['1/4', '5/8', '7/6', '7/8', '8/5'] -> ((5/8 / ((7/6 - 1/4) - 7/8)) * 8/5)
[577162] ['1/4', '5/8', '7/6', '7/8', '9/4'] -> ((((5/8 + 7/6) + 7/8) / 1/4) * 9/4)
[577164] ['1/4', '5/8', '7/6', '7/8', '9/7'] -> (9/7 / ((1/4 * (7/8 - 5/8)) / 7/6))
[577166] ['1/4', '5/8', '7/6', '7/9', '7/9'] -> (7/9 / (((7/6 * 7/9) - 1/4) - 5/8))
[577181] ['1/4', '5/8', '7/6', '8/3', '9/4'] -> (9/4 / (5/8 - ((1/4 + 7/6) / 8/3)))
[577183] ['1/4', '5/8', '7/6', '8/3', '9/7'] -> (9/7 / (5/8 - ((1/4 * 8/3) / 7/6)))
[577193] ['1/4', '5/8', '7/6', '8/7', '8/7'] -> (8/7 / (5/8 - (1/4 * (7/6 + 8/7))))
[577210] ['1/4', '5/8', '7/6', '9/2', '9/8'] -> (9/8 / ((1/4 * 5/8) / (9/2 - 7/6)))
[577213] ['1/4', '5/8', '7/6', '9/4', '9/7'] -> (9/7 / ((5/8 - (1/4 * 9/4)) / 7/6))
[577223] ['1/4', '5/8', '7/8', '7/8', '8/3'] -> ((7/8 / 7/8) / ((1/4 * 8/3) - 5/8))
[577227] ['1/4', '5/8', '7/8', '7/8', '9/2'] -> (9/2 / (5/8 - (1/4 * (7/8 + 7/8))))
[577228] ['1/4', '5/8', '7/8', '7/8', '9/4'] -> ((9/4 / 1/4) / ((7/8 / 7/8) - 5/8))
[577231] ['1/4', '5/8', '7/8', '7/8', '9/8'] -> (((5/8 + 7/8) / 1/4) / (9/8 - 7/8))
[577242] ['1/4', '5/8', '7/8', '8/3', '8/3'] -> ((((5/8 / 1/4) + 7/8) * 8/3) * 8/3)
[577250] ['1/4', '5/8', '7/8', '8/3', '9/8'] -> (9/8 / ((5/8 - (7/8 / 8/3)) - 1/4))
[577251] ['1/4', '5/8', '7/8', '8/5', '8/5'] -> (((8/5 / (7/8 - 5/8)) / 1/4) - 8/5)
[577262] ['1/4', '5/8', '7/8', '8/7', '9/4'] -> (9/4 / (1/4 * ((7/8 * 8/7) - 5/8)))
[577267] ['1/4', '5/8', '7/8', '8/9', '9/2'] -> ((((5/8 + 7/8) * 8/9) / 1/4) * 9/2)
[577273] ['1/4', '5/8', '7/8', '9/2', '9/4'] -> (9/4 / ((1/4 * (9/2 - 5/8)) - 7/8))
[577276] ['1/4', '5/8', '7/8', '9/2', '9/8'] -> ((((5/8 + 7/8) * 9/2) / 1/4) / 9/8)
[577281] ['1/4', '5/8', '7/8', '9/5', '9/5'] -> (9/5 / (1/4 * ((9/5 - 5/8) - 7/8)))
[577284] ['1/4', '5/8', '7/8', '9/7', '9/7'] -> (9/7 / (1/4 * ((5/8 + 7/8) - 9/7)))
[577288] ['1/4', '5/8', '7/9', '7/9', '8/3'] -> (8/3 / ((7/9 / (1/4 + 5/8)) - 7/9))
[577289] ['1/4', '5/8', '7/9', '7/9', '8/5'] -> (8/5 / (((7/9 - 1/4) / 5/8) - 7/9))
[577293] ['1/4', '5/8', '7/9', '7/9', '9/4'] -> ((9/4 / 1/4) / ((7/9 / 7/9) - 5/8))
[577298] ['1/4', '5/8', '7/9', '8/3', '8/5'] -> ((5/8 / ((7/9 / 8/3) - 1/4)) * 8/5)
[577304] ['1/4', '5/8', '7/9', '8/3', '9/7'] -> (9/7 / (((1/4 * 8/3) - 5/8) / 7/9))
[577322] ['1/4', '5/8', '7/9', '8/9', '9/2'] -> (((7/9 + (5/8 * 8/9)) / 1/4) * 9/2)
[577323] ['1/4', '5/8', '7/9', '8/9', '9/4'] -> ((((7/9 + 8/9) / 1/4) / 5/8) * 9/4)
[577332] ['1/4', '5/8', '7/9', '9/4', '9/4'] -> (9/4 / (((7/9 - 5/8) * 9/4) - 1/4))
[577345] ['1/4', '5/8', '8/3', '8/3', '8/9'] -> ((((8/3 / 1/4) + 8/3) / 5/8) / 8/9)
[577346] ['1/4', '5/8', '8/3', '8/3', '9/2'] -> ((((1/4 * 8/3) + 8/3) / 5/8) * 9/2)
[577347] ['1/4', '5/8', '8/3', '8/3', '9/4'] -> ((9/4 / 1/4) / ((8/3 / 8/3) - 5/8))
[577348] ['1/4', '5/8', '8/3', '8/3', '9/5'] -> (((5/8 * (8/3 + 8/3)) / 1/4) * 9/5)
[577350] ['1/4', '5/8', '8/3', '8/3', '9/8'] -> ((((8/3 / 1/4) + 8/3) / 5/8) * 9/8)
[577351] ['1/4', '5/8', '8/3', '8/5', '8/5'] -> ((8/5 / ((1/4 * 8/3) - 5/8)) / 8/5)
[577354] ['1/4', '5/8', '8/3', '8/5', '9/2'] -> ((8/3 * ((1/4 / 5/8) + 8/5)) * 9/2)
[577361] ['1/4', '5/8', '8/3', '8/7', '9/2'] -> ((((1/4 + 8/3) * 8/7) / 5/8) * 9/2)
[577364] ['1/4', '5/8', '8/3', '8/7', '9/7'] -> (9/7 / ((1/4 + (8/7 / 8/3)) - 5/8))
[577367] ['1/4', '5/8', '8/3', '8/9', '9/2'] -> ((8/9 / (8/3 - (5/8 / 1/4))) * 9/2)
[577376] ['1/4', '5/8', '8/3', '9/2', '9/8'] -> ((9/2 / (8/3 - (5/8 / 1/4))) / 9/8)
[577379] ['1/4', '5/8', '8/3', '9/4', '9/7'] -> (9/7 / (5/8 / (8/3 + (9/4 / 1/4))))
[577381] ['1/4', '5/8', '8/3', '9/5', '9/5'] -> ((9/5 / ((1/4 * 8/3) - 5/8)) / 9/5)
[577384] ['1/4', '5/8', '8/3', '9/7', '9/7'] -> ((9/7 / ((1/4 * 8/3) - 5/8)) / 9/7)
[577391] ['1/4', '5/8', '8/5', '8/5', '9/4'] -> ((9/4 / 1/4) / ((8/5 / 8/5) - 5/8))
[577408] ['1/4', '5/8', '8/5', '9/2', '9/2'] -> (((9/2 / (8/5 - 1/4)) / 5/8) * 9/2)
[577422] ['1/4', '5/8', '8/5', '9/8', '9/8'] -> (9/8 / ((5/8 * (8/5 - 9/8)) - 1/4))
[577426] ['1/4', '5/8', '8/7', '8/7', '9/4'] -> ((9/4 / 1/4) / ((8/7 / 8/7) - 5/8))
[577428] ['1/4', '5/8', '8/7', '8/7', '9/7'] -> (9/7 / (5/8 - (1/4 * (8/7 + 8/7))))
[577436] ['1/4', '5/8', '8/7', '9/2', '9/2'] -> ((9/2 / (5/8 + (1/4 / 8/7))) * 9/2)
[577456] ['1/4', '5/8', '8/9', '8/9', '9/8'] -> (9/8 / (((8/9 - 5/8) / 8/9) - 1/4))
[577457] ['1/4', '5/8', '8/9', '9/2', '9/2'] -> (9/2 / (1/4 * (8/9 - (5/8 / 9/2))))
[577471] ['1/4', '5/8', '8/9', '9/8', '9/8'] -> (9/8 / (((8/9 - 5/8) * 9/8) - 1/4))
[577478] ['1/4', '5/8', '9/2', '9/4', '9/5'] -> ((((9/2 + 9/4) / 1/4) / 5/8) / 9/5)
[577480] ['1/4', '5/8', '9/2', '9/4', '9/8'] -> (((9/2 * 9/4) / (5/8 - 1/4)) / 9/8)
[577483] ['1/4', '5/8', '9/2', '9/5', '9/8'] -> ((((9/2 / 1/4) / 5/8) - 9/5) / 9/8)
[577484] ['1/4', '5/8', '9/2', '9/7', '9/7'] -> ((((9/2 / 1/4) + 9/7) / 5/8) / 9/7)
[577486] ['1/4', '5/8', '9/2', '9/8', '9/8'] -> ((((9/2 / 1/4) - 9/8) / 5/8) / 9/8)
[577487] ['1/4', '5/8', '9/4', '9/4', '9/4'] -> ((9/4 / ((9/4 / 9/4) - 5/8)) / 1/4)
[577508] ['1/4', '5/9', '5/9', '5/9', '6/5'] -> ((5/9 / (5/9 - (5/9 / 6/5))) / 1/4)
[577509] ['1/4', '5/9', '5/9', '5/9', '6/7'] -> ((5/9 / 1/4) / ((5/9 / 6/7) - 5/9))
[577511] ['1/4', '5/9', '5/9', '5/9', '7/3'] -> ((((5/9 / 5/9) + 7/3) / 1/4) / 5/9)
[577514] ['1/4', '5/9', '5/9', '5/9', '7/6'] -> ((5/9 / 1/4) / ((5/9 * 7/6) - 5/9))
[577539] ['1/4', '5/9', '5/9', '6/5', '9/2'] -> ((((5/9 + 5/9) * 6/5) / 1/4) * 9/2)
[577544] ['1/4', '5/9', '5/9', '6/7', '6/7'] -> ((6/7 / 1/4) / ((5/9 / 5/9) - 6/7))
[577569] ['1/4', '5/9', '5/9', '7/2', '8/5'] -> (((5/9 / 5/9) + (7/2 / 1/4)) * 8/5)
