[333488] ['1/3', '2/9', '3/2', '4/5', '9/8'] -> ((3/2 / (1/3 - (2/9 / 4/5))) / 9/8)
[342581] ['1/3', '3/2', '3/7', '9/2', '9/8'] -> ((((9/2 / 3/7) - 3/2) / 1/3) / 9/8)
[342582] ['1/3', '3/2', '3/7', '9/4', '9/4'] -> ((((3/2 + 9/4) / 1/3) / 3/7) - 9/4)
[342589] ['1/3', '3/2', '3/7', '9/7', '9/7'] -> (((3/7 + 9/7) / 1/3) / (3/2 - 9/7))
[342590] ['1/3', '3/2', '3/7', '9/7', '9/8'] -> ((9/7 / (1/3 - (3/7 / 3/2))) / 9/8)
[342592] ['1/3', '3/2', '3/8', '3/8', '3/8'] -> ((((3/2 - 3/8) / 1/3) / 3/8) / 3/8)
[342596] ['1/3', '3/2', '3/8', '3/8', '4/9'] -> ((3/2 / 3/8) / (1/3 - (3/8 * 4/9)))
[342597] ['1/3', '3/2', '3/8', '3/8', '5/2'] -> ((3/2 / 3/8) + ((5/2 / 1/3) / 3/8))
[342603] ['1/3', '3/2', '3/8', '3/8', '5/9'] -> ((1/3 + (3/2 / 3/8)) / (5/9 - 3/8))
[342606] ['1/3', '3/2', '3/8', '3/8', '7/2'] -> (7/2 / ((1/3 + 3/8) - (3/2 * 3/8)))
[342607] ['1/3', '3/2', '3/8', '3/8', '7/3'] -> (7/3 / (((1/3 + 3/8) / 3/2) - 3/8))
[342612] ['1/3', '3/2', '3/8', '3/8', '7/9'] -> (((3/2 / 3/8) / 3/8) / (7/9 - 1/3))
[342614] ['1/3', '3/2', '3/8', '3/8', '8/5'] -> ((((3/2 + 3/8) / 1/3) / 3/8) * 8/5)
[342618] ['1/3', '3/2', '3/8', '3/8', '9/4'] -> ((3/2 / 3/8) / (1/3 - (3/8 / 9/4)))
[342622] ['1/3', '3/2', '3/8', '4/3', '4/3'] -> ((((3/2 + 4/3) / 1/3) / 3/8) + 4/3)
[342627] ['1/3', '3/2', '3/8', '4/3', '5/3'] -> ((5/3 / 1/3) / ((3/8 + 4/3) - 3/2))
[342629] ['1/3', '3/2', '3/8', '4/3', '5/6'] -> ((3/2 / (1/3 - (3/8 / 4/3))) * 5/6)
[342633] ['1/3', '3/2', '3/8', '4/3', '6/5'] -> ((3/2 / (1/3 - (3/8 / 4/3))) / 6/5)
[342635] ['1/3', '3/2', '3/8', '4/3', '7/2'] -> (7/2 / (1/3 - ((3/8 / 3/2) / 4/3)))
[342639] ['1/3', '3/2', '3/8', '4/3', '7/6'] -> ((1/3 + 7/6) / (3/8 * (3/2 - 4/3)))
[342648] ['1/3', '3/2', '3/8', '4/3', '9/5'] -> ((((3/2 / 1/3) / 3/8) + 4/3) * 9/5)
[342655] ['1/3', '3/2', '3/8', '4/5', '5/3'] -> ((((3/2 / 3/8) + 4/5) / 1/3) * 5/3)
[342657] ['1/3', '3/2', '3/8', '4/5', '5/6'] -> (((3/2 * 4/5) / (3/8 - 1/3)) * 5/6)
[342659] ['1/3', '3/2', '3/8', '4/5', '5/8'] -> ((((3/2 / 1/3) / 3/8) / 4/5) / 5/8)
[342663] ['1/3', '3/2', '3/8', '4/5', '7/2'] -> (7/2 / ((3/2 * 3/8) - (1/3 / 4/5)))
[342664] ['1/3', '3/2', '3/8', '4/5', '7/3'] -> (7/3 / (3/8 - ((1/3 / 3/2) / 4/5)))
[342674] ['1/3', '3/2', '3/8', '4/5', '9/2'] -> ((1/3 + ((3/2 / 3/8) / 4/5)) * 9/2)
[342675] ['1/3', '3/2', '3/8', '4/5', '9/4'] -> (9/4 / (3/2 - ((3/8 / 1/3) / 4/5)))
[342679] ['1/3', '3/2', '3/8', '4/7', '4/7'] -> ((((3/2 / 3/8) + 4/7) / 1/3) / 4/7)
[342681] ['1/3', '3/2', '3/8', '4/7', '5/2'] -> (5/2 / (((3/8 / 3/2) / 4/7) - 1/3))
[342691] ['1/3', '3/2', '3/8', '4/7', '7/3'] -> ((((3/2 / 3/8) - 4/7) / 1/3) * 7/3)
[342692] ['1/3', '3/2', '3/8', '4/7', '7/4'] -> ((((3/2 / 3/8) + 4/7) / 1/3) * 7/4)
[342694] ['1/3', '3/2', '3/8', '4/7', '7/6'] -> (((3/2 * 4/7) / (3/8 - 1/3)) * 7/6)
[342695] ['1/3', '3/2', '3/8', '4/7', '7/8'] -> ((((3/2 / 1/3) / 3/8) / 4/7) / 7/8)
[342697] ['1/3', '3/2', '3/8', '4/7', '8/3'] -> (((3/8 + (3/2 / 4/7)) / 1/3) * 8/3)
[342703] ['1/3', '3/2', '3/8', '4/7', '9/5'] -> (9/5 / ((3/8 / (4/7 - 1/3)) - 3/2))
[342704] ['1/3', '3/2', '3/8', '4/7', '9/7'] -> (9/7 / ((1/3 * (3/2 + 3/8)) - 4/7))
[342710] ['1/3', '3/2', '3/8', '4/9', '5/6'] -> (5/6 / ((1/3 * 3/2) * (4/9 - 3/8)))
[342717] ['1/3', '3/2', '3/8', '4/9', '7/3'] -> (7/3 / (1/3 * ((3/2 * 4/9) - 3/8)))
[342729] ['1/3', '3/2', '3/8', '4/9', '9/5'] -> ((((3/2 / 3/8) + 4/9) / 1/3) * 9/5)
[342731] ['1/3', '3/2', '3/8', '4/9', '9/8'] -> ((((3/2 / 1/3) / 3/8) / 4/9) / 9/8)
[342732] ['1/3', '3/2', '3/8', '5/2', '5/2'] -> ((3/2 + ((5/2 / 1/3) / 3/8)) + 5/2)
[342735] ['1/3', '3/2', '3/8', '5/2', '5/6'] -> ((5/2 / ((1/3 * 3/2) - 3/8)) / 5/6)
[342738] ['1/3', '3/2', '3/8', '5/2', '5/9'] -> ((((5/2 / 1/3) / 3/2) / 3/8) / 5/9)
[342739] ['1/3', '3/2', '3/8', '5/2', '6/5'] -> ((5/2 / ((1/3 * 3/2) - 3/8)) * 6/5)
[342747] ['1/3', '3/2', '3/8', '5/2', '7/9'] -> ((((3/2 / 1/3) + 5/2) / 3/8) / 7/9)
[342748] ['1/3', '3/2', '3/8', '5/2', '8/3'] -> (8/3 / ((5/2 - (1/3 / 3/8)) - 3/2))
[342755] ['1/3', '3/2', '3/8', '5/2', '9/7'] -> ((((3/2 / 1/3) + 5/2) / 3/8) * 9/7)
[342757] ['1/3', '3/2', '3/8', '5/3', '5/3'] -> ((5/3 / 1/3) / ((3/2 + 3/8) - 5/3))
[342762] ['1/3', '3/2', '3/8', '5/3', '5/9'] -> ((5/3 / ((1/3 * 3/2) - 3/8)) / 5/9)
[342788] ['1/3', '3/2', '3/8', '5/4', '7/2'] -> (7/2 / ((3/2 * 3/8) - (1/3 * 5/4)))
[342789] ['1/3', '3/2', '3/8', '5/4', '7/3'] -> (7/3 / (3/8 - ((1/3 * 5/4) / 3/2)))
[342795] ['1/3', '3/2', '3/8', '5/4', '8/3'] -> ((1/3 + 8/3) / ((3/8 + 5/4) - 3/2))
[342800] ['1/3', '3/2', '3/8', '5/4', '9/4'] -> (9/4 / (3/2 - ((3/8 * 5/4) / 1/3)))
[342801] ['1/3', '3/2', '3/8', '5/4', '9/5'] -> (9/5 / ((3/2 / 5/4) - (3/8 / 1/3)))
[342804] ['1/3', '3/2', '3/8', '5/6', '5/6'] -> ((3/2 + 5/6) / (3/8 - (1/3 * 5/6)))
[342808] ['1/3', '3/2', '3/8', '5/6', '6/5'] -> (6/5 / ((1/3 * 3/2) - (3/8 / 5/6)))
[342816] ['1/3', '3/2', '3/8', '5/6', '7/9'] -> ((((3/2 + 5/6) / 1/3) / 3/8) / 7/9)
[342817] ['1/3', '3/2', '3/8', '5/6', '8/3'] -> (8/3 / ((5/6 / (3/2 + 3/8)) - 1/3))
[342820] ['1/3', '3/2', '3/8', '5/6', '8/9'] -> ((3/2 / ((1/3 / 3/8) - 5/6)) * 8/9)
[342822] ['1/3', '3/2', '3/8', '5/6', '9/4'] -> (((3/2 + (5/6 / 1/3)) / 3/8) * 9/4)
[342824] ['1/3', '3/2', '3/8', '5/6', '9/7'] -> ((((3/2 + 5/6) / 1/3) / 3/8) * 9/7)
[342825] ['1/3', '3/2', '3/8', '5/6', '9/8'] -> ((3/2 / ((1/3 / 3/8) - 5/6)) / 9/8)
[342830] ['1/3', '3/2', '3/8', '5/7', '6/7'] -> (6/7 / (((3/8 / 1/3) / 3/2) - 5/7))
[342840] ['1/3', '3/2', '3/8', '5/7', '8/7'] -> (8/7 / ((5/7 / (3/2 + 3/8)) - 1/3))
[342844] ['1/3', '3/2', '3/8', '5/7', '9/5'] -> (9/5 / (((3/8 / 1/3) / 5/7) - 3/2))
[342853] ['1/3', '3/2', '3/8', '5/8', '7/4'] -> (((3/2 / (5/8 - 1/3)) / 3/8) * 7/4)
[342857] ['1/3', '3/2', '3/8', '5/8', '7/9'] -> (7/9 / (5/8 - ((1/3 / 3/2) / 3/8)))
[342859] ['1/3', '3/2', '3/8', '5/8', '8/5'] -> (8/5 / (((3/8 / 3/2) / 5/8) - 1/3))
[342866] ['1/3', '3/2', '3/8', '5/8', '9/8'] -> (9/8 / (3/8 * (5/8 - (1/3 * 3/2))))
[342868] ['1/3', '3/2', '3/8', '5/9', '6/5'] -> (((3/2 * 5/9) / (3/8 - 1/3)) * 6/5)
[342871] ['1/3', '3/2', '3/8', '5/9', '7/3'] -> (7/3 / (3/8 - ((1/3 * 3/2) * 5/9)))
[342888] ['1/3', '3/2', '3/8', '6/5', '7/2'] -> (7/2 / (3/2 * (3/8 - (1/3 / 6/5))))
[342899] ['1/3', '3/2', '3/8', '6/5', '9/2'] -> (9/2 / ((1/3 * 3/2) - (3/8 / 6/5)))
[342904] ['1/3', '3/2', '3/8', '6/7', '6/7'] -> (6/7 / ((1/3 * 6/7) - (3/8 / 3/2)))
[342905] ['1/3', '3/2', '3/8', '6/7', '7/2'] -> ((6/7 / ((1/3 * 3/2) - 3/8)) * 7/2)
[342911] ['1/3', '3/2', '3/8', '6/7', '7/9'] -> (((3/2 * 6/7) / (3/8 - 1/3)) * 7/9)
[342914] ['1/3', '3/2', '3/8', '6/7', '8/7'] -> (8/7 / (3/2 * ((1/3 / 3/8) - 6/7)))
[342925] ['1/3', '3/2', '3/8', '7/2', '7/6'] -> ((7/2 / ((1/3 * 3/2) - 3/8)) / 7/6)
[342932] ['1/3', '3/2', '3/8', '7/2', '9/2'] -> ((((7/2 / 3/2) - 1/3) / 3/8) * 9/2)
[342933] ['1/3', '3/2', '3/8', '7/2', '9/4'] -> ((((1/3 * 3/2) + 7/2) / 3/8) * 9/4)
[342935] ['1/3', '3/2', '3/8', '7/2', '9/7'] -> (9/7 / (((1/3 * 3/2) * 3/8) / 7/2))
[342936] ['1/3', '3/2', '3/8', '7/2', '9/8'] -> (9/8 / (3/8 / ((3/2 / 1/3) + 7/2)))
[342943] ['1/3', '3/2', '3/8', '7/3', '8/3'] -> ((((3/2 * 7/3) / 3/8) - 1/3) * 8/3)
[342948] ['1/3', '3/2', '3/8', '7/3', '9/4'] -> (((1/3 + 7/3) / (3/8 / 3/2)) * 9/4)
[342950] ['1/3', '3/2', '3/8', '7/3', '9/7'] -> (9/7 / (((1/3 * 3/2) - 3/8) / 7/3))
[342966] ['1/3', '3/2', '3/8', '7/5', '7/5'] -> (7/5 / (((1/3 + 3/2) - 3/8) - 7/5))
[342977] ['1/3', '3/2', '3/8', '7/5', '9/7'] -> (9/7 / ((3/8 / 1/3) - (3/2 / 7/5)))
[342985] ['1/3', '3/2', '3/8', '7/6', '8/9'] -> ((((3/2 + 7/6) / 1/3) / 3/8) / 8/9)
[342988] ['1/3', '3/2', '3/8', '7/6', '9/5'] -> (((3/2 + (7/6 / 1/3)) / 3/8) * 9/5)
[342990] ['1/3', '3/2', '3/8', '7/6', '9/8'] -> ((((3/2 + 7/6) / 1/3) / 3/8) * 9/8)
[342995] ['1/3', '3/2', '3/8', '7/8', '8/7'] -> (8/7 / (1/3 - ((3/8 / 3/2) / 7/8)))
[342998] ['1/3', '3/2', '3/8', '7/8', '9/4'] -> (9/4 / (3/8 * ((7/8 / 3/2) - 1/3)))
[343003] ['1/3', '3/2', '3/8', '7/9', '8/3'] -> (((3/2 / (7/9 - 1/3)) / 3/8) * 8/3)
[343010] ['1/3', '3/2', '3/8', '7/9', '9/7'] -> (9/7 / (3/2 - ((3/8 / 1/3) / 7/9)))
[343013] ['1/3', '3/2', '3/8', '8/3', '8/5'] -> ((((3/2 + 3/8) * 8/3) / 1/3) * 8/5)
[343015] ['1/3', '3/2', '3/8', '8/3', '8/9'] -> ((8/3 / ((1/3 * 3/2) - 3/8)) / 8/9)
[343020] ['1/3', '3/2', '3/8', '8/3', '9/8'] -> ((8/3 / ((1/3 * 3/2) - 3/8)) * 9/8)
[343029] ['1/3', '3/2', '3/8', '8/7', '8/7'] -> (8/7 / (1/3 - ((3/8 * 8/7) / 3/2)))
[343031] ['1/3', '3/2', '3/8', '8/7', '9/2'] -> (9/2 / ((3/2 / 8/7) - (3/8 / 1/3)))
[343044] ['1/3', '3/2', '3/8', '9/2', '9/5'] -> ((((1/3 * 3/2) + 9/2) / 3/8) * 9/5)
[343051] ['1/3', '3/2', '3/8', '9/5', '9/5'] -> (9/5 / ((9/5 / 3/2) - (3/8 / 1/3)))
[343056] ['1/3', '3/2', '3/8', '9/8', '9/8'] -> (((9/8 / 1/3) / 3/8) / (3/2 - 9/8))
[343057] ['1/3', '3/2', '4/3', '4/3', '4/3'] -> (4/3 / ((1/3 + 3/2) - (4/3 * 4/3)))
[343058] ['1/3', '3/2', '4/3', '4/3', '4/5'] -> ((4/3 / 1/3) / ((4/3 / 4/5) - 3/2))
[343068] ['1/3', '3/2', '4/3', '4/3', '6/5'] -> (4/3 / ((3/2 - (4/3 / 6/5)) - 1/3))
[343085] ['1/3', '3/2', '4/3', '4/3', '9/8'] -> ((4/3 / 4/3) / ((3/2 - 1/3) - 9/8))
[343086] ['1/3', '3/2', '4/3', '4/5', '4/5'] -> (4/5 / ((4/3 - (1/3 * 3/2)) - 4/5))
[343089] ['1/3', '3/2', '4/3', '4/5', '5/2'] -> (((3/2 * (4/3 + 4/5)) / 1/3) * 5/2)
[343090] ['1/3', '3/2', '4/3', '4/5', '5/3'] -> (((4/5 / (3/2 - 4/3)) / 1/3) * 5/3)
[343106] ['1/3', '3/2', '4/3', '4/5', '8/5'] -> (8/5 / (((4/5 / 3/2) / 4/3) - 1/3))
[343124] ['1/3', '3/2', '4/3', '4/7', '6/7'] -> ((4/3 / ((4/7 / 3/2) - 1/3)) * 6/7)
[343125] ['1/3', '3/2', '4/3', '4/7', '7/2'] -> ((3/2 * ((4/3 / 1/3) + 4/7)) * 7/2)
[343126] ['1/3', '3/2', '4/3', '4/7', '7/3'] -> (((4/7 / (3/2 - 4/3)) / 1/3) * 7/3)
[343129] ['1/3', '3/2', '4/3', '4/7', '7/6'] -> ((4/3 / ((4/7 / 3/2) - 1/3)) / 7/6)
[343131] ['1/3', '3/2', '4/3', '4/7', '7/9'] -> ((4/3 / (4/7 - (1/3 * 3/2))) / 7/9)
[343134] ['1/3', '3/2', '4/3', '4/7', '8/7'] -> (8/7 / (1/3 - ((4/7 / 3/2) / 4/3)))
[343139] ['1/3', '3/2', '4/3', '4/7', '9/7'] -> ((4/3 / (4/7 - (1/3 * 3/2))) * 9/7)
[343143] ['1/3', '3/2', '4/3', '4/9', '5/3'] -> (5/3 / (4/9 - ((1/3 * 3/2) / 4/3)))
[343148] ['1/3', '3/2', '4/3', '4/9', '5/9'] -> ((4/3 - 4/9) / ((5/9 / 3/2) - 1/3))
[343155] ['1/3', '3/2', '4/3', '4/9', '7/6'] -> (((3/2 + 7/6) / 1/3) / (4/9 / 4/3))
[343162] ['1/3', '3/2', '4/3', '4/9', '9/2'] -> (((4/3 / 1/3) - 4/9) * (3/2 * 9/2))
[343166] ['1/3', '3/2', '4/3', '4/9', '9/8'] -> (((4/3 / 1/3) / 4/9) / (3/2 - 9/8))
[343187] ['1/3', '3/2', '4/3', '5/2', '9/2'] -> ((1/3 + ((3/2 * 4/3) * 5/2)) * 9/2)
[343188] ['1/3', '3/2', '4/3', '5/2', '9/4'] -> ((((3/2 + 5/2) / 1/3) - 4/3) * 9/4)
[343189] ['1/3', '3/2', '4/3', '5/2', '9/5'] -> ((4/3 + ((3/2 + 5/2) / 1/3)) * 9/5)
[343196] ['1/3', '3/2', '4/3', '5/3', '5/8'] -> ((4/3 + 5/3) / (5/8 - (1/3 * 3/2)))
[343198] ['1/3', '3/2', '4/3', '5/3', '6/5'] -> ((4/3 / 5/3) / ((1/3 + 6/5) - 3/2))
[343201] ['1/3', '3/2', '4/3', '5/3', '7/3'] -> (((1/3 + 4/3) + 7/3) / (5/3 - 3/2))
[343203] ['1/3', '3/2', '4/3', '5/3', '7/5'] -> (((4/3 / 1/3) / 5/3) / (3/2 - 7/5))
[343208] ['1/3', '3/2', '4/3', '5/3', '8/5'] -> (((4/3 / 1/3) / 5/3) / (8/5 - 3/2))
[343213] ['1/3', '3/2', '4/3', '5/3', '9/5'] -> ((4/3 / 5/3) / ((1/3 + 3/2) - 9/5))
[343215] ['1/3', '3/2', '4/3', '5/3', '9/8'] -> (((4/3 + 5/3) / 1/3) / (3/2 - 9/8))
[343227] ['1/3', '3/2', '4/3', '5/4', '7/6'] -> ((3/2 - (7/6 / 1/3)) / (5/4 - 4/3))
[343235] ['1/3', '3/2', '4/3', '5/4', '9/4'] -> (((3/2 / (4/3 - 5/4)) / 1/3) / 9/4)
[343241] ['1/3', '3/2', '4/3', '5/6', '5/8'] -> (((5/6 / (3/2 - 4/3)) / 1/3) / 5/8)
[343249] ['1/3', '3/2', '4/3', '5/6', '7/6'] -> ((3/2 + (5/6 / 1/3)) / (4/3 - 7/6))
[343254] ['1/3', '3/2', '4/3', '5/6', '8/7'] -> (8/7 / (4/3 - (3/2 / (1/3 + 5/6))))
[343265] ['1/3', '3/2', '4/3', '5/7', '6/7'] -> (6/7 / ((5/7 / 4/3) - (1/3 * 3/2)))
[343286] ['1/3', '3/2', '4/3', '5/8', '7/2'] -> (((3/2 * 4/3) / (5/8 - 1/3)) * 7/2)
[343293] ['1/3', '3/2', '4/3', '5/8', '8/3'] -> (8/3 / (4/3 * ((5/8 / 3/2) - 1/3)))
[343309] ['1/3', '3/2', '4/3', '5/9', '7/6'] -> ((3/2 + 7/6) / (5/9 - (1/3 * 4/3)))
[343316] ['1/3', '3/2', '4/3', '5/9', '9/2'] -> (((1/3 + 5/9) / (3/2 - 4/3)) * 9/2)
[343321] ['1/3', '3/2', '4/3', '6/5', '6/5'] -> (6/5 / ((3/2 - (1/3 / 4/3)) - 6/5))
[343340] ['1/3', '3/2', '4/3', '6/7', '7/2'] -> ((((3/2 * 4/3) / 1/3) + 6/7) * 7/2)
[343349] ['1/3', '3/2', '4/3', '6/7', '8/7'] -> ((8/7 / 1/3) / ((3/2 - 4/3) * 6/7))
[343364] ['1/3', '3/2', '4/3', '7/2', '8/5'] -> (8/5 / (1/3 - (4/3 / (3/2 + 7/2))))
[343369] ['1/3', '3/2', '4/3', '7/2', '9/5'] -> (((3/2 + 4/3) + (7/2 / 1/3)) * 9/5)
[343373] ['1/3', '3/2', '4/3', '7/3', '7/4'] -> (((7/3 / (3/2 - 4/3)) / 1/3) / 7/4)
[343375] ['1/3', '3/2', '4/3', '7/3', '7/6'] -> ((3/2 * (1/3 + 7/3)) / (4/3 - 7/6))
[343380] ['1/3', '3/2', '4/3', '7/3', '8/7'] -> (8/7 / (((4/3 / 3/2) / 7/3) - 1/3))
[343406] ['1/3', '3/2', '4/3', '7/5', '8/5'] -> (8/5 / ((4/3 - (7/5 / 3/2)) - 1/3))
[343415] ['1/3', '3/2', '4/3', '7/6', '7/8'] -> (((7/6 / (3/2 - 4/3)) / 1/3) / 7/8)
[343419] ['1/3', '3/2', '4/3', '7/6', '8/7'] -> (((7/6 / (3/2 - 4/3)) / 1/3) * 8/7)
[343420] ['1/3', '3/2', '4/3', '7/6', '8/9'] -> (((3/2 * 8/9) / 1/3) / (4/3 - 7/6))
[343422] ['1/3', '3/2', '4/3', '7/6', '9/4'] -> (((3/2 + 7/6) / (1/3 / 4/3)) * 9/4)
[343425] ['1/3', '3/2', '4/3', '7/6', '9/8'] -> (((3/2 / (4/3 - 7/6)) / 1/3) / 9/8)
[343430] ['1/3', '3/2', '4/3', '7/8', '8/7'] -> (8/7 / (((3/2 / 7/8) - 1/3) - 4/3))
[343453] ['1/3', '3/2', '4/3', '8/3', '9/5'] -> ((4/3 + ((3/2 * 8/3) / 1/3)) * 9/5)
[343469] ['1/3', '3/2', '4/3', '8/7', '9/7'] -> ((1/3 / (8/7 - (3/2 / 4/3))) * 9/7)
[343479] ['1/3', '3/2', '4/3', '9/2', '9/5'] -> (((4/3 + (9/2 / 1/3)) - 3/2) * 9/5)
[343485] ['1/3', '3/2', '4/3', '9/4', '9/8'] -> (((4/3 * 9/4) / 1/3) / (3/2 - 9/8))
[343486] ['1/3', '3/2', '4/3', '9/5', '9/5'] -> (((4/3 / (9/5 - 3/2)) / 1/3) * 9/5)
[343504] ['1/3', '3/2', '4/5', '4/5', '7/2'] -> (((4/5 + 4/5) / 1/3) * (3/2 + 7/2))
[343515] ['1/3', '3/2', '4/5', '4/5', '9/2'] -> ((4/5 + 4/5) * (3/2 + (9/2 / 1/3)))
[343519] ['1/3', '3/2', '4/5', '4/5', '9/8'] -> ((4/5 / 4/5) / ((3/2 - 1/3) - 9/8))
[343529] ['1/3', '3/2', '4/5', '4/7', '6/5'] -> (6/5 / ((1/3 / 4/7) - (4/5 / 3/2)))
[343530] ['1/3', '3/2', '4/5', '4/7', '6/7'] -> (6/7 / ((1/3 / 4/5) - (4/7 / 3/2)))
[343539] ['1/3', '3/2', '4/5', '4/7', '8/5'] -> (8/5 / (((3/2 - 4/5) * 4/7) - 1/3))
[343544] ['1/3', '3/2', '4/5', '4/7', '9/5'] -> (9/5 / (((1/3 * 3/2) / 4/7) - 4/5))
[343545] ['1/3', '3/2', '4/5', '4/7', '9/7'] -> (9/7 / (((1/3 * 3/2) / 4/5) - 4/7))
[343547] ['1/3', '3/2', '4/5', '4/9', '4/9'] -> ((3/2 / (4/9 - (1/3 / 4/5))) * 4/9)
[343549] ['1/3', '3/2', '4/5', '4/9', '5/3'] -> ((4/5 / ((1/3 * 3/2) - 4/9)) * 5/3)
[343550] ['1/3', '3/2', '4/5', '4/9', '5/4'] -> ((3/2 / (4/5 - (1/3 / 4/9))) / 5/4)
[343555] ['1/3', '3/2', '4/5', '4/9', '6/5'] -> (6/5 / ((1/3 / 4/9) - (3/2 - 4/5)))
[343567] ['1/3', '3/2', '4/5', '4/9', '8/9'] -> (8/9 / (((4/9 / 3/2) / 4/5) - 1/3))
[343569] ['1/3', '3/2', '4/5', '4/9', '9/4'] -> ((3/2 / (4/9 - (1/3 / 4/5))) / 9/4)
[343570] ['1/3', '3/2', '4/5', '4/9', '9/5'] -> (9/5 / (3/2 * (4/5 - (1/3 / 4/9))))
[343574] ['1/3', '3/2', '4/5', '5/2', '5/3'] -> ((((3/2 + 4/5) + 5/2) / 1/3) * 5/3)
[343580] ['1/3', '3/2', '4/5', '5/2', '6/5'] -> (6/5 / (3/2 * ((1/3 * 5/2) - 4/5)))
[343589] ['1/3', '3/2', '4/5', '5/2', '8/3'] -> ((((3/2 * 4/5) * 5/2) / 1/3) * 8/3)
[343593] ['1/3', '3/2', '4/5', '5/2', '9/2'] -> ((1/3 + ((3/2 + 5/2) / 4/5)) * 9/2)
[343604] ['1/3', '3/2', '4/5', '5/3', '6/5'] -> (6/5 / (4/5 - (3/2 / (1/3 + 5/3))))
[343614] ['1/3', '3/2', '4/5', '5/3', '8/5'] -> (8/5 / (5/3 - ((4/5 / 1/3) / 3/2)))
[343640] ['1/3', '3/2', '4/5', '5/4', '9/2'] -> ((1/3 / ((5/4 / 4/5) - 3/2)) * 9/2)
[343647] ['1/3', '3/2', '4/5', '5/6', '5/8'] -> (((1/3 * 3/2) / (5/6 - 4/5)) / 5/8)
[343658] ['1/3', '3/2', '4/5', '5/6', '8/3'] -> (8/3 / (((4/5 * 5/6) / 3/2) - 1/3))
[343680] ['1/3', '3/2', '4/5', '5/7', '8/5'] -> (8/5 / ((4/5 / 3/2) - (1/3 / 5/7)))
[343681] ['1/3', '3/2', '4/5', '5/7', '8/7'] -> (8/7 / (((4/5 * 5/7) / 3/2) - 1/3))
[343690] ['1/3', '3/2', '4/5', '5/8', '6/5'] -> (6/5 / ((4/5 - (5/8 / 3/2)) - 1/3))
[343692] ['1/3', '3/2', '4/5', '5/8', '7/2'] -> (7/2 / ((1/3 * (3/2 - 4/5)) * 5/8))
[343700] ['1/3', '3/2', '4/5', '5/8', '8/5'] -> (8/5 / (4/5 * ((5/8 / 3/2) - 1/3)))
[343705] ['1/3', '3/2', '4/5', '5/8', '9/5'] -> (9/5 / ((3/2 * (4/5 - 1/3)) - 5/8))
[343718] ['1/3', '3/2', '4/5', '5/9', '8/3'] -> (8/3 / (((4/5 / 3/2) - 1/3) * 5/9))
[343721] ['1/3', '3/2', '4/5', '5/9', '8/9'] -> (8/9 / (1/3 - ((4/5 * 5/9) / 3/2)))
[343739] ['1/3', '3/2', '4/5', '6/5', '8/9'] -> (8/9 / (1/3 - (4/5 / (3/2 + 6/5))))
[343804] ['1/3', '3/2', '4/5', '7/4', '9/5'] -> (9/5 / (((1/3 * 3/2) * 7/4) - 4/5))
[343807] ['1/3', '3/2', '4/5', '7/5', '7/5'] -> (7/5 / (((3/2 - 1/3) / 4/5) - 7/5))
[343813] ['1/3', '3/2', '4/5', '7/5', '8/7'] -> (8/7 / (((4/5 / 3/2) / 7/5) - 1/3))
[343844] ['1/3', '3/2', '4/5', '7/9', '8/3'] -> (8/3 / (3/2 - ((1/3 + 7/9) / 4/5)))
[343854] ['1/3', '3/2', '4/5', '8/3', '8/5'] -> ((((3/2 * 8/3) / 1/3) / 4/5) * 8/5)
[343857] ['1/3', '3/2', '4/5', '8/3', '9/2'] -> ((1/3 + ((3/2 * 8/3) / 4/5)) * 9/2)
[343859] ['1/3', '3/2', '4/5', '8/3', '9/5'] -> ((8/3 / ((4/5 / 3/2) - 1/3)) * 9/5)
[343889] ['1/3', '3/2', '4/5', '9/4', '9/5'] -> (9/5 / (3/2 * (4/5 - (1/3 * 9/4))))
[343924] ['1/3', '3/2', '4/7', '4/7', '9/8'] -> ((4/7 / 4/7) / ((3/2 - 1/3) - 9/8))
[343936] ['1/3', '3/2', '4/7', '4/9', '7/3'] -> ((4/7 / ((1/3 * 3/2) - 4/9)) * 7/3)
[343944] ['1/3', '3/2', '4/7', '4/9', '8/7'] -> (8/7 / (((3/2 * 4/7) * 4/9) - 1/3))
[343946] ['1/3', '3/2', '4/7', '4/9', '9/2'] -> (9/2 / (3/2 - ((1/3 / 4/7) / 4/9)))
[343960] ['1/3', '3/2', '4/7', '5/2', '7/2'] -> (((3/2 + 5/2) / (1/3 / 4/7)) * 7/2)
[343961] ['1/3', '3/2', '4/7', '5/2', '7/3'] -> ((((3/2 + 5/2) - 4/7) / 1/3) * 7/3)
[343962] ['1/3', '3/2', '4/7', '5/2', '7/4'] -> ((((3/2 + 4/7) + 5/2) / 1/3) * 7/4)
[343965] ['1/3', '3/2', '4/7', '5/2', '7/8'] -> ((((3/2 + 5/2) / 1/3) / 4/7) / 7/8)
[343967] ['1/3', '3/2', '4/7', '5/2', '8/3'] -> (((5/2 / (4/7 - 1/3)) - 3/2) * 8/3)
[343985] ['1/3', '3/2', '4/7', '5/3', '7/3'] -> (((4/7 / (5/3 - 3/2)) / 1/3) * 7/3)
[344006] ['1/3', '3/2', '4/7', '5/4', '6/7'] -> (6/7 / ((1/3 * 5/4) - (4/7 / 3/2)))
