[146280] ['1/2', '3/2', '3/2', '6/7', '7/8'] -> ((3/2 / ((6/7 / 3/2) - 1/2)) / 7/8)
[150189] ['1/2', '3/2', '5/2', '5/9', '7/6'] -> (((5/2 / 1/2) / 5/9) * (3/2 + 7/6))
[150205] ['1/2', '3/2', '5/2', '6/5', '7/4'] -> (((5/2 * 6/5) / 1/2) / (7/4 - 3/2))
[150214] ['1/2', '3/2', '5/2', '6/5', '9/2'] -> (((3/2 + 5/2) * 6/5) * (1/2 + 9/2))
[150216] ['1/2', '3/2', '5/2', '6/5', '9/5'] -> ((9/5 / 3/2) / ((1/2 * 5/2) - 6/5))
[150219] ['1/2', '3/2', '5/2', '6/7', '6/7'] -> (6/7 / ((3/2 * 6/7) - (1/2 * 5/2)))
[150220] ['1/2', '3/2', '5/2', '6/7', '7/2'] -> ((((3/2 + 5/2) * 6/7) / 1/2) * 7/2)
[150229] ['1/2', '3/2', '5/2', '6/7', '8/7'] -> (8/7 / ((6/7 / 1/2) - (5/2 / 3/2)))
[150251] ['1/2', '3/2', '5/2', '7/2', '9/8'] -> ((5/2 + 7/2) / ((9/8 / 3/2) - 1/2))
[150252] ['1/2', '3/2', '5/2', '7/3', '7/3'] -> ((1/2 + (3/2 * 7/3)) / (5/2 - 7/3))
[150257] ['1/2', '3/2', '5/2', '7/3', '7/9'] -> ((((3/2 + 5/2) * 7/3) / 1/2) / 7/9)
[150259] ['1/2', '3/2', '5/2', '7/3', '8/5'] -> (8/5 / ((3/2 - (7/3 / 5/2)) - 1/2))
[150261] ['1/2', '3/2', '5/2', '7/3', '8/9'] -> (((3/2 + 5/2) * 7/3) / (8/9 - 1/2))
[150264] ['1/2', '3/2', '5/2', '7/3', '9/5'] -> ((5/2 * ((3/2 / 1/2) + 7/3)) * 9/5)
[150265] ['1/2', '3/2', '5/2', '7/3', '9/7'] -> ((((3/2 + 5/2) * 7/3) / 1/2) * 9/7)
[150267] ['1/2', '3/2', '5/2', '7/4', '7/4'] -> ((5/2 + (7/4 / 1/2)) / (7/4 - 3/2))
[150276] ['1/2', '3/2', '5/2', '7/4', '9/2'] -> ((3/2 + 9/2) / ((5/2 - 1/2) - 7/4))
[150289] ['1/2', '3/2', '5/2', '7/5', '9/2'] -> ((1/2 + (5/2 * 7/5)) * (3/2 + 9/2))
[150296] ['1/2', '3/2', '5/2', '7/6', '7/9'] -> ((5/2 * (3/2 + 7/6)) / (7/9 - 1/2))
[150303] ['1/2', '3/2', '5/2', '7/6', '9/5'] -> (((3/2 + 7/6) / (1/2 / 5/2)) * 9/5)
[150313] ['1/2', '3/2', '5/2', '7/8', '9/4'] -> (((3/2 + 5/2) / (7/8 - 1/2)) * 9/4)
[150314] ['1/2', '3/2', '5/2', '7/8', '9/5'] -> (9/5 / (7/8 - ((1/2 + 3/2) / 5/2)))
[150330] ['1/2', '3/2', '5/2', '8/3', '8/9'] -> ((((3/2 + 5/2) * 8/3) / 1/2) / 8/9)
[150335] ['1/2', '3/2', '5/2', '8/3', '9/8'] -> ((((3/2 + 5/2) * 8/3) / 1/2) * 9/8)
[150346] ['1/2', '3/2', '5/2', '8/7', '9/2'] -> (9/2 / (((5/2 / 8/7) - 1/2) - 3/2))
[150351] ['1/2', '3/2', '5/2', '8/9', '8/9'] -> ((5/2 / ((8/9 / 3/2) - 1/2)) * 8/9)
[150352] ['1/2', '3/2', '5/2', '8/9', '9/2'] -> (9/2 / ((3/2 / 1/2) - (5/2 / 8/9)))
[150353] ['1/2', '3/2', '5/2', '8/9', '9/4'] -> (9/4 / (3/2 - ((1/2 * 5/2) / 8/9)))
[150356] ['1/2', '3/2', '5/2', '8/9', '9/8'] -> ((5/2 / ((8/9 / 3/2) - 1/2)) / 9/8)
[150366] ['1/2', '3/2', '5/2', '9/5', '9/5'] -> (9/5 / (((1/2 * 3/2) * 5/2) - 9/5))
[150368] ['1/2', '3/2', '5/2', '9/5', '9/8'] -> (((5/2 * 9/5) / 1/2) / (3/2 - 9/8))
[150369] ['1/2', '3/2', '5/2', '9/7', '9/7'] -> ((9/7 / 3/2) / (9/7 - (1/2 * 5/2)))
[150373] ['1/2', '3/2', '5/3', '5/3', '5/4'] -> ((5/3 / 1/2) / (5/4 - (5/3 / 3/2)))
[150374] ['1/2', '3/2', '5/3', '5/3', '5/6'] -> (((5/3 / (5/3 - 3/2)) / 1/2) / 5/6)
[150376] ['1/2', '3/2', '5/3', '5/3', '5/8'] -> (5/3 / (5/8 - ((1/2 * 5/3) / 3/2)))
[150384] ['1/2', '3/2', '5/3', '5/3', '7/6'] -> ((5/3 + (7/6 / 1/2)) / (5/3 - 3/2))
[150387] ['1/2', '3/2', '5/3', '5/3', '8/3'] -> (8/3 / (3/2 - ((1/2 * 5/3) * 5/3)))
[150388] ['1/2', '3/2', '5/3', '5/3', '8/5'] -> (8/5 / ((3/2 / 5/3) - (1/2 * 5/3)))
[150390] ['1/2', '3/2', '5/3', '5/3', '8/9'] -> ((5/3 + 5/3) / (8/9 - (1/2 * 3/2)))
[150391] ['1/2', '3/2', '5/3', '5/3', '9/2'] -> ((((1/2 + 3/2) + 5/3) + 5/3) * 9/2)
[150396] ['1/2', '3/2', '5/3', '5/4', '5/4'] -> ((1/2 + 3/2) / ((5/3 / 5/4) - 5/4))
[150397] ['1/2', '3/2', '5/3', '5/4', '5/6'] -> ((5/3 / ((5/6 / 3/2) - 1/2)) / 5/4)
[150399] ['1/2', '3/2', '5/3', '5/4', '5/8'] -> (((5/4 / (5/3 - 3/2)) / 1/2) / 5/8)
[150400] ['1/2', '3/2', '5/3', '5/4', '5/9'] -> (((5/3 / (3/2 - 5/4)) / 1/2) / 5/9)
[150402] ['1/2', '3/2', '5/3', '5/4', '6/7'] -> (6/7 / ((3/2 / (5/3 - 1/2)) - 5/4))
[150416] ['1/2', '3/2', '5/3', '5/4', '9/5'] -> (((5/3 / (3/2 - 5/4)) / 1/2) * 9/5)
[150419] ['1/2', '3/2', '5/3', '5/6', '5/6'] -> ((5/3 / (5/6 - (1/2 * 3/2))) / 5/6)
[150422] ['1/2', '3/2', '5/3', '5/6', '5/9'] -> (((5/3 / 3/2) / 5/6) / (5/9 - 1/2))
[150423] ['1/2', '3/2', '5/3', '5/6', '6/5'] -> ((5/3 * 6/5) / (5/6 - (1/2 * 3/2)))
[150427] ['1/2', '3/2', '5/3', '5/6', '7/4'] -> ((3/2 * (1/2 + 5/6)) / (7/4 - 5/3))
[150429] ['1/2', '3/2', '5/3', '5/6', '7/6'] -> ((1/2 + 5/6) / (7/6 - (5/3 / 3/2)))
[150430] ['1/2', '3/2', '5/3', '5/6', '7/8'] -> ((5/3 / 5/6) / ((7/8 / 3/2) - 1/2))
[150433] ['1/2', '3/2', '5/3', '5/6', '8/5'] -> ((8/5 / 1/2) / ((3/2 / 5/6) - 5/3))
[150436] ['1/2', '3/2', '5/3', '5/6', '9/2'] -> (((3/2 + 9/2) / 1/2) / (5/6 / 5/3))
[150451] ['1/2', '3/2', '5/3', '5/7', '7/8'] -> ((3/2 / (1/2 - (5/7 / 5/3))) / 7/8)
[150454] ['1/2', '3/2', '5/3', '5/7', '8/5'] -> (8/5 / ((1/2 + 5/3) - (3/2 / 5/7)))
[150463] ['1/2', '3/2', '5/3', '5/8', '5/9'] -> ((5/3 / ((1/2 * 3/2) - 5/8)) / 5/9)
[150479] ['1/2', '3/2', '5/3', '5/8', '9/5'] -> ((5/3 / ((1/2 * 3/2) - 5/8)) * 9/5)
[150482] ['1/2', '3/2', '5/3', '5/9', '5/9'] -> ((3/2 / (5/9 - 1/2)) - (5/3 / 5/9))
[150483] ['1/2', '3/2', '5/3', '5/9', '6/5'] -> (((5/3 / (5/9 - 1/2)) / 3/2) * 6/5)
[150493] ['1/2', '3/2', '5/3', '5/9', '8/5'] -> (8/5 / (((3/2 - 5/9) / 5/3) - 1/2))
[150510] ['1/2', '3/2', '5/3', '6/5', '8/3'] -> (((3/2 + 6/5) / (1/2 / 5/3)) * 8/3)
[150514] ['1/2', '3/2', '5/3', '6/5', '9/2'] -> ((5/3 * ((1/2 + 3/2) + 6/5)) * 9/2)
[150521] ['1/2', '3/2', '5/3', '6/7', '7/3'] -> (((6/7 / (5/3 - 3/2)) / 1/2) * 7/3)
[150529] ['1/2', '3/2', '5/3', '6/7', '8/7'] -> (8/7 / (((1/2 + 3/2) * 6/7) - 5/3))
[150538] ['1/2', '3/2', '5/3', '7/2', '7/4'] -> (((7/2 / (5/3 - 3/2)) / 1/2) / 7/4)
[150542] ['1/2', '3/2', '5/3', '7/2', '7/9'] -> (((3/2 + 5/3) + 7/2) / (7/9 - 1/2))
[150543] ['1/2', '3/2', '5/3', '7/2', '8/3'] -> ((3/2 * 8/3) / (7/2 - (5/3 / 1/2)))
[150549] ['1/2', '3/2', '5/3', '7/2', '9/5'] -> ((((3/2 + 5/3) + 7/2) / 1/2) * 9/5)
[150560] ['1/2', '3/2', '5/3', '7/3', '8/7'] -> (8/7 / ((1/2 / 7/3) - (5/3 - 3/2)))
[150570] ['1/2', '3/2', '5/3', '7/4', '7/8'] -> (((7/4 / (5/3 - 3/2)) / 1/2) / 7/8)
[150571] ['1/2', '3/2', '5/3', '7/4', '7/9'] -> ((5/3 / (3/2 - 7/4)) / (1/2 - 7/9))
[150572] ['1/2', '3/2', '5/3', '7/4', '8/3'] -> (((1/2 * 3/2) / (7/4 - 5/3)) * 8/3)
[150576] ['1/2', '3/2', '5/3', '7/4', '9/2'] -> ((((5/3 + 7/4) / 1/2) - 3/2) * 9/2)
[150578] ['1/2', '3/2', '5/3', '7/4', '9/5'] -> (((5/3 / (7/4 - 3/2)) / 1/2) * 9/5)
[150587] ['1/2', '3/2', '5/3', '7/5', '8/7'] -> (8/7 / (((1/2 + 5/3) / 7/5) - 3/2))
[150594] ['1/2', '3/2', '5/3', '7/6', '7/6'] -> ((5/3 / 1/2) / (3/2 - (7/6 * 7/6)))
[150599] ['1/2', '3/2', '5/3', '7/6', '8/7'] -> (8/7 / (((1/2 + 3/2) / 7/6) - 5/3))
[150621] ['1/2', '3/2', '5/3', '7/9', '8/9'] -> ((3/2 / ((1/2 * 5/3) - 7/9)) * 8/9)
[150626] ['1/2', '3/2', '5/3', '7/9', '9/8'] -> ((3/2 / ((1/2 * 5/3) - 7/9)) / 9/8)
[150633] ['1/2', '3/2', '5/3', '8/3', '9/5'] -> ((((3/2 * 5/3) * 8/3) / 1/2) * 9/5)
[150639] ['1/2', '3/2', '5/3', '8/5', '9/2'] -> ((((1/2 + 3/2) * 5/3) * 8/5) * 9/2)
[150646] ['1/2', '3/2', '5/3', '8/7', '9/2'] -> ((((3/2 / 1/2) + 5/3) * 8/7) * 9/2)
[150653] ['1/2', '3/2', '5/3', '8/9', '9/4'] -> (((8/9 / (5/3 - 3/2)) / 1/2) * 9/4)
[150659] ['1/2', '3/2', '5/3', '9/2', '9/5'] -> ((5/3 * 9/2) * (1/2 + (3/2 * 9/5)))
[150663] ['1/2', '3/2', '5/3', '9/4', '9/5'] -> ((9/5 / 1/2) / (3/2 - (9/4 / 5/3)))
[150665] ['1/2', '3/2', '5/3', '9/4', '9/8'] -> (((9/4 / (5/3 - 3/2)) / 1/2) / 9/8)
[150671] ['1/2', '3/2', '5/3', '9/8', '9/8'] -> ((1/2 / (3/2 - (5/3 / 9/8))) / 9/8)
[150679] ['1/2', '3/2', '5/4', '5/4', '7/2'] -> (((5/4 / 1/2) + 7/2) / (3/2 - 5/4))
[150691] ['1/2', '3/2', '5/4', '5/4', '9/4'] -> (3/2 / (9/4 - ((1/2 + 5/4) * 5/4)))
[150692] ['1/2', '3/2', '5/4', '5/4', '9/5'] -> ((3/2 / 5/4) / ((9/5 - 1/2) - 5/4))
[150693] ['1/2', '3/2', '5/4', '5/4', '9/7'] -> ((3/2 / (1/2 + 5/4)) / (9/7 - 5/4))
[150700] ['1/2', '3/2', '5/4', '5/6', '6/7'] -> (6/7 / ((5/4 / (3/2 + 5/6)) - 1/2))
[150705] ['1/2', '3/2', '5/4', '5/6', '7/6'] -> ((3/2 * (1/2 + 5/6)) / (5/4 - 7/6))
[150709] ['1/2', '3/2', '5/4', '5/6', '8/5'] -> ((5/4 * 8/5) / (5/6 - (1/2 * 3/2)))
[150717] ['1/2', '3/2', '5/4', '5/7', '5/7'] -> (5/7 / (5/4 * (1/2 - (5/7 / 3/2))))
[150721] ['1/2', '3/2', '5/4', '5/7', '6/7'] -> (6/7 / (((1/2 + 3/2) - 5/4) - 5/7))
[150724] ['1/2', '3/2', '5/4', '5/7', '7/4'] -> ((3/2 / ((5/4 - 1/2) - 5/7)) / 7/4)
[150727] ['1/2', '3/2', '5/4', '5/7', '7/8'] -> ((3/2 / ((5/7 / 5/4) - 1/2)) / 7/8)
[150731] ['1/2', '3/2', '5/4', '5/7', '8/7'] -> ((3/2 / ((5/7 / 5/4) - 1/2)) * 8/7)
[150739] ['1/2', '3/2', '5/4', '5/8', '5/9'] -> (((5/4 / 3/2) / 5/8) / (5/9 - 1/2))
[150747] ['1/2', '3/2', '5/4', '5/8', '7/8'] -> ((5/4 / 5/8) / ((7/8 / 3/2) - 1/2))
[150755] ['1/2', '3/2', '5/4', '5/8', '9/5'] -> (9/5 / (((3/2 / 5/4) - 1/2) - 5/8))
[150763] ['1/2', '3/2', '5/4', '5/9', '7/4'] -> (((3/2 / (5/9 - 1/2)) - 5/4) - 7/4)
[150766] ['1/2', '3/2', '5/4', '5/9', '7/8'] -> (((5/4 / (5/9 - 1/2)) - 3/2) / 7/8)
[150770] ['1/2', '3/2', '5/4', '5/9', '8/7'] -> (((5/4 / (5/9 - 1/2)) - 3/2) * 8/7)
[150776] ['1/2', '3/2', '5/4', '5/9', '9/8'] -> ((3/2 / (1/2 - (5/9 / 5/4))) / 9/8)
[150787] ['1/2', '3/2', '5/4', '6/5', '8/5'] -> (((1/2 * 3/2) / (5/4 - 6/5)) * 8/5)
[150789] ['1/2', '3/2', '5/4', '6/5', '8/9'] -> (8/9 / (1/2 - (5/4 / (3/2 + 6/5))))
[150795] ['1/2', '3/2', '5/4', '6/7', '6/7'] -> (6/7 / (((3/2 - 6/7) / 1/2) - 5/4))
[150796] ['1/2', '3/2', '5/4', '6/7', '7/2'] -> (((6/7 / (3/2 - 5/4)) / 1/2) * 7/2)
[150801] ['1/2', '3/2', '5/4', '6/7', '7/8'] -> ((1/2 / (6/7 - (5/4 / 3/2))) / 7/8)
[150805] ['1/2', '3/2', '5/4', '6/7', '8/7'] -> ((1/2 * 8/7) / (6/7 - (5/4 / 3/2)))
[150810] ['1/2', '3/2', '5/4', '6/7', '9/7'] -> (9/7 / ((1/2 * 5/4) - (6/7 / 3/2)))
[150814] ['1/2', '3/2', '5/4', '7/2', '7/4'] -> (((5/4 / 1/2) + 7/2) / (7/4 - 3/2))
[150816] ['1/2', '3/2', '5/4', '7/2', '7/6'] -> (((7/2 / (3/2 - 5/4)) / 1/2) / 7/6)
[150823] ['1/2', '3/2', '5/4', '7/2', '9/2'] -> (((7/2 - (5/4 / 3/2)) / 1/2) * 9/2)
[150829] ['1/2', '3/2', '5/4', '7/3', '7/4'] -> ((3/2 / ((5/4 / 7/3) - 1/2)) / 7/4)
[150833] ['1/2', '3/2', '5/4', '7/3', '7/9'] -> (((7/3 / (3/2 - 5/4)) / 1/2) / 7/9)
[150834] ['1/2', '3/2', '5/4', '7/3', '8/3'] -> ((3/2 / ((5/4 / 1/2) - 7/3)) * 8/3)
[150835] ['1/2', '3/2', '5/4', '7/3', '8/5'] -> (8/5 / (((3/2 / 1/2) / 5/4) - 7/3))
[150856] ['1/2', '3/2', '5/4', '7/4', '9/8'] -> ((5/4 + 7/4) / ((1/2 + 9/8) - 3/2))
[150862] ['1/2', '3/2', '5/4', '7/5', '8/5'] -> (8/5 / ((7/5 - (5/4 / 3/2)) - 1/2))
[150873] ['1/2', '3/2', '5/4', '7/6', '8/3'] -> (((1/2 * 3/2) / (5/4 - 7/6)) * 8/3)
[150878] ['1/2', '3/2', '5/4', '7/6', '9/4'] -> ((1/2 + (9/4 / 3/2)) / (5/4 - 7/6))
[150885] ['1/2', '3/2', '5/4', '7/8', '8/5'] -> ((5/4 / ((7/8 / 3/2) - 1/2)) * 8/5)
[150899] ['1/2', '3/2', '5/4', '7/9', '9/4'] -> ((3/2 / ((1/2 + 7/9) - 5/4)) / 9/4)
[150901] ['1/2', '3/2', '5/4', '7/9', '9/7'] -> (9/7 / (1/2 * ((5/4 / 7/9) - 3/2)))
[150906] ['1/2', '3/2', '5/4', '8/3', '8/9'] -> (((8/3 / (3/2 - 5/4)) / 1/2) / 8/9)
[150912] ['1/2', '3/2', '5/4', '8/5', '8/5'] -> (8/5 / (((5/4 / 1/2) / 3/2) - 8/5))
[150922] ['1/2', '3/2', '5/4', '8/7', '9/2'] -> (9/2 / ((1/2 / 8/7) - (3/2 - 5/4)))
[150923] ['1/2', '3/2', '5/4', '8/7', '9/4'] -> (9/4 / ((1/2 + (5/4 / 8/7)) - 3/2))
[150928] ['1/2', '3/2', '5/4', '8/9', '9/2'] -> ((1/2 / (3/2 - (5/4 / 8/9))) * 9/2)
[150932] ['1/2', '3/2', '5/4', '8/9', '9/8'] -> (9/8 / (1/2 * (3/2 - (5/4 / 8/9))))
[150935] ['1/2', '3/2', '5/4', '9/2', '9/5'] -> (((9/2 / 1/2) / 5/4) / (9/5 - 3/2))
[150938] ['1/2', '3/2', '5/4', '9/4', '9/4'] -> (9/4 / (3/2 - ((1/2 * 5/4) * 9/4)))
[150939] ['1/2', '3/2', '5/4', '9/4', '9/5'] -> (9/5 / ((3/2 / 5/4) - (1/2 * 9/4)))
[150942] ['1/2', '3/2', '5/4', '9/5', '9/5'] -> ((9/5 / 3/2) / ((9/5 - 1/2) - 5/4))
[150945] ['1/2', '3/2', '5/4', '9/7', '9/7'] -> (9/7 / (1/2 * ((5/4 * 9/7) - 3/2)))
[150947] ['1/2', '3/2', '5/4', '9/8', '9/8'] -> ((9/8 / 1/2) / (3/2 - (5/4 * 9/8)))
[150954] ['1/2', '3/2', '5/6', '5/6', '7/2'] -> ((1/2 + 7/2) / ((5/6 + 5/6) - 3/2))
[150961] ['1/2', '3/2', '5/6', '5/6', '8/3'] -> (8/3 / (3/2 - ((5/6 * 5/6) / 1/2)))
[150970] ['1/2', '3/2', '5/6', '5/7', '5/7'] -> (5/7 / (5/6 * ((1/2 * 3/2) - 5/7)))
[150973] ['1/2', '3/2', '5/6', '5/7', '6/5'] -> (((3/2 / (5/6 - 5/7)) / 1/2) - 6/5)
[150986] ['1/2', '3/2', '5/6', '5/7', '9/2'] -> (((3/2 + (5/6 / 5/7)) / 1/2) * 9/2)
[150993] ['1/2', '3/2', '5/6', '5/8', '6/5'] -> ((6/5 / 3/2) / (5/6 - (1/2 / 5/8)))
[150999] ['1/2', '3/2', '5/6', '5/8', '7/6'] -> ((1/2 + 7/6) / (5/8 - (5/6 / 3/2)))
[151001] ['1/2', '3/2', '5/6', '5/8', '7/9'] -> (((3/2 + 5/6) / (5/8 - 1/2)) / 7/9)
[151009] ['1/2', '3/2', '5/6', '5/8', '9/7'] -> (((3/2 + 5/6) / (5/8 - 1/2)) * 9/7)
[151016] ['1/2', '3/2', '5/6', '5/9', '7/4'] -> (((3/2 + 5/6) / (5/9 - 1/2)) / 7/4)
[151018] ['1/2', '3/2', '5/6', '5/9', '7/6'] -> ((5/6 + 7/6) / (3/2 * (5/9 - 1/2)))
[151021] ['1/2', '3/2', '5/6', '5/9', '8/3'] -> ((3/2 * 8/3) / ((5/9 / 5/6) - 1/2))
[151022] ['1/2', '3/2', '5/6', '5/9', '8/5'] -> ((8/5 / 3/2) / ((1/2 / 5/6) - 5/9))
[151030] ['1/2', '3/2', '5/6', '6/5', '6/5'] -> (6/5 / ((3/2 * (6/5 - 5/6)) - 1/2))
[151039] ['1/2', '3/2', '5/6', '6/5', '8/3'] -> (8/3 / (3/2 - ((5/6 / 1/2) / 6/5)))
[151042] ['1/2', '3/2', '5/6', '6/5', '8/9'] -> (8/9 / (1/2 - ((5/6 / 3/2) / 6/5)))
[151045] ['1/2', '3/2', '5/6', '6/5', '9/5'] -> (9/5 / (6/5 - (3/2 / (1/2 + 5/6))))
[151049] ['1/2', '3/2', '5/6', '6/7', '7/2'] -> (((1/2 + 3/2) / (6/7 - 5/6)) / 7/2)
[151050] ['1/2', '3/2', '5/6', '6/7', '7/3'] -> ((6/7 / (5/6 - (1/2 * 3/2))) * 7/3)
[151065] ['1/2', '3/2', '5/6', '7/2', '7/2'] -> (((1/2 + 7/2) / 5/6) * (3/2 + 7/2))
[151067] ['1/2', '3/2', '5/6', '7/2', '7/4'] -> ((7/2 / (5/6 - (1/2 * 3/2))) / 7/4)
[151072] ['1/2', '3/2', '5/6', '7/2', '8/3'] -> (((7/2 / (5/6 - 1/2)) - 3/2) * 8/3)
[151073] ['1/2', '3/2', '5/6', '7/2', '8/5'] -> (((3/2 + 7/2) / (5/6 - 1/2)) * 8/5)
[151082] ['1/2', '3/2', '5/6', '7/3', '7/4'] -> ((7/3 / ((5/6 / 3/2) - 1/2)) / 7/4)
[151084] ['1/2', '3/2', '5/6', '7/3', '7/6'] -> ((7/3 / (5/6 - (1/2 * 3/2))) / 7/6)
[151087] ['1/2', '3/2', '5/6', '7/3', '8/3'] -> (8/3 / ((5/6 / 1/2) - (7/3 / 3/2)))
[151088] ['1/2', '3/2', '5/6', '7/3', '8/5'] -> (8/5 / (((1/2 + 3/2) / 5/6) - 7/3))
[151101] ['1/2', '3/2', '5/6', '7/4', '8/3'] -> (8/3 / (((7/4 - 5/6) / 3/2) - 1/2))
[151118] ['1/2', '3/2', '5/6', '7/5', '9/2'] -> (((3/2 + (5/6 * 7/5)) / 1/2) * 9/2)
[151127] ['1/2', '3/2', '5/6', '7/6', '8/5'] -> (8/5 / ((3/2 / (1/2 + 7/6)) - 5/6))
[151152] ['1/2', '3/2', '5/6', '7/9', '9/4'] -> (((3/2 / (5/6 - 7/9)) / 1/2) / 9/4)
[151156] ['1/2', '3/2', '5/6', '8/3', '8/3'] -> (8/3 / ((8/3 / 3/2) - (5/6 / 1/2)))
[151161] ['1/2', '3/2', '5/6', '8/3', '9/4'] -> (((8/3 / 1/2) / 5/6) * (3/2 + 9/4))
[151162] ['1/2', '3/2', '5/6', '8/3', '9/5'] -> ((5/6 / ((3/2 / 8/3) - 1/2)) * 9/5)
[151165] ['1/2', '3/2', '5/6', '8/5', '8/5'] -> (8/5 / (((1/2 + 3/2) * 5/6) - 8/5))
[151168] ['1/2', '3/2', '5/6', '8/5', '9/2'] -> (9/2 / ((5/6 / 8/5) - (1/2 / 3/2)))
[151170] ['1/2', '3/2', '5/6', '8/5', '9/5'] -> (((1/2 + 5/6) / (8/5 - 3/2)) * 9/5)
[151175] ['1/2', '3/2', '5/6', '8/7', '9/2'] -> ((((3/2 + 5/6) * 8/7) / 1/2) * 9/2)
[151178] ['1/2', '3/2', '5/6', '8/7', '9/7'] -> (9/7 / (1/2 * ((3/2 * 5/6) - 8/7)))
[151194] ['1/2', '3/2', '5/6', '9/4', '9/8'] -> ((9/4 / (5/6 - (1/2 * 3/2))) / 9/8)
[151202] ['1/2', '3/2', '5/7', '5/7', '5/8'] -> (((3/2 * 5/7) / 1/2) / (5/7 - 5/8))
[151204] ['1/2', '3/2', '5/7', '5/7', '6/5'] -> ((5/7 * 6/5) / ((1/2 * 3/2) - 5/7))
[151205] ['1/2', '3/2', '5/7', '5/7', '6/7'] -> ((6/7 / 1/2) / ((3/2 - 5/7) - 5/7))
[151224] ['1/2', '3/2', '5/7', '5/8', '6/5'] -> ((3/2 / ((1/2 / 5/7) - 5/8)) * 6/5)
[151229] ['1/2', '3/2', '5/7', '5/8', '7/5'] -> (((3/2 / (5/7 - 5/8)) / 1/2) / 7/5)
[151230] ['1/2', '3/2', '5/7', '5/8', '7/6'] -> ((3/2 / (1/2 - (5/7 * 5/8))) / 7/6)
[151238] ['1/2', '3/2', '5/7', '5/8', '9/4'] -> ((5/8 / (1/2 - (5/7 / 3/2))) - 9/4)
[151239] ['1/2', '3/2', '5/7', '5/8', '9/5'] -> (9/5 / (((1/2 + 5/8) / 5/7) - 3/2))
[151240] ['1/2', '3/2', '5/7', '5/8', '9/7'] -> (9/7 / ((1/2 + 5/8) - (3/2 * 5/7)))
[151262] ['1/2', '3/2', '5/7', '6/5', '6/7'] -> (6/7 / (((3/2 / 6/5) - 1/2) - 5/7))
[151266] ['1/2', '3/2', '5/7', '6/5', '7/5'] -> ((6/5 / ((1/2 * 3/2) - 5/7)) / 7/5)
[151285] ['1/2', '3/2', '5/7', '6/7', '7/8'] -> (((3/2 / (6/7 - 5/7)) / 1/2) / 7/8)
[151320] ['1/2', '3/2', '5/7', '7/3', '8/7'] -> (8/7 / ((5/7 + 7/3) - (3/2 / 1/2)))
[151322] ['1/2', '3/2', '5/7', '7/3', '9/2'] -> ((((3/2 / 1/2) - 5/7) * 7/3) * 9/2)
[151358] ['1/2', '3/2', '5/7', '7/6', '8/5'] -> (8/5 / (1/2 * ((7/6 / 5/7) - 3/2)))
[151374] ['1/2', '3/2', '5/7', '7/8', '9/5'] -> (9/5 / (((1/2 / 5/7) + 7/8) - 3/2))
[151381] ['1/2', '3/2', '5/7', '7/9', '8/9'] -> ((3/2 / ((5/7 * 7/9) - 1/2)) * 8/9)
[151386] ['1/2', '3/2', '5/7', '7/9', '9/8'] -> ((3/2 / ((5/7 * 7/9) - 1/2)) / 9/8)
[151388] ['1/2', '3/2', '5/7', '8/3', '8/5'] -> (8/5 / ((8/3 - (3/2 / 5/7)) - 1/2))
[151391] ['1/2', '3/2', '5/7', '8/3', '9/2'] -> ((((3/2 + 8/3) / 5/7) - 1/2) * 9/2)
[151394] ['1/2', '3/2', '5/7', '8/3', '9/7'] -> (((3/2 * 8/3) / (5/7 - 1/2)) * 9/7)
[151404] ['1/2', '3/2', '5/7', '8/7', '8/7'] -> ((3/2 / ((1/2 + 5/7) - 8/7)) * 8/7)
[151411] ['1/2', '3/2', '5/7', '8/9', '8/9'] -> ((8/9 / ((1/2 * 3/2) - 5/7)) - 8/9)
[151415] ['1/2', '3/2', '5/7', '8/9', '9/7'] -> (9/7 / ((5/7 / 8/9) - (1/2 * 3/2)))
[151430] ['1/2', '3/2', '5/7', '9/7', '9/8'] -> ((3/2 / ((5/7 / 9/7) - 1/2)) / 9/8)
[151438] ['1/2', '3/2', '5/8', '5/8', '7/4'] -> ((3/2 * 7/4) / (1/2 - (5/8 * 5/8)))
[151441] ['1/2', '3/2', '5/8', '5/8', '7/8'] -> (((3/2 + 5/8) + 7/8) / (5/8 - 1/2))
[151449] ['1/2', '3/2', '5/8', '5/8', '9/5'] -> (9/5 / ((3/2 - (1/2 / 5/8)) - 5/8))
[151453] ['1/2', '3/2', '5/8', '5/9', '6/5'] -> (((1/2 + 3/2) / (5/8 - 5/9)) / 6/5)
[151462] ['1/2', '3/2', '5/8', '5/9', '8/3'] -> (8/3 / ((3/2 - (5/9 / 5/8)) - 1/2))
[151466] ['1/2', '3/2', '5/8', '5/9', '9/2'] -> (9/2 / (1/2 * (3/2 - (5/8 / 5/9))))
[151485] ['1/2', '3/2', '5/8', '6/5', '9/4'] -> (9/4 / ((1/2 * 5/8) * (3/2 - 6/5)))
[151486] ['1/2', '3/2', '5/8', '6/5', '9/5'] -> (9/5 / (3/2 * ((5/8 / 1/2) - 6/5)))
[151490] ['1/2', '3/2', '5/8', '6/7', '7/2'] -> ((6/7 / ((1/2 * 3/2) - 5/8)) * 7/2)
[151492] ['1/2', '3/2', '5/8', '6/7', '7/4'] -> ((3/2 / ((5/8 * 6/7) - 1/2)) / 7/4)
