[820735] ['1/6', '2/7', '5/3', '6/7', '7/2'] -> (7/2 / (1/6 / ((5/3 * 6/7) - 2/7)))
[824356] ['1/6', '2/9', '3/2', '7/8', '9/8'] -> ((3/2 + ((7/8 / 1/6) / 2/9)) - 9/8)
[824359] ['1/6', '2/9', '3/2', '7/9', '8/5'] -> ((((2/9 + 3/2) + 7/9) / 1/6) * 8/5)
[824360] ['1/6', '2/9', '3/2', '7/9', '8/7'] -> (((3/2 * 7/9) / (2/9 - 1/6)) * 8/7)
[824363] ['1/6', '2/9', '3/2', '7/9', '9/4'] -> ((3/2 / (7/9 - (1/6 / 2/9))) / 9/4)
[824372] ['1/6', '2/9', '3/2', '8/3', '9/4'] -> (((1/6 + (8/3 / 2/9)) - 3/2) * 9/4)
[824373] ['1/6', '2/9', '3/2', '8/3', '9/5'] -> (((3/2 + (8/3 / 2/9)) - 1/6) * 9/5)
[824379] ['1/6', '2/9', '3/2', '8/5', '9/2'] -> (9/2 / ((3/2 / 8/5) - (1/6 / 2/9)))
[824384] ['1/6', '2/9', '3/2', '8/7', '8/7'] -> (8/7 / (3/2 * (2/9 - (1/6 * 8/7))))
[824385] ['1/6', '2/9', '3/2', '8/7', '8/9'] -> (8/9 / (1/6 - ((2/9 / 3/2) / 8/7)))
[824386] ['1/6', '2/9', '3/2', '8/7', '9/2'] -> (9/2 / ((2/9 * 3/2) - (1/6 / 8/7)))
[824389] ['1/6', '2/9', '3/2', '8/7', '9/7'] -> (((3/2 * 8/7) / (2/9 - 1/6)) / 9/7)
[824393] ['1/6', '2/9', '3/2', '8/9', '9/4'] -> (((8/9 / (2/9 - 1/6)) / 3/2) * 9/4)
[824394] ['1/6', '2/9', '3/2', '8/9', '9/5'] -> ((3/2 / (2/9 - (1/6 / 8/9))) / 9/5)
[824403] ['1/6', '2/9', '3/2', '9/4', '9/5'] -> ((((2/9 + 9/4) / 1/6) - 3/2) * 9/5)
[824415] ['1/6', '2/9', '3/4', '3/4', '3/8'] -> ((((3/4 / 1/6) + 3/4) / 2/9) + 3/8)
[824419] ['1/6', '2/9', '3/4', '3/4', '4/9'] -> (4/9 / (1/6 - (2/9 / (3/4 + 3/4))))
[824423] ['1/6', '2/9', '3/4', '3/4', '5/6'] -> ((3/4 + 3/4) + ((5/6 / 1/6) / 2/9))
[824434] ['1/6', '2/9', '3/4', '3/4', '7/8'] -> ((((3/4 / 1/6) / 2/9) + 3/4) / 7/8)
[824436] ['1/6', '2/9', '3/4', '3/4', '8/3'] -> (8/3 / (2/9 - (1/6 / (3/4 + 3/4))))
[824438] ['1/6', '2/9', '3/4', '3/4', '8/7'] -> ((((3/4 / 1/6) / 2/9) + 3/4) * 8/7)
[824451] ['1/6', '2/9', '3/4', '3/5', '4/9'] -> (4/9 / ((2/9 / 3/4) - (1/6 / 3/5)))
[824453] ['1/6', '2/9', '3/4', '3/5', '5/3'] -> (((3/5 / (2/9 - 1/6)) / 3/4) * 5/3)
[824458] ['1/6', '2/9', '3/4', '3/5', '5/9'] -> ((2/9 / ((1/6 + 3/5) - 3/4)) / 5/9)
[824462] ['1/6', '2/9', '3/4', '3/5', '7/3'] -> (7/3 / ((1/6 * (2/9 + 3/4)) * 3/5))
[824493] ['1/6', '2/9', '3/4', '3/7', '7/3'] -> (((3/7 / (2/9 - 1/6)) / 3/4) * 7/3)
[824506] ['1/6', '2/9', '3/4', '3/7', '9/7'] -> (9/7 / (3/4 * (1/6 - (2/9 * 3/7))))
[824519] ['1/6', '2/9', '3/4', '3/8', '5/9'] -> (((2/9 + (3/4 / 3/8)) / 1/6) / 5/9)
[824522] ['1/6', '2/9', '3/4', '3/8', '7/2'] -> (7/2 / ((1/6 + 2/9) * (3/4 - 3/8)))
[824527] ['1/6', '2/9', '3/4', '3/8', '7/8'] -> (7/8 / ((2/9 - (1/6 * 3/4)) * 3/8))
[824532] ['1/6', '2/9', '3/4', '3/8', '8/9'] -> (8/9 / (((3/8 - 2/9) / 3/4) - 1/6))
[824535] ['1/6', '2/9', '3/4', '3/8', '9/5'] -> (((2/9 + (3/4 / 3/8)) / 1/6) * 9/5)
[824540] ['1/6', '2/9', '3/4', '4/3', '4/7'] -> ((4/3 / (2/9 - (1/6 * 3/4))) / 4/7)
[824563] ['1/6', '2/9', '3/4', '4/3', '9/4'] -> ((((3/4 / 1/6) + 4/3) / 2/9) - 9/4)
[824566] ['1/6', '2/9', '3/4', '4/3', '9/8'] -> ((((3/4 * 4/3) / 1/6) / 2/9) / 9/8)
[824569] ['1/6', '2/9', '3/4', '4/5', '4/9'] -> (4/9 / ((2/9 - (1/6 / 4/5)) / 3/4))
[824572] ['1/6', '2/9', '3/4', '4/5', '5/4'] -> (((4/5 / (2/9 - 1/6)) / 3/4) * 5/4)
[824573] ['1/6', '2/9', '3/4', '4/5', '5/6'] -> ((((4/5 / 1/6) / 2/9) / 3/4) * 5/6)
[824577] ['1/6', '2/9', '3/4', '4/5', '6/5'] -> ((((4/5 / 1/6) / 2/9) / 3/4) / 6/5)
[824582] ['1/6', '2/9', '3/4', '4/5', '7/5'] -> (7/5 / (((4/5 - 3/4) / 2/9) - 1/6))
[824586] ['1/6', '2/9', '3/4', '4/5', '8/3'] -> (((2/9 / (4/5 - 3/4)) / 1/6) - 8/3)
[824595] ['1/6', '2/9', '3/4', '4/7', '4/7'] -> (((4/7 / (2/9 - 1/6)) / 3/4) / 4/7)
[824599] ['1/6', '2/9', '3/4', '4/7', '5/4'] -> (5/4 / (3/4 * ((1/6 / 4/7) - 2/9)))
[824601] ['1/6', '2/9', '3/4', '4/7', '5/7'] -> (5/7 / (3/4 * (1/6 - (2/9 * 4/7))))
[824605] ['1/6', '2/9', '3/4', '4/7', '6/7'] -> ((((4/7 / 1/6) / 2/9) / 3/4) / 6/7)
[824608] ['1/6', '2/9', '3/4', '4/7', '7/4'] -> (((4/7 / (2/9 - 1/6)) / 3/4) * 7/4)
[824610] ['1/6', '2/9', '3/4', '4/7', '7/6'] -> ((((4/7 / 1/6) / 2/9) / 3/4) * 7/6)
[824613] ['1/6', '2/9', '3/4', '4/7', '8/3'] -> (8/3 / (((3/4 - 1/6) * 4/7) - 2/9))
[824629] ['1/6', '2/9', '3/4', '4/9', '5/9'] -> (5/9 / (2/9 - (1/6 * (3/4 + 4/9))))
[824630] ['1/6', '2/9', '3/4', '4/9', '6/5'] -> (6/5 / ((2/9 / (4/9 - 1/6)) - 3/4))
[824633] ['1/6', '2/9', '3/4', '4/9', '7/3'] -> (7/3 / ((4/9 - (1/6 * 3/4)) - 2/9))
[824634] ['1/6', '2/9', '3/4', '4/9', '7/4'] -> ((((3/4 / 1/6) + 4/9) / 2/9) + 7/4)
[824643] ['1/6', '2/9', '3/4', '4/9', '9/2'] -> ((((2/9 + 4/9) / 1/6) / 3/4) * 9/2)
[824644] ['1/6', '2/9', '3/4', '4/9', '9/4'] -> (((4/9 / (2/9 - 1/6)) / 3/4) * 9/4)
[824648] ['1/6', '2/9', '3/4', '5/2', '5/2'] -> (((5/2 / (2/9 - 1/6)) / 3/4) / 5/2)
[824650] ['1/6', '2/9', '3/4', '5/2', '5/4'] -> ((((3/4 / 1/6) / 2/9) + 5/2) + 5/4)
[824660] ['1/6', '2/9', '3/4', '5/2', '7/5'] -> (7/5 / (3/4 * (1/6 - (2/9 / 5/2))))
[824669] ['1/6', '2/9', '3/4', '5/2', '9/4'] -> (((1/6 + (5/2 / 2/9)) - 3/4) * 9/4)
[824671] ['1/6', '2/9', '3/4', '5/2', '9/7'] -> (9/7 / (1/6 / ((5/2 / 3/4) - 2/9)))
[824672] ['1/6', '2/9', '3/4', '5/2', '9/8'] -> (9/8 / (1/6 / (2/9 + (5/2 / 3/4))))
[824676] ['1/6', '2/9', '3/4', '5/3', '5/7'] -> ((5/3 / (2/9 - (1/6 * 3/4))) / 5/7)
[824679] ['1/6', '2/9', '3/4', '5/3', '6/5'] -> (6/5 / (((2/9 / 1/6) / 5/3) - 3/4))
[824682] ['1/6', '2/9', '3/4', '5/3', '7/3'] -> (((5/3 / (2/9 + 3/4)) / 1/6) * 7/3)
[824684] ['1/6', '2/9', '3/4', '5/3', '7/5'] -> ((5/3 / (2/9 - (1/6 * 3/4))) * 7/5)
[824691] ['1/6', '2/9', '3/4', '5/3', '8/9'] -> (8/9 / ((2/9 * (5/3 - 3/4)) - 1/6))
[824697] ['1/6', '2/9', '3/4', '5/4', '5/4'] -> (((5/4 / (2/9 - 1/6)) / 3/4) / 5/4)
[824698] ['1/6', '2/9', '3/4', '5/4', '5/6'] -> (5/6 / (((1/6 * 2/9) * 3/4) * 5/4))
[824701] ['1/6', '2/9', '3/4', '5/4', '5/9'] -> ((((2/9 + 3/4) + 5/4) / 1/6) / 5/9)
[824712] ['1/6', '2/9', '3/4', '5/4', '8/5'] -> (8/5 / (3/4 * (2/9 - (1/6 / 5/4))))
[824717] ['1/6', '2/9', '3/4', '5/4', '9/5'] -> ((((2/9 + 3/4) + 5/4) / 1/6) * 9/5)
[824720] ['1/6', '2/9', '3/4', '5/6', '5/6'] -> (((5/6 / (2/9 - 1/6)) / 3/4) / 5/6)
[824724] ['1/6', '2/9', '3/4', '5/6', '6/5'] -> (((5/6 / (2/9 - 1/6)) / 3/4) * 6/5)
[824732] ['1/6', '2/9', '3/4', '5/6', '7/9'] -> (7/9 / ((1/6 + 2/9) * (5/6 - 3/4)))
[824738] ['1/6', '2/9', '3/4', '5/6', '9/4'] -> ((((5/6 / 1/6) / 2/9) - 3/4) + 9/4)
[824739] ['1/6', '2/9', '3/4', '5/6', '9/5'] -> (9/5 / (3/4 * ((2/9 / 5/6) - 1/6)))
[824741] ['1/6', '2/9', '3/4', '5/6', '9/8'] -> (((3/4 + (5/6 / 2/9)) / 1/6) / 9/8)
[824742] ['1/6', '2/9', '3/4', '5/7', '5/7'] -> (((5/7 / (2/9 - 1/6)) / 3/4) / 5/7)
[824750] ['1/6', '2/9', '3/4', '5/7', '7/5'] -> (7/5 / (((2/9 - 1/6) * 3/4) / 5/7))
[824763] ['1/6', '2/9', '3/4', '5/8', '5/8'] -> (((5/8 / (2/9 - 1/6)) / 3/4) / 5/8)
[824771] ['1/6', '2/9', '3/4', '5/8', '7/6'] -> (7/6 / ((1/6 + 2/9) * (3/4 - 5/8)))
[824774] ['1/6', '2/9', '3/4', '5/8', '8/3'] -> (8/3 / (2/9 * (5/8 - (1/6 * 3/4))))
[824775] ['1/6', '2/9', '3/4', '5/8', '8/5'] -> (((5/8 / (2/9 - 1/6)) / 3/4) * 8/5)
[824777] ['1/6', '2/9', '3/4', '5/8', '8/9'] -> ((3/4 / (1/6 - (2/9 * 5/8))) * 8/9)
[824782] ['1/6', '2/9', '3/4', '5/8', '9/8'] -> ((3/4 / (1/6 - (2/9 * 5/8))) / 9/8)
[824783] ['1/6', '2/9', '3/4', '5/9', '5/9'] -> (((5/9 / (2/9 - 1/6)) / 3/4) / 5/9)
[824793] ['1/6', '2/9', '3/4', '5/9', '8/3'] -> (8/3 / ((5/9 - (1/6 / 3/4)) - 2/9))
[824796] ['1/6', '2/9', '3/4', '5/9', '8/9'] -> (8/9 / (5/9 - ((1/6 + 2/9) / 3/4)))
[824797] ['1/6', '2/9', '3/4', '5/9', '9/2'] -> (((3/4 + (5/9 / 2/9)) / 1/6) + 9/2)
[824799] ['1/6', '2/9', '3/4', '5/9', '9/5'] -> (((5/9 / (2/9 - 1/6)) / 3/4) * 9/5)
[824802] ['1/6', '2/9', '3/4', '6/5', '6/5'] -> (((6/5 / (2/9 - 1/6)) / 3/4) / 6/5)
[824811] ['1/6', '2/9', '3/4', '6/5', '8/3'] -> ((3/4 / (2/9 - (1/6 / 6/5))) * 8/3)
[824820] ['1/6', '2/9', '3/4', '6/7', '6/7'] -> (((6/7 / (2/9 - 1/6)) / 3/4) / 6/7)
[824825] ['1/6', '2/9', '3/4', '6/7', '7/6'] -> (((6/7 / (2/9 - 1/6)) / 3/4) * 7/6)
[824827] ['1/6', '2/9', '3/4', '6/7', '7/9'] -> ((((6/7 / 1/6) / 2/9) / 3/4) * 7/9)
[824835] ['1/6', '2/9', '3/4', '6/7', '9/7'] -> ((((6/7 / 1/6) / 2/9) / 3/4) / 9/7)
[824836] ['1/6', '2/9', '3/4', '6/7', '9/8'] -> ((3/4 / (2/9 - (1/6 / 6/7))) / 9/8)
[824837] ['1/6', '2/9', '3/4', '7/2', '7/2'] -> (((7/2 / (2/9 - 1/6)) / 3/4) / 7/2)
[824838] ['1/6', '2/9', '3/4', '7/2', '7/3'] -> (7/3 / (((1/6 * 2/9) * 3/4) * 7/2))
[824842] ['1/6', '2/9', '3/4', '7/2', '7/8'] -> ((1/6 / (2/9 - (3/4 / 7/2))) / 7/8)
[824846] ['1/6', '2/9', '3/4', '7/2', '8/7'] -> ((1/6 / (2/9 - (3/4 / 7/2))) * 8/7)
[824849] ['1/6', '2/9', '3/4', '7/2', '9/4'] -> (((1/6 + (7/2 / 3/4)) / 2/9) + 9/4)
[824853] ['1/6', '2/9', '3/4', '7/3', '7/3'] -> (((7/3 / (2/9 - 1/6)) / 3/4) / 7/3)
[824859] ['1/6', '2/9', '3/4', '7/3', '8/3'] -> ((((7/3 - 1/6) / 2/9) - 3/4) * 8/3)
[824864] ['1/6', '2/9', '3/4', '7/3', '9/4'] -> ((3/4 * (2/9 + (7/3 / 1/6))) * 9/4)
[824866] ['1/6', '2/9', '3/4', '7/3', '9/7'] -> (9/7 / (3/4 * (1/6 - (2/9 / 7/3))))
[824868] ['1/6', '2/9', '3/4', '7/4', '7/4'] -> (((7/4 / (2/9 - 1/6)) / 3/4) / 7/4)
[824870] ['1/6', '2/9', '3/4', '7/4', '7/6'] -> (7/6 / (((1/6 * 2/9) * 3/4) * 7/4))
[824873] ['1/6', '2/9', '3/4', '7/4', '8/3'] -> (8/3 / (((3/4 - 1/6) / 7/4) - 2/9))
[824881] ['1/6', '2/9', '3/4', '7/4', '9/8'] -> ((((7/4 - 3/4) / 1/6) / 2/9) / 9/8)
[824882] ['1/6', '2/9', '3/4', '7/5', '7/5'] -> (((7/5 / (2/9 - 1/6)) / 3/4) / 7/5)
[824895] ['1/6', '2/9', '3/4', '7/6', '7/6'] -> (((7/6 / (2/9 - 1/6)) / 3/4) / 7/6)
[824899] ['1/6', '2/9', '3/4', '7/6', '8/5'] -> ((((3/4 / 1/6) - 7/6) / 2/9) * 8/5)
[824907] ['1/6', '2/9', '3/4', '7/8', '7/8'] -> (((7/8 / (2/9 - 1/6)) / 3/4) / 7/8)
[824909] ['1/6', '2/9', '3/4', '7/8', '8/3'] -> ((7/8 / (2/9 - (1/6 * 3/4))) * 8/3)
[824911] ['1/6', '2/9', '3/4', '7/8', '8/7'] -> (((7/8 / (2/9 - 1/6)) / 3/4) * 8/7)
[824913] ['1/6', '2/9', '3/4', '7/8', '9/2'] -> ((2/9 / ((1/6 + 3/4) - 7/8)) * 9/2)
[824924] ['1/6', '2/9', '3/4', '7/9', '9/4'] -> ((3/4 + ((7/9 / 1/6) / 2/9)) + 9/4)
[824926] ['1/6', '2/9', '3/4', '7/9', '9/7'] -> (((7/9 / (2/9 - 1/6)) / 3/4) * 9/7)
[824931] ['1/6', '2/9', '3/4', '8/3', '8/9'] -> ((((2/9 + 8/3) / 1/6) / 3/4) + 8/9)
[824934] ['1/6', '2/9', '3/4', '8/3', '9/5'] -> (((2/9 + (3/4 * 8/3)) / 1/6) * 9/5)
[824937] ['1/6', '2/9', '3/4', '8/5', '8/5'] -> (8/5 / (((2/9 - 1/6) * 3/4) * 8/5))
[824939] ['1/6', '2/9', '3/4', '8/5', '8/9'] -> ((3/4 / (1/6 - (2/9 / 8/5))) * 8/9)
[824940] ['1/6', '2/9', '3/4', '8/5', '9/2'] -> (((3/4 + (2/9 / 8/5)) / 1/6) * 9/2)
[824944] ['1/6', '2/9', '3/4', '8/5', '9/8'] -> ((3/4 / (1/6 - (2/9 / 8/5))) / 9/8)
[824945] ['1/6', '2/9', '3/4', '8/7', '8/7'] -> (8/7 / (((2/9 - 1/6) * 3/4) * 8/7))
[824946] ['1/6', '2/9', '3/4', '8/7', '8/9'] -> ((3/4 / ((2/9 / 8/7) - 1/6)) * 8/9)
[824951] ['1/6', '2/9', '3/4', '8/7', '9/8'] -> ((3/4 / ((2/9 / 8/7) - 1/6)) / 9/8)
[824952] ['1/6', '2/9', '3/4', '8/9', '8/9'] -> (((8/9 / (2/9 - 1/6)) / 3/4) / 8/9)
[824957] ['1/6', '2/9', '3/4', '8/9', '9/8'] -> (((8/9 / (2/9 - 1/6)) / 3/4) * 9/8)
[824967] ['1/6', '2/9', '3/4', '9/5', '9/5'] -> (((9/5 / (2/9 - 1/6)) / 3/4) / 9/5)
[824970] ['1/6', '2/9', '3/4', '9/7', '9/7'] -> (((9/7 / (2/9 - 1/6)) / 3/4) / 9/7)
[824979] ['1/6', '2/9', '3/5', '3/5', '4/9'] -> (4/9 / ((2/9 / (3/5 + 3/5)) - 1/6))
[824996] ['1/6', '2/9', '3/5', '3/5', '8/3'] -> ((8/3 / 2/9) / (3/5 - (1/6 * 3/5)))
[824997] ['1/6', '2/9', '3/5', '3/5', '8/5'] -> ((8/5 / (2/9 - 1/6)) / (3/5 + 3/5))
[825004] ['1/6', '2/9', '3/5', '3/5', '9/8'] -> ((((3/5 / 1/6) / 2/9) / 3/5) / 9/8)
[825010] ['1/6', '2/9', '3/5', '3/7', '4/9'] -> (4/9 / ((1/6 / 3/7) - (2/9 / 3/5)))
[825019] ['1/6', '2/9', '3/5', '3/7', '6/7'] -> (6/7 / ((1/6 / 2/9) - (3/7 / 3/5)))
[825044] ['1/6', '2/9', '3/5', '3/8', '5/6'] -> (((3/5 / (2/9 - 1/6)) / 3/8) * 5/6)
[825058] ['1/6', '2/9', '3/5', '3/8', '8/5'] -> (8/5 / ((1/6 / 3/8) - (3/5 - 2/9)))
[825061] ['1/6', '2/9', '3/5', '3/8', '9/2'] -> (9/2 / ((2/9 + (1/6 / 3/5)) * 3/8))
[825069] ['1/6', '2/9', '3/5', '4/3', '4/9'] -> (4/9 / ((2/9 * 4/3) - (1/6 / 3/5)))
[825070] ['1/6', '2/9', '3/5', '4/3', '5/2'] -> (((3/5 / 1/6) + (4/3 / 2/9)) * 5/2)
[825077] ['1/6', '2/9', '3/5', '4/3', '6/5'] -> (6/5 / ((3/5 * 4/3) - (1/6 / 2/9)))
[825082] ['1/6', '2/9', '3/5', '4/3', '7/5'] -> (7/5 / (3/5 * (2/9 - (1/6 / 4/3))))
[825092] ['1/6', '2/9', '3/5', '4/3', '9/5'] -> ((((3/5 / 1/6) + 4/3) / 2/9) + 9/5)
[825097] ['1/6', '2/9', '3/5', '4/5', '4/9'] -> ((3/5 / ((2/9 * 4/5) - 1/6)) * 4/9)
[825099] ['1/6', '2/9', '3/5', '4/5', '5/3'] -> ((4/5 / ((1/6 / 3/5) - 2/9)) * 5/3)
[825104] ['1/6', '2/9', '3/5', '4/5', '5/9'] -> ((3/5 / (2/9 - (1/6 / 4/5))) * 5/9)
[825108] ['1/6', '2/9', '3/5', '4/5', '7/3'] -> (7/3 / (2/9 - ((1/6 * 3/5) / 4/5)))
[825114] ['1/6', '2/9', '3/5', '4/5', '8/3'] -> (8/3 / (1/6 * (4/5 - (2/9 * 3/5))))
[825118] ['1/6', '2/9', '3/5', '4/5', '9/2'] -> ((4/5 / ((1/6 / 2/9) - 3/5)) * 9/2)
[825123] ['1/6', '2/9', '3/5', '4/7', '4/7'] -> (4/7 / (3/5 * (1/6 - (2/9 * 4/7))))
[825135] ['1/6', '2/9', '3/5', '4/7', '7/3'] -> ((4/7 / ((1/6 / 3/5) - 2/9)) * 7/3)
[825141] ['1/6', '2/9', '3/5', '4/7', '8/3'] -> (8/3 / ((2/9 / 4/7) - (1/6 / 3/5)))
[825142] ['1/6', '2/9', '3/5', '4/7', '8/5'] -> (8/5 / (((2/9 * 3/5) / 4/7) - 1/6))
[825146] ['1/6', '2/9', '3/5', '4/7', '9/4'] -> (((1/6 / (3/5 - 4/7)) / 2/9) - 9/4)
[825179] ['1/6', '2/9', '3/5', '5/2', '5/6'] -> ((((1/6 + 5/2) / 2/9) / 3/5) / 5/6)
[825183] ['1/6', '2/9', '3/5', '5/2', '6/5'] -> ((((1/6 + 5/2) / 2/9) / 3/5) * 6/5)
[825186] ['1/6', '2/9', '3/5', '5/2', '7/3'] -> (((2/9 + (5/2 / 3/5)) / 1/6) - 7/3)
[825191] ['1/6', '2/9', '3/5', '5/2', '7/9'] -> ((((5/2 / 1/6) / 3/5) - 2/9) - 7/9)
[825192] ['1/6', '2/9', '3/5', '5/2', '8/3'] -> (8/3 / (2/9 - ((1/6 / 3/5) / 5/2)))
[825195] ['1/6', '2/9', '3/5', '5/2', '8/9'] -> (((3/5 * 5/2) / (2/9 - 1/6)) * 8/9)
[825196] ['1/6', '2/9', '3/5', '5/2', '9/2'] -> (((1/6 + (5/2 / 3/5)) / 2/9) + 9/2)
[825200] ['1/6', '2/9', '3/5', '5/2', '9/8'] -> (((3/5 * 5/2) / (2/9 - 1/6)) / 9/8)
[825203] ['1/6', '2/9', '3/5', '5/3', '5/6'] -> ((((5/3 - 3/5) / 1/6) / 2/9) * 5/6)
[825207] ['1/6', '2/9', '3/5', '5/3', '6/5'] -> ((((5/3 - 3/5) / 1/6) / 2/9) / 6/5)
[825216] ['1/6', '2/9', '3/5', '5/3', '8/3'] -> (8/3 / (2/9 * (3/5 - (1/6 / 5/3))))
[825224] ['1/6', '2/9', '3/5', '5/3', '9/8'] -> ((((3/5 * 5/3) / 1/6) / 2/9) / 9/8)
[825229] ['1/6', '2/9', '3/5', '5/4', '5/9'] -> ((3/5 / (2/9 - (1/6 * 5/4))) * 5/9)
[825230] ['1/6', '2/9', '3/5', '5/4', '6/5'] -> (6/5 / (3/5 * ((2/9 / 1/6) - 5/4)))
[825233] ['1/6', '2/9', '3/5', '5/4', '7/3'] -> (7/3 / (2/9 - ((1/6 * 3/5) * 5/4)))
[825240] ['1/6', '2/9', '3/5', '5/4', '8/5'] -> (8/5 / (3/5 * ((2/9 * 5/4) - 1/6)))
[825243] ['1/6', '2/9', '3/5', '5/4', '9/2'] -> (9/2 / (((1/6 / 2/9) - 3/5) * 5/4))
[825264] ['1/6', '2/9', '3/5', '5/6', '8/9'] -> ((3/5 / (2/9 - (1/6 / 5/6))) * 8/9)
[825269] ['1/6', '2/9', '3/5', '5/6', '9/8'] -> ((3/5 / (2/9 - (1/6 / 5/6))) / 9/8)
[825292] ['1/6', '2/9', '3/5', '5/8', '5/9'] -> (5/9 / (((1/6 + 2/9) / 3/5) - 5/8))
[825295] ['1/6', '2/9', '3/5', '5/8', '7/2'] -> (7/2 / (((1/6 + 2/9) * 3/5) * 5/8))
[825302] ['1/6', '2/9', '3/5', '5/8', '8/3'] -> (8/3 / ((3/5 - (1/6 / 5/8)) - 2/9))
[825306] ['1/6', '2/9', '3/5', '5/8', '9/2'] -> (9/2 / ((1/6 + (2/9 * 3/5)) * 5/8))
[825307] ['1/6', '2/9', '3/5', '5/8', '9/4'] -> (9/4 / (((1/6 / 2/9) - 3/5) * 5/8))
[825322] ['1/6', '2/9', '3/5', '5/9', '8/5'] -> (8/5 / (2/9 * (3/5 - (1/6 / 5/9))))
[825324] ['1/6', '2/9', '3/5', '5/9', '8/9'] -> (8/9 / (2/9 * ((3/5 * 5/9) - 1/6)))
[825325] ['1/6', '2/9', '3/5', '5/9', '9/2'] -> ((((5/9 / 1/6) / 3/5) - 2/9) * 9/2)
[825337] ['1/6', '2/9', '3/5', '6/5', '7/8'] -> (((6/5 / (2/9 - 1/6)) - 3/5) / 7/8)
[825341] ['1/6', '2/9', '3/5', '6/5', '8/7'] -> (((6/5 / (2/9 - 1/6)) - 3/5) * 8/7)
[825342] ['1/6', '2/9', '3/5', '6/5', '8/9'] -> ((3/5 / (2/9 - (1/6 * 6/5))) * 8/9)
[825344] ['1/6', '2/9', '3/5', '6/5', '9/4'] -> ((((6/5 / 3/5) - 2/9) / 1/6) * 9/4)
[825347] ['1/6', '2/9', '3/5', '6/5', '9/8'] -> ((3/5 / (2/9 - (1/6 * 6/5))) / 9/8)
[825371] ['1/6', '2/9', '3/5', '7/2', '7/9'] -> ((((2/9 / 3/5) + 7/2) / 1/6) + 7/9)
[825372] ['1/6', '2/9', '3/5', '7/2', '8/3'] -> (((3/5 * (7/2 - 1/6)) / 2/9) * 8/3)
[825373] ['1/6', '2/9', '3/5', '7/2', '8/5'] -> (((7/2 / (1/6 + 2/9)) / 3/5) * 8/5)
[825375] ['1/6', '2/9', '3/5', '7/2', '8/9'] -> (((1/6 + (7/2 / 3/5)) / 2/9) * 8/9)
[825376] ['1/6', '2/9', '3/5', '7/2', '9/2'] -> ((((7/2 - 1/6) / 3/5) - 2/9) * 9/2)
[825378] ['1/6', '2/9', '3/5', '7/2', '9/5'] -> ((2/9 / (3/5 - (1/6 * 7/2))) * 9/5)
[825380] ['1/6', '2/9', '3/5', '7/2', '9/8'] -> (((1/6 + (7/2 / 3/5)) / 2/9) / 9/8)
[825382] ['1/6', '2/9', '3/5', '7/3', '7/4'] -> ((7/3 / ((1/6 / 3/5) - 2/9)) / 7/4)
[825387] ['1/6', '2/9', '3/5', '7/3', '8/3'] -> (8/3 / (7/3 - ((2/9 / 1/6) / 3/5)))
[825390] ['1/6', '2/9', '3/5', '7/3', '8/9'] -> ((((7/3 / 1/6) / 3/5) - 2/9) + 8/9)
[825401] ['1/6', '2/9', '3/5', '7/4', '8/3'] -> (8/3 / ((2/9 * 7/4) - (1/6 / 3/5)))
[825402] ['1/6', '2/9', '3/5', '7/4', '8/5'] -> (8/5 / (((2/9 * 3/5) * 7/4) - 1/6))
[825420] ['1/6', '2/9', '3/5', '7/5', '9/5'] -> ((((2/9 + 3/5) + 7/5) / 1/6) * 9/5)
[825424] ['1/6', '2/9', '3/5', '7/6', '7/8'] -> ((7/6 / ((1/6 / 3/5) - 2/9)) / 7/8)
[825447] ['1/6', '2/9', '3/5', '7/9', '8/3'] -> (8/3 / (2/9 * (7/9 - (1/6 / 3/5))))
[825450] ['1/6', '2/9', '3/5', '7/9', '8/9'] -> (8/9 / ((2/9 / 1/6) - (7/9 / 3/5)))
[825457] ['1/6', '2/9', '3/5', '8/3', '8/5'] -> (8/5 / ((1/6 * 8/3) - (3/5 - 2/9)))
[825460] ['1/6', '2/9', '3/5', '8/3', '9/2'] -> ((8/3 / (2/9 + (1/6 / 3/5))) * 9/2)
[825462] ['1/6', '2/9', '3/5', '8/3', '9/5'] -> ((((3/5 * 8/3) / 1/6) / 2/9) / 9/5)
[825468] ['1/6', '2/9', '3/5', '8/5', '9/2'] -> ((8/5 / (1/6 + (2/9 * 3/5))) * 9/2)
[825469] ['1/6', '2/9', '3/5', '8/5', '9/4'] -> ((8/5 / ((1/6 / 2/9) - 3/5)) * 9/4)
[825472] ['1/6', '2/9', '3/5', '8/5', '9/8'] -> ((((8/5 - 3/5) / 1/6) / 2/9) / 9/8)
[825483] ['1/6', '2/9', '3/5', '8/9', '9/5'] -> (9/5 / ((1/6 / 2/9) - (3/5 / 8/9)))
[825497] ['1/6', '2/9', '3/5', '9/5', '9/8'] -> ((((3/5 / 2/9) + 9/5) / 1/6) / 9/8)
[825502] ['1/6', '2/9', '3/7', '3/7', '3/8'] -> ((((3/7 / 2/9) - 3/7) / 1/6) / 3/8)
[825511] ['1/6', '2/9', '3/7', '3/7', '5/7'] -> ((3/7 + 3/7) / ((1/6 / 2/9) - 5/7))
[825525] ['1/6', '2/9', '3/7', '3/7', '8/7'] -> ((8/7 / (2/9 - 1/6)) / (3/7 + 3/7))
