[194261] ['1/2', '5/2', '8/7', '9/4', '9/4'] -> (9/4 / (5/2 - ((1/2 + 9/4) / 8/7)))
[203024] ['1/2', '5/8', '5/8', '5/8', '6/5'] -> (5/8 / ((1/2 / 6/5) - (5/8 * 5/8)))
[203025] ['1/2', '5/8', '5/8', '5/8', '6/7'] -> ((5/8 / (5/8 - (1/2 / 6/7))) / 5/8)
[203028] ['1/2', '5/8', '5/8', '5/8', '7/4'] -> (((5/8 + 5/8) + 7/4) / (5/8 - 1/2))
[203037] ['1/2', '5/8', '5/8', '5/8', '9/2'] -> ((9/2 / ((5/8 / 5/8) - 5/8)) / 1/2)
[203046] ['1/2', '5/8', '5/8', '5/9', '7/3'] -> (7/3 / (((1/2 / 5/8) - 5/8) * 5/9))
[203061] ['1/2', '5/8', '5/8', '6/5', '6/5'] -> (6/5 / ((1/2 / 5/8) - (5/8 * 6/5)))
[203075] ['1/2', '5/8', '5/8', '6/5', '9/4'] -> ((9/4 / (5/8 - 1/2)) / (5/8 * 6/5))
[203079] ['1/2', '5/8', '5/8', '6/7', '6/7'] -> ((6/7 / 5/8) / (6/7 - (1/2 / 5/8)))
[203088] ['1/2', '5/8', '5/8', '6/7', '8/5'] -> ((5/8 * 8/5) / (5/8 - (1/2 / 6/7)))
[203092] ['1/2', '5/8', '5/8', '6/7', '9/4'] -> (9/4 / ((1/2 - (5/8 * 5/8)) * 6/7))
[203103] ['1/2', '5/8', '5/8', '7/2', '8/3'] -> ((((5/8 / 5/8) + 7/2) / 1/2) * 8/3)
[203110] ['1/2', '5/8', '5/8', '7/2', '9/7'] -> (9/7 / ((1/2 + (5/8 / 7/2)) - 5/8))
[203121] ['1/2', '5/8', '5/8', '7/3', '8/9'] -> ((7/3 / (1/2 - (5/8 * 5/8))) / 8/9)
[203124] ['1/2', '5/8', '5/8', '7/3', '9/5'] -> ((7/3 / ((1/2 / 5/8) - 5/8)) * 9/5)
[203126] ['1/2', '5/8', '5/8', '7/3', '9/8'] -> ((7/3 / (1/2 - (5/8 * 5/8))) * 9/8)
[203134] ['1/2', '5/8', '5/8', '7/4', '8/7'] -> ((5/8 - 7/4) / (1/2 - (5/8 / 8/7)))
[203149] ['1/2', '5/8', '5/8', '7/5', '9/2'] -> (9/2 / (5/8 - ((1/2 * 5/8) * 7/5)))
[203150] ['1/2', '5/8', '5/8', '7/5', '9/4'] -> ((9/4 / 5/8) / (7/5 - (5/8 / 1/2)))
[203152] ['1/2', '5/8', '5/8', '7/5', '9/7'] -> (9/7 / (5/8 - ((1/2 / 5/8) / 7/5)))
[203162] ['1/2', '5/8', '5/8', '7/6', '9/4'] -> ((7/6 / (1/2 - (5/8 * 5/8))) * 9/4)
[203165] ['1/2', '5/8', '5/8', '7/6', '9/8'] -> ((1/2 + 7/6) / (5/8 - (5/8 / 9/8)))
[203171] ['1/2', '5/8', '5/8', '7/8', '8/9'] -> ((5/8 + 7/8) / (5/8 - (1/2 / 8/9)))
[203173] ['1/2', '5/8', '5/8', '7/8', '9/4'] -> (9/4 / (7/8 - ((5/8 * 5/8) / 1/2)))
[203175] ['1/2', '5/8', '5/8', '7/8', '9/7'] -> (9/7 / (1/2 - ((5/8 * 5/8) / 7/8)))
[203178] ['1/2', '5/8', '5/8', '7/9', '8/3'] -> ((8/3 / 1/2) / ((5/8 / 5/8) - 7/9))
[203193] ['1/2', '5/8', '5/8', '8/3', '9/5'] -> (((5/8 * 8/3) / (5/8 - 1/2)) * 9/5)
[203199] ['1/2', '5/8', '5/8', '8/5', '9/2'] -> ((9/2 / 1/2) / ((5/8 * 8/5) - 5/8))
[203210] ['1/2', '5/8', '5/8', '8/7', '9/8'] -> (9/8 / ((1/2 / 8/7) - (5/8 * 5/8)))
[203226] ['1/2', '5/8', '5/8', '9/5', '9/5'] -> (9/5 / (((5/8 / 1/2) + 5/8) - 9/5))
[203232] ['1/2', '5/8', '5/9', '5/9', '5/9'] -> (((5/9 / 1/2) + 5/9) / (5/8 - 5/9))
[203234] ['1/2', '5/8', '5/9', '5/9', '6/7'] -> ((5/9 / 5/9) / (5/8 - (1/2 / 6/7)))
[203242] ['1/2', '5/8', '5/9', '5/9', '8/3'] -> (8/3 / (5/9 - ((1/2 * 5/9) / 5/8)))
[203282] ['1/2', '5/8', '5/9', '6/7', '9/4'] -> ((5/8 / (1/2 - (5/9 * 6/7))) - 9/4)
[203283] ['1/2', '5/8', '5/9', '6/7', '9/5'] -> ((5/9 / (5/8 - (1/2 / 6/7))) * 9/5)
[203293] ['1/2', '5/8', '5/9', '7/2', '8/3'] -> ((7/2 / ((5/9 / 5/8) - 1/2)) * 8/3)
[203304] ['1/2', '5/8', '5/9', '7/3', '7/5'] -> (((7/3 / (5/8 - 1/2)) / 5/9) / 7/5)
[203313] ['1/2', '5/8', '5/9', '7/3', '9/4'] -> (((5/8 * 7/3) / (5/9 - 1/2)) - 9/4)
[203352] ['1/2', '5/8', '5/9', '7/6', '9/4'] -> ((5/8 / (1/2 - (5/9 / 7/6))) - 9/4)
[203361] ['1/2', '5/8', '5/9', '7/8', '8/9'] -> (((5/8 + 7/8) / (5/9 - 1/2)) * 8/9)
[203366] ['1/2', '5/8', '5/9', '7/8', '9/8'] -> (((5/8 + 7/8) / (5/9 - 1/2)) / 9/8)
[203372] ['1/2', '5/8', '5/9', '7/9', '9/2'] -> (9/2 / (7/9 - (1/2 * (5/8 + 5/9))))
[203373] ['1/2', '5/8', '5/9', '7/9', '9/4'] -> (((5/9 + 7/9) / (5/8 - 1/2)) * 9/4)
[203374] ['1/2', '5/8', '5/9', '7/9', '9/5'] -> (9/5 / (((1/2 * 7/9) / 5/9) - 5/8))
[203375] ['1/2', '5/8', '5/9', '7/9', '9/7'] -> (9/7 / (1/2 - ((5/8 * 5/9) / 7/9)))
[203391] ['1/2', '5/8', '5/9', '8/5', '9/5'] -> (9/5 / ((8/5 - (1/2 / 5/9)) - 5/8))
[203404] ['1/2', '5/8', '5/9', '8/9', '9/5'] -> (9/5 / (((8/9 - 1/2) / 5/9) - 5/8))
[203419] ['1/2', '5/8', '5/9', '9/7', '9/7'] -> (9/7 / (1/2 - ((5/8 * 5/9) * 9/7)))
[203423] ['1/2', '5/8', '6/5', '6/5', '6/7'] -> ((6/5 / 6/5) / (5/8 - (1/2 / 6/7)))
[203435] ['1/2', '5/8', '6/5', '6/5', '9/2'] -> ((9/2 / 1/2) / ((6/5 / 6/5) - 5/8))
[203440] ['1/2', '5/8', '6/5', '6/7', '6/7'] -> (6/7 / ((5/8 / (6/5 - 1/2)) - 6/7))
[203446] ['1/2', '5/8', '6/5', '6/7', '7/8'] -> ((6/5 / (6/7 - (1/2 / 5/8))) / 7/8)
[203450] ['1/2', '5/8', '6/5', '6/7', '8/7'] -> ((6/5 / (6/7 - (1/2 / 5/8))) * 8/7)
[203454] ['1/2', '5/8', '6/5', '6/7', '9/5'] -> (9/5 / (((1/2 * 6/5) / 6/7) - 5/8))
[203459] ['1/2', '5/8', '6/5', '7/2', '7/4'] -> (7/4 / (((5/8 / 6/5) - 1/2) * 7/2))
[203460] ['1/2', '5/8', '6/5', '7/2', '7/5'] -> (((6/5 * 7/2) / (5/8 - 1/2)) / 7/5)
[203468] ['1/2', '5/8', '6/5', '7/2', '9/2'] -> ((((1/2 + 7/2) / 5/8) / 6/5) * 9/2)
[203470] ['1/2', '5/8', '6/5', '7/2', '9/5'] -> (9/5 / ((5/8 + 6/5) - (1/2 * 7/2)))
[203476] ['1/2', '5/8', '6/5', '7/3', '7/6'] -> (7/6 / (((5/8 / 6/5) - 1/2) * 7/3))
[203483] ['1/2', '5/8', '6/5', '7/3', '9/2'] -> (((7/3 / (6/5 - 1/2)) / 5/8) * 9/2)
[203491] ['1/2', '5/8', '6/5', '7/4', '7/8'] -> (7/8 / (((5/8 / 6/5) - 1/2) * 7/4))
[203503] ['1/2', '5/8', '6/5', '7/5', '7/6'] -> ((7/5 / ((5/8 / 1/2) - 6/5)) / 7/6)
[203512] ['1/2', '5/8', '6/5', '7/5', '9/5'] -> (9/5 / (((1/2 + 7/5) - 5/8) - 6/5))
[203513] ['1/2', '5/8', '6/5', '7/5', '9/7'] -> (9/7 / (((6/5 - 1/2) - 5/8) / 7/5))
[203524] ['1/2', '5/8', '6/5', '7/6', '9/5'] -> (9/5 / (((1/2 * 6/5) * 7/6) - 5/8))
[203525] ['1/2', '5/8', '6/5', '7/6', '9/7'] -> (9/7 / (1/2 - ((5/8 / 6/5) / 7/6)))
[203533] ['1/2', '5/8', '6/5', '7/8', '9/2'] -> (9/2 / ((5/8 * (1/2 + 6/5)) - 7/8))
[203549] ['1/2', '5/8', '6/5', '8/3', '8/5'] -> (8/5 / ((5/8 - (1/2 * 6/5)) * 8/3))
[203552] ['1/2', '5/8', '6/5', '8/3', '9/2'] -> ((((1/2 / 5/8) + 6/5) * 8/3) * 9/2)
[203553] ['1/2', '5/8', '6/5', '8/3', '9/4'] -> ((8/3 / ((5/8 * 6/5) - 1/2)) * 9/4)
[203561] ['1/2', '5/8', '6/5', '8/5', '9/4'] -> (((8/5 / (5/8 - 1/2)) / 6/5) * 9/4)
[203563] ['1/2', '5/8', '6/5', '8/5', '9/7'] -> (9/7 / (5/8 - (6/5 / (1/2 + 8/5))))
[203564] ['1/2', '5/8', '6/5', '8/5', '9/8'] -> ((8/5 / ((6/5 - 1/2) - 5/8)) * 9/8)
[203569] ['1/2', '5/8', '6/5', '8/7', '9/5'] -> (9/5 / ((1/2 + 5/8) - (6/5 / 8/7)))
[203572] ['1/2', '5/8', '6/5', '8/9', '8/9'] -> (8/9 / (1/2 - ((5/8 * 8/9) / 6/5)))
[203573] ['1/2', '5/8', '6/5', '8/9', '9/2'] -> (9/2 / ((5/8 * 6/5) - (1/2 / 8/9)))
[203575] ['1/2', '5/8', '6/5', '8/9', '9/5'] -> (9/5 / (6/5 * (5/8 - (1/2 / 8/9))))
[203578] ['1/2', '5/8', '6/5', '9/2', '9/2'] -> ((((9/2 - 1/2) / 5/8) / 6/5) * 9/2)
[203579] ['1/2', '5/8', '6/5', '9/2', '9/4'] -> (9/4 / (((5/8 / 6/5) - 1/2) * 9/2))
[203580] ['1/2', '5/8', '6/5', '9/2', '9/5'] -> (((6/5 * 9/2) / (5/8 - 1/2)) / 9/5)
[203583] ['1/2', '5/8', '6/5', '9/4', '9/4'] -> (9/4 / (5/8 * ((6/5 / 1/2) - 9/4)))
[203584] ['1/2', '5/8', '6/5', '9/4', '9/5'] -> (9/5 / (((1/2 + 5/8) + 6/5) - 9/4))
[203590] ['1/2', '5/8', '6/5', '9/7', '9/7'] -> (9/7 / ((1/2 + 5/8) - (9/7 / 6/5)))
[203593] ['1/2', '5/8', '6/7', '6/7', '6/7'] -> ((6/7 / (5/8 - (1/2 / 6/7))) / 6/7)
[203594] ['1/2', '5/8', '6/7', '6/7', '7/2'] -> (7/2 / ((5/8 / 6/7) - (1/2 / 6/7)))
[203596] ['1/2', '5/8', '6/7', '6/7', '7/4'] -> (((6/7 + 6/7) / (5/8 - 1/2)) * 7/4)
[203602] ['1/2', '5/8', '6/7', '6/7', '8/5'] -> ((6/7 / (6/7 - (1/2 / 5/8))) * 8/5)
[203603] ['1/2', '5/8', '6/7', '6/7', '8/7'] -> (8/7 / ((1/2 / 6/7) - (5/8 * 6/7)))
[203605] ['1/2', '5/8', '6/7', '6/7', '9/2'] -> ((9/2 / 1/2) / ((6/7 / 6/7) - 5/8))
[203610] ['1/2', '5/8', '6/7', '7/2', '7/2'] -> ((7/2 / (5/8 - (1/2 / 6/7))) / 7/2)
[203621] ['1/2', '5/8', '6/7', '7/2', '9/2'] -> (((5/8 / 1/2) + (7/2 / 6/7)) * 9/2)
[203626] ['1/2', '5/8', '6/7', '7/3', '7/3'] -> (7/3 / ((5/8 - (1/2 / 6/7)) * 7/3))
[203636] ['1/2', '5/8', '6/7', '7/3', '9/2'] -> (9/2 / (1/2 - ((5/8 / 6/7) / 7/3)))
[203641] ['1/2', '5/8', '6/7', '7/4', '7/4'] -> ((7/4 / (5/8 - (1/2 / 6/7))) / 7/4)
[203653] ['1/2', '5/8', '6/7', '7/4', '9/7'] -> (9/7 / ((1/2 / 7/4) - (6/7 - 5/8)))
[203656] ['1/2', '5/8', '6/7', '7/5', '7/6'] -> ((1/2 / ((5/8 * 7/5) - 6/7)) / 7/6)
[203665] ['1/2', '5/8', '6/7', '7/5', '9/5'] -> (9/5 / (((6/7 * 7/5) - 1/2) - 5/8))
[203666] ['1/2', '5/8', '6/7', '7/5', '9/7'] -> (9/7 / (6/7 - ((1/2 + 5/8) / 7/5)))
[203671] ['1/2', '5/8', '6/7', '7/6', '8/3'] -> (8/3 / ((7/6 / 6/7) - (5/8 / 1/2)))
[203672] ['1/2', '5/8', '6/7', '7/6', '8/5'] -> (8/5 / ((6/7 - (1/2 / 5/8)) * 7/6))
[203675] ['1/2', '5/8', '6/7', '7/6', '9/2'] -> (9/2 / (1/2 * ((6/7 * 7/6) - 5/8)))
[203684] ['1/2', '5/8', '6/7', '7/8', '8/7'] -> ((7/8 / (5/8 - (1/2 / 6/7))) * 8/7)
[203687] ['1/2', '5/8', '6/7', '7/8', '9/4'] -> (9/4 / (((5/8 - 1/2) * 6/7) * 7/8))
[203691] ['1/2', '5/8', '6/7', '7/9', '7/9'] -> (7/9 / ((5/8 - (1/2 / 6/7)) * 7/9))
[203696] ['1/2', '5/8', '6/7', '7/9', '9/2'] -> (((6/7 * 7/9) / (5/8 - 1/2)) * 9/2)
[203699] ['1/2', '5/8', '6/7', '7/9', '9/7'] -> (9/7 / ((5/8 - (1/2 / 6/7)) / 7/9))
[203701] ['1/2', '5/8', '6/7', '8/3', '8/3'] -> (8/3 / ((5/8 - (1/2 / 6/7)) * 8/3))
[203703] ['1/2', '5/8', '6/7', '8/3', '8/7'] -> (8/7 / ((6/7 / 1/2) - (5/8 * 8/3)))
[203704] ['1/2', '5/8', '6/7', '8/3', '8/9'] -> (((8/3 / (5/8 - 1/2)) / 6/7) - 8/9)
[203710] ['1/2', '5/8', '6/7', '8/5', '8/5'] -> (8/5 / ((5/8 - (1/2 / 6/7)) * 8/5))
[203714] ['1/2', '5/8', '6/7', '8/5', '9/4'] -> (9/4 / (6/7 * (1/2 - (5/8 / 8/5))))
[203718] ['1/2', '5/8', '6/7', '8/7', '8/7'] -> ((8/7 / (5/8 - (1/2 / 6/7))) / 8/7)
[203720] ['1/2', '5/8', '6/7', '8/7', '9/2'] -> (9/2 / (1/2 - (5/8 / (6/7 + 8/7))))
[203721] ['1/2', '5/8', '6/7', '8/7', '9/4'] -> (((8/7 / (5/8 - 1/2)) / 6/7) * 9/4)
[203729] ['1/2', '5/8', '6/7', '8/9', '9/7'] -> (9/7 / (6/7 * (5/8 - (1/2 / 8/9))))
[203730] ['1/2', '5/8', '6/7', '8/9', '9/8'] -> (9/8 / ((5/8 - (1/2 / 6/7)) / 8/9))
[203731] ['1/2', '5/8', '6/7', '9/2', '9/2'] -> ((9/2 / (5/8 - (1/2 / 6/7))) / 9/2)
[203734] ['1/2', '5/8', '6/7', '9/2', '9/7'] -> (((6/7 * 9/2) / (5/8 - 1/2)) / 9/7)
[203736] ['1/2', '5/8', '6/7', '9/4', '9/4'] -> (9/4 / ((5/8 - (1/2 / 6/7)) * 9/4))
[203740] ['1/2', '5/8', '6/7', '9/5', '9/5'] -> ((9/5 / (5/8 - (1/2 / 6/7))) / 9/5)
[203741] ['1/2', '5/8', '6/7', '9/5', '9/7'] -> (9/7 / (5/8 * (9/5 - (6/7 / 1/2))))
[203745] ['1/2', '5/8', '6/7', '9/8', '9/8'] -> ((9/8 / (5/8 - (1/2 / 6/7))) / 9/8)
[203751] ['1/2', '5/8', '7/2', '7/2', '7/8'] -> ((7/2 / (5/8 - 1/2)) - (7/2 / 7/8))
[203761] ['1/2', '5/8', '7/2', '7/2', '9/8'] -> (((7/2 * 7/2) / 1/2) + (5/8 - 9/8))
[203763] ['1/2', '5/8', '7/2', '7/3', '7/4'] -> (7/4 / (1/2 * (7/3 - (5/8 * 7/2))))
[203772] ['1/2', '5/8', '7/2', '7/3', '9/2'] -> (((7/3 / (5/8 - 1/2)) / 7/2) * 9/2)
[203775] ['1/2', '5/8', '7/2', '7/3', '9/7'] -> (9/7 / ((1/2 * 5/8) / (7/2 + 7/3)))
[203777] ['1/2', '5/8', '7/2', '7/4', '7/4'] -> (((7/2 + 7/4) / (5/8 - 1/2)) / 7/4)
[203782] ['1/2', '5/8', '7/2', '7/4', '8/3'] -> ((((7/2 * 7/4) - 1/2) / 5/8) * 8/3)
[203787] ['1/2', '5/8', '7/2', '7/4', '9/4'] -> (((7/2 / (5/8 - 1/2)) - 7/4) - 9/4)
[203799] ['1/2', '5/8', '7/2', '7/5', '9/2'] -> (9/2 / (7/2 * (1/2 - (5/8 / 7/5))))
[203801] ['1/2', '5/8', '7/2', '7/5', '9/5'] -> (9/5 / ((7/2 - (7/5 / 1/2)) - 5/8))
[203811] ['1/2', '5/8', '7/2', '7/6', '9/2'] -> (((5/8 / 1/2) + (7/2 * 7/6)) * 9/2)
[203817] ['1/2', '5/8', '7/2', '7/8', '7/9'] -> ((7/2 / (5/8 - (1/2 * 7/8))) / 7/9)
[203825] ['1/2', '5/8', '7/2', '7/8', '9/7'] -> ((7/2 / (5/8 - (1/2 * 7/8))) * 9/7)
[203837] ['1/2', '5/8', '7/2', '8/3', '8/3'] -> ((((1/2 + 7/2) - 5/8) * 8/3) * 8/3)
[203842] ['1/2', '5/8', '7/2', '8/3', '9/4'] -> ((((1/2 + 7/2) + 8/3) / 5/8) * 9/4)
[203849] ['1/2', '5/8', '7/2', '8/5', '9/2'] -> (9/2 / (5/8 * (7/2 - (8/5 / 1/2))))
[203850] ['1/2', '5/8', '7/2', '8/5', '9/4'] -> (9/4 / (5/8 * ((1/2 * 7/2) - 8/5)))
[203856] ['1/2', '5/8', '7/2', '8/7', '9/2'] -> (9/2 / (7/2 * (5/8 - (1/2 * 8/7))))
[203859] ['1/2', '5/8', '7/2', '8/7', '9/7'] -> (9/7 / ((5/8 - (1/2 / 8/7)) / 7/2))
[203861] ['1/2', '5/8', '7/2', '8/9', '8/9'] -> (((7/2 * 8/9) / (5/8 - 1/2)) - 8/9)
[203869] ['1/2', '5/8', '7/2', '9/2', '9/5'] -> (9/5 / ((7/2 / (1/2 + 9/2)) - 5/8))
[203876] ['1/2', '5/8', '7/2', '9/5', '9/5'] -> (9/5 / ((5/8 * (7/2 - 1/2)) - 9/5))
[203892] ['1/2', '5/8', '7/3', '7/3', '9/2'] -> ((9/2 / 1/2) / ((7/3 / 7/3) - 5/8))
[203895] ['1/2', '5/8', '7/3', '7/3', '9/7'] -> (9/7 / ((5/8 / 7/3) - (1/2 / 7/3)))
[203907] ['1/2', '5/8', '7/3', '7/4', '9/4'] -> (((7/3 / (5/8 - 1/2)) / 7/4) * 9/4)
[203919] ['1/2', '5/8', '7/3', '7/5', '9/2'] -> ((((7/3 / 1/2) / 5/8) / 7/5) * 9/2)
[203921] ['1/2', '5/8', '7/3', '7/5', '9/5'] -> (((7/3 / (5/8 - 1/2)) / 7/5) * 9/5)
[203945] ['1/2', '5/8', '7/3', '7/8', '9/7'] -> (9/7 / ((1/2 * (7/8 - 5/8)) / 7/3))
[203946] ['1/2', '5/8', '7/3', '7/8', '9/8'] -> (9/8 / (((5/8 - 1/2) * 7/8) / 7/3))
[203947] ['1/2', '5/8', '7/3', '7/9', '7/9'] -> (7/9 / (7/3 * (1/2 - (5/8 * 7/9))))
[203951] ['1/2', '5/8', '7/3', '7/9', '8/9'] -> (((7/3 + 7/9) / (5/8 - 1/2)) - 8/9)
[203960] ['1/2', '5/8', '7/3', '8/3', '8/9'] -> (8/9 / ((8/3 / (1/2 + 5/8)) - 7/3))
[203963] ['1/2', '5/8', '7/3', '8/3', '9/5'] -> (9/5 / ((7/3 / 8/3) - (1/2 / 5/8)))
[203964] ['1/2', '5/8', '7/3', '8/3', '9/7'] -> (9/7 / (5/8 - ((1/2 * 8/3) / 7/3)))
[203965] ['1/2', '5/8', '7/3', '8/3', '9/8'] -> (9/8 / (((5/8 * 7/3) / 8/3) - 1/2))
[203966] ['1/2', '5/8', '7/3', '8/5', '8/5'] -> (8/5 / (((1/2 / 5/8) + 8/5) - 7/3))
[203970] ['1/2', '5/8', '7/3', '8/5', '9/4'] -> ((((7/3 / 5/8) + 8/5) / 1/2) * 9/4)
[203971] ['1/2', '5/8', '7/3', '8/5', '9/5'] -> ((7/3 / ((1/2 * 8/5) - 5/8)) * 9/5)
[203973] ['1/2', '5/8', '7/3', '8/5', '9/8'] -> (9/8 / ((1/2 - (5/8 / 8/5)) / 7/3))
[203976] ['1/2', '5/8', '7/3', '8/7', '9/2'] -> (((5/8 + (7/3 / 8/7)) / 1/2) * 9/2)
[203977] ['1/2', '5/8', '7/3', '8/7', '9/4'] -> ((5/8 / ((1/2 * 7/3) - 8/7)) - 9/4)
[203980] ['1/2', '5/8', '7/3', '8/7', '9/8'] -> (9/8 / (((5/8 - 1/2) / 7/3) / 8/7))
[203983] ['1/2', '5/8', '7/3', '8/9', '9/4'] -> ((7/3 / (8/9 - (1/2 / 5/8))) - 9/4)
[203987] ['1/2', '5/8', '7/3', '9/2', '9/2'] -> (((9/2 - (1/2 * 7/3)) / 5/8) * 9/2)
[203988] ['1/2', '5/8', '7/3', '9/2', '9/4'] -> ((((9/2 / 1/2) - 7/3) / 5/8) * 9/4)
[203990] ['1/2', '5/8', '7/3', '9/2', '9/7'] -> (9/7 / ((5/8 / (1/2 + 9/2)) / 7/3))
[203992] ['1/2', '5/8', '7/3', '9/4', '9/4'] -> (9/4 / ((1/2 + 5/8) * (7/3 - 9/4)))
[204008] ['1/2', '5/8', '7/4', '7/4', '8/5'] -> (((1/2 + 7/4) / 5/8) / (7/4 - 8/5))
[204011] ['1/2', '5/8', '7/4', '7/4', '9/2'] -> ((9/2 / 1/2) / ((7/4 / 7/4) - 5/8))
[204024] ['1/2', '5/8', '7/4', '7/5', '9/2'] -> (9/2 / (5/8 * ((7/5 / 7/4) - 1/2)))
[204026] ['1/2', '5/8', '7/4', '7/5', '9/5'] -> (9/5 / (((7/4 - 7/5) / 1/2) - 5/8))
[204034] ['1/2', '5/8', '7/4', '7/6', '8/7'] -> ((7/4 / ((5/8 / 1/2) - 7/6)) * 8/7)
[204041] ['1/2', '5/8', '7/4', '7/8', '7/8'] -> (((7/4 + 7/8) / (5/8 - 1/2)) / 7/8)
[204043] ['1/2', '5/8', '7/4', '7/8', '8/3'] -> (((1/2 + 7/4) / (7/8 - 5/8)) * 8/3)
[204045] ['1/2', '5/8', '7/4', '7/8', '8/7'] -> (((7/4 + 7/8) / (5/8 - 1/2)) * 8/7)
[204051] ['1/2', '5/8', '7/4', '7/8', '9/8'] -> (9/8 / ((5/8 * (7/4 - 7/8)) - 1/2))
[204063] ['1/2', '5/8', '7/4', '8/3', '8/5'] -> (8/5 / (1/2 * ((7/4 / 5/8) - 8/3)))
[204067] ['1/2', '5/8', '7/4', '8/3', '9/4'] -> ((8/3 / ((1/2 * 7/4) - 5/8)) * 9/4)
[204069] ['1/2', '5/8', '7/4', '8/3', '9/7'] -> (9/7 / ((1/2 - (5/8 / 7/4)) / 8/3))
[204074] ['1/2', '5/8', '7/4', '8/5', '9/2'] -> (((1/2 / (7/4 - 8/5)) / 5/8) * 9/2)
[204078] ['1/2', '5/8', '7/4', '8/5', '9/8'] -> (9/8 / ((1/2 * 5/8) * (7/4 - 8/5)))
[204082] ['1/2', '5/8', '7/4', '8/7', '9/4'] -> (9/4 / (7/4 * (5/8 - (1/2 * 8/7))))
[204101] ['1/2', '5/8', '7/4', '9/5', '9/5'] -> (9/5 / (((5/8 + 7/4) - 1/2) - 9/5))
[204104] ['1/2', '5/8', '7/4', '9/7', '9/7'] -> (9/7 / (5/8 - (9/7 / (1/2 + 7/4))))
[204110] ['1/2', '5/8', '7/5', '7/5', '7/9'] -> ((7/5 / ((1/2 * 7/5) - 5/8)) / 7/9)
[204115] ['1/2', '5/8', '7/5', '7/5', '9/2'] -> ((9/2 / 1/2) / ((7/5 / 7/5) - 5/8))
[204129] ['1/2', '5/8', '7/5', '7/6', '9/5'] -> (9/5 / (((7/5 / 7/6) - 1/2) - 5/8))
[204140] ['1/2', '5/8', '7/5', '7/8', '9/5'] -> (9/5 / (7/5 * (5/8 - (1/2 / 7/8))))
[204141] ['1/2', '5/8', '7/5', '7/8', '9/7'] -> (9/7 / ((7/8 - (1/2 / 5/8)) / 7/5))
[204142] ['1/2', '5/8', '7/5', '7/8', '9/8'] -> (9/8 / ((1/2 - (5/8 / 7/5)) * 7/8))
[204150] ['1/2', '5/8', '7/5', '7/9', '9/5'] -> (9/5 / (((7/5 - 1/2) * 7/9) - 5/8))
[204166] ['1/2', '5/8', '7/5', '8/5', '9/4'] -> ((8/5 / (7/5 - (5/8 / 1/2))) * 9/4)
[204168] ['1/2', '5/8', '7/5', '8/5', '9/7'] -> (9/7 / (5/8 - ((1/2 * 8/5) / 7/5)))
[204174] ['1/2', '5/8', '7/5', '8/7', '9/5'] -> (9/5 / (7/5 * (5/8 - (1/2 * 8/7))))
[204176] ['1/2', '5/8', '7/5', '8/7', '9/8'] -> (9/8 / ((1/2 - (5/8 / 7/5)) / 8/7))
[204189] ['1/2', '5/8', '7/5', '9/4', '9/5'] -> (9/5 / ((5/8 + 9/4) - (7/5 / 1/2)))
[204201] ['1/2', '5/8', '7/6', '7/6', '8/3'] -> (8/3 / ((7/6 * 7/6) - (5/8 / 1/2)))
[204203] ['1/2', '5/8', '7/6', '7/6', '8/7'] -> (8/7 / ((1/2 * 7/6) - (5/8 / 7/6)))
[204205] ['1/2', '5/8', '7/6', '7/6', '9/2'] -> ((9/2 / 1/2) / ((7/6 / 7/6) - 5/8))
[204207] ['1/2', '5/8', '7/6', '7/6', '9/5'] -> (9/5 / ((7/6 / (1/2 + 7/6)) - 5/8))
[204215] ['1/2', '5/8', '7/6', '7/8', '8/9'] -> ((7/6 / ((5/8 * 7/8) - 1/2)) - 8/9)
[204217] ['1/2', '5/8', '7/6', '7/8', '9/4'] -> (((7/6 / (5/8 - 1/2)) / 7/8) * 9/4)
[204226] ['1/2', '5/8', '7/6', '7/9', '9/2'] -> (((7/9 / (5/8 - 1/2)) / 7/6) * 9/2)
[204234] ['1/2', '5/8', '7/6', '8/3', '8/9'] -> (((7/6 * 8/3) / (5/8 - 1/2)) - 8/9)
[204236] ['1/2', '5/8', '7/6', '8/3', '9/4'] -> (9/4 / (1/2 * (5/8 - (7/6 / 8/3))))
[204243] ['1/2', '5/8', '7/6', '8/5', '9/2'] -> ((((7/6 / 1/2) / 5/8) + 8/5) * 9/2)
[204244] ['1/2', '5/8', '7/6', '8/5', '9/4'] -> ((7/6 / (1/2 - (5/8 / 8/5))) * 9/4)
[204249] ['1/2', '5/8', '7/6', '8/7', '8/9'] -> ((7/6 / ((5/8 / 8/7) - 1/2)) - 8/9)
[204251] ['1/2', '5/8', '7/6', '8/7', '9/4'] -> (((7/6 * 8/7) / (5/8 - 1/2)) * 9/4)
[204256] ['1/2', '5/8', '7/6', '8/9', '9/2'] -> (9/2 / (((7/6 / 8/9) - 1/2) - 5/8))
[204257] ['1/2', '5/8', '7/6', '8/9', '9/4'] -> ((8/9 / ((5/8 / 1/2) - 7/6)) * 9/4)
[204259] ['1/2', '5/8', '7/6', '8/9', '9/7'] -> (9/7 / ((5/8 - (1/2 / 8/9)) / 7/6))
[204262] ['1/2', '5/8', '7/6', '9/2', '9/4'] -> ((((9/2 - 7/6) / 1/2) / 5/8) * 9/4)
