[1992828] ['4/9', '5/9', '5/9', '7/9', '8/5'] -> (8/5 / (((4/9 * 7/9) / 5/9) - 5/9))
[2001116] ['5/2', '5/2', '5/6', '8/3', '8/5'] -> (((5/2 + 5/6) + 8/3) * (5/2 * 8/5))
[2001124] ['5/2', '5/2', '5/6', '8/5', '8/5'] -> (((5/2 * 5/2) * (8/5 + 8/5)) / 5/6)
[2001129] ['5/2', '5/2', '5/6', '8/5', '9/5'] -> (((5/2 * (5/2 + 5/6)) * 8/5) * 9/5)
[2001132] ['5/2', '5/2', '5/6', '8/7', '8/7'] -> (8/7 / ((5/2 / 5/2) - (5/6 * 8/7)))
[2001134] ['5/2', '5/2', '5/6', '8/7', '9/2'] -> (((5/2 * 8/7) / 5/6) * (5/2 + 9/2))
[2001146] ['5/2', '5/2', '5/6', '9/2', '9/4'] -> ((((5/2 + 5/2) + 5/6) * 9/2) - 9/4)
[2001148] ['5/2', '5/2', '5/6', '9/2', '9/7'] -> ((5/2 + (5/2 / 9/7)) / (5/6 / 9/2))
[2001151] ['5/2', '5/2', '5/6', '9/4', '9/5'] -> (((5/2 + 5/6) / (5/2 - 9/4)) * 9/5)
[2001154] ['5/2', '5/2', '5/6', '9/5', '9/5'] -> ((5/2 * (5/6 + (5/2 * 9/5))) * 9/5)
[2001156] ['5/2', '5/2', '5/6', '9/5', '9/8'] -> ((5/2 + (5/2 * 9/5)) / (9/8 - 5/6))
[2001181] ['5/2', '5/2', '5/7', '5/8', '5/8'] -> ((5/2 / (5/7 - 5/8)) - (5/2 / 5/8))
[2001186] ['5/2', '5/2', '5/7', '5/8', '7/3'] -> (((5/2 + 5/2) / (5/7 - 5/8)) / 7/3)
[2001193] ['5/2', '5/2', '5/7', '5/8', '8/5'] -> ((5/2 / (5/7 - 5/8)) - (5/2 * 8/5))
[2001194] ['5/2', '5/2', '5/7', '5/8', '8/7'] -> (((5/2 / 5/2) + 8/7) / (5/7 - 5/8))
[2001205] ['5/2', '5/2', '5/7', '5/9', '7/3'] -> ((((5/2 + 5/2) + 5/7) / 5/9) * 7/3)
[2001222] ['5/2', '5/2', '5/7', '6/5', '7/2'] -> ((((5/2 + 5/2) + 5/7) * 6/5) * 7/2)
[2001239] ['5/2', '5/2', '5/7', '6/7', '7/2'] -> (((5/2 + (5/2 / 5/7)) + 6/7) * 7/2)
[2001241] ['5/2', '5/2', '5/7', '6/7', '7/4'] -> ((6/7 / 5/2) / (5/7 - (7/4 / 5/2)))
[2001247] ['5/2', '5/2', '5/7', '6/7', '8/5'] -> (((5/2 / (6/7 - 5/7)) - 5/2) * 8/5)
[2001275] ['5/2', '5/2', '5/7', '7/3', '7/8'] -> (((5/2 / (5/2 - 7/3)) / 5/7) / 7/8)
[2001279] ['5/2', '5/2', '5/7', '7/3', '8/7'] -> (((5/2 * 8/7) / 5/7) / (5/2 - 7/3))
[2001282] ['5/2', '5/2', '5/7', '7/3', '9/4'] -> ((5/2 + ((5/2 * 7/3) / 5/7)) * 9/4)
[2001283] ['5/2', '5/2', '5/7', '7/3', '9/5'] -> ((((5/2 + 5/2) + 5/7) * 7/3) * 9/5)
[2001327] ['5/2', '5/2', '5/7', '7/8', '8/3'] -> (((5/2 / 5/7) / 7/8) / (8/3 - 5/2))
[2001337] ['5/2', '5/2', '5/7', '7/9', '8/3'] -> ((((5/2 + 5/2) / 5/7) / 7/9) * 8/3)
[2001348] ['5/2', '5/2', '5/7', '8/3', '8/7'] -> (((5/2 / (8/3 - 5/2)) / 5/7) * 8/7)
[2001353] ['5/2', '5/2', '5/7', '8/3', '9/7'] -> ((((5/2 + 5/2) * 8/3) / 5/7) * 9/7)
[2001371] ['5/2', '5/2', '5/7', '8/9', '9/2'] -> (((5/2 + (5/2 / 5/7)) * 8/9) * 9/2)
[2001380] ['5/2', '5/2', '5/7', '9/2', '9/8'] -> (((5/2 + (5/2 / 5/7)) * 9/2) / 9/8)
[2001395] ['5/2', '5/2', '5/8', '5/8', '7/2'] -> (5/2 * ((5/2 / 5/8) + (7/2 / 5/8)))
[2001415] ['5/2', '5/2', '5/8', '5/9', '7/3'] -> ((5/2 + (5/2 * 7/3)) / (5/8 * 5/9))
[2001437] ['5/2', '5/2', '5/8', '6/5', '7/8'] -> (((5/2 + 5/2) * 6/5) / (7/8 - 5/8))
[2001443] ['5/2', '5/2', '5/8', '6/5', '9/2'] -> (9/2 / (5/2 - (5/8 * (5/2 + 6/5))))
[2001449] ['5/2', '5/2', '5/8', '6/7', '7/2'] -> ((((5/2 + 5/2) * 6/7) / 5/8) * 7/2)
[2001460] ['5/2', '5/2', '5/8', '6/7', '9/2'] -> (((5/2 * 6/7) / 5/8) * (5/2 + 9/2))
[2001465] ['5/2', '5/2', '5/8', '7/2', '7/2'] -> (((5/2 * (7/2 + 7/2)) - 5/2) / 5/8)
[2001468] ['5/2', '5/2', '5/8', '7/2', '7/5'] -> ((5/2 + (5/2 / 7/5)) / (5/8 / 7/2))
[2001470] ['5/2', '5/2', '5/8', '7/2', '7/8'] -> ((5/2 + 7/2) * ((5/2 + 5/8) + 7/8))
[2001472] ['5/2', '5/2', '5/8', '7/2', '8/3'] -> (((5/8 / 5/2) + (5/2 * 7/2)) * 8/3)
[2001478] ['5/2', '5/2', '5/8', '7/2', '9/5'] -> (9/5 / ((7/2 / (5/2 + 5/2)) - 5/8))
[2001486] ['5/2', '5/2', '5/8', '7/3', '7/9'] -> ((((5/2 + 5/2) * 7/3) / 5/8) / 7/9)
[2001493] ['5/2', '5/2', '5/8', '7/3', '9/5'] -> (((5/2 + (5/2 * 7/3)) / 5/8) * 9/5)
[2001494] ['5/2', '5/2', '5/8', '7/3', '9/7'] -> ((((5/2 + 5/2) * 7/3) / 5/8) * 9/7)
[2001496] ['5/2', '5/2', '5/8', '7/4', '7/4'] -> (((5/2 + 7/4) + 7/4) / (5/8 / 5/2))
[2001506] ['5/2', '5/2', '5/8', '7/4', '9/4'] -> (9/4 / ((5/8 * 7/4) - (5/2 / 5/2)))
[2001507] ['5/2', '5/2', '5/8', '7/4', '9/5'] -> ((5/2 * 9/5) / (7/4 - (5/2 * 5/8)))
[2001508] ['5/2', '5/2', '5/8', '7/4', '9/7'] -> (9/7 / (5/8 - ((5/2 / 5/2) / 7/4)))
[2001510] ['5/2', '5/2', '5/8', '7/5', '7/5'] -> ((5/2 + 7/5) / ((5/2 * 5/8) - 7/5))
[2001512] ['5/2', '5/2', '5/8', '7/5', '7/8'] -> ((5/2 + (5/2 * 7/5)) / (7/8 - 5/8))
[2001523] ['5/2', '5/2', '5/8', '7/6', '7/6'] -> ((5/2 / 5/8) / ((5/2 - 7/6) - 7/6))
[2001537] ['5/2', '5/2', '5/8', '7/8', '8/3'] -> (((5/2 + 5/8) + 7/8) / (8/3 - 5/2))
[2001541] ['5/2', '5/2', '5/8', '7/8', '9/2'] -> ((5/8 + 7/8) + ((5/2 + 5/2) * 9/2))
[2001543] ['5/2', '5/2', '5/8', '7/8', '9/5'] -> (9/5 / (7/8 - (5/2 / (5/2 + 5/8))))
[2001559] ['5/2', '5/2', '5/8', '8/3', '8/9'] -> ((((5/2 + 5/2) * 8/3) / 5/8) / 8/9)
[2001560] ['5/2', '5/2', '5/8', '8/3', '9/2'] -> ((((5/2 + 5/2) / 5/8) - 8/3) * 9/2)
[2001564] ['5/2', '5/2', '5/8', '8/3', '9/8'] -> ((((5/2 + 5/2) * 8/3) / 5/8) * 9/8)
[2001569] ['5/2', '5/2', '5/8', '8/5', '9/4'] -> ((9/4 / 5/2) / (8/5 - (5/2 * 5/8)))
[2001629] ['5/2', '5/2', '5/9', '6/5', '8/3'] -> (8/3 / (5/9 * (6/5 - (5/2 / 5/2))))
[2001633] ['5/2', '5/2', '5/9', '6/5', '9/2'] -> ((((5/2 + 5/2) - 5/9) * 6/5) * 9/2)
[2001665] ['5/2', '5/2', '5/9', '7/2', '8/9'] -> (((5/2 * (5/2 + 7/2)) / 5/9) * 8/9)
[2001670] ['5/2', '5/2', '5/9', '7/2', '9/8'] -> (((5/2 * (5/2 + 7/2)) / 5/9) / 9/8)
[2001675] ['5/2', '5/2', '5/9', '7/3', '7/8'] -> ((((5/2 + 5/2) * 7/3) / 5/9) / 7/8)
[2001676] ['5/2', '5/2', '5/9', '7/3', '7/9'] -> ((5/2 + (5/2 / 7/9)) / (5/9 / 7/3))
[2001678] ['5/2', '5/2', '5/9', '7/3', '8/5'] -> (((5/2 + (5/2 * 7/3)) / 5/9) * 8/5)
[2001679] ['5/2', '5/2', '5/9', '7/3', '8/7'] -> ((((5/2 + 5/2) * 7/3) / 5/9) * 8/7)
[2001680] ['5/2', '5/2', '5/9', '7/3', '8/9'] -> (((5/2 / (5/2 - 7/3)) / 5/9) * 8/9)
[2001684] ['5/2', '5/2', '5/9', '7/3', '9/7'] -> ((5/2 + (5/2 * 9/7)) / (5/9 / 7/3))
[2001685] ['5/2', '5/2', '5/9', '7/3', '9/8'] -> (((5/2 / (5/2 - 7/3)) / 5/9) / 9/8)
[2001727] ['5/2', '5/2', '5/9', '7/8', '8/3'] -> (((5/2 + 5/2) + 8/3) / (7/8 - 5/9))
[2001737] ['5/2', '5/2', '5/9', '7/9', '8/3'] -> (((5/2 + (5/2 / 5/9)) / 7/9) * 8/3)
[2001746] ['5/2', '5/2', '5/9', '8/3', '8/3'] -> (8/3 / (((5/2 + 5/2) * 5/9) - 8/3))
[2001749] ['5/2', '5/2', '5/9', '8/3', '8/9'] -> (((5/2 / (8/3 - 5/2)) / 5/9) * 8/9)
[2001753] ['5/2', '5/2', '5/9', '8/3', '9/7'] -> (((5/2 + (5/2 / 5/9)) * 8/3) * 9/7)
[2001754] ['5/2', '5/2', '5/9', '8/3', '9/8'] -> (((5/2 / (8/3 - 5/2)) / 5/9) / 9/8)
[2001771] ['5/2', '5/2', '5/9', '8/9', '9/2'] -> ((((5/2 + 5/2) + 8/9) - 5/9) * 9/2)
[2001798] ['5/2', '5/2', '6/5', '6/5', '7/8'] -> (6/5 / ((6/5 * 7/8) - (5/2 / 5/2)))
[2001800] ['5/2', '5/2', '6/5', '6/5', '8/3'] -> ((((5/2 * 5/2) * 6/5) * 6/5) * 8/3)
[2001801] ['5/2', '5/2', '6/5', '6/5', '8/5'] -> (((5/2 * 5/2) * (6/5 + 6/5)) * 8/5)
[2001802] ['5/2', '5/2', '6/5', '6/5', '8/7'] -> (6/5 / ((6/5 / 8/7) - (5/2 / 5/2)))
[2001804] ['5/2', '5/2', '6/5', '6/5', '9/2'] -> (6/5 / ((5/2 / (9/2 - 5/2)) - 6/5))
[2001810] ['5/2', '5/2', '6/5', '6/7', '7/2'] -> ((((5/2 + 5/2) * 6/5) + 6/7) * 7/2)
[2001811] ['5/2', '5/2', '6/5', '6/7', '7/3'] -> (((5/2 + 5/2) * (6/5 + 6/7)) * 7/3)
[2001827] ['5/2', '5/2', '6/5', '7/2', '7/3'] -> ((5/2 + 7/2) / (7/3 - (5/2 / 6/5)))
[2001832] ['5/2', '5/2', '6/5', '7/2', '7/9'] -> ((6/5 * 7/2) * (5/2 + (5/2 / 7/9)))
[2001833] ['5/2', '5/2', '6/5', '7/2', '8/3'] -> (((5/2 * 6/5) + (5/2 + 7/2)) * 8/3)
[2001835] ['5/2', '5/2', '6/5', '7/2', '8/7'] -> ((((5/2 + 5/2) * 6/5) * 7/2) * 8/7)
[2001838] ['5/2', '5/2', '6/5', '7/2', '9/4'] -> ((((5/2 * 5/2) * 6/5) * 7/2) - 9/4)
[2001840] ['5/2', '5/2', '6/5', '7/2', '9/7'] -> ((6/5 * 7/2) * (5/2 + (5/2 * 9/7)))
[2001868] ['5/2', '5/2', '6/5', '7/4', '9/5'] -> (((5/2 * 5/2) + 7/4) * (6/5 + 9/5))
[2001875] ['5/2', '5/2', '6/5', '7/5', '8/3'] -> ((5/2 + (5/2 * (6/5 + 7/5))) * 8/3)
[2001879] ['5/2', '5/2', '6/5', '7/5', '9/2'] -> ((((5/2 + 5/2) + 7/5) / 6/5) * 9/2)
[2001902] ['5/2', '5/2', '6/5', '7/8', '9/2'] -> (((5/2 * 6/5) / 7/8) * (5/2 + 9/2))
[2001908] ['5/2', '5/2', '6/5', '7/9', '8/3'] -> (8/3 / (((5/2 + 7/9) / 5/2) - 6/5))
[2001909] ['5/2', '5/2', '6/5', '7/9', '8/5'] -> (8/5 / ((5/2 / 5/2) - (6/5 * 7/9)))
[2001912] ['5/2', '5/2', '6/5', '7/9', '9/2'] -> ((6/5 * (5/2 + (5/2 * 7/9))) * 9/2)
[2001917] ['5/2', '5/2', '6/5', '8/3', '8/3'] -> ((5/2 * 8/3) / (5/2 - (8/3 / 6/5)))
[2001921] ['5/2', '5/2', '6/5', '8/3', '9/2'] -> ((8/3 / ((5/2 * 6/5) - 5/2)) * 9/2)
[2001926] ['5/2', '5/2', '6/5', '8/5', '8/5'] -> (((5/2 * 5/2) * 6/5) * (8/5 + 8/5))
[2001929] ['5/2', '5/2', '6/5', '8/5', '9/2'] -> (9/2 / (5/2 - ((5/2 + 6/5) / 8/5)))
[2001931] ['5/2', '5/2', '6/5', '8/5', '9/5'] -> (((5/2 + 5/2) * 8/5) * (6/5 + 9/5))
[2001934] ['5/2', '5/2', '6/5', '8/7', '8/7'] -> (8/7 / ((5/2 / 5/2) - (8/7 / 6/5)))
[2001936] ['5/2', '5/2', '6/5', '8/7', '9/2'] -> (((5/2 * 6/5) * 8/7) * (5/2 + 9/2))
[2001944] ['5/2', '5/2', '6/5', '8/9', '9/5'] -> (9/5 / (6/5 - ((5/2 / 5/2) / 8/9)))
[2001950] ['5/2', '5/2', '6/5', '9/2', '9/7'] -> ((6/5 * 9/2) * (5/2 + (5/2 / 9/7)))
[2001973] ['5/2', '5/2', '6/7', '6/7', '8/9'] -> (6/7 / ((5/2 / 5/2) - (6/7 / 8/9)))
[2001978] ['5/2', '5/2', '6/7', '6/7', '9/8'] -> (6/7 / ((5/2 / 5/2) - (6/7 * 9/8)))
[2001979] ['5/2', '5/2', '6/7', '7/2', '7/2'] -> ((((5/2 + 5/2) + 6/7) * 7/2) + 7/2)
[2001982] ['5/2', '5/2', '6/7', '7/2', '7/5'] -> (((5/2 + 6/7) + 7/2) * (5/2 * 7/5))
[2001987] ['5/2', '5/2', '6/7', '7/2', '8/5'] -> ((((5/2 + 5/2) * 6/7) * 7/2) * 8/5)
[2001993] ['5/2', '5/2', '6/7', '7/2', '9/7'] -> ((5/2 + 7/2) * (5/2 + (9/7 / 6/7)))
[2001994] ['5/2', '5/2', '6/7', '7/2', '9/8'] -> ((6/7 * 7/2) / (9/8 - (5/2 / 5/2)))
[2002005] ['5/2', '5/2', '6/7', '7/3', '9/2'] -> ((((5/2 + 6/7) * 7/3) - 5/2) * 9/2)
[2002015] ['5/2', '5/2', '6/7', '7/4', '8/3'] -> ((5/2 + (6/7 * 7/4)) / (8/3 - 5/2))
[2002019] ['5/2', '5/2', '6/7', '7/4', '9/2'] -> ((6/7 * 7/4) + ((5/2 + 5/2) * 9/2))
[2002077] ['5/2', '5/2', '6/7', '8/3', '9/7'] -> ((8/3 / ((5/2 / 5/2) - 6/7)) * 9/7)
[2002082] ['5/2', '5/2', '6/7', '8/5', '9/2'] -> (((5/2 * 6/7) * 8/5) * (5/2 + 9/2))
[2002094] ['5/2', '5/2', '6/7', '8/9', '8/9'] -> (8/9 / ((8/9 / 6/7) - (5/2 / 5/2)))
[2002116] ['5/2', '5/2', '7/2', '7/2', '7/3'] -> ((5/2 + 7/2) * (5/2 + (7/2 / 7/3)))
[2002120] ['5/2', '5/2', '7/2', '7/2', '7/8'] -> ((((5/2 + 5/2) * 7/2) + 7/2) / 7/8)
[2002123] ['5/2', '5/2', '7/2', '7/2', '8/5'] -> (((5/2 * (7/2 + 7/2)) - 5/2) * 8/5)
[2002124] ['5/2', '5/2', '7/2', '7/2', '8/7'] -> ((((5/2 + 5/2) * 7/2) + 7/2) * 8/7)
[2002127] ['5/2', '5/2', '7/2', '7/2', '9/4'] -> ((5/2 * ((5/2 * 7/2) + 9/4)) - 7/2)
[2002129] ['5/2', '5/2', '7/2', '7/2', '9/7'] -> (((7/2 + 7/2) * (5/2 + 9/7)) - 5/2)
[2002131] ['5/2', '5/2', '7/2', '7/3', '7/3'] -> ((5/2 + (7/2 / 7/3)) / (5/2 - 7/3))
[2002141] ['5/2', '5/2', '7/2', '7/3', '9/2'] -> ((7/2 / 7/3) + ((5/2 + 5/2) * 9/2))
[2002142] ['5/2', '5/2', '7/2', '7/3', '9/4'] -> (((5/2 + (5/2 * 7/2)) * 7/3) - 9/4)
[2002148] ['5/2', '5/2', '7/2', '7/4', '7/6'] -> (((5/2 * 5/2) + 7/4) * (7/2 / 7/6))
[2002155] ['5/2', '5/2', '7/2', '7/4', '9/2'] -> (((5/2 + 7/2) * (5/2 + 9/2)) / 7/4)
[2002175] ['5/2', '5/2', '7/2', '7/6', '7/9'] -> ((((5/2 + 5/2) * 7/2) + 7/6) / 7/9)
[2002178] ['5/2', '5/2', '7/2', '7/6', '8/7'] -> ((7/2 * 8/7) / (7/6 - (5/2 / 5/2)))
[2002180] ['5/2', '5/2', '7/2', '7/6', '9/2'] -> (((5/2 + 5/2) + (7/6 / 7/2)) * 9/2)
[2002183] ['5/2', '5/2', '7/2', '7/6', '9/7'] -> ((((5/2 + 5/2) * 7/2) + 7/6) * 9/7)
[2002184] ['5/2', '5/2', '7/2', '7/6', '9/8'] -> ((7/2 / 7/6) / (9/8 - (5/2 / 5/2)))
[2002185] ['5/2', '5/2', '7/2', '7/8', '7/8'] -> ((((5/2 * 5/2) * 7/2) - 7/8) / 7/8)
[2002187] ['5/2', '5/2', '7/2', '7/8', '8/3'] -> (((5/2 + 5/2) + (7/2 / 7/8)) * 8/3)
[2002189] ['5/2', '5/2', '7/2', '7/8', '8/7'] -> ((((5/2 * 5/2) * 7/2) - 7/8) * 8/7)
[2002207] ['5/2', '5/2', '7/2', '8/3', '8/5'] -> (8/5 / ((5/2 + (8/3 / 5/2)) - 7/2))
[2002218] ['5/2', '5/2', '7/2', '8/5', '9/2'] -> ((5/2 * (7/2 + 8/5)) + (5/2 * 9/2))
[2002223] ['5/2', '5/2', '7/2', '8/7', '8/7'] -> ((5/2 + 7/2) * ((5/2 * 8/7) + 8/7))
[2002225] ['5/2', '5/2', '7/2', '8/7', '9/2'] -> ((7/2 * (5/2 + 8/7)) + (5/2 * 9/2))
[2002233] ['5/2', '5/2', '7/2', '8/9', '9/5'] -> (((5/2 * (5/2 + 7/2)) * 8/9) * 9/5)
[2002236] ['5/2', '5/2', '7/2', '9/2', '9/2'] -> (((5/2 * (5/2 + 7/2)) + 9/2) + 9/2)
[2002237] ['5/2', '5/2', '7/2', '9/2', '9/4'] -> ((5/2 * ((5/2 + 7/2) + 9/2)) - 9/4)
[2002238] ['5/2', '5/2', '7/2', '9/2', '9/5'] -> (9/2 + (5/2 * ((5/2 + 7/2) + 9/5)))
[2002240] ['5/2', '5/2', '7/2', '9/2', '9/8'] -> ((5/2 + (7/2 * (5/2 + 9/2))) / 9/8)
[2002245] ['5/2', '5/2', '7/2', '9/5', '9/5'] -> (((5/2 + 7/2) * (5/2 + 9/5)) - 9/5)
[2002247] ['5/2', '5/2', '7/2', '9/5', '9/8'] -> (((5/2 * (5/2 + 7/2)) * 9/5) / 9/8)
[2002248] ['5/2', '5/2', '7/2', '9/7', '9/7'] -> (((5/2 + 7/2) * (5/2 + 9/7)) + 9/7)
[2002250] ['5/2', '5/2', '7/2', '9/8', '9/8'] -> ((5/2 + 7/2) / ((5/2 - 9/8) - 9/8))
[2002262] ['5/2', '5/2', '7/3', '7/3', '9/4'] -> (((5/2 * 7/3) + (5/2 + 7/3)) * 9/4)
[2002270] ['5/2', '5/2', '7/3', '7/4', '7/9'] -> (((5/2 * 5/2) + 7/4) * (7/3 / 7/9))
[2002271] ['5/2', '5/2', '7/3', '7/4', '8/3'] -> (((5/2 * 5/2) + 7/4) / (8/3 - 7/3))
[2002275] ['5/2', '5/2', '7/3', '7/4', '9/2'] -> ((5/2 + 9/2) / ((5/2 - 7/3) * 7/4))
[2002276] ['5/2', '5/2', '7/3', '7/4', '9/4'] -> (((5/2 * 7/4) / (5/2 - 7/3)) - 9/4)
[2002278] ['5/2', '5/2', '7/3', '7/4', '9/7'] -> (((5/2 * 5/2) + 7/4) * (7/3 * 9/7))
[2002282] ['5/2', '5/2', '7/3', '7/5', '7/8'] -> (((5/2 * 7/5) / (5/2 - 7/3)) / 7/8)
[2002283] ['5/2', '5/2', '7/3', '7/5', '7/9'] -> (((5/2 + 5/2) * (7/3 + 7/5)) / 7/9)
[2002286] ['5/2', '5/2', '7/3', '7/5', '8/7'] -> (((5/2 * 7/5) / (5/2 - 7/3)) * 8/7)
[2002289] ['5/2', '5/2', '7/3', '7/5', '9/4'] -> ((5/2 + ((5/2 * 7/3) * 7/5)) * 9/4)
[2002291] ['5/2', '5/2', '7/3', '7/5', '9/7'] -> (((5/2 + 5/2) * (7/3 + 7/5)) * 9/7)
[2002297] ['5/2', '5/2', '7/3', '7/6', '8/5'] -> (((5/2 + 7/3) + 7/6) * (5/2 * 8/5))
[2002306] ['5/2', '5/2', '7/3', '7/8', '7/9'] -> ((7/3 / ((5/2 / 5/2) - 7/8)) / 7/9)
[2002308] ['5/2', '5/2', '7/3', '7/8', '8/5'] -> ((5/2 * 8/5) / ((7/3 / 7/8) - 5/2))
[2002310] ['5/2', '5/2', '7/3', '7/8', '8/9'] -> ((7/3 / 7/8) / ((5/2 / 5/2) - 8/9))
[2002313] ['5/2', '5/2', '7/3', '7/8', '9/5'] -> ((((5/2 + 5/2) * 7/3) / 7/8) * 9/5)
[2002314] ['5/2', '5/2', '7/3', '7/8', '9/7'] -> ((7/3 / ((5/2 / 5/2) - 7/8)) * 9/7)
[2002318] ['5/2', '5/2', '7/3', '7/9', '8/5'] -> ((((5/2 + 5/2) * 7/3) / 7/9) * 8/5)
[2002321] ['5/2', '5/2', '7/3', '7/9', '9/2'] -> (((5/2 + 5/2) + (7/9 / 7/3)) * 9/2)
[2002323] ['5/2', '5/2', '7/3', '7/9', '9/5'] -> ((7/3 * (5/2 + (5/2 / 7/9))) * 9/5)
[2002325] ['5/2', '5/2', '7/3', '7/9', '9/8'] -> ((7/3 / 7/9) / (9/8 - (5/2 / 5/2)))
[2002328] ['5/2', '5/2', '7/3', '8/3', '8/7'] -> ((7/3 * 8/3) * ((5/2 + 5/2) - 8/7))
[2002330] ['5/2', '5/2', '7/3', '8/3', '9/2'] -> ((((5/2 + 5/2) + 8/3) - 7/3) * 9/2)
[2002340] ['5/2', '5/2', '7/3', '8/5', '9/5'] -> (((5/2 + (5/2 * 7/3)) * 8/5) * 9/5)
[2002341] ['5/2', '5/2', '7/3', '8/5', '9/7'] -> ((((5/2 + 5/2) * 7/3) * 8/5) * 9/7)
[2002343] ['5/2', '5/2', '7/3', '8/7', '8/7'] -> (((5/2 * 8/7) + 8/7) / (5/2 - 7/3))
[2002344] ['5/2', '5/2', '7/3', '8/7', '8/9'] -> ((7/3 * 8/7) / ((5/2 / 5/2) - 8/9))
[2002347] ['5/2', '5/2', '7/3', '8/7', '9/5'] -> ((((5/2 + 5/2) * 7/3) * 8/7) * 9/5)
[2002353] ['5/2', '5/2', '7/3', '8/9', '9/5'] -> (((5/2 * 8/9) / (5/2 - 7/3)) * 9/5)
[2002359] ['5/2', '5/2', '7/3', '9/2', '9/7'] -> ((7/3 * 9/2) * ((5/2 / 5/2) + 9/7))
[2002361] ['5/2', '5/2', '7/3', '9/4', '9/4'] -> ((((5/2 + 5/2) * 7/3) * 9/4) - 9/4)
[2002365] ['5/2', '5/2', '7/3', '9/5', '9/5'] -> (((5/2 + 9/5) / (5/2 - 7/3)) - 9/5)
[2002366] ['5/2', '5/2', '7/3', '9/5', '9/7'] -> ((7/3 * 9/5) * (5/2 + (5/2 * 9/7)))
[2002367] ['5/2', '5/2', '7/3', '9/5', '9/8'] -> (((5/2 * 9/5) / (5/2 - 7/3)) / 9/8)
[2002369] ['5/2', '5/2', '7/3', '9/7', '9/8'] -> ((7/3 * 9/7) / (9/8 - (5/2 / 5/2)))
[2002377] ['5/2', '5/2', '7/4', '7/4', '8/5'] -> (((5/2 + 7/4) + 7/4) * (5/2 * 8/5))
[2002381] ['5/2', '5/2', '7/4', '7/4', '9/4'] -> (((5/2 + 7/4) + 7/4) / (5/2 - 9/4))
[2002394] ['5/2', '5/2', '7/4', '7/5', '9/4'] -> ((5/2 + (5/2 * 7/5)) * (7/4 + 9/4))
[2002401] ['5/2', '5/2', '7/4', '7/6', '8/3'] -> ((5/2 + (7/4 / 7/6)) / (8/3 - 5/2))
[2002405] ['5/2', '5/2', '7/4', '7/6', '9/2'] -> ((7/4 / 7/6) + ((5/2 + 5/2) * 9/2))
[2002406] ['5/2', '5/2', '7/4', '7/6', '9/4'] -> ((7/4 + 9/4) / (7/6 - (5/2 / 5/2)))
[2002434] ['5/2', '5/2', '7/4', '8/3', '8/9'] -> ((((5/2 * 5/2) + 7/4) * 8/3) / 8/9)
[2002443] ['5/2', '5/2', '7/4', '8/5', '9/2'] -> (((5/2 * 8/5) / (5/2 - 7/4)) * 9/2)
[2002444] ['5/2', '5/2', '7/4', '8/5', '9/4'] -> (9/4 / ((7/4 / 8/5) - (5/2 / 5/2)))
[2002445] ['5/2', '5/2', '7/4', '8/5', '9/5'] -> ((5/2 * 9/5) / (7/4 - (5/2 / 8/5)))
[2002481] ['5/2', '5/2', '7/5', '7/5', '8/5'] -> ((5/2 + 7/5) / ((5/2 / 8/5) - 7/5))
[2002493] ['5/2', '5/2', '7/5', '7/6', '8/5'] -> (8/5 / (((5/2 + 7/6) / 5/2) - 7/5))
[2002503] ['5/2', '5/2', '7/5', '7/8', '8/3'] -> (((5/2 * 7/5) / 7/8) / (8/3 - 5/2))
[2002504] ['5/2', '5/2', '7/5', '7/8', '8/5'] -> ((7/5 + 8/5) / ((5/2 / 5/2) - 7/8))
[2002513] ['5/2', '5/2', '7/5', '7/9', '8/3'] -> ((((5/2 + 5/2) * 7/5) / 7/9) * 8/3)
[2002524] ['5/2', '5/2', '7/5', '8/3', '8/7'] -> (((5/2 * 7/5) / (8/3 - 5/2)) * 8/7)
[2002529] ['5/2', '5/2', '7/5', '8/3', '9/7'] -> ((((5/2 + 5/2) * 7/5) * 8/3) * 9/7)
[2002538] ['5/2', '5/2', '7/5', '8/5', '9/8'] -> ((7/5 + 8/5) / (9/8 - (5/2 / 5/2)))
[2002547] ['5/2', '5/2', '7/5', '8/9', '9/2'] -> (((5/2 + (5/2 * 7/5)) * 8/9) * 9/2)
[2002556] ['5/2', '5/2', '7/5', '9/2', '9/8'] -> (((5/2 + (5/2 * 7/5)) * 9/2) / 9/8)
[2002571] ['5/2', '5/2', '7/6', '7/6', '8/5'] -> ((5/2 * 8/5) / ((5/2 - 7/6) - 7/6))
[2002587] ['5/2', '5/2', '7/6', '7/8', '9/5'] -> ((5/2 + (5/2 * 9/5)) / (7/6 - 7/8))
[2002591] ['5/2', '5/2', '7/6', '7/9', '8/3'] -> ((5/2 + (7/6 / 7/9)) / (8/3 - 5/2))
[2002595] ['5/2', '5/2', '7/6', '7/9', '9/2'] -> ((7/6 / 7/9) + ((5/2 + 5/2) * 9/2))
[2002624] ['5/2', '5/2', '7/6', '8/9', '8/9'] -> (8/9 / ((7/6 * 8/9) - (5/2 / 5/2)))
[2002625] ['5/2', '5/2', '7/6', '8/9', '9/2'] -> ((8/9 / (7/6 - (5/2 / 5/2))) * 9/2)
[2002639] ['5/2', '5/2', '7/6', '9/5', '9/5'] -> (9/5 / ((5/2 / (5/2 - 7/6)) - 9/5))
