[1197886] ['1/9', '2/9', '4/3', '7/4', '7/8'] -> (((4/3 * 7/4) / (2/9 - 1/9)) / 7/8)
[1206480] ['1/9', '3/2', '5/2', '7/3', '9/5'] -> ((((3/2 / 1/9) + 7/3) - 5/2) * 9/5)
[1206493] ['1/9', '3/2', '5/2', '7/4', '9/4'] -> ((((5/2 * 7/4) / 1/9) / 3/2) - 9/4)
[1206496] ['1/9', '3/2', '5/2', '7/4', '9/8'] -> (((5/2 / 1/9) + (3/2 * 7/4)) - 9/8)
[1206499] ['1/9', '3/2', '5/2', '7/5', '7/8'] -> ((((5/2 * 7/5) / 1/9) / 3/2) / 7/8)
[1206503] ['1/9', '3/2', '5/2', '7/5', '8/7'] -> ((((5/2 * 7/5) / 1/9) / 3/2) * 8/7)
[1206504] ['1/9', '3/2', '5/2', '7/5', '8/9'] -> (((5/2 / (3/2 - 7/5)) - 1/9) - 8/9)
[1206512] ['1/9', '3/2', '5/2', '7/6', '7/9'] -> ((((3/2 + 5/2) / 1/9) / 7/6) * 7/9)
[1206520] ['1/9', '3/2', '5/2', '7/6', '9/7'] -> ((((3/2 + 5/2) / 1/9) / 7/6) / 9/7)
[1206526] ['1/9', '3/2', '5/2', '7/8', '8/7'] -> (((3/2 + (5/2 / 1/9)) * 7/8) * 8/7)
[1206535] ['1/9', '3/2', '5/2', '7/9', '8/5'] -> (8/5 / ((7/9 - (3/2 / 5/2)) - 1/9))
[1206537] ['1/9', '3/2', '5/2', '7/9', '8/9'] -> ((((5/2 / 1/9) - 3/2) / 7/9) * 8/9)
[1206538] ['1/9', '3/2', '5/2', '7/9', '9/2'] -> (((7/9 / 1/9) - (5/2 / 3/2)) * 9/2)
[1206539] ['1/9', '3/2', '5/2', '7/9', '9/4'] -> ((((3/2 * 5/2) * 7/9) / 1/9) - 9/4)
[1206541] ['1/9', '3/2', '5/2', '7/9', '9/7'] -> (((3/2 + (5/2 / 1/9)) / 7/9) / 9/7)
[1206542] ['1/9', '3/2', '5/2', '7/9', '9/8'] -> ((((5/2 / 1/9) - 3/2) / 7/9) / 9/8)
[1206546] ['1/9', '3/2', '5/2', '8/3', '8/9'] -> ((3/2 / ((8/3 - 1/9) - 5/2)) * 8/9)
[1206547] ['1/9', '3/2', '5/2', '8/3', '9/2'] -> ((((1/9 * 3/2) + 5/2) + 8/3) * 9/2)
[1206548] ['1/9', '3/2', '5/2', '8/3', '9/4'] -> (((5/2 * (8/3 - 3/2)) / 1/9) - 9/4)
[1206549] ['1/9', '3/2', '5/2', '8/3', '9/5'] -> ((((3/2 / 1/9) + 5/2) - 8/3) * 9/5)
[1206551] ['1/9', '3/2', '5/2', '8/3', '9/8'] -> ((3/2 / ((8/3 - 1/9) - 5/2)) / 9/8)
[1206554] ['1/9', '3/2', '5/2', '8/5', '8/9'] -> (((5/2 / (8/5 - 3/2)) - 1/9) - 8/9)
[1206565] ['1/9', '3/2', '5/2', '8/7', '9/7'] -> ((((5/2 / 3/2) + 8/7) / 1/9) - 9/7)
[1206570] ['1/9', '3/2', '5/2', '8/9', '9/5'] -> ((((5/2 * 8/9) / 1/9) / 3/2) * 9/5)
[1206572] ['1/9', '3/2', '5/2', '8/9', '9/8'] -> (((3/2 + (5/2 / 1/9)) / 8/9) / 9/8)
[1206574] ['1/9', '3/2', '5/2', '9/2', '9/4'] -> ((3/2 * ((1/9 + 5/2) + 9/2)) * 9/4)
[1206586] ['1/9', '3/2', '5/2', '9/7', '9/8'] -> ((((5/2 / 1/9) - 3/2) * 9/7) / 9/8)
[1206588] ['1/9', '3/2', '5/3', '5/3', '5/3'] -> (3/2 * ((5/3 / 1/9) + (5/3 / 5/3)))
[1206596] ['1/9', '3/2', '5/3', '5/3', '7/2'] -> (((3/2 + (5/3 / 1/9)) * 5/3) - 7/2)
[1206598] ['1/9', '3/2', '5/3', '5/3', '7/4'] -> ((5/3 + 5/3) / ((7/4 - 1/9) - 3/2))
[1206608] ['1/9', '3/2', '5/3', '5/3', '9/4'] -> (((1/9 + 5/3) / (5/3 - 3/2)) * 9/4)
[1206611] ['1/9', '3/2', '5/3', '5/3', '9/8'] -> (((5/3 / 1/9) / 5/3) / (3/2 - 9/8))
[1206635] ['1/9', '3/2', '5/3', '5/6', '5/6'] -> (((5/3 + (5/6 / 3/2)) / 1/9) / 5/6)
[1206639] ['1/9', '3/2', '5/3', '5/6', '6/5'] -> (((5/3 + (5/6 / 3/2)) / 1/9) * 6/5)
[1206642] ['1/9', '3/2', '5/3', '5/6', '7/3'] -> ((((3/2 * 5/3) / 1/9) - 5/6) + 7/3)
[1206651] ['1/9', '3/2', '5/3', '5/6', '8/9'] -> ((((3/2 * 5/3) / 1/9) / 5/6) * 8/9)
[1206652] ['1/9', '3/2', '5/3', '5/6', '9/2'] -> ((3/2 + ((5/3 / 1/9) / 5/6)) + 9/2)
[1206656] ['1/9', '3/2', '5/3', '5/6', '9/8'] -> ((((3/2 * 5/3) / 1/9) / 5/6) / 9/8)
[1206673] ['1/9', '3/2', '5/3', '5/7', '9/2'] -> ((((5/3 / 1/9) / 5/7) - 3/2) + 9/2)
[1206683] ['1/9', '3/2', '5/3', '5/8', '7/3'] -> (7/3 / ((5/3 - (1/9 * 5/8)) - 3/2))
[1206685] ['1/9', '3/2', '5/3', '5/8', '7/5'] -> (7/5 / ((1/9 * (3/2 - 5/8)) / 5/3))
[1206698] ['1/9', '3/2', '5/3', '5/9', '5/9'] -> ((((5/3 + 5/9) / 1/9) / 3/2) / 5/9)
[1206701] ['1/9', '3/2', '5/3', '5/9', '7/2'] -> ((((3/2 * 5/3) + 5/9) / 1/9) - 7/2)
[1206712] ['1/9', '3/2', '5/3', '5/9', '9/2'] -> ((3/2 + ((5/3 / 1/9) / 5/9)) - 9/2)
[1206714] ['1/9', '3/2', '5/3', '5/9', '9/5'] -> ((((5/3 + 5/9) / 1/9) / 3/2) * 9/5)
[1206727] ['1/9', '3/2', '5/3', '6/5', '8/5'] -> (8/5 / (((5/3 - 1/9) - 3/2) * 6/5))
[1206729] ['1/9', '3/2', '5/3', '6/5', '8/9'] -> ((((3/2 * 5/3) * 6/5) / 1/9) * 8/9)
[1206730] ['1/9', '3/2', '5/3', '6/5', '9/2'] -> ((3/2 + ((5/3 * 6/5) / 1/9)) + 9/2)
[1206731] ['1/9', '3/2', '5/3', '6/5', '9/4'] -> (((5/3 + (3/2 / 6/5)) / 1/9) - 9/4)
[1206732] ['1/9', '3/2', '5/3', '6/5', '9/5'] -> (((5/3 + (6/5 / 3/2)) / 1/9) + 9/5)
[1206734] ['1/9', '3/2', '5/3', '6/5', '9/8'] -> ((((3/2 * 5/3) * 6/5) / 1/9) / 9/8)
[1206738] ['1/9', '3/2', '5/3', '6/7', '7/4'] -> (((5/3 / 1/9) - (3/2 * 6/7)) * 7/4)
[1206745] ['1/9', '3/2', '5/3', '6/7', '8/7'] -> (8/7 / (((5/3 - 1/9) - 3/2) * 6/7))
[1206746] ['1/9', '3/2', '5/3', '6/7', '8/9'] -> (8/9 / ((5/3 - (1/9 / 6/7)) - 3/2))
[1206748] ['1/9', '3/2', '5/3', '6/7', '9/4'] -> ((((3/2 * 5/3) / 1/9) / 6/7) - 9/4)
[1206763] ['1/9', '3/2', '5/3', '7/2', '9/2'] -> ((((1/9 * 3/2) + 5/3) + 7/2) * 9/2)
[1206767] ['1/9', '3/2', '5/3', '7/2', '9/8'] -> ((((3/2 + 7/2) / 1/9) / 5/3) / 9/8)
[1206769] ['1/9', '3/2', '5/3', '7/3', '7/4'] -> ((7/3 / ((5/3 - 1/9) - 3/2)) / 7/4)
[1206777] ['1/9', '3/2', '5/3', '7/3', '8/9'] -> (8/9 / (5/3 - ((1/9 + 7/3) / 3/2)))
[1206783] ['1/9', '3/2', '5/3', '7/4', '7/4'] -> ((((5/3 / 3/2) + 7/4) / 1/9) - 7/4)
[1206787] ['1/9', '3/2', '5/3', '7/4', '7/9'] -> (7/9 / ((1/9 * (5/3 - 3/2)) * 7/4))
[1206793] ['1/9', '3/2', '5/3', '7/4', '9/4'] -> ((3/2 / ((1/9 + 5/3) - 7/4)) / 9/4)
[1206795] ['1/9', '3/2', '5/3', '7/4', '9/7'] -> (((5/3 + (3/2 / 7/4)) / 1/9) + 9/7)
[1206796] ['1/9', '3/2', '5/3', '7/4', '9/8'] -> ((3/2 * ((5/3 / 1/9) + 7/4)) - 9/8)
[1206797] ['1/9', '3/2', '5/3', '7/5', '7/5'] -> ((((5/3 / 3/2) + 7/5) / 1/9) + 7/5)
[1206802] ['1/9', '3/2', '5/3', '7/5', '8/5'] -> (8/5 / (((5/3 - 7/5) / 3/2) - 1/9))
[1206805] ['1/9', '3/2', '5/3', '7/5', '9/2'] -> ((((5/3 * 7/5) / 1/9) - 3/2) + 9/2)
[1206811] ['1/9', '3/2', '5/3', '7/6', '7/8'] -> ((7/6 / ((5/3 - 1/9) - 3/2)) / 7/8)
[1206814] ['1/9', '3/2', '5/3', '7/6', '8/5'] -> ((5/3 * ((7/6 / 1/9) - 3/2)) * 8/5)
[1206815] ['1/9', '3/2', '5/3', '7/6', '8/7'] -> ((7/6 / ((5/3 - 1/9) - 3/2)) * 8/7)
[1206828] ['1/9', '3/2', '5/3', '7/8', '9/2'] -> (9/2 / (5/3 - (3/2 * (1/9 + 7/8))))
[1206837] ['1/9', '3/2', '5/3', '7/9', '8/9'] -> (8/9 / (1/9 * ((5/3 / 3/2) - 7/9)))
[1206843] ['1/9', '3/2', '5/3', '8/3', '8/3'] -> ((((5/3 * 8/3) / 1/9) / 3/2) - 8/3)
[1206845] ['1/9', '3/2', '5/3', '8/3', '8/7'] -> ((((3/2 * 8/3) - 5/3) / 1/9) * 8/7)
[1206846] ['1/9', '3/2', '5/3', '8/3', '8/9'] -> (8/9 / (((8/3 - 1/9) / 3/2) - 5/3))
[1206847] ['1/9', '3/2', '5/3', '8/3', '9/2'] -> (((3/2 * (1/9 + 5/3)) + 8/3) * 9/2)
[1206868] ['1/9', '3/2', '5/3', '8/9', '9/2'] -> ((1/9 / ((3/2 / 8/9) - 5/3)) * 9/2)
[1206872] ['1/9', '3/2', '5/3', '8/9', '9/8'] -> (((5/3 + (3/2 * 8/9)) / 1/9) / 9/8)
[1206885] ['1/9', '3/2', '5/3', '9/7', '9/7'] -> (((5/3 + (9/7 / 3/2)) / 1/9) + 9/7)
[1206887] ['1/9', '3/2', '5/3', '9/8', '9/8'] -> (((5/3 + (3/2 / 9/8)) / 1/9) / 9/8)
[1206889] ['1/9', '3/2', '5/4', '5/4', '5/6'] -> ((5/6 / 1/9) / ((3/2 - 5/4) * 5/4))
[1206900] ['1/9', '3/2', '5/4', '5/4', '7/8'] -> ((((5/4 + 5/4) / 1/9) - 3/2) / 7/8)
[1206904] ['1/9', '3/2', '5/4', '5/4', '8/7'] -> ((((5/4 + 5/4) / 1/9) - 3/2) * 8/7)
[1206905] ['1/9', '3/2', '5/4', '5/4', '8/9'] -> ((5/4 + 5/4) + ((3/2 + 8/9) / 1/9))
[1206910] ['1/9', '3/2', '5/4', '5/4', '9/8'] -> (((5/4 / 1/9) / 5/4) / (3/2 - 9/8))
[1206914] ['1/9', '3/2', '5/4', '5/6', '5/9'] -> ((5/9 / 1/9) / ((3/2 - 5/4) * 5/6))
[1206918] ['1/9', '3/2', '5/4', '5/6', '7/3'] -> (7/3 / (((3/2 - 5/4) * 5/6) - 1/9))
[1206919] ['1/9', '3/2', '5/4', '5/6', '7/4'] -> ((5/4 + ((3/2 + 5/6) / 1/9)) + 7/4)
[1206927] ['1/9', '3/2', '5/4', '5/6', '8/9'] -> (((3/2 + (5/4 / 5/6)) / 1/9) * 8/9)
[1206928] ['1/9', '3/2', '5/4', '5/6', '9/2'] -> (((3/2 + (5/6 / 5/4)) / 1/9) + 9/2)
[1206929] ['1/9', '3/2', '5/4', '5/6', '9/4'] -> (((3/2 + 5/6) / (1/9 / 5/4)) - 9/4)
[1206954] ['1/9', '3/2', '5/4', '5/8', '5/8'] -> (((5/4 + (5/8 / 3/2)) / 1/9) / 5/8)
[1206955] ['1/9', '3/2', '5/4', '5/8', '5/9'] -> (5/9 / (1/9 * ((5/4 / 3/2) - 5/8)))
[1206958] ['1/9', '3/2', '5/4', '5/8', '7/2'] -> (7/2 / (5/4 - (3/2 * (1/9 + 5/8))))
[1206966] ['1/9', '3/2', '5/4', '5/8', '8/5'] -> (((5/4 + (5/8 / 3/2)) / 1/9) * 8/5)
[1206968] ['1/9', '3/2', '5/4', '5/8', '8/9'] -> ((((3/2 * 5/4) / 1/9) / 5/8) * 8/9)
[1206969] ['1/9', '3/2', '5/4', '5/8', '9/2'] -> ((3/2 + ((5/4 / 1/9) / 5/8)) + 9/2)
[1206973] ['1/9', '3/2', '5/4', '5/8', '9/8'] -> ((((3/2 * 5/4) / 1/9) / 5/8) / 9/8)
[1206982] ['1/9', '3/2', '5/4', '5/9', '7/8'] -> (((3/2 + 5/9) / (1/9 / 5/4)) + 7/8)
[1206989] ['1/9', '3/2', '5/4', '5/9', '9/4'] -> ((3/2 + ((5/4 / 1/9) / 5/9)) + 9/4)
[1206993] ['1/9', '3/2', '5/4', '6/5', '6/5'] -> (6/5 / (1/9 * (5/4 - (6/5 / 3/2))))
[1206996] ['1/9', '3/2', '5/4', '6/5', '7/3'] -> (7/3 / (((3/2 - 5/4) / 6/5) - 1/9))
[1207005] ['1/9', '3/2', '5/4', '6/5', '8/9'] -> (((3/2 + (5/4 * 6/5)) / 1/9) * 8/9)
[1207011] ['1/9', '3/2', '5/4', '6/7', '6/7'] -> (((3/2 + (5/4 * 6/7)) / 1/9) + 6/7)
[1207018] ['1/9', '3/2', '5/4', '6/7', '7/9'] -> (((6/7 / (3/2 - 5/4)) / 1/9) * 7/9)
[1207021] ['1/9', '3/2', '5/4', '6/7', '8/7'] -> (8/7 / (1/9 * (3/2 - (5/4 * 6/7))))
[1207022] ['1/9', '3/2', '5/4', '6/7', '8/9'] -> (((5/4 + (3/2 / 6/7)) / 1/9) * 8/9)
[1207026] ['1/9', '3/2', '5/4', '6/7', '9/7'] -> (((6/7 / (3/2 - 5/4)) / 1/9) / 9/7)
[1207027] ['1/9', '3/2', '5/4', '6/7', '9/8'] -> (((5/4 + (3/2 / 6/7)) / 1/9) / 9/8)
[1207030] ['1/9', '3/2', '5/4', '7/2', '7/4'] -> ((5/4 + ((7/2 / 1/9) / 3/2)) + 7/4)
[1207056] ['1/9', '3/2', '5/4', '7/3', '9/5'] -> (((3/2 / 5/4) + (7/3 / 1/9)) + 9/5)
[1207062] ['1/9', '3/2', '5/4', '7/4', '7/8'] -> ((5/4 + ((3/2 * 7/4) / 1/9)) - 7/8)
[1207067] ['1/9', '3/2', '5/4', '7/4', '8/9'] -> (((3/2 / (7/4 - 5/4)) / 1/9) * 8/9)
[1207068] ['1/9', '3/2', '5/4', '7/4', '9/2'] -> ((3/2 * ((5/4 / 1/9) + 7/4)) + 9/2)
[1207072] ['1/9', '3/2', '5/4', '7/4', '9/8'] -> (((3/2 / (7/4 - 5/4)) / 1/9) / 9/8)
[1207073] ['1/9', '3/2', '5/4', '7/5', '7/5'] -> (7/5 / (3/2 * ((7/5 - 1/9) - 5/4)))
[1207088] ['1/9', '3/2', '5/4', '7/6', '7/9'] -> (7/9 / ((1/9 * (3/2 - 5/4)) * 7/6))
[1207090] ['1/9', '3/2', '5/4', '7/6', '8/5'] -> ((5/4 * (3/2 + (7/6 / 1/9))) * 8/5)
[1207091] ['1/9', '3/2', '5/4', '7/6', '8/7'] -> (8/7 / (1/9 * (3/2 - (5/4 / 7/6))))
[1207097] ['1/9', '3/2', '5/4', '7/6', '9/8'] -> (((5/4 + (3/2 * 7/6)) / 1/9) / 9/8)
[1207099] ['1/9', '3/2', '5/4', '7/8', '7/9'] -> (7/9 / (((1/9 + 5/4) / 3/2) - 7/8))
[1207105] ['1/9', '3/2', '5/4', '7/8', '9/4'] -> (((5/4 / 1/9) - (7/8 / 3/2)) * 9/4)
[1207130] ['1/9', '3/2', '5/4', '8/5', '8/9'] -> ((((3/2 * 5/4) * 8/5) / 1/9) * 8/9)
[1207131] ['1/9', '3/2', '5/4', '8/5', '9/2'] -> ((3/2 + ((5/4 * 8/5) / 1/9)) + 9/2)
[1207135] ['1/9', '3/2', '5/4', '8/5', '9/8'] -> ((((3/2 * 5/4) * 8/5) / 1/9) / 9/8)
[1207151] ['1/9', '3/2', '5/4', '9/2', '9/5'] -> ((((3/2 + 9/2) / 1/9) / 5/4) / 9/5)
[1207160] ['1/9', '3/2', '5/4', '9/5', '9/8'] -> ((((3/2 / 5/4) + 9/5) / 1/9) / 9/8)
[1207163] ['1/9', '3/2', '5/4', '9/8', '9/8'] -> ((((3/2 * 5/4) + 9/8) / 1/9) / 9/8)
[1207164] ['1/9', '3/2', '5/6', '5/6', '5/6'] -> (3/2 + (((5/6 + 5/6) + 5/6) / 1/9))
[1207166] ['1/9', '3/2', '5/6', '5/6', '5/8'] -> (((5/6 / 1/9) / 3/2) / (5/6 - 5/8))
[1207168] ['1/9', '3/2', '5/6', '5/6', '6/5'] -> ((((3/2 + 5/6) / 1/9) / 5/6) - 6/5)
[1207170] ['1/9', '3/2', '5/6', '5/6', '7/2'] -> ((3/2 + (5/6 / 1/9)) * (7/2 - 5/6))
[1207181] ['1/9', '3/2', '5/6', '5/6', '9/2'] -> ((((3/2 + 5/6) + 5/6) / 1/9) - 9/2)
[1207185] ['1/9', '3/2', '5/6', '5/6', '9/8'] -> (((5/6 / 1/9) / 5/6) / (3/2 - 9/8))
[1207187] ['1/9', '3/2', '5/6', '5/7', '5/8'] -> ((((3/2 + 5/6) * 5/7) / 1/9) / 5/8)
[1207194] ['1/9', '3/2', '5/6', '5/7', '7/5'] -> (7/5 / (1/9 / (5/6 + (3/2 * 5/7))))
[1207196] ['1/9', '3/2', '5/6', '5/7', '7/8'] -> (7/8 / (1/9 / ((3/2 + 5/6) + 5/7)))
[1207198] ['1/9', '3/2', '5/6', '5/7', '8/3'] -> ((((5/6 / 1/9) / 5/7) - 3/2) * 8/3)
[1207199] ['1/9', '3/2', '5/6', '5/7', '8/5'] -> ((((3/2 + 5/6) * 5/7) / 1/9) * 8/5)
[1207201] ['1/9', '3/2', '5/6', '5/7', '8/9'] -> (8/9 / (1/9 * (3/2 - (5/6 / 5/7))))
[1207211] ['1/9', '3/2', '5/6', '5/8', '7/2'] -> (7/2 / (3/2 * ((5/6 - 1/9) - 5/8)))
[1207214] ['1/9', '3/2', '5/6', '5/8', '7/5'] -> ((((3/2 + 5/6) / 1/9) / 5/8) / 7/5)
[1207240] ['1/9', '3/2', '5/6', '5/9', '8/9'] -> (((3/2 + (5/6 / 5/9)) / 1/9) * 8/9)
[1207241] ['1/9', '3/2', '5/6', '5/9', '9/2'] -> (((3/2 + (5/9 / 5/6)) / 1/9) + 9/2)
[1207245] ['1/9', '3/2', '5/6', '5/9', '9/8'] -> (((3/2 + (5/6 / 5/9)) / 1/9) / 9/8)
[1207246] ['1/9', '3/2', '5/6', '6/5', '6/5'] -> ((((3/2 + 5/6) * 6/5) / 1/9) - 6/5)
[1207255] ['1/9', '3/2', '5/6', '6/5', '8/3'] -> (((6/5 / 1/9) - (3/2 / 5/6)) * 8/3)
[1207258] ['1/9', '3/2', '5/6', '6/5', '8/9'] -> ((((3/2 / 5/6) + 6/5) / 1/9) * 8/9)
[1207261] ['1/9', '3/2', '5/6', '6/5', '9/5'] -> ((((3/2 + 5/6) / 1/9) + 6/5) + 9/5)
[1207263] ['1/9', '3/2', '5/6', '6/5', '9/8'] -> ((((3/2 / 5/6) + 6/5) / 1/9) / 9/8)
[1207281] ['1/9', '3/2', '5/6', '7/2', '7/2'] -> ((5/6 * (3/2 + (7/2 / 1/9))) - 7/2)
[1207289] ['1/9', '3/2', '5/6', '7/2', '8/5'] -> (((5/6 * (7/2 - 3/2)) / 1/9) * 8/5)
[1207293] ['1/9', '3/2', '5/6', '7/2', '9/4'] -> ((((3/2 + 7/2) / 1/9) / 5/6) / 9/4)
[1207301] ['1/9', '3/2', '5/6', '7/3', '7/8'] -> (((3/2 + (5/6 / 1/9)) * 7/3) / 7/8)
[1207305] ['1/9', '3/2', '5/6', '7/3', '8/7'] -> (((3/2 + (5/6 / 1/9)) * 7/3) * 8/7)
[1207307] ['1/9', '3/2', '5/6', '7/3', '9/2'] -> ((((3/2 + 5/6) * 7/3) - 1/9) * 9/2)
[1207308] ['1/9', '3/2', '5/6', '7/3', '9/4'] -> ((((3/2 * 5/6) * 7/3) / 1/9) - 9/4)
[1207315] ['1/9', '3/2', '5/6', '7/4', '7/8'] -> ((3/2 * (5/6 + (7/4 / 1/9))) - 7/8)
[1207318] ['1/9', '3/2', '5/6', '7/4', '8/5'] -> (8/5 / (1/9 * ((7/4 / 5/6) - 3/2)))
[1207325] ['1/9', '3/2', '5/6', '7/4', '9/8'] -> ((((3/2 * 5/6) + 7/4) / 1/9) / 9/8)
[1207330] ['1/9', '3/2', '5/6', '7/5', '8/3'] -> ((((5/6 * 7/5) / 1/9) - 3/2) * 8/3)
[1207333] ['1/9', '3/2', '5/6', '7/5', '8/9'] -> (8/9 / (1/9 * (3/2 - (5/6 * 7/5))))
[1207335] ['1/9', '3/2', '5/6', '7/5', '9/4'] -> (((3/2 + 7/5) / (1/9 / 5/6)) + 9/4)
[1207342] ['1/9', '3/2', '5/6', '7/6', '8/3'] -> (8/3 / (((7/6 - 5/6) / 3/2) - 1/9))
[1207345] ['1/9', '3/2', '5/6', '7/6', '8/9'] -> (((3/2 * (5/6 + 7/6)) / 1/9) * 8/9)
[1207346] ['1/9', '3/2', '5/6', '7/6', '9/2'] -> ((3/2 + ((5/6 + 7/6) / 1/9)) + 9/2)
[1207347] ['1/9', '3/2', '5/6', '7/6', '9/4'] -> ((((3/2 * 5/6) + 7/6) / 1/9) + 9/4)
[1207350] ['1/9', '3/2', '5/6', '7/6', '9/8'] -> (((3/2 * (5/6 + 7/6)) / 1/9) / 9/8)
[1207352] ['1/9', '3/2', '5/6', '7/8', '7/9'] -> (7/9 / (((1/9 / 3/2) + 5/6) - 7/8))
[1207365] ['1/9', '3/2', '5/6', '7/9', '8/7'] -> (8/7 / (1/9 * (3/2 - (5/6 / 7/9))))
[1207368] ['1/9', '3/2', '5/6', '7/9', '9/4'] -> (((3/2 * (5/6 + 7/9)) / 1/9) + 9/4)
[1207373] ['1/9', '3/2', '5/6', '8/3', '8/5'] -> ((((8/3 - 5/6) / 1/9) - 3/2) * 8/5)
[1207374] ['1/9', '3/2', '5/6', '8/3', '8/7'] -> ((((5/6 + 8/3) / 1/9) / 3/2) * 8/7)
[1207380] ['1/9', '3/2', '5/6', '8/3', '9/8'] -> ((((8/3 / 1/9) - 3/2) / 5/6) / 9/8)
[1207389] ['1/9', '3/2', '5/6', '8/7', '8/7'] -> (((5/6 / (3/2 - 8/7)) / 1/9) * 8/7)
[1207400] ['1/9', '3/2', '5/6', '8/9', '9/7'] -> (9/7 / ((1/9 / (3/2 + 5/6)) / 8/9))
[1207401] ['1/9', '3/2', '5/6', '8/9', '9/8'] -> ((3/2 / ((1/9 + 5/6) - 8/9)) / 9/8)
[1207413] ['1/9', '3/2', '5/6', '9/5', '9/8'] -> (((3/2 + (5/6 * 9/5)) / 1/9) / 9/8)
[1207415] ['1/9', '3/2', '5/6', '9/7', '9/8'] -> ((((3/2 + 5/6) * 9/7) / 1/9) / 9/8)
[1207419] ['1/9', '3/2', '5/7', '5/7', '5/9'] -> ((5/7 + 5/9) / ((1/9 * 5/7) / 3/2))
[1207437] ['1/9', '3/2', '5/7', '5/7', '9/8'] -> (((5/7 / 1/9) / 5/7) / (3/2 - 9/8))
[1207442] ['1/9', '3/2', '5/7', '5/8', '7/2'] -> (7/2 / (((1/9 * 3/2) * 5/8) / 5/7))
[1207461] ['1/9', '3/2', '5/7', '5/9', '7/2'] -> (((3/2 + (5/9 / 5/7)) / 1/9) + 7/2)
[1207464] ['1/9', '3/2', '5/7', '5/9', '7/5'] -> (7/5 / ((1/9 / (5/7 + 5/9)) / 3/2))
[1207496] ['1/9', '3/2', '5/7', '6/7', '7/2'] -> ((((3/2 + 6/7) / 1/9) - 5/7) + 7/2)
[1207501] ['1/9', '3/2', '5/7', '6/7', '7/8'] -> (((3/2 + (5/7 / 6/7)) / 1/9) / 7/8)
[1207503] ['1/9', '3/2', '5/7', '6/7', '8/3'] -> ((3/2 + ((5/7 / 1/9) / 6/7)) * 8/3)
[1207512] ['1/9', '3/2', '5/7', '7/2', '7/2'] -> (((5/7 / 1/9) + (3/2 / 7/2)) * 7/2)
[1207513] ['1/9', '3/2', '5/7', '7/2', '7/3'] -> (((5/7 + (3/2 / 7/2)) / 1/9) * 7/3)
[1207514] ['1/9', '3/2', '5/7', '7/2', '7/4'] -> ((((7/2 / 1/9) - 3/2) / 5/7) / 7/4)
[1207515] ['1/9', '3/2', '5/7', '7/2', '7/5'] -> (((3/2 / 5/7) + (7/2 / 1/9)) / 7/5)
[1207521] ['1/9', '3/2', '5/7', '7/2', '8/7'] -> ((((5/7 * 7/2) / 1/9) - 3/2) * 8/7)
[1207526] ['1/9', '3/2', '5/7', '7/2', '9/7'] -> ((((5/7 + 7/2) / 1/9) / 3/2) - 9/7)
[1207546] ['1/9', '3/2', '5/7', '7/4', '7/8'] -> ((((3/2 / 1/9) + 5/7) * 7/4) - 7/8)
[1207571] ['1/9', '3/2', '5/7', '7/6', '7/8'] -> (((3/2 + (5/7 * 7/6)) / 1/9) / 7/8)
[1207573] ['1/9', '3/2', '5/7', '7/6', '8/3'] -> ((3/2 + ((5/7 * 7/6) / 1/9)) * 8/3)
[1207604] ['1/9', '3/2', '5/7', '8/3', '8/5'] -> ((((8/3 / 1/9) / 3/2) / 5/7) + 8/5)
[1207635] ['1/9', '3/2', '5/7', '9/2', '9/5'] -> ((((9/2 / 5/7) - 3/2) / 1/9) / 9/5)
[1207638] ['1/9', '3/2', '5/7', '9/4', '9/4'] -> ((((9/4 / 1/9) - 3/2) / 5/7) - 9/4)
[1207646] ['1/9', '3/2', '5/7', '9/7', '9/8'] -> (((3/2 * (5/7 + 9/7)) / 1/9) / 9/8)
[1207649] ['1/9', '3/2', '5/8', '5/8', '5/9'] -> ((5/9 / 1/9) / (5/8 - (5/8 / 3/2)))
[1207652] ['1/9', '3/2', '5/8', '5/8', '7/2'] -> (7/2 / ((3/2 * (5/8 - 1/9)) - 5/8))
[1207653] ['1/9', '3/2', '5/8', '5/8', '7/3'] -> (7/3 / ((5/8 - (5/8 / 3/2)) - 1/9))
[1207655] ['1/9', '3/2', '5/8', '5/8', '7/5'] -> ((((3/2 / 1/9) + 5/8) / 5/8) + 7/5)
[1207657] ['1/9', '3/2', '5/8', '5/8', '7/8'] -> ((3/2 + (7/8 / 1/9)) / (5/8 * 5/8))
[1207667] ['1/9', '3/2', '5/8', '5/8', '9/8'] -> (((5/8 / 1/9) / 5/8) / (3/2 - 9/8))
[1207668] ['1/9', '3/2', '5/8', '5/9', '5/9'] -> (5/9 / (1/9 * ((3/2 * 5/9) - 5/8)))
[1207682] ['1/9', '3/2', '5/8', '5/9', '9/2'] -> ((((5/9 / 1/9) / 3/2) / 5/8) * 9/2)
[1207687] ['1/9', '3/2', '5/8', '6/5', '6/5'] -> ((((3/2 / 1/9) / 5/8) + 6/5) + 6/5)
[1207700] ['1/9', '3/2', '5/8', '6/5', '9/2'] -> (9/2 / ((1/9 * 5/8) * (3/2 + 6/5)))
[1207725] ['1/9', '3/2', '5/8', '7/2', '7/5'] -> ((((7/2 / 1/9) / 3/2) / 5/8) / 7/5)
[1207733] ['1/9', '3/2', '5/8', '7/2', '9/2'] -> (((7/2 - (1/9 * 3/2)) / 5/8) * 9/2)
