[1737601] ['3/4', '6/7', '7/6', '9/5', '9/5'] -> (9/5 / (((3/4 + 6/7) * 7/6) - 9/5))
[1757001] ['3/5', '3/8', '5/9', '8/7', '8/7'] -> (8/7 / ((3/8 - (3/5 * 5/9)) * 8/7))
[1757008] ['3/5', '3/8', '5/9', '8/9', '8/9'] -> (8/9 / ((3/8 - (3/5 * 5/9)) * 8/9))
[1757013] ['3/5', '3/8', '5/9', '8/9', '9/8'] -> (9/8 / ((3/8 - (3/5 * 5/9)) / 8/9))
[1757014] ['3/5', '3/8', '5/9', '9/2', '9/2'] -> ((9/2 / (3/8 - (3/5 * 5/9))) / 9/2)
[1757019] ['3/5', '3/8', '5/9', '9/4', '9/4'] -> (9/4 / ((3/8 - (3/5 * 5/9)) * 9/4))
[1757028] ['3/5', '3/8', '5/9', '9/8', '9/8'] -> ((9/8 / (3/8 - (3/5 * 5/9))) / 9/8)
[1757029] ['3/5', '3/8', '6/5', '6/5', '6/5'] -> (6/5 / ((3/5 / 6/5) - (3/8 * 6/5)))
[1757034] ['3/5', '3/8', '6/5', '6/5', '7/5'] -> (((3/5 + 6/5) / 3/8) / (7/5 - 6/5))
[1757036] ['3/5', '3/8', '6/5', '6/5', '7/8'] -> ((6/5 + 6/5) / ((3/5 + 3/8) - 7/8))
[1757048] ['3/5', '3/8', '6/5', '6/7', '7/2'] -> ((6/7 / ((3/5 / 6/5) - 3/8)) * 7/2)
[1757061] ['3/5', '3/8', '6/5', '6/7', '9/5'] -> (9/5 / (3/5 - ((3/8 * 6/5) / 6/7)))
[1757068] ['3/5', '3/8', '6/5', '7/2', '7/6'] -> ((7/2 / ((3/5 / 6/5) - 3/8)) / 7/6)
[1757075] ['3/5', '3/8', '6/5', '7/2', '9/2'] -> ((3/5 / ((3/8 * 7/2) - 6/5)) * 9/2)
[1757076] ['3/5', '3/8', '6/5', '7/2', '9/4'] -> ((((3/5 / 6/5) + 7/2) / 3/8) * 9/4)
[1757093] ['3/5', '3/8', '6/5', '7/3', '9/7'] -> (9/7 / (((3/5 / 6/5) - 3/8) / 7/3))
[1757104] ['3/5', '3/8', '6/5', '7/4', '9/2'] -> (9/2 / (((3/8 * 6/5) * 7/4) - 3/5))
[1757105] ['3/5', '3/8', '6/5', '7/4', '9/4'] -> (9/4 / (3/8 * ((6/5 / 3/5) - 7/4)))
[1757108] ['3/5', '3/8', '6/5', '7/4', '9/8'] -> (9/8 / (((3/8 * 7/4) - 3/5) / 6/5))
[1757117] ['3/5', '3/8', '6/5', '7/5', '9/2'] -> ((((6/5 + 7/5) - 3/5) / 3/8) * 9/2)
[1757119] ['3/5', '3/8', '6/5', '7/5', '9/5'] -> (9/5 / ((6/5 - (3/8 * 7/5)) - 3/5))
[1757120] ['3/5', '3/8', '6/5', '7/5', '9/7'] -> (9/7 / (((6/5 - 3/5) / 7/5) - 3/8))
[1757131] ['3/5', '3/8', '6/5', '7/6', '9/5'] -> (9/5 / (3/5 - ((3/8 * 6/5) * 7/6)))
[1757136] ['3/5', '3/8', '6/5', '7/8', '8/3'] -> (8/3 / ((7/8 / (3/5 + 6/5)) - 3/8))
[1757147] ['3/5', '3/8', '6/5', '7/9', '8/5'] -> (8/5 / (3/8 * ((3/5 + 7/9) - 6/5)))
[1757156] ['3/5', '3/8', '6/5', '8/3', '8/5'] -> (8/5 / ((3/5 + 8/3) - (6/5 / 3/8)))
[1757159] ['3/5', '3/8', '6/5', '8/3', '9/2'] -> (9/2 / (3/8 - ((3/5 / 6/5) / 8/3)))
[1757163] ['3/5', '3/8', '6/5', '8/3', '9/8'] -> (9/8 / (((3/5 / 6/5) - 3/8) / 8/3))
[1757168] ['3/5', '3/8', '6/5', '8/5', '9/4'] -> ((8/5 / (3/5 - (3/8 * 6/5))) * 9/4)
[1757180] ['3/5', '3/8', '6/5', '8/9', '9/2'] -> (9/2 / (((3/5 / 6/5) / 8/9) - 3/8))
[1757181] ['3/5', '3/8', '6/5', '8/9', '9/4'] -> (9/4 / (3/5 - ((3/8 * 6/5) / 8/9)))
[1757186] ['3/5', '3/8', '6/5', '9/2', '9/4'] -> (((9/2 - (3/5 / 6/5)) / 3/8) * 9/4)
[1757187] ['3/5', '3/8', '6/5', '9/2', '9/5'] -> ((((3/5 / 6/5) + 9/2) / 3/8) * 9/5)
[1757190] ['3/5', '3/8', '6/5', '9/4', '9/4'] -> (9/4 / (3/8 * (9/4 - (6/5 / 3/5))))
[1757199] ['3/5', '3/8', '6/5', '9/8', '9/8'] -> (((3/5 / (6/5 - 9/8)) / 3/8) * 9/8)
[1757235] ['3/5', '3/8', '6/7', '7/3', '7/5'] -> ((3/5 / ((3/8 * 7/3) - 6/7)) / 7/5)
[1757245] ['3/5', '3/8', '6/7', '7/3', '9/5'] -> (9/5 / (3/8 - ((3/5 / 6/7) / 7/3)))
[1757253] ['3/5', '3/8', '6/7', '7/4', '8/3'] -> ((6/7 / (3/8 - (3/5 / 7/4))) - 8/3)
[1757259] ['3/5', '3/8', '6/7', '7/4', '9/5'] -> (9/5 / (((6/7 - 3/5) * 7/4) - 3/8))
[1757260] ['3/5', '3/8', '6/7', '7/4', '9/7'] -> (9/7 / ((3/8 + (6/7 / 3/5)) - 7/4))
[1757262] ['3/5', '3/8', '6/7', '7/5', '7/5'] -> (7/5 / ((3/8 / (6/7 - 3/5)) - 7/5))
[1757268] ['3/5', '3/8', '6/7', '7/5', '8/7'] -> (8/7 / ((7/5 / 3/5) - (6/7 / 3/8)))
[1757272] ['3/5', '3/8', '6/7', '7/5', '9/5'] -> (9/5 / (((6/7 - 3/8) * 7/5) - 3/5))
[1757295] ['3/5', '3/8', '6/7', '7/8', '9/5'] -> (9/5 / (((3/5 * 6/7) * 7/8) - 3/8))
[1757305] ['3/5', '3/8', '6/7', '7/9', '9/5'] -> (9/5 / ((3/8 * (6/7 - 3/5)) * 7/9))
[1757306] ['3/5', '3/8', '6/7', '7/9', '9/7'] -> (9/7 / (6/7 - ((3/8 / 3/5) / 7/9)))
[1757348] ['3/5', '3/8', '6/7', '9/5', '9/7'] -> (9/7 / ((3/8 * (6/7 - 3/5)) / 9/5))
[1757363] ['3/5', '3/8', '7/2', '7/2', '8/9'] -> ((((7/2 / 3/5) + 7/2) / 3/8) - 8/9)
[1757366] ['3/5', '3/8', '7/2', '7/2', '9/5'] -> ((7/2 / 7/2) / (3/8 - (3/5 / 9/5)))
[1757408] ['3/5', '3/8', '7/2', '7/5', '9/5'] -> (9/5 / (3/8 * (3/5 - (7/5 / 7/2))))
[1757409] ['3/5', '3/8', '7/2', '7/5', '9/7'] -> (9/7 / ((3/8 / (3/5 + 7/5)) / 7/2))
[1757421] ['3/5', '3/8', '7/2', '7/6', '9/7'] -> (9/7 / (3/8 / ((7/2 / 3/5) + 7/6)))
[1757426] ['3/5', '3/8', '7/2', '7/8', '8/5'] -> (8/5 / (((7/8 / 3/8) / 7/2) - 3/5))
[1757431] ['3/5', '3/8', '7/2', '7/8', '9/5'] -> (9/5 / (3/5 * (3/8 - (7/8 / 7/2))))
[1757456] ['3/5', '3/8', '7/2', '8/5', '9/2'] -> (9/2 / (3/8 * ((3/5 * 7/2) - 8/5)))
[1757458] ['3/5', '3/8', '7/2', '8/5', '9/5'] -> ((((7/2 * 8/5) - 3/5) / 3/8) * 9/5)
[1757459] ['3/5', '3/8', '7/2', '8/5', '9/7'] -> (9/7 / (3/8 * (3/5 - (8/5 / 7/2))))
[1757475] ['3/5', '3/8', '7/2', '9/2', '9/4'] -> ((((9/2 / 3/5) - 7/2) / 3/8) * 9/4)
[1757479] ['3/5', '3/8', '7/2', '9/4', '9/4'] -> (9/4 / (3/8 * ((9/4 / 3/5) - 7/2)))
[1757480] ['3/5', '3/8', '7/2', '9/4', '9/5'] -> (9/5 / ((3/5 * (3/8 + 7/2)) - 9/4))
[1757491] ['3/5', '3/8', '7/3', '7/3', '7/5'] -> (7/5 / (7/3 - ((3/5 + 3/8) * 7/3)))
[1757501] ['3/5', '3/8', '7/3', '7/3', '9/5'] -> ((7/3 / 7/3) / (3/8 - (3/5 / 9/5)))
[1757518] ['3/5', '3/8', '7/3', '7/5', '7/5'] -> (7/5 / (((3/8 * 7/3) / 3/5) - 7/5))
[1757523] ['3/5', '3/8', '7/3', '7/5', '8/5'] -> (8/5 / ((7/3 / 7/5) - (3/5 / 3/8)))
[1757526] ['3/5', '3/8', '7/3', '7/5', '9/2'] -> ((((3/5 / 3/8) + 7/3) + 7/5) * 9/2)
[1757528] ['3/5', '3/8', '7/3', '7/5', '9/5'] -> (9/5 / ((3/5 + (3/8 * 7/3)) - 7/5))
[1757535] ['3/5', '3/8', '7/3', '7/6', '8/5'] -> (8/5 / (7/6 - (3/8 * (3/5 + 7/3))))
[1757568] ['3/5', '3/8', '7/3', '8/3', '9/2'] -> ((3/5 * ((7/3 / 3/8) + 8/3)) * 9/2)
[1757569] ['3/5', '3/8', '7/3', '8/3', '9/4'] -> (((7/3 / 3/8) + (8/3 / 3/5)) * 9/4)
[1757579] ['3/5', '3/8', '7/3', '8/5', '9/7'] -> (9/7 / (((8/5 - 3/5) / 7/3) - 3/8))
[1757586] ['3/5', '3/8', '7/3', '8/7', '9/7'] -> (9/7 / ((7/3 - (8/7 / 3/5)) - 3/8))
[1757591] ['3/5', '3/8', '7/3', '8/9', '9/5'] -> ((3/5 / (8/9 - (3/8 * 7/3))) / 9/5)
[1757620] ['3/5', '3/8', '7/4', '7/4', '9/5'] -> ((7/4 / 7/4) / (3/8 - (3/5 / 9/5)))
[1757627] ['3/5', '3/8', '7/4', '7/5', '8/3'] -> ((3/5 + ((7/4 + 7/5) / 3/8)) * 8/3)
[1757630] ['3/5', '3/8', '7/4', '7/5', '8/9'] -> ((7/5 / ((3/8 * 7/4) - 3/5)) - 8/9)
[1757665] ['3/5', '3/8', '7/4', '7/9', '9/4'] -> (((7/4 / (7/9 - 3/5)) / 3/8) - 9/4)
[1757674] ['3/5', '3/8', '7/4', '8/3', '9/4'] -> (9/4 / (3/8 * ((7/4 / 3/5) - 8/3)))
[1757675] ['3/5', '3/8', '7/4', '8/3', '9/5'] -> (9/5 / ((3/5 * (3/8 + 8/3)) - 7/4))
[1757690] ['3/5', '3/8', '7/4', '8/7', '9/5'] -> (9/5 / (3/8 - ((3/5 / 7/4) / 8/7)))
[1757701] ['3/5', '3/8', '7/4', '9/2', '9/5'] -> ((3/5 / ((7/4 / 9/2) - 3/8)) / 9/5)
[1757709] ['3/5', '3/8', '7/4', '9/5', '9/7'] -> (9/7 / (((9/5 / 7/4) - 3/5) - 3/8))
[1757711] ['3/5', '3/8', '7/4', '9/7', '9/7'] -> (9/7 / (3/5 * ((7/4 - 3/8) - 9/7)))
[1757713] ['3/5', '3/8', '7/4', '9/8', '9/8'] -> (9/8 / (3/8 * ((9/8 / 3/5) - 7/4)))
[1757714] ['3/5', '3/8', '7/5', '7/5', '7/5'] -> (3/5 / ((7/5 - (7/5 / 7/5)) - 3/8))
[1757717] ['3/5', '3/8', '7/5', '7/5', '7/9'] -> ((7/5 / (3/5 - (3/8 * 7/5))) / 7/9)
[1757725] ['3/5', '3/8', '7/5', '7/5', '9/7'] -> ((7/5 / (3/5 - (3/8 * 7/5))) * 9/7)
[1757730] ['3/5', '3/8', '7/5', '7/6', '8/3'] -> (8/3 / (((7/6 - 3/5) / 3/8) - 7/5))
[1757742] ['3/5', '3/8', '7/5', '7/8', '8/5'] -> ((3/8 / ((7/8 / 7/5) - 3/5)) * 8/5)
[1757745] ['3/5', '3/8', '7/5', '7/8', '9/2'] -> ((7/5 + ((3/5 + 7/8) / 3/8)) * 9/2)
[1757749] ['3/5', '3/8', '7/5', '7/8', '9/8'] -> (9/8 / (((3/5 / 7/5) - 3/8) * 7/8))
[1757753] ['3/5', '3/8', '7/5', '7/9', '8/7'] -> (((7/5 / (7/9 - 3/5)) / 3/8) * 8/7)
[1757757] ['3/5', '3/8', '7/5', '7/9', '9/5'] -> (9/5 / (((3/8 * 7/5) / 7/9) - 3/5))
[1757758] ['3/5', '3/8', '7/5', '7/9', '9/7'] -> (9/7 / ((3/8 / 7/9) - (3/5 / 7/5)))
[1757765] ['3/5', '3/8', '7/5', '8/3', '9/4'] -> ((((7/5 / 3/8) + 8/3) / 3/5) * 9/4)
[1757767] ['3/5', '3/8', '7/5', '8/3', '9/7'] -> (9/7 / ((7/5 / (3/5 + 8/3)) - 3/8))
[1757772] ['3/5', '3/8', '7/5', '8/5', '9/2'] -> (((8/5 / (7/5 - 3/5)) / 3/8) * 9/2)
[1757776] ['3/5', '3/8', '7/5', '8/5', '9/8'] -> (9/8 / ((3/5 - (3/8 * 7/5)) / 8/5))
[1757777] ['3/5', '3/8', '7/5', '8/7', '8/7'] -> (8/7 / (((8/7 - 3/5) / 3/8) - 7/5))
[1757782] ['3/5', '3/8', '7/5', '8/7', '9/7'] -> (9/7 / (((7/5 - 8/7) / 3/5) - 3/8))
[1757783] ['3/5', '3/8', '7/5', '8/7', '9/8'] -> (9/8 / (((3/5 / 7/5) - 3/8) / 8/7))
[1757784] ['3/5', '3/8', '7/5', '8/9', '8/9'] -> (8/9 / ((8/9 / 3/8) - (7/5 / 3/5)))
[1757790] ['3/5', '3/8', '7/5', '9/2', '9/2'] -> (((3/5 + (7/5 / 3/8)) * 9/2) + 9/2)
[1757795] ['3/5', '3/8', '7/5', '9/4', '9/4'] -> (9/4 / (3/8 * ((9/4 - 3/5) - 7/5)))
[1757799] ['3/5', '3/8', '7/5', '9/5', '9/5'] -> (9/5 / (3/8 * ((3/5 + 7/5) - 9/5)))
[1757800] ['3/5', '3/8', '7/5', '9/5', '9/7'] -> (9/7 / (((3/8 * 9/5) - 3/5) / 7/5))
[1757802] ['3/5', '3/8', '7/5', '9/7', '9/7'] -> (9/7 / ((3/8 * 9/7) - (3/5 / 7/5)))
[1757814] ['3/5', '3/8', '7/6', '7/6', '9/5'] -> ((7/6 / 7/6) / (3/8 - (3/5 / 9/5)))
[1757819] ['3/5', '3/8', '7/6', '7/8', '8/3'] -> (8/3 / (((7/6 - 7/8) / 3/5) - 3/8))
[1757825] ['3/5', '3/8', '7/6', '7/8', '9/5'] -> (9/5 / (((3/5 * 7/8) / 7/6) - 3/8))
[1757835] ['3/5', '3/8', '7/6', '7/9', '9/5'] -> ((3/5 / ((7/6 - 3/8) - 7/9)) / 9/5)
[1757842] ['3/5', '3/8', '7/6', '8/3', '9/2'] -> (9/2 / ((3/8 / 3/5) - (7/6 / 8/3)))
[1757858] ['3/5', '3/8', '7/6', '8/7', '9/4'] -> (((3/8 / (7/6 - 8/7)) / 3/5) - 9/4)
[1757859] ['3/5', '3/8', '7/6', '8/7', '9/5'] -> (9/5 / (((3/5 / 7/6) / 8/7) - 3/8))
[1757868] ['3/5', '3/8', '7/6', '9/2', '9/2'] -> (((3/5 * (9/2 - 7/6)) / 3/8) * 9/2)
[1757886] ['3/5', '3/8', '7/8', '7/8', '8/5'] -> ((7/8 + 8/5) / (3/8 * (7/8 - 3/5)))
[1757891] ['3/5', '3/8', '7/8', '7/8', '9/5'] -> ((7/8 / 7/8) / (3/8 - (3/5 / 9/5)))
[1757904] ['3/5', '3/8', '7/8', '8/3', '8/3'] -> ((8/3 / ((3/5 + 3/8) - 7/8)) - 8/3)
[1757909] ['3/5', '3/8', '7/8', '8/3', '9/4'] -> ((8/3 / (7/8 - (3/8 / 3/5))) * 9/4)
[1757910] ['3/5', '3/8', '7/8', '8/3', '9/5'] -> (9/5 / (3/5 * ((3/8 * 8/3) - 7/8)))
[1757917] ['3/5', '3/8', '7/8', '8/5', '9/4'] -> ((8/5 / ((3/5 * 7/8) - 3/8)) * 9/4)
[1757931] ['3/5', '3/8', '7/8', '8/9', '9/5'] -> (9/5 / (3/8 * (7/8 - (3/5 / 8/9))))
[1757935] ['3/5', '3/8', '7/8', '9/2', '9/4'] -> ((9/2 / (3/5 - (3/8 / 7/8))) - 9/4)
[1757940] ['3/5', '3/8', '7/8', '9/4', '9/5'] -> ((3/5 / ((7/8 / 9/4) - 3/8)) / 9/5)
[1757956] ['3/5', '3/8', '7/9', '7/9', '9/5'] -> ((7/9 / 7/9) / (3/8 - (3/5 / 9/5)))
[1757959] ['3/5', '3/8', '7/9', '8/3', '8/3'] -> (8/3 / (((7/9 / 3/5) / 8/3) - 3/8))
[1757968] ['3/5', '3/8', '7/9', '8/5', '8/5'] -> (8/5 / (3/5 * ((7/9 / 8/5) - 3/8)))
[1757986] ['3/5', '3/8', '7/9', '8/9', '9/5'] -> (((8/9 / (7/9 - 3/5)) / 3/8) * 9/5)
[1757998] ['3/5', '3/8', '7/9', '9/5', '9/5'] -> (9/5 / (3/5 - ((3/8 * 7/9) * 9/5)))
[1758000] ['3/5', '3/8', '7/9', '9/5', '9/8'] -> (((9/5 / (7/9 - 3/5)) / 3/8) / 9/8)
[1758005] ['3/5', '3/8', '8/3', '8/3', '8/5'] -> (8/5 / (8/3 - ((3/5 + 3/8) * 8/3)))
[1758009] ['3/5', '3/8', '8/3', '8/3', '9/4'] -> ((8/3 * 8/3) * ((9/4 / 3/5) - 3/8))
[1758015] ['3/5', '3/8', '8/3', '8/5', '8/9'] -> ((8/3 + (8/5 / 3/8)) / (8/9 - 3/5))
[1758017] ['3/5', '3/8', '8/3', '8/5', '9/4'] -> ((8/5 / (3/8 - (3/5 / 8/3))) * 9/4)
[1758052] ['3/5', '3/8', '8/5', '8/5', '9/2'] -> (9/2 / (3/8 - (3/5 / (8/5 + 8/5))))
[1758054] ['3/5', '3/8', '8/5', '8/5', '9/5'] -> ((8/5 / 8/5) / (3/8 - (3/5 / 9/5)))
[1758059] ['3/5', '3/8', '8/5', '8/7', '9/2'] -> (((3/5 + (8/5 / 8/7)) / 3/8) * 9/2)
[1758060] ['3/5', '3/8', '8/5', '8/7', '9/4'] -> ((8/5 / ((3/5 / 8/7) - 3/8)) * 9/4)
[1758065] ['3/5', '3/8', '8/5', '8/9', '9/2'] -> ((8/5 / ((3/5 / 8/9) - 3/8)) * 9/2)
[1758073] ['3/5', '3/8', '8/5', '9/2', '9/7'] -> ((3/5 / (3/8 - (8/5 / 9/2))) / 9/7)
[1758075] ['3/5', '3/8', '8/5', '9/4', '9/4'] -> (9/4 / (3/8 * (8/5 - (3/5 * 9/4))))
[1758081] ['3/5', '3/8', '8/5', '9/5', '9/8'] -> ((8/5 / ((3/8 * 9/5) - 3/5)) * 9/8)
[1758082] ['3/5', '3/8', '8/5', '9/7', '9/7'] -> (9/7 / (((9/7 - 3/5) / 8/5) - 3/8))
[1758089] ['3/5', '3/8', '8/7', '8/7', '9/5'] -> ((8/7 / 8/7) / (3/8 - (3/5 / 9/5)))
[1758099] ['3/5', '3/8', '8/7', '9/2', '9/4'] -> ((9/2 / (3/5 - (3/8 * 8/7))) - 9/4)
[1758116] ['3/5', '3/8', '8/9', '8/9', '9/5'] -> ((8/9 / 8/9) / (3/8 - (3/5 / 9/5)))
[1758125] ['3/5', '3/8', '8/9', '9/4', '9/5'] -> (9/5 / (3/8 - ((3/5 / 8/9) / 9/4)))
[1758130] ['3/5', '3/8', '8/9', '9/5', '9/8'] -> (9/8 / ((3/8 - (3/5 / 9/5)) / 8/9))
[1758134] ['3/5', '3/8', '9/2', '9/2', '9/2'] -> (((9/2 / 3/5) + (9/2 / 3/8)) + 9/2)
[1758136] ['3/5', '3/8', '9/2', '9/2', '9/5'] -> ((9/2 / 9/2) / (3/8 - (3/5 / 9/5)))
[1758146] ['3/5', '3/8', '9/2', '9/7', '9/7'] -> (9/7 / (3/5 * (3/8 - (9/7 / 9/2))))
[1758150] ['3/5', '3/8', '9/4', '9/4', '9/5'] -> ((9/4 / 9/4) / (3/8 - (3/5 / 9/5)))
[1758156] ['3/5', '3/8', '9/4', '9/7', '9/7'] -> (9/7 / ((3/8 / 3/5) - (9/7 / 9/4)))
[1758161] ['3/5', '3/8', '9/5', '9/5', '9/8'] -> ((9/5 + 9/5) / ((9/8 - 3/5) - 3/8))
[1758164] ['3/5', '3/8', '9/5', '9/8', '9/8'] -> ((9/8 / (3/8 - (3/5 / 9/5))) / 9/8)
[1758176] ['3/5', '4/3', '4/3', '4/3', '5/6'] -> (4/3 / (((4/3 / 3/5) - 4/3) - 5/6))
[1758178] ['3/5', '4/3', '4/3', '4/3', '5/8'] -> (4/3 / (((4/3 * 5/8) / 3/5) - 4/3))
[1758182] ['3/5', '4/3', '4/3', '4/3', '7/2'] -> (4/3 / (((4/3 / 3/5) + 4/3) - 7/2))
[1758183] ['3/5', '4/3', '4/3', '4/3', '7/3'] -> ((4/3 + 4/3) / (7/3 - (4/3 / 3/5)))
[1758190] ['3/5', '4/3', '4/3', '4/3', '8/5'] -> (4/3 / (((4/3 / 3/5) / 8/5) - 4/3))
[1758193] ['3/5', '4/3', '4/3', '4/3', '9/2'] -> (4/3 / (9/2 - ((4/3 + 4/3) / 3/5)))
[1758206] ['3/5', '4/3', '4/3', '4/5', '5/8'] -> (4/5 / ((4/3 * 5/8) - (3/5 * 4/3)))
[1758208] ['3/5', '4/3', '4/3', '4/5', '6/5'] -> ((4/3 * 6/5) / ((3/5 + 4/5) - 4/3))
[1758212] ['3/5', '4/3', '4/3', '4/5', '7/4'] -> (4/5 / (((3/5 / 4/3) + 4/3) - 7/4))
[1758213] ['3/5', '4/3', '4/3', '4/5', '7/5'] -> (((3/5 * 4/3) + 4/5) / (7/5 - 4/3))
[1758217] ['3/5', '4/3', '4/3', '4/5', '8/3'] -> (8/3 / ((4/3 * (4/3 - 4/5)) - 3/5))
[1758218] ['3/5', '4/3', '4/3', '4/5', '8/5'] -> (4/5 / ((4/3 / 8/5) - (3/5 * 4/3)))
[1758220] ['3/5', '4/3', '4/3', '4/5', '8/9'] -> ((4/3 + 4/5) / (8/9 - (3/5 * 4/3)))
[1758221] ['3/5', '4/3', '4/3', '4/5', '9/2'] -> (((4/3 / (4/5 - 3/5)) - 4/3) * 9/2)
[1758223] ['3/5', '4/3', '4/3', '4/5', '9/5'] -> (((4/3 + 4/3) * 9/5) / (4/5 - 3/5))
[1758244] ['3/5', '4/3', '4/3', '4/7', '8/3'] -> (8/3 / ((4/3 / 4/7) - (4/3 / 3/5)))
[1758245] ['3/5', '4/3', '4/3', '4/7', '8/5'] -> (8/5 / (((3/5 * 4/3) / 4/7) - 4/3))
[1758246] ['3/5', '4/3', '4/3', '4/7', '8/7'] -> (8/7 / ((4/3 / 4/3) - (4/7 / 3/5)))
[1758251] ['3/5', '4/3', '4/3', '4/7', '9/7'] -> ((3/5 * (4/3 + 4/7)) / (4/3 - 9/7))
[1758258] ['3/5', '4/3', '4/3', '4/9', '5/7'] -> (((4/3 + 4/3) / (3/5 - 4/9)) / 5/7)
[1758260] ['3/5', '4/3', '4/3', '4/9', '5/9'] -> ((4/3 + (4/3 / 5/9)) / (3/5 - 4/9))
[1758268] ['3/5', '4/3', '4/3', '4/9', '7/8'] -> ((4/3 / 4/9) / ((7/8 / 3/5) - 4/3))
[1758271] ['3/5', '4/3', '4/3', '4/9', '8/5'] -> (8/5 / (((4/3 - 4/9) / 4/3) - 3/5))
[1758276] ['3/5', '4/3', '4/3', '4/9', '9/5'] -> ((4/3 + (4/3 * 9/5)) / (3/5 - 4/9))
[1758278] ['3/5', '4/3', '4/3', '4/9', '9/8'] -> (((4/3 / 3/5) / 4/9) / (4/3 - 9/8))
[1758281] ['3/5', '4/3', '4/3', '5/2', '5/4'] -> (((3/5 * 4/3) * 5/2) / (4/3 - 5/4))
[1758282] ['3/5', '4/3', '4/3', '5/2', '5/6'] -> ((4/3 / (3/5 - (4/3 / 5/2))) / 5/6)
[1758285] ['3/5', '4/3', '4/3', '5/2', '5/9'] -> (((4/3 + 4/3) / 5/2) / (3/5 - 5/9))
[1758286] ['3/5', '4/3', '4/3', '5/2', '6/5'] -> ((4/3 * 6/5) / (3/5 - (4/3 / 5/2)))
[1758291] ['3/5', '4/3', '4/3', '5/2', '7/5'] -> (7/5 / ((3/5 + 4/3) - (5/2 / 4/3)))
[1758299] ['3/5', '4/3', '4/3', '5/2', '9/2'] -> ((((3/5 * 4/3) + 4/3) * 5/2) * 9/2)
[1758306] ['3/5', '4/3', '4/3', '5/3', '5/6'] -> ((4/3 / (5/6 - (3/5 * 4/3))) / 5/3)
[1758308] ['3/5', '4/3', '4/3', '5/3', '5/8'] -> (((4/3 / 4/3) / 5/3) / (5/8 - 3/5))
[1758309] ['3/5', '4/3', '4/3', '5/3', '5/9'] -> (((4/3 * 4/3) / (3/5 - 5/9)) / 5/3)
[1758310] ['3/5', '4/3', '4/3', '5/3', '6/5'] -> ((6/5 / 3/5) / (4/3 - (5/3 / 4/3)))
[1758315] ['3/5', '4/3', '4/3', '5/3', '7/5'] -> ((3/5 + 7/5) / (4/3 - (5/3 / 4/3)))
[1758317] ['3/5', '4/3', '4/3', '5/3', '7/8'] -> ((4/3 + 5/3) / ((7/8 / 3/5) - 4/3))
[1758327] ['3/5', '4/3', '4/3', '5/3', '9/8'] -> (((4/3 + 5/3) / 3/5) / (4/3 - 9/8))
[1758333] ['3/5', '4/3', '4/3', '5/4', '6/5'] -> (((3/5 * 4/3) + 6/5) / (4/3 - 5/4))
[1758342] ['3/5', '4/3', '4/3', '5/4', '8/3'] -> (((4/3 / (4/3 - 5/4)) / 3/5) - 8/3)
[1758343] ['3/5', '4/3', '4/3', '5/4', '8/5'] -> (((8/5 / 3/5) / 4/3) / (4/3 - 5/4))
[1758354] ['3/5', '4/3', '4/3', '5/6', '5/9'] -> ((4/3 / ((3/5 + 5/6) - 4/3)) / 5/9)
[1758355] ['3/5', '4/3', '4/3', '5/6', '6/5'] -> (6/5 / ((4/3 - (3/5 / 4/3)) - 5/6))
[1758358] ['3/5', '4/3', '4/3', '5/6', '7/3'] -> ((4/3 / 5/6) / ((3/5 * 7/3) - 4/3))
[1758365] ['3/5', '4/3', '4/3', '5/6', '8/5'] -> (8/5 / ((4/3 * (4/3 - 5/6)) - 3/5))
[1758367] ['3/5', '4/3', '4/3', '5/6', '8/9'] -> ((4/3 / 5/6) / ((8/9 / 4/3) - 3/5))
[1758368] ['3/5', '4/3', '4/3', '5/6', '9/2'] -> ((((4/3 + 4/3) / 3/5) / 5/6) * 9/2)
[1758370] ['3/5', '4/3', '4/3', '5/6', '9/5'] -> ((4/3 * 9/5) / ((3/5 + 5/6) - 4/3))
[1758386] ['3/5', '4/3', '4/3', '5/7', '8/5'] -> (8/5 / ((3/5 + 4/3) - (4/3 / 5/7)))
[1758387] ['3/5', '4/3', '4/3', '5/7', '8/7'] -> (8/7 / (((3/5 + 4/3) * 5/7) - 4/3))
[1758389] ['3/5', '4/3', '4/3', '5/7', '9/2'] -> (((4/3 + (4/3 / 5/7)) / 3/5) * 9/2)
[1758394] ['3/5', '4/3', '4/3', '5/8', '5/8'] -> ((5/8 / (5/8 - 3/5)) - (4/3 / 4/3))
[1758404] ['3/5', '4/3', '4/3', '5/8', '7/9'] -> (((4/3 + 4/3) / 5/8) / (7/9 - 3/5))
[1758406] ['3/5', '4/3', '4/3', '5/8', '8/5'] -> (8/5 / ((4/3 + 4/3) * (5/8 - 3/5)))
[1758408] ['3/5', '4/3', '4/3', '5/8', '8/9'] -> ((4/3 / (5/8 - 3/5)) / (4/3 + 8/9))
[1758415] ['3/5', '4/3', '4/3', '5/9', '6/5'] -> ((4/3 + 6/5) / (5/9 - (3/5 / 4/3)))
[1758421] ['3/5', '4/3', '4/3', '5/9', '7/6'] -> (((4/3 / 3/5) / 5/9) / (4/3 - 7/6))
[1758424] ['3/5', '4/3', '4/3', '5/9', '8/3'] -> ((4/3 / 5/9) / (3/5 - (4/3 / 8/3)))
