[1105573] ['1/8', '3/5', '4/3', '6/5', '9/8'] -> (9/8 / (((1/8 * 3/5) / 4/3) / 6/5))
[1114305] ['1/8', '3/7', '6/7', '7/2', '9/7'] -> (9/7 / (3/7 - ((1/8 * 6/7) * 7/2)))
[1114314] ['1/8', '3/7', '6/7', '7/3', '8/5'] -> ((((6/7 / 1/8) - 3/7) * 7/3) * 8/5)
[1114324] ['1/8', '3/7', '6/7', '7/4', '7/6'] -> ((((6/7 * 7/4) / 1/8) / 3/7) / 7/6)
[1114332] ['1/8', '3/7', '6/7', '7/4', '9/4'] -> (9/4 / ((1/8 * (6/7 - 3/7)) * 7/4))
[1114334] ['1/8', '3/7', '6/7', '7/4', '9/7'] -> (9/7 / (6/7 - (3/7 * (1/8 + 7/4))))
[1114340] ['1/8', '3/7', '6/7', '7/5', '8/3'] -> ((((6/7 / 1/8) - 3/7) * 7/5) * 8/3)
[1114358] ['1/8', '3/7', '6/7', '7/6', '9/5'] -> ((((3/7 / 6/7) + 7/6) / 1/8) * 9/5)
[1114377] ['1/8', '3/7', '6/7', '7/9', '9/2'] -> (9/2 / ((3/7 * 7/9) - (1/8 / 6/7)))
[1114379] ['1/8', '3/7', '6/7', '7/9', '9/5'] -> (((3/7 / (6/7 - 7/9)) / 1/8) / 9/5)
[1114382] ['1/8', '3/7', '6/7', '8/3', '8/3'] -> ((6/7 / (3/7 - (1/8 * 8/3))) * 8/3)
[1114386] ['1/8', '3/7', '6/7', '8/3', '9/2'] -> (((8/3 - (6/7 / 3/7)) / 1/8) * 9/2)
[1114388] ['1/8', '3/7', '6/7', '8/3', '9/5'] -> ((((6/7 / 1/8) / 3/7) - 8/3) * 9/5)
[1114389] ['1/8', '3/7', '6/7', '8/3', '9/7'] -> (9/7 / ((3/7 / 8/3) - (1/8 * 6/7)))
[1114394] ['1/8', '3/7', '6/7', '8/5', '9/2'] -> (9/2 / (((3/7 / 6/7) / 8/5) - 1/8))
[1114399] ['1/8', '3/7', '6/7', '8/7', '8/7'] -> ((((6/7 / 3/7) + 8/7) / 1/8) - 8/7)
[1114400] ['1/8', '3/7', '6/7', '8/7', '8/9'] -> ((((8/7 / 1/8) / 3/7) / 6/7) - 8/9)
[1114403] ['1/8', '3/7', '6/7', '8/7', '9/5'] -> ((((6/7 / 1/8) - 8/7) / 3/7) * 9/5)
[1114404] ['1/8', '3/7', '6/7', '8/7', '9/7'] -> (9/7 / (3/7 / ((6/7 / 1/8) + 8/7)))
[1114405] ['1/8', '3/7', '6/7', '8/7', '9/8'] -> (9/8 / ((1/8 * (6/7 - 3/7)) / 8/7))
[1114406] ['1/8', '3/7', '6/7', '8/9', '8/9'] -> ((((6/7 / 3/7) + 8/9) / 1/8) + 8/9)
[1114407] ['1/8', '3/7', '6/7', '8/9', '9/2'] -> (((3/7 / (8/9 - 6/7)) / 1/8) / 9/2)
[1114411] ['1/8', '3/7', '6/7', '8/9', '9/8'] -> (9/8 / (1/8 * (6/7 - (3/7 / 8/9))))
[1114415] ['1/8', '3/7', '6/7', '9/2', '9/7'] -> (9/7 / (((1/8 * 6/7) * 9/2) - 3/7))
[1114421] ['1/8', '3/7', '6/7', '9/5', '9/5'] -> (9/5 / (((6/7 / 3/7) - 1/8) - 9/5))
[1114424] ['1/8', '3/7', '6/7', '9/7', '9/7'] -> (((6/7 + (9/7 / 3/7)) / 1/8) / 9/7)
[1114426] ['1/8', '3/7', '6/7', '9/8', '9/8'] -> (9/8 / (1/8 * (6/7 - (3/7 * 9/8))))
[1114429] ['1/8', '3/7', '7/2', '7/2', '7/4'] -> ((((3/7 * 7/2) * 7/2) / 1/8) / 7/4)
[1114431] ['1/8', '3/7', '7/2', '7/2', '7/6'] -> (((7/2 / 1/8) - 7/2) - (3/7 * 7/6))
[1114433] ['1/8', '3/7', '7/2', '7/2', '7/9'] -> ((((7/2 / 1/8) / 3/7) / 7/2) / 7/9)
[1114452] ['1/8', '3/7', '7/2', '7/3', '8/9'] -> (((7/2 / 1/8) - (3/7 * 7/3)) * 8/9)
[1114457] ['1/8', '3/7', '7/2', '7/3', '9/8'] -> (((7/2 / 1/8) - (3/7 * 7/3)) / 9/8)
[1114458] ['1/8', '3/7', '7/2', '7/4', '7/4'] -> (7/4 / (1/8 * ((7/4 / 3/7) - 7/2)))
[1114461] ['1/8', '3/7', '7/2', '7/4', '7/8'] -> ((((3/7 * 7/2) * 7/4) / 1/8) / 7/8)
[1114465] ['1/8', '3/7', '7/2', '7/4', '8/7'] -> ((((3/7 * 7/2) * 7/4) / 1/8) * 8/7)
[1114467] ['1/8', '3/7', '7/2', '7/4', '9/2'] -> (9/2 / (((1/8 + 3/7) * 7/2) - 7/4))
[1114468] ['1/8', '3/7', '7/2', '7/4', '9/4'] -> (9/4 / ((1/8 * 3/7) * (7/2 - 7/4)))
[1114470] ['1/8', '3/7', '7/2', '7/4', '9/7'] -> (9/7 / ((1/8 + 3/7) - (7/4 / 7/2)))
[1114472] ['1/8', '3/7', '7/2', '7/5', '7/5'] -> (7/5 / (((1/8 + 7/5) / 3/7) - 7/2))
[1114485] ['1/8', '3/7', '7/2', '7/6', '7/6'] -> ((((7/2 / 7/6) - 3/7) / 1/8) * 7/6)
[1114486] ['1/8', '3/7', '7/2', '7/6', '7/8'] -> (7/8 / (1/8 / (3/7 + (7/2 / 7/6))))
[1114495] ['1/8', '3/7', '7/2', '7/6', '9/7'] -> (9/7 / (3/7 - ((1/8 * 7/2) / 7/6)))
[1114496] ['1/8', '3/7', '7/2', '7/6', '9/8'] -> (9/8 / (1/8 / ((3/7 * 7/2) + 7/6)))
[1114497] ['1/8', '3/7', '7/2', '7/8', '7/8'] -> (((3/7 + (7/2 / 1/8)) * 7/8) - 7/8)
[1114500] ['1/8', '3/7', '7/2', '7/8', '8/5'] -> (((3/7 * (7/2 + 7/8)) / 1/8) * 8/5)
[1114520] ['1/8', '3/7', '7/2', '8/3', '8/7'] -> ((((7/2 - 1/8) * 8/3) / 3/7) * 8/7)
[1114544] ['1/8', '3/7', '7/2', '8/9', '9/4'] -> ((((3/7 * 7/2) * 8/9) / 1/8) * 9/4)
[1114553] ['1/8', '3/7', '7/2', '9/4', '9/4'] -> (9/4 / (1/8 * (9/4 - (3/7 * 7/2))))
[1114555] ['1/8', '3/7', '7/2', '9/4', '9/7'] -> (9/7 / (3/7 / (1/8 + (7/2 * 9/4))))
[1114556] ['1/8', '3/7', '7/2', '9/4', '9/8'] -> ((((3/7 * 7/2) * 9/4) / 1/8) / 9/8)
[1114562] ['1/8', '3/7', '7/2', '9/8', '9/8'] -> (9/8 / (1/8 * ((3/7 * 7/2) - 9/8)))
[1114563] ['1/8', '3/7', '7/3', '7/3', '7/3'] -> (((7/3 + 7/3) + 7/3) / (1/8 / 3/7))
[1114566] ['1/8', '3/7', '7/3', '7/3', '7/6'] -> ((((7/3 / 1/8) + 7/3) - 3/7) * 7/6)
[1114572] ['1/8', '3/7', '7/3', '7/3', '8/9'] -> ((((7/3 / 3/7) - 7/3) / 1/8) - 8/9)
[1114574] ['1/8', '3/7', '7/3', '7/3', '9/4'] -> (((7/3 - (3/7 * 7/3)) / 1/8) * 9/4)
[1114583] ['1/8', '3/7', '7/3', '7/4', '8/3'] -> ((((7/3 - 3/7) * 7/4) / 1/8) - 8/3)
[1114584] ['1/8', '3/7', '7/3', '7/4', '8/5'] -> (((3/7 * 7/3) + (7/4 / 1/8)) * 8/5)
[1114586] ['1/8', '3/7', '7/3', '7/4', '8/9'] -> ((((7/3 / 1/8) / 3/7) / 7/4) - 8/9)
[1114588] ['1/8', '3/7', '7/3', '7/4', '9/4'] -> (9/4 / (1/8 * (7/4 - (3/7 * 7/3))))
[1114604] ['1/8', '3/7', '7/3', '7/5', '9/8'] -> (9/8 / ((1/8 / (7/3 - 3/7)) / 7/5))
[1114605] ['1/8', '3/7', '7/3', '7/6', '7/6'] -> (7/6 / (1/8 * ((7/6 / 3/7) - 7/3)))
[1114612] ['1/8', '3/7', '7/3', '7/6', '9/2'] -> (9/2 / ((1/8 * 3/7) * (7/3 + 7/6)))
[1114615] ['1/8', '3/7', '7/3', '7/6', '9/7'] -> (9/7 / ((1/8 + 3/7) - (7/6 / 7/3)))
[1114617] ['1/8', '3/7', '7/3', '7/8', '7/8'] -> (7/8 / (1/8 * (7/3 - (7/8 / 3/7))))
[1114618] ['1/8', '3/7', '7/3', '7/8', '7/9'] -> ((7/3 + ((7/8 / 1/8) / 3/7)) / 7/9)
[1114620] ['1/8', '3/7', '7/3', '7/8', '8/5'] -> ((((3/7 * 7/3) + 7/8) / 1/8) * 8/5)
[1114623] ['1/8', '3/7', '7/3', '7/8', '9/2'] -> ((7/3 + ((3/7 * 7/8) / 1/8)) * 9/2)
[1114625] ['1/8', '3/7', '7/3', '7/8', '9/5'] -> ((((7/3 - 3/7) * 7/8) / 1/8) * 9/5)
[1114626] ['1/8', '3/7', '7/3', '7/8', '9/7'] -> ((7/3 + ((7/8 / 1/8) / 3/7)) * 9/7)
[1114633] ['1/8', '3/7', '7/3', '7/9', '9/2'] -> (((3/7 * (7/3 - 7/9)) / 1/8) * 9/2)
[1114634] ['1/8', '3/7', '7/3', '7/9', '9/4'] -> (((3/7 * (7/3 + 7/9)) / 1/8) * 9/4)
[1114636] ['1/8', '3/7', '7/3', '7/9', '9/7'] -> (9/7 / (3/7 - ((1/8 * 7/3) / 7/9)))
[1114637] ['1/8', '3/7', '7/3', '7/9', '9/8'] -> (9/8 / (1/8 / (7/3 + (3/7 * 7/9))))
[1114641] ['1/8', '3/7', '7/3', '8/3', '8/9'] -> (((7/3 / 1/8) + (8/3 / 3/7)) - 8/9)
[1114642] ['1/8', '3/7', '7/3', '8/3', '9/2'] -> ((((3/7 * 7/3) / 1/8) - 8/3) * 9/2)
[1114643] ['1/8', '3/7', '7/3', '8/3', '9/4'] -> ((((3/7 * 7/3) / 1/8) + 8/3) * 9/4)
[1114644] ['1/8', '3/7', '7/3', '8/3', '9/5'] -> (((8/3 - (3/7 * 7/3)) / 1/8) * 9/5)
[1114647] ['1/8', '3/7', '7/3', '8/5', '8/5'] -> (((7/3 / 1/8) + (8/5 / 3/7)) + 8/5)
[1114652] ['1/8', '3/7', '7/3', '8/5', '9/5'] -> (9/5 / (1/8 * (8/5 - (3/7 * 7/3))))
[1114655] ['1/8', '3/7', '7/3', '8/7', '8/7'] -> (8/7 / ((7/3 + 8/7) - (3/7 / 1/8)))
[1114658] ['1/8', '3/7', '7/3', '8/7', '9/4'] -> ((7/3 * ((3/7 / 1/8) + 8/7)) * 9/4)
[1114663] ['1/8', '3/7', '7/3', '8/9', '9/2'] -> (((7/3 / 3/7) - (1/8 * 8/9)) * 9/2)
[1114678] ['1/8', '3/7', '7/3', '9/5', '9/7'] -> (9/7 / ((1/8 * 7/3) - (3/7 / 9/5)))
[1114680] ['1/8', '3/7', '7/3', '9/7', '9/7'] -> (9/7 / (3/7 - ((1/8 * 7/3) * 9/7)))
[1114681] ['1/8', '3/7', '7/3', '9/7', '9/8'] -> (9/8 / (1/8 / (7/3 + (3/7 / 9/7))))
[1114685] ['1/8', '3/7', '7/4', '7/4', '7/6'] -> (((7/4 * 7/4) / 1/8) - (3/7 * 7/6))
[1114692] ['1/8', '3/7', '7/4', '7/4', '9/2'] -> (((9/2 / 1/8) / 3/7) / (7/4 + 7/4))
[1114697] ['1/8', '3/7', '7/4', '7/5', '7/5'] -> (7/5 / ((7/4 - (1/8 / 3/7)) - 7/5))
[1114710] ['1/8', '3/7', '7/4', '7/6', '7/6'] -> ((((7/4 / 1/8) / 3/7) / 7/6) / 7/6)
[1114722] ['1/8', '3/7', '7/4', '7/8', '7/8'] -> (7/8 / (1/8 * ((7/8 / 3/7) - 7/4)))
[1114724] ['1/8', '3/7', '7/4', '7/8', '8/3'] -> (((3/7 * (7/4 + 7/8)) / 1/8) * 8/3)
[1114729] ['1/8', '3/7', '7/4', '7/8', '9/4'] -> (9/4 / (((1/8 + 3/7) * 7/4) - 7/8))
[1114731] ['1/8', '3/7', '7/4', '7/8', '9/7'] -> (9/7 / ((1/8 + 3/7) - (7/8 / 7/4)))
[1114732] ['1/8', '3/7', '7/4', '7/8', '9/8'] -> (9/8 / ((1/8 * 3/7) * (7/4 - 7/8)))
[1114747] ['1/8', '3/7', '7/4', '8/3', '9/2'] -> ((8/3 / (3/7 + (1/8 / 7/4))) * 9/2)
[1114748] ['1/8', '3/7', '7/4', '8/3', '9/4'] -> ((7/4 * ((3/7 / 1/8) + 8/3)) * 9/4)
[1114768] ['1/8', '3/7', '7/4', '8/9', '9/2'] -> ((((3/7 * 7/4) * 8/9) / 1/8) * 9/2)
[1114773] ['1/8', '3/7', '7/4', '9/2', '9/2'] -> (9/2 / ((3/7 * 7/4) - (1/8 * 9/2)))
[1114774] ['1/8', '3/7', '7/4', '9/2', '9/4'] -> ((((1/8 / 7/4) + 9/2) / 3/7) * 9/4)
[1114777] ['1/8', '3/7', '7/4', '9/2', '9/8'] -> ((((3/7 * 7/4) * 9/2) / 1/8) / 9/8)
[1114780] ['1/8', '3/7', '7/4', '9/4', '9/7'] -> (9/7 / (((1/8 + 3/7) + 7/4) - 9/4))
[1114787] ['1/8', '3/7', '7/4', '9/8', '9/8'] -> (9/8 / (1/8 * (9/8 - (3/7 * 7/4))))
[1114791] ['1/8', '3/7', '7/5', '7/5', '7/9'] -> ((((7/5 / 1/8) / 3/7) / 7/5) / 7/9)
[1114800] ['1/8', '3/7', '7/5', '7/5', '9/8'] -> ((7/5 + 7/5) * ((9/8 / 1/8) - 3/7))
[1114805] ['1/8', '3/7', '7/5', '7/6', '8/5'] -> ((((7/5 / 1/8) / 3/7) / 7/6) + 8/5)
[1114838] ['1/8', '3/7', '7/5', '8/3', '9/2'] -> (((3/7 / 1/8) + (8/3 / 7/5)) * 9/2)
[1114840] ['1/8', '3/7', '7/5', '8/3', '9/5'] -> (9/5 / (1/8 * ((7/5 / 3/7) - 8/3)))
[1114841] ['1/8', '3/7', '7/5', '8/3', '9/7'] -> (9/7 / (1/8 / (3/7 + (8/3 / 7/5))))
[1114848] ['1/8', '3/7', '7/5', '8/5', '9/5'] -> ((((7/5 / 3/7) - 8/5) / 1/8) * 9/5)
[1114850] ['1/8', '3/7', '7/5', '8/5', '9/8'] -> (9/8 / (((1/8 * 3/7) * 7/5) / 8/5))
[1114855] ['1/8', '3/7', '7/5', '8/7', '9/5'] -> (((3/7 / (7/5 - 8/7)) / 1/8) * 9/5)
[1114864] ['1/8', '3/7', '7/5', '9/2', '9/2'] -> (9/2 / (7/5 * ((1/8 * 9/2) - 3/7)))
[1114867] ['1/8', '3/7', '7/5', '9/2', '9/7'] -> ((((9/2 / 1/8) / 7/5) - 3/7) - 9/7)
[1114878] ['1/8', '3/7', '7/5', '9/8', '9/8'] -> (9/8 / (1/8 * ((9/8 / 7/5) - 3/7)))
[1114881] ['1/8', '3/7', '7/6', '7/6', '7/9'] -> ((((7/6 / 1/8) / 3/7) / 7/6) / 7/9)
[1114886] ['1/8', '3/7', '7/6', '7/6', '9/2'] -> (((7/6 - (3/7 * 7/6)) / 1/8) * 9/2)
[1114888] ['1/8', '3/7', '7/6', '7/6', '9/5'] -> ((((3/7 * 7/6) + 7/6) / 1/8) * 9/5)
[1114896] ['1/8', '3/7', '7/6', '7/8', '8/9'] -> ((((7/6 / 1/8) / 3/7) / 7/8) - 8/9)
[1114901] ['1/8', '3/7', '7/6', '7/8', '9/8'] -> (9/8 / (1/8 * (7/8 - (3/7 * 7/6))))
[1114903] ['1/8', '3/7', '7/6', '7/9', '8/3'] -> (((7/6 / 1/8) - (3/7 * 7/9)) * 8/3)
[1114905] ['1/8', '3/7', '7/6', '7/9', '8/7'] -> ((((7/6 / 1/8) / 3/7) - 7/9) * 8/7)
[1114912] ['1/8', '3/7', '7/6', '8/3', '8/3'] -> (8/3 / (7/6 * (3/7 - (1/8 * 8/3))))
[1114917] ['1/8', '3/7', '7/6', '8/3', '9/4'] -> ((((3/7 * 7/6) * 8/3) / 1/8) * 9/4)
[1114919] ['1/8', '3/7', '7/6', '8/3', '9/7'] -> (9/7 / ((3/7 / 8/3) - (1/8 / 7/6)))
[1114924] ['1/8', '3/7', '7/6', '8/5', '9/2'] -> (9/2 / (((3/7 * 7/6) / 8/5) - 1/8))
[1114925] ['1/8', '3/7', '7/6', '8/5', '9/4'] -> ((1/8 / ((8/5 - 3/7) - 7/6)) - 9/4)
[1114930] ['1/8', '3/7', '7/6', '8/7', '8/9'] -> ((((7/6 * 8/7) / 1/8) / 3/7) - 8/9)
[1114958] ['1/8', '3/7', '7/8', '7/8', '7/9'] -> ((((7/8 / 1/8) / 3/7) / 7/8) / 7/9)
[1114964] ['1/8', '3/7', '7/8', '7/8', '9/4'] -> (((9/4 / 1/8) / 3/7) / (7/8 + 7/8))
[1114971] ['1/8', '3/7', '7/8', '7/9', '8/7'] -> ((((7/8 / 1/8) / 3/7) / 7/9) * 8/7)
[1114980] ['1/8', '3/7', '7/8', '8/3', '8/7'] -> (8/7 / (3/7 - ((1/8 * 8/3) / 7/8)))
[1114983] ['1/8', '3/7', '7/8', '8/3', '9/4'] -> ((8/3 / ((3/7 * 7/8) - 1/8)) * 9/4)
[1114985] ['1/8', '3/7', '7/8', '8/3', '9/7'] -> (9/7 / (3/7 - ((1/8 + 7/8) / 8/3)))
[1114992] ['1/8', '3/7', '7/8', '8/5', '9/5'] -> (9/5 / (((1/8 * 3/7) * 7/8) * 8/5))
[1115008] ['1/8', '3/7', '7/8', '9/2', '9/2'] -> (9/2 / ((1/8 * 9/2) - (3/7 * 7/8)))
[1115013] ['1/8', '3/7', '7/8', '9/4', '9/4'] -> (9/4 / ((3/7 * 7/8) - (1/8 * 9/4)))
[1115023] ['1/8', '3/7', '7/9', '7/9', '7/9'] -> ((((7/9 / 1/8) / 3/7) / 7/9) / 7/9)
[1115028] ['1/8', '3/7', '7/9', '7/9', '9/2'] -> (((3/7 * (7/9 + 7/9)) / 1/8) * 9/2)
[1115033] ['1/8', '3/7', '7/9', '8/3', '8/3'] -> (8/3 / (((1/8 * 3/7) * 7/9) * 8/3))
[1115035] ['1/8', '3/7', '7/9', '8/3', '8/7'] -> (((8/3 / 1/8) - (3/7 * 7/9)) * 8/7)
[1115036] ['1/8', '3/7', '7/9', '8/3', '8/9'] -> ((((8/3 / 1/8) / 7/9) - 3/7) * 8/9)
[1115037] ['1/8', '3/7', '7/9', '8/3', '9/2'] -> ((((3/7 * 7/9) / 1/8) + 8/3) * 9/2)
[1115041] ['1/8', '3/7', '7/9', '8/3', '9/8'] -> ((((8/3 / 1/8) / 7/9) - 3/7) / 9/8)
[1115042] ['1/8', '3/7', '7/9', '8/5', '8/5'] -> (8/5 / (((1/8 * 3/7) * 7/9) * 8/5))
[1115050] ['1/8', '3/7', '7/9', '8/7', '8/7'] -> (8/7 / (((1/8 * 3/7) * 7/9) * 8/7))
[1115057] ['1/8', '3/7', '7/9', '8/9', '8/9'] -> (8/9 / (((1/8 * 3/7) * 7/9) * 8/9))
[1115062] ['1/8', '3/7', '7/9', '8/9', '9/8'] -> (9/8 / (((1/8 * 3/7) * 7/9) / 8/9))
[1115063] ['1/8', '3/7', '7/9', '9/2', '9/2'] -> ((((9/2 / 1/8) / 3/7) / 7/9) / 9/2)
[1115068] ['1/8', '3/7', '7/9', '9/4', '9/4'] -> (9/4 / (((1/8 * 3/7) * 7/9) * 9/4))
[1115070] ['1/8', '3/7', '7/9', '9/4', '9/7'] -> ((((9/4 / 1/8) / 7/9) - 3/7) + 9/7)
[1115072] ['1/8', '3/7', '7/9', '9/5', '9/5'] -> ((((9/5 / 1/8) / 3/7) / 7/9) / 9/5)
[1115077] ['1/8', '3/7', '7/9', '9/8', '9/8'] -> ((((9/8 / 1/8) / 3/7) / 7/9) / 9/8)
[1115080] ['1/8', '3/7', '8/3', '8/3', '8/7'] -> ((((3/7 + 8/3) / 1/8) + 8/3) / 8/7)
[1115093] ['1/8', '3/7', '8/3', '8/5', '9/7'] -> (9/7 / (((3/7 / 8/5) - 1/8) / 8/3))
[1115098] ['1/8', '3/7', '8/3', '8/7', '9/4'] -> ((8/3 / ((3/7 / 8/7) - 1/8)) * 9/4)
[1115102] ['1/8', '3/7', '8/3', '8/9', '8/9'] -> ((8/9 / ((3/7 / 8/3) - 1/8)) - 8/9)
[1115105] ['1/8', '3/7', '8/3', '8/9', '9/5'] -> (((8/3 / 3/7) + (8/9 / 1/8)) * 9/5)
[1115106] ['1/8', '3/7', '8/3', '8/9', '9/7'] -> (9/7 / (3/7 - ((1/8 * 8/3) / 8/9)))
[1115121] ['1/8', '3/7', '8/3', '9/7', '9/8'] -> ((((8/3 * 9/7) / 1/8) - 3/7) / 9/8)
[1115135] ['1/8', '3/7', '8/5', '8/7', '9/5'] -> ((((8/7 / 1/8) / 3/7) / 8/5) * 9/5)
[1115149] ['1/8', '3/7', '8/5', '9/4', '9/4'] -> ((((9/4 / 1/8) / 3/7) / 8/5) - 9/4)
[1115157] ['1/8', '3/7', '8/5', '9/7', '9/8'] -> (9/8 / (1/8 * ((9/7 / 8/5) - 3/7)))
[1115172] ['1/8', '3/7', '8/7', '9/2', '9/2'] -> (9/2 / ((1/8 * 9/2) - (3/7 / 8/7)))
[1115179] ['1/8', '3/7', '8/7', '9/4', '9/7'] -> (9/7 / ((8/7 - (3/7 * 9/4)) - 1/8))
[1115185] ['1/8', '3/7', '8/7', '9/7', '9/8'] -> (9/8 / (3/7 / ((9/7 / 1/8) - 8/7)))
[1115209] ['1/8', '3/7', '9/2', '9/2', '9/4'] -> (((9/2 / 3/7) - 9/2) + (9/4 / 1/8))
[1115212] ['1/8', '3/7', '9/2', '9/2', '9/8'] -> (((9/2 / 3/7) + 9/2) + (9/8 / 1/8))
[1115213] ['1/8', '3/7', '9/2', '9/4', '9/4'] -> (9/4 / (1/8 * ((9/4 / 3/7) - 9/2)))
[1115215] ['1/8', '3/7', '9/2', '9/4', '9/7'] -> (9/7 / ((1/8 + 3/7) - (9/4 / 9/2)))
[1115217] ['1/8', '3/7', '9/2', '9/5', '9/5'] -> (9/5 / ((3/7 * (9/2 - 1/8)) - 9/5))
[1115218] ['1/8', '3/7', '9/2', '9/5', '9/7'] -> (9/7 / ((1/8 - (3/7 / 9/2)) * 9/5))
[1115227] ['1/8', '3/7', '9/4', '9/5', '9/5'] -> (((9/4 / 1/8) + (9/5 / 3/7)) + 9/5)
[1115232] ['1/8', '3/7', '9/4', '9/8', '9/8'] -> (9/8 / (1/8 * ((9/8 / 3/7) - 9/4)))
[1115240] ['1/8', '3/7', '9/7', '9/7', '9/8'] -> ((((9/7 / 1/8) + 9/7) / 3/7) / 9/8)
[1115244] ['1/8', '3/8', '3/8', '3/8', '4/3'] -> ((3/8 / ((3/8 * 4/3) - 3/8)) / 1/8)
[1115245] ['1/8', '3/8', '3/8', '3/8', '4/5'] -> (3/8 / ((1/8 / 4/5) - (3/8 * 3/8)))
[1115247] ['1/8', '3/8', '3/8', '3/8', '4/9'] -> ((3/8 / ((3/8 * 4/9) - 1/8)) / 3/8)
[1115251] ['1/8', '3/8', '3/8', '3/8', '5/6'] -> (3/8 / (3/8 - (3/8 * (1/8 + 5/6))))
[1115261] ['1/8', '3/8', '3/8', '3/8', '7/6'] -> (3/8 / ((3/8 * (7/6 - 1/8)) - 3/8))
[1115263] ['1/8', '3/8', '3/8', '3/8', '7/9'] -> (3/8 / (1/8 - ((3/8 * 3/8) * 7/9)))
[1115265] ['1/8', '3/8', '3/8', '3/8', '8/5'] -> (3/8 / ((3/8 - (3/8 / 8/5)) - 1/8))
[1115267] ['1/8', '3/8', '3/8', '3/8', '8/9'] -> ((((3/8 / 1/8) / 3/8) / 3/8) / 8/9)
[1115271] ['1/8', '3/8', '3/8', '3/8', '9/7'] -> (3/8 / (1/8 - ((3/8 * 3/8) / 9/7)))
[1115277] ['1/8', '3/8', '3/8', '4/3', '5/2'] -> (((3/8 + 5/2) / 1/8) / (4/3 - 3/8))
[1115282] ['1/8', '3/8', '3/8', '4/3', '5/8'] -> (5/8 / ((1/8 * 4/3) - (3/8 * 3/8)))
[1115283] ['1/8', '3/8', '3/8', '4/3', '5/9'] -> (((3/8 / 1/8) + 4/3) / (5/9 - 3/8))
[1115288] ['1/8', '3/8', '3/8', '4/3', '7/4'] -> ((7/4 / 1/8) / ((4/3 - 3/8) - 3/8))
[1115292] ['1/8', '3/8', '3/8', '4/3', '7/9'] -> ((((3/8 / 3/8) + 4/3) / 1/8) / 7/9)
[1115300] ['1/8', '3/8', '3/8', '4/3', '9/7'] -> ((((3/8 / 3/8) + 4/3) / 1/8) * 9/7)
[1115306] ['1/8', '3/8', '3/8', '4/5', '5/3'] -> ((((3/8 / 3/8) + 4/5) / 1/8) * 5/3)
[1115307] ['1/8', '3/8', '3/8', '4/5', '5/4'] -> ((4/5 / (3/8 - (1/8 / 3/8))) * 5/4)
[1115330] ['1/8', '3/8', '3/8', '4/7', '4/7'] -> ((4/7 / (3/8 - (1/8 / 3/8))) / 4/7)
[1115340] ['1/8', '3/8', '3/8', '4/7', '6/7'] -> (6/7 / ((3/8 - (3/8 * 4/7)) - 1/8))
[1115343] ['1/8', '3/8', '3/8', '4/7', '7/4'] -> ((4/7 / (3/8 - (1/8 / 3/8))) * 7/4)
[1115352] ['1/8', '3/8', '3/8', '4/7', '9/2'] -> (9/2 / ((3/8 - (1/8 * 3/8)) * 4/7))
[1115357] ['1/8', '3/8', '3/8', '4/9', '4/9'] -> ((4/9 / (3/8 - (1/8 / 3/8))) / 4/9)
[1115358] ['1/8', '3/8', '3/8', '4/9', '5/2'] -> ((3/8 + 5/2) / (3/8 * (4/9 - 1/8)))
[1115359] ['1/8', '3/8', '3/8', '4/9', '5/3'] -> ((5/3 / 1/8) / ((3/8 / 3/8) - 4/9))
[1115361] ['1/8', '3/8', '3/8', '4/9', '5/6'] -> ((5/6 / (1/8 + 3/8)) / (4/9 - 3/8))
[1115364] ['1/8', '3/8', '3/8', '4/9', '5/9'] -> (((3/8 * 5/9) / 1/8) / (4/9 - 3/8))
[1115367] ['1/8', '3/8', '3/8', '4/9', '7/2'] -> (7/2 / ((3/8 - (1/8 * 3/8)) * 4/9))
[1115369] ['1/8', '3/8', '3/8', '4/9', '7/4'] -> ((7/4 / 3/8) / ((1/8 + 4/9) - 3/8))
[1115371] ['1/8', '3/8', '3/8', '4/9', '7/6'] -> (((1/8 + 3/8) + 7/6) / (4/9 - 3/8))
[1115372] ['1/8', '3/8', '3/8', '4/9', '7/8'] -> (((7/8 - 3/8) / 1/8) / (3/8 * 4/9))
[1115374] ['1/8', '3/8', '3/8', '4/9', '8/3'] -> ((3/8 * 8/3) / ((3/8 * 4/9) - 1/8))
[1115379] ['1/8', '3/8', '3/8', '4/9', '9/4'] -> ((4/9 / (3/8 - (1/8 / 3/8))) * 9/4)
[1115380] ['1/8', '3/8', '3/8', '4/9', '9/5'] -> (((3/8 / (4/9 - 3/8)) / 1/8) / 9/5)
[1115383] ['1/8', '3/8', '3/8', '5/2', '5/2'] -> ((5/2 / (3/8 - (1/8 / 3/8))) / 5/2)
[1115389] ['1/8', '3/8', '3/8', '5/2', '5/9'] -> (((5/2 / (1/8 + 3/8)) / 3/8) / 5/9)
[1115391] ['1/8', '3/8', '3/8', '5/2', '6/7'] -> ((((3/8 / 3/8) + 5/2) / 1/8) * 6/7)
[1115396] ['1/8', '3/8', '3/8', '5/2', '7/6'] -> ((((3/8 / 3/8) + 5/2) / 1/8) / 7/6)
[1115397] ['1/8', '3/8', '3/8', '5/2', '7/8'] -> (((3/8 / 3/8) + (5/2 / 1/8)) / 7/8)
