[1147419] ['1/8', '5/8', '5/8', '7/4', '8/5'] -> (((5/8 / 5/8) + (7/4 / 1/8)) * 8/5)
[1159952] ['1/9', '1/9', '3/2', '4/9', '9/8'] -> ((4/9 / 3/2) / (1/9 - (1/9 / 9/8)))
[1159953] ['1/9', '1/9', '3/2', '5/2', '5/2'] -> ((3/2 + 5/2) / ((1/9 * 5/2) - 1/9))
[1159960] ['1/9', '1/9', '3/2', '5/2', '6/5'] -> ((((5/2 - 1/9) / 1/9) - 3/2) * 6/5)
[1159966] ['1/9', '1/9', '3/2', '5/2', '7/6'] -> ((3/2 + 5/2) / (7/6 - (1/9 / 1/9)))
[1159967] ['1/9', '1/9', '3/2', '5/2', '7/8'] -> (((5/2 - (1/9 * 3/2)) / 1/9) / 7/8)
[1159971] ['1/9', '1/9', '3/2', '5/2', '8/7'] -> (((5/2 - (1/9 * 3/2)) / 1/9) * 8/7)
[1159973] ['1/9', '1/9', '3/2', '5/2', '9/2'] -> ((3/2 * 5/2) + (9/2 / (1/9 + 1/9)))
[1159979] ['1/9', '1/9', '3/2', '5/3', '5/4'] -> ((5/3 / ((1/9 * 3/2) - 1/9)) / 5/4)
[1159986] ['1/9', '1/9', '3/2', '5/3', '7/2'] -> ((((3/2 + 5/3) - 1/9) / 1/9) - 7/2)
[1159990] ['1/9', '1/9', '3/2', '5/3', '7/6'] -> (((5/3 / 1/9) - 3/2) + (7/6 / 1/9))
[1159991] ['1/9', '1/9', '3/2', '5/3', '7/8'] -> (((3/2 * (5/3 - 1/9)) / 1/9) / 7/8)
[1159995] ['1/9', '1/9', '3/2', '5/3', '8/7'] -> (((3/2 * (5/3 - 1/9)) / 1/9) * 8/7)
[1159996] ['1/9', '1/9', '3/2', '5/3', '8/9'] -> ((8/9 / (1/9 + 1/9)) / (5/3 - 3/2))
[1159998] ['1/9', '1/9', '3/2', '5/3', '9/4'] -> ((((1/9 + 5/3) / 1/9) / 3/2) * 9/4)
[1160009] ['1/9', '1/9', '3/2', '5/4', '7/2'] -> ((7/2 / 1/9) - ((5/4 / 1/9) / 3/2))
[1160011] ['1/9', '1/9', '3/2', '5/4', '7/4'] -> ((((1/9 + 3/2) + 5/4) / 1/9) - 7/4)
[1160029] ['1/9', '1/9', '3/2', '5/6', '6/5'] -> ((((3/2 + 5/6) - 1/9) / 1/9) * 6/5)
[1160036] ['1/9', '1/9', '3/2', '5/6', '7/8'] -> (((3/2 / 1/9) + (5/6 / 1/9)) / 7/8)
[1160040] ['1/9', '1/9', '3/2', '5/6', '8/7'] -> (((3/2 / 1/9) + (5/6 / 1/9)) * 8/7)
[1160060] ['1/9', '1/9', '3/2', '5/7', '8/5'] -> (8/5 / (3/2 * ((1/9 / 5/7) - 1/9)))
[1160069] ['1/9', '1/9', '3/2', '5/8', '5/9'] -> (5/9 / ((1/9 - (1/9 / 3/2)) * 5/8))
[1160070] ['1/9', '1/9', '3/2', '5/8', '6/5'] -> ((((3/2 - 1/9) / 1/9) / 5/8) * 6/5)
[1160073] ['1/9', '1/9', '3/2', '5/8', '7/3'] -> (7/3 / ((1/9 * 3/2) - (1/9 * 5/8)))
[1160075] ['1/9', '1/9', '3/2', '5/8', '7/5'] -> (((1/9 + (3/2 / 5/8)) / 1/9) + 7/5)
[1160084] ['1/9', '1/9', '3/2', '5/8', '9/4'] -> (((5/8 / 1/9) / 3/2) + (9/4 / 1/9))
[1160091] ['1/9', '1/9', '3/2', '5/9', '7/2'] -> ((7/2 / 1/9) - ((3/2 * 5/9) / 1/9))
[1160092] ['1/9', '1/9', '3/2', '5/9', '7/3'] -> (((7/3 - 1/9) / 1/9) / (3/2 * 5/9))
[1160099] ['1/9', '1/9', '3/2', '5/9', '8/5'] -> ((5/9 / (1/9 - (1/9 / 3/2))) * 8/5)
[1160136] ['1/9', '1/9', '3/2', '6/7', '8/9'] -> (8/9 / ((1/9 * 3/2) - (1/9 / 6/7)))
[1160147] ['1/9', '1/9', '3/2', '7/2', '7/8'] -> ((3/2 + 7/2) / (1/9 + (1/9 * 7/8)))
[1160148] ['1/9', '1/9', '3/2', '7/2', '7/9'] -> (((3/2 / 1/9) + 7/2) + (7/9 / 1/9))
[1160151] ['1/9', '1/9', '3/2', '7/2', '8/7'] -> ((3/2 + 7/2) / (1/9 + (1/9 / 8/7)))
[1160159] ['1/9', '1/9', '3/2', '7/3', '7/4'] -> ((7/3 / ((1/9 * 3/2) - 1/9)) / 7/4)
[1160161] ['1/9', '1/9', '3/2', '7/3', '7/6'] -> (((3/2 + 7/3) / 1/9) - (7/6 / 1/9))
[1160164] ['1/9', '1/9', '3/2', '7/3', '8/3'] -> (((7/3 / (1/9 + 1/9)) - 3/2) * 8/3)
[1160165] ['1/9', '1/9', '3/2', '7/3', '8/5'] -> (((1/9 + (7/3 / 3/2)) / 1/9) * 8/5)
[1160170] ['1/9', '1/9', '3/2', '7/3', '9/5'] -> ((((7/3 - 1/9) / 1/9) / 3/2) * 9/5)
[1160186] ['1/9', '1/9', '3/2', '7/4', '9/8'] -> (((1/9 + 7/4) / (1/9 / 3/2)) - 9/8)
[1160187] ['1/9', '1/9', '3/2', '7/5', '7/5'] -> (((1/9 / 1/9) + 7/5) / (3/2 - 7/5))
[1160193] ['1/9', '1/9', '3/2', '7/5', '8/7'] -> (8/7 / (3/2 * (1/9 - (1/9 / 7/5))))
[1160202] ['1/9', '1/9', '3/2', '7/6', '7/9'] -> (((1/9 + 7/9) / 1/9) / (3/2 - 7/6))
[1160207] ['1/9', '1/9', '3/2', '7/6', '9/2'] -> (((3/2 + (7/6 / 1/9)) / 1/9) / 9/2)
[1160208] ['1/9', '1/9', '3/2', '7/6', '9/4'] -> (((1/9 * 3/2) + (7/6 / 1/9)) * 9/4)
[1160209] ['1/9', '1/9', '3/2', '7/6', '9/5'] -> ((((1/9 + 3/2) / 1/9) - 7/6) * 9/5)
[1160213] ['1/9', '1/9', '3/2', '7/8', '7/9'] -> (7/9 / ((1/9 - (1/9 / 3/2)) * 7/8))
[1160215] ['1/9', '1/9', '3/2', '7/8', '8/5'] -> (8/5 / ((1/9 / (3/2 - 7/8)) - 1/9))
[1160227] ['1/9', '1/9', '3/2', '7/9', '8/9'] -> ((8/9 / 3/2) / (1/9 - (1/9 * 7/9)))
[1160229] ['1/9', '1/9', '3/2', '7/9', '9/4'] -> ((1/9 + (7/9 / 1/9)) * (3/2 * 9/4))
[1160234] ['1/9', '1/9', '3/2', '8/3', '8/5'] -> ((((8/3 / 3/2) - 1/9) / 1/9) * 8/5)
[1160236] ['1/9', '1/9', '3/2', '8/3', '8/9'] -> (((8/3 / 1/9) / 3/2) + (8/9 / 1/9))
[1160237] ['1/9', '1/9', '3/2', '8/3', '9/2'] -> ((8/3 / (3/2 - (1/9 / 1/9))) * 9/2)
[1160247] ['1/9', '1/9', '3/2', '8/5', '9/5'] -> ((8/5 / (1/9 - (1/9 / 3/2))) / 9/5)
[1160252] ['1/9', '1/9', '3/2', '8/7', '9/2'] -> ((3/2 / (1/9 - (1/9 / 8/7))) / 9/2)
[1160255] ['1/9', '1/9', '3/2', '8/7', '9/7'] -> ((8/7 / (1/9 - (1/9 / 3/2))) / 9/7)
[1160261] ['1/9', '1/9', '3/2', '8/9', '9/7'] -> ((8/9 / 3/2) / (1/9 - (1/9 / 9/7)))
[1160262] ['1/9', '1/9', '3/2', '8/9', '9/8'] -> (((1/9 + 8/9) / 1/9) / (3/2 - 9/8))
[1160263] ['1/9', '1/9', '3/2', '9/2', '9/2'] -> (((9/2 - (1/9 * 9/2)) / 1/9) / 3/2)
[1160272] ['1/9', '1/9', '3/2', '9/5', '9/5'] -> (((1/9 + 9/5) / (1/9 / 3/2)) - 9/5)
[1160282] ['1/9', '1/9', '3/4', '3/4', '4/3'] -> (4/3 / ((1/9 * (3/4 + 3/4)) - 1/9))
[1160286] ['1/9', '1/9', '3/4', '3/4', '5/2'] -> ((((3/4 / 1/9) / 1/9) - 3/4) / 5/2)
[1160288] ['1/9', '1/9', '3/4', '3/4', '5/4'] -> (((3/4 / 1/9) + (5/4 / 1/9)) / 3/4)
[1160291] ['1/9', '1/9', '3/4', '3/4', '5/8'] -> ((3/4 / 3/4) / (1/9 - (1/9 * 5/8)))
[1160303] ['1/9', '1/9', '3/4', '3/4', '8/5'] -> ((3/4 / 3/4) / (1/9 - (1/9 / 8/5)))
[1160306] ['1/9', '1/9', '3/4', '3/4', '9/2'] -> ((9/2 / ((1/9 / 1/9) - 3/4)) / 3/4)
[1160307] ['1/9', '1/9', '3/4', '3/4', '9/4'] -> ((((3/4 / 1/9) - 3/4) / 1/9) / 9/4)
[1160310] ['1/9', '1/9', '3/4', '3/4', '9/8'] -> ((3/4 / (1/9 - (1/9 * 3/4))) / 9/8)
[1160314] ['1/9', '1/9', '3/4', '3/5', '4/3'] -> ((4/3 / 3/4) / ((1/9 / 3/5) - 1/9))
[1160337] ['1/9', '1/9', '3/4', '3/5', '8/9'] -> (8/9 / ((1/9 / 3/5) - (1/9 / 3/4)))
[1160357] ['1/9', '1/9', '3/4', '3/7', '6/7'] -> (6/7 / ((1/9 * 3/4) - (1/9 * 3/7)))
[1160375] ['1/9', '1/9', '3/4', '3/8', '4/3'] -> (4/3 / (1/9 - ((1/9 * 3/8) / 3/4)))
[1160377] ['1/9', '1/9', '3/4', '3/8', '4/7'] -> ((3/4 / 3/8) / ((1/9 / 4/7) - 1/9))
[1160379] ['1/9', '1/9', '3/4', '3/8', '5/2'] -> ((3/8 / 3/4) + ((1/9 + 5/2) / 1/9))
[1160394] ['1/9', '1/9', '3/4', '3/8', '7/9'] -> ((7/9 / 1/9) / (3/8 - (1/9 * 3/4)))
[1160398] ['1/9', '1/9', '3/4', '3/8', '8/9'] -> (((1/9 + 8/9) / 1/9) / (3/4 - 3/8))
[1160400] ['1/9', '1/9', '3/4', '3/8', '9/4'] -> (9/4 / (((1/9 / 1/9) - 3/4) * 3/8))
[1160410] ['1/9', '1/9', '3/4', '4/3', '5/4'] -> ((3/4 + (4/3 / 1/9)) + (5/4 / 1/9))
[1160421] ['1/9', '1/9', '3/4', '4/3', '7/6'] -> (7/6 / (1/9 - ((1/9 * 3/4) / 4/3)))
[1160423] ['1/9', '1/9', '3/4', '4/3', '7/9'] -> (((4/3 / 1/9) / 3/4) / (7/9 - 1/9))
[1160428] ['1/9', '1/9', '3/4', '4/3', '9/2'] -> ((4/3 / ((1/9 / 1/9) - 3/4)) * 9/2)
[1160430] ['1/9', '1/9', '3/4', '4/3', '9/5'] -> ((((1/9 / 3/4) + 4/3) / 1/9) * 9/5)
[1160432] ['1/9', '1/9', '3/4', '4/3', '9/8'] -> ((3/4 / (1/9 - (1/9 / 4/3))) / 9/8)
[1160437] ['1/9', '1/9', '3/4', '4/5', '5/3'] -> ((4/5 / 3/4) / (1/9 - (1/9 / 5/3)))
[1160455] ['1/9', '1/9', '3/4', '4/5', '8/9'] -> ((3/4 / ((1/9 / 4/5) - 1/9)) * 8/9)
[1160456] ['1/9', '1/9', '3/4', '4/5', '9/2'] -> (9/2 / (3/4 * (1/9 + (1/9 / 4/5))))
[1160460] ['1/9', '1/9', '3/4', '4/5', '9/8'] -> ((3/4 / ((1/9 / 4/5) - 1/9)) / 9/8)
[1160466] ['1/9', '1/9', '3/4', '4/7', '5/6'] -> (5/6 / (((1/9 * 3/4) / 4/7) - 1/9))
[1160467] ['1/9', '1/9', '3/4', '4/7', '5/7'] -> ((4/7 / 3/4) / (1/9 - (1/9 * 5/7)))
[1160475] ['1/9', '1/9', '3/4', '4/7', '7/5'] -> ((4/7 / 3/4) / (1/9 - (1/9 / 7/5)))
[1160476] ['1/9', '1/9', '3/4', '4/7', '7/6'] -> ((4/7 / (1/9 - (1/9 * 3/4))) * 7/6)
[1160478] ['1/9', '1/9', '3/4', '4/7', '7/9'] -> ((4/7 / 3/4) / ((1/9 / 7/9) - 1/9))
[1160486] ['1/9', '1/9', '3/4', '4/7', '9/7'] -> ((4/7 / 3/4) / ((1/9 * 9/7) - 1/9))
[1160489] ['1/9', '1/9', '3/4', '4/9', '5/2'] -> ((5/2 / 3/4) / ((1/9 / 4/9) - 1/9))
[1160492] ['1/9', '1/9', '3/4', '4/9', '5/6'] -> ((4/9 / (1/9 + 1/9)) / (5/6 - 3/4))
[1160499] ['1/9', '1/9', '3/4', '4/9', '7/3'] -> (((3/4 * 4/9) / 1/9) + (7/3 / 1/9))
[1160507] ['1/9', '1/9', '3/4', '4/9', '8/7'] -> ((3/4 * 4/9) / (1/9 - (1/9 / 8/7)))
[1160509] ['1/9', '1/9', '3/4', '4/9', '9/2'] -> ((((1/9 / 3/4) + 4/9) / 1/9) * 9/2)
[1160510] ['1/9', '1/9', '3/4', '4/9', '9/4'] -> (((4/9 / 1/9) / 1/9) / (9/4 - 3/4))
[1160512] ['1/9', '1/9', '3/4', '4/9', '9/7'] -> ((4/9 / 3/4) / (1/9 - (1/9 / 9/7)))
[1160515] ['1/9', '1/9', '3/4', '5/2', '5/3'] -> (5/3 / ((1/9 - (1/9 * 3/4)) * 5/2))
[1160516] ['1/9', '1/9', '3/4', '5/2', '5/4'] -> ((((1/9 + 5/2) / 1/9) - 3/4) + 5/4)
[1160519] ['1/9', '1/9', '3/4', '5/2', '5/8'] -> (((5/2 / (1/9 + 1/9)) / 3/4) / 5/8)
[1160520] ['1/9', '1/9', '3/4', '5/2', '5/9'] -> (((5/9 / 1/9) / 1/9) / (3/4 * 5/2))
[1160521] ['1/9', '1/9', '3/4', '5/2', '6/5'] -> (6/5 / (3/4 * (1/9 - (1/9 / 5/2))))
[1160524] ['1/9', '1/9', '3/4', '5/2', '7/3'] -> (7/3 / (((1/9 * 3/4) * 5/2) - 1/9))
[1160531] ['1/9', '1/9', '3/4', '5/2', '8/5'] -> (((5/2 / (1/9 + 1/9)) / 3/4) * 8/5)
[1160540] ['1/9', '1/9', '3/4', '5/3', '5/4'] -> ((((1/9 + 3/4) + 5/3) / 1/9) + 5/4)
[1160548] ['1/9', '1/9', '3/4', '5/3', '7/3'] -> (((1/9 + 7/3) / 1/9) / (5/3 - 3/4))
[1160552] ['1/9', '1/9', '3/4', '5/3', '7/8'] -> (((1/9 + (5/3 / 3/4)) / 1/9) / 7/8)
[1160553] ['1/9', '1/9', '3/4', '5/3', '7/9'] -> ((((5/3 - 1/9) / 1/9) / 3/4) / 7/9)
[1160554] ['1/9', '1/9', '3/4', '5/3', '8/3'] -> ((((1/9 + 5/3) / 1/9) / 3/4) + 8/3)
[1160556] ['1/9', '1/9', '3/4', '5/3', '8/7'] -> (((1/9 + (5/3 / 3/4)) / 1/9) * 8/7)
[1160561] ['1/9', '1/9', '3/4', '5/3', '9/7'] -> ((((5/3 - 1/9) / 1/9) / 3/4) * 9/7)
[1160562] ['1/9', '1/9', '3/4', '5/3', '9/8'] -> ((((1/9 + 5/3) / 1/9) / 3/4) * 9/8)
[1160564] ['1/9', '1/9', '3/4', '5/4', '5/6'] -> (5/6 / ((1/9 - (1/9 * 3/4)) * 5/4))
[1160568] ['1/9', '1/9', '3/4', '5/4', '6/5'] -> (6/5 / (((1/9 / 1/9) / 5/4) - 3/4))
[1160571] ['1/9', '1/9', '3/4', '5/4', '7/3'] -> ((3/4 + 5/4) + ((1/9 + 7/3) / 1/9))
[1160572] ['1/9', '1/9', '3/4', '5/4', '7/4'] -> ((3/4 + 5/4) / ((1/9 * 7/4) - 1/9))
[1160580] ['1/9', '1/9', '3/4', '5/4', '8/9'] -> ((3/4 * 8/9) / ((1/9 * 5/4) - 1/9))
[1160585] ['1/9', '1/9', '3/4', '5/4', '9/8'] -> ((3/4 / ((1/9 * 5/4) - 1/9)) / 9/8)
[1160590] ['1/9', '1/9', '3/4', '5/6', '6/5'] -> (6/5 / ((1/9 / 5/6) - (1/9 * 3/4)))
[1160594] ['1/9', '1/9', '3/4', '5/6', '7/4'] -> ((3/4 + (5/6 / 1/9)) + (7/4 / 1/9))
[1160600] ['1/9', '1/9', '3/4', '5/6', '8/5'] -> (8/5 / (((1/9 / 3/4) / 5/6) - 1/9))
[1160611] ['1/9', '1/9', '3/4', '5/7', '6/5'] -> (6/5 / ((3/4 / 5/7) - (1/9 / 1/9)))
[1160617] ['1/9', '1/9', '3/4', '5/7', '7/6'] -> (((1/9 / (3/4 - 5/7)) / 1/9) / 7/6)
[1160622] ['1/9', '1/9', '3/4', '5/7', '8/7'] -> (8/7 / ((1/9 / 1/9) - (5/7 / 3/4)))
[1160630] ['1/9', '1/9', '3/4', '5/8', '5/9'] -> (5/9 / (((1/9 / 3/4) - 1/9) * 5/8))
[1160631] ['1/9', '1/9', '3/4', '5/8', '6/5'] -> ((6/5 / 3/4) / ((1/9 / 5/8) - 1/9))
[1160633] ['1/9', '1/9', '3/4', '5/8', '7/2'] -> ((7/2 / 1/9) - ((5/8 / 1/9) / 3/4))
[1160650] ['1/9', '1/9', '3/4', '5/9', '6/5'] -> ((5/9 / (1/9 - (1/9 * 3/4))) * 6/5)
[1160663] ['1/9', '1/9', '3/4', '5/9', '9/2'] -> ((((5/9 - 1/9) / 1/9) / 3/4) * 9/2)
[1160664] ['1/9', '1/9', '3/4', '5/9', '9/4'] -> (((3/4 * 5/9) / 1/9) + (9/4 / 1/9))
[1160667] ['1/9', '1/9', '3/4', '5/9', '9/8'] -> (((5/9 / 1/9) / 1/9) / (3/4 + 9/8))
[1160668] ['1/9', '1/9', '3/4', '6/5', '6/5'] -> (6/5 / ((1/9 * 6/5) - (1/9 * 3/4)))
[1160678] ['1/9', '1/9', '3/4', '6/5', '8/5'] -> (8/5 / (((1/9 * 6/5) / 3/4) - 1/9))
[1160683] ['1/9', '1/9', '3/4', '6/5', '9/5'] -> ((6/5 / (1/9 - (1/9 * 3/4))) / 9/5)
[1160691] ['1/9', '1/9', '3/4', '6/7', '7/6'] -> ((1/9 / ((1/9 + 3/4) - 6/7)) / 7/6)
[1160693] ['1/9', '1/9', '3/4', '6/7', '7/9'] -> ((6/7 / (1/9 - (1/9 * 3/4))) * 7/9)
[1160701] ['1/9', '1/9', '3/4', '6/7', '9/7'] -> ((6/7 / (1/9 - (1/9 * 3/4))) / 9/7)
[1160704] ['1/9', '1/9', '3/4', '7/2', '7/3'] -> (7/3 / ((1/9 - (1/9 * 3/4)) * 7/2))
[1160705] ['1/9', '1/9', '3/4', '7/2', '7/4'] -> ((((1/9 + 7/2) - 3/4) / 1/9) - 7/4)
[1160708] ['1/9', '1/9', '3/4', '7/2', '7/8'] -> (((7/2 / (1/9 + 1/9)) / 3/4) / 7/8)
[1160709] ['1/9', '1/9', '3/4', '7/2', '7/9'] -> (((7/9 / 1/9) / 1/9) / (3/4 * 7/2))
[1160711] ['1/9', '1/9', '3/4', '7/2', '8/5'] -> (((7/2 / (1/9 + 1/9)) - 3/4) * 8/5)
[1160712] ['1/9', '1/9', '3/4', '7/2', '8/7'] -> (((7/2 / (1/9 + 1/9)) / 3/4) * 8/7)
[1160715] ['1/9', '1/9', '3/4', '7/2', '9/4'] -> (((1/9 + 9/4) / 1/9) - (3/4 - 7/2))
[1160726] ['1/9', '1/9', '3/4', '7/3', '8/5'] -> (((3/4 * (7/3 - 1/9)) / 1/9) * 8/5)
[1160728] ['1/9', '1/9', '3/4', '7/3', '8/9'] -> ((((7/3 / 3/4) - 1/9) / 1/9) * 8/9)
[1160730] ['1/9', '1/9', '3/4', '7/3', '9/4'] -> ((((1/9 * 3/4) + 7/3) / 1/9) + 9/4)
[1160733] ['1/9', '1/9', '3/4', '7/3', '9/8'] -> ((((7/3 / 3/4) - 1/9) / 1/9) / 9/8)
[1160736] ['1/9', '1/9', '3/4', '7/4', '7/6'] -> (7/6 / ((1/9 - (1/9 * 3/4)) * 7/4))
[1160743] ['1/9', '1/9', '3/4', '7/4', '9/2'] -> ((9/2 / 1/9) - (3/4 + (7/4 / 1/9)))
[1160753] ['1/9', '1/9', '3/4', '7/5', '8/5'] -> (8/5 / (7/5 - ((1/9 / 1/9) / 3/4)))
[1160763] ['1/9', '1/9', '3/4', '7/6', '7/9'] -> (7/9 / ((1/9 - (1/9 * 3/4)) * 7/6))
[1160765] ['1/9', '1/9', '3/4', '7/6', '8/5'] -> (((1/9 + (7/6 / 3/4)) / 1/9) * 8/5)
[1160774] ['1/9', '1/9', '3/4', '7/8', '7/9'] -> (7/9 / (((1/9 / 3/4) - 1/9) * 7/8))
[1160787] ['1/9', '1/9', '3/4', '7/9', '8/7'] -> ((7/9 / ((1/9 / 3/4) - 1/9)) * 8/7)
[1160789] ['1/9', '1/9', '3/4', '7/9', '9/2'] -> ((1/9 + (7/9 / 1/9)) * (3/4 * 9/2))
[1160797] ['1/9', '1/9', '3/4', '8/3', '8/9'] -> (((8/3 / 1/9) / 3/4) - (8/9 / 1/9))
[1160799] ['1/9', '1/9', '3/4', '8/3', '9/4'] -> ((8/3 / ((1/9 / 1/9) - 3/4)) * 9/4)
[1160808] ['1/9', '1/9', '3/4', '8/5', '9/5'] -> ((8/5 / ((1/9 / 3/4) - 1/9)) / 9/5)
[1160811] ['1/9', '1/9', '3/4', '8/7', '8/7'] -> (((8/7 / 1/9) / 3/4) + (8/7 / 1/9))
[1160814] ['1/9', '1/9', '3/4', '8/7', '9/4'] -> ((3/4 / (1/9 - (1/9 / 8/7))) / 9/4)
[1160816] ['1/9', '1/9', '3/4', '8/7', '9/7'] -> ((8/7 / ((1/9 / 3/4) - 1/9)) / 9/7)
[1160819] ['1/9', '1/9', '3/4', '8/9', '9/2'] -> (((8/9 / (1/9 + 1/9)) / 3/4) * 9/2)
[1160821] ['1/9', '1/9', '3/4', '8/9', '9/5'] -> ((8/9 / 3/4) / (1/9 - (1/9 / 9/5)))
[1160823] ['1/9', '1/9', '3/4', '8/9', '9/8'] -> (((1/9 + 8/9) / 1/9) / (9/8 - 3/4))
[1160824] ['1/9', '1/9', '3/4', '9/2', '9/2'] -> (((9/2 / (1/9 + 1/9)) - 3/4) + 9/2)
[1160828] ['1/9', '1/9', '3/4', '9/2', '9/8'] -> (((9/2 / (1/9 + 1/9)) / 3/4) / 9/8)
[1160829] ['1/9', '1/9', '3/4', '9/4', '9/4'] -> (((9/4 - (1/9 * 9/4)) / 1/9) / 3/4)
[1160833] ['1/9', '1/9', '3/4', '9/5', '9/5'] -> (((1/9 * 9/5) + 9/5) / (1/9 * 3/4))
[1160852] ['1/9', '1/9', '3/5', '3/5', '5/9'] -> ((((3/5 / 1/9) - 3/5) / 1/9) * 5/9)
[1160856] ['1/9', '1/9', '3/5', '3/5', '7/3'] -> (((3/5 + 3/5) / 1/9) * (7/3 - 1/9))
[1160861] ['1/9', '1/9', '3/5', '3/5', '7/9'] -> ((((7/9 - 3/5) / 1/9) / 1/9) / 3/5)
[1160866] ['1/9', '1/9', '3/5', '3/5', '9/2'] -> (((3/5 / 1/9) - (1/9 * 3/5)) * 9/2)
[1160868] ['1/9', '1/9', '3/5', '3/5', '9/5'] -> ((((3/5 / 1/9) - 3/5) / 1/9) / 9/5)
[1160907] ['1/9', '1/9', '3/5', '3/8', '5/2'] -> ((3/5 / 3/8) / (1/9 - (1/9 / 5/2)))
[1160912] ['1/9', '1/9', '3/5', '3/8', '5/8'] -> ((3/5 / 3/8) / ((1/9 / 5/8) - 1/9))
[1160919] ['1/9', '1/9', '3/5', '3/8', '7/5'] -> ((3/5 + 7/5) / ((1/9 + 1/9) * 3/8))
[1160922] ['1/9', '1/9', '3/5', '3/8', '7/9'] -> ((7/9 / 1/9) / (3/5 * (1/9 + 3/8)))
[1160932] ['1/9', '1/9', '3/5', '4/3', '4/3'] -> ((4/3 * 4/3) / ((1/9 / 3/5) - 1/9))
[1160933] ['1/9', '1/9', '3/5', '4/3', '4/5'] -> ((4/3 / (1/9 - (1/9 * 3/5))) * 4/5)
[1160935] ['1/9', '1/9', '3/5', '4/3', '4/9'] -> (((4/3 / 1/9) / 3/5) + (4/9 / 1/9))
[1160938] ['1/9', '1/9', '3/5', '4/3', '5/4'] -> ((4/3 / (1/9 - (1/9 * 3/5))) / 5/4)
[1160946] ['1/9', '1/9', '3/5', '4/3', '7/3'] -> ((((1/9 + 4/3) / 1/9) / 3/5) + 7/3)
[1160948] ['1/9', '1/9', '3/5', '4/3', '7/5'] -> (((4/3 / 1/9) - 3/5) + (7/5 / 1/9))
[1160950] ['1/9', '1/9', '3/5', '4/3', '7/8'] -> (((1/9 + (4/3 / 3/5)) / 1/9) / 7/8)
[1160954] ['1/9', '1/9', '3/5', '4/3', '8/7'] -> (((1/9 + (4/3 / 3/5)) / 1/9) * 8/7)
[1160955] ['1/9', '1/9', '3/5', '4/3', '8/9'] -> (8/9 / ((1/9 / 3/5) - (1/9 * 4/3)))
[1160961] ['1/9', '1/9', '3/5', '4/5', '4/5'] -> (((4/5 / 1/9) + (4/5 / 1/9)) / 3/5)
[1160984] ['1/9', '1/9', '3/5', '4/5', '9/2'] -> ((((4/5 / 1/9) / 1/9) / 3/5) / 9/2)
[1160986] ['1/9', '1/9', '3/5', '4/5', '9/5'] -> ((3/5 + (4/5 / 1/9)) + (9/5 / 1/9))
[1160988] ['1/9', '1/9', '3/5', '4/5', '9/8'] -> ((3/5 / (1/9 - (1/9 * 4/5))) / 9/8)
[1161009] ['1/9', '1/9', '3/5', '4/7', '8/7'] -> (8/7 / ((1/9 / 1/9) - (4/7 / 3/5)))
[1161017] ['1/9', '1/9', '3/5', '4/9', '5/2'] -> ((((4/9 / 1/9) / 1/9) / 3/5) / 5/2)
[1161018] ['1/9', '1/9', '3/5', '4/9', '5/3'] -> ((((1/9 + 3/5) / 1/9) / 4/9) * 5/3)
[1161034] ['1/9', '1/9', '3/5', '4/9', '8/5'] -> (8/5 / (((1/9 + 1/9) + 4/9) - 3/5))
[1161043] ['1/9', '1/9', '3/5', '5/2', '5/3'] -> (((3/5 * 5/2) / 1/9) * (1/9 + 5/3))
[1161055] ['1/9', '1/9', '3/5', '5/2', '7/6'] -> (((3/5 * 5/2) / 1/9) + (7/6 / 1/9))
[1161061] ['1/9', '1/9', '3/5', '5/2', '8/9'] -> (8/9 / (1/9 - ((1/9 / 3/5) / 5/2)))
[1161072] ['1/9', '1/9', '3/5', '5/3', '5/9'] -> (((5/3 - (1/9 / 3/5)) / 1/9) / 5/9)
[1161081] ['1/9', '1/9', '3/5', '5/3', '7/9'] -> (((5/3 / 1/9) / 1/9) * (7/9 - 3/5))
[1161085] ['1/9', '1/9', '3/5', '5/3', '8/9'] -> ((((5/3 / 1/9) / 3/5) - 1/9) - 8/9)
[1161086] ['1/9', '1/9', '3/5', '5/3', '9/2'] -> (((3/5 / 1/9) - (1/9 / 5/3)) * 9/2)
[1161087] ['1/9', '1/9', '3/5', '5/3', '9/4'] -> ((((1/9 + 3/5) * 5/3) / 1/9) * 9/4)
[1161088] ['1/9', '1/9', '3/5', '5/3', '9/5'] -> (((5/3 - (1/9 / 3/5)) / 1/9) * 9/5)
[1161113] ['1/9', '1/9', '3/5', '5/4', '9/8'] -> ((3/5 / (1/9 - (1/9 / 5/4))) / 9/8)
[1161128] ['1/9', '1/9', '3/5', '5/6', '8/5'] -> (8/5 / ((1/9 / 5/6) - (1/9 * 3/5)))
[1161131] ['1/9', '1/9', '3/5', '5/6', '9/2'] -> ((((1/9 + 3/5) * 5/6) / 1/9) * 9/2)
[1161135] ['1/9', '1/9', '3/5', '5/6', '9/8'] -> ((3/5 / ((1/9 / 5/6) - 1/9)) / 9/8)
[1161171] ['1/9', '1/9', '3/5', '5/8', '8/9'] -> (((1/9 + 8/9) / 1/9) / (3/5 * 5/8))
[1161177] ['1/9', '1/9', '3/5', '5/9', '5/9'] -> (((5/9 / 1/9) - 5/9) / (1/9 / 3/5))
