[475307] ['1/4', '1/9', '2/7', '3/7', '7/9'] -> ((2/7 / ((1/9 / 3/7) - 1/4)) * 7/9)
[487593] ['1/4', '2/3', '3/5', '4/5', '9/2'] -> ((4/5 / ((2/3 * 3/5) - 1/4)) * 9/2)
[487623] ['1/4', '2/3', '3/5', '4/7', '9/7'] -> (9/7 / (((1/4 / 2/3) / 3/5) - 4/7))
[487627] ['1/4', '2/3', '3/5', '4/9', '5/3'] -> ((2/3 / ((3/5 * 4/9) - 1/4)) / 5/3)
[487630] ['1/4', '2/3', '3/5', '4/9', '5/7'] -> (((2/3 / (3/5 - 4/9)) / 1/4) / 5/7)
[487638] ['1/4', '2/3', '3/5', '4/9', '7/5'] -> (((2/3 / (3/5 - 4/9)) / 1/4) * 7/5)
[487643] ['1/4', '2/3', '3/5', '4/9', '8/5'] -> (8/5 / (((2/3 * 3/5) - 1/4) * 4/9))
[487651] ['1/4', '2/3', '3/5', '5/2', '5/2'] -> (((5/2 / 1/4) - (2/3 * 3/5)) * 5/2)
[487668] ['1/4', '2/3', '3/5', '5/2', '8/5'] -> (8/5 / (2/3 * (5/2 - (3/5 / 1/4))))
[487671] ['1/4', '2/3', '3/5', '5/2', '9/2'] -> ((((3/5 * 5/2) / 1/4) - 2/3) * 9/2)
[487691] ['1/4', '2/3', '3/5', '5/3', '8/3'] -> (8/3 / ((5/3 / 3/5) - (2/3 / 1/4)))
[487701] ['1/4', '2/3', '3/5', '5/4', '5/6'] -> ((5/6 / 1/4) / (5/4 - (2/3 / 3/5)))
[487707] ['1/4', '2/3', '3/5', '5/4', '7/2'] -> (7/2 / (2/3 - ((1/4 * 5/4) / 3/5)))
[487710] ['1/4', '2/3', '3/5', '5/4', '7/5'] -> (7/5 / (1/4 * ((2/3 * 5/4) - 3/5)))
[487718] ['1/4', '2/3', '3/5', '5/4', '9/2'] -> (9/2 / (((2/3 * 3/5) - 1/4) * 5/4))
[487748] ['1/4', '2/3', '3/5', '5/7', '6/5'] -> (6/5 / ((2/3 * 3/5) - (1/4 / 5/7)))
[487749] ['1/4', '2/3', '3/5', '5/7', '6/7'] -> (6/7 / (((2/3 * 3/5) * 5/7) - 1/4))
[487763] ['1/4', '2/3', '3/5', '5/7', '9/5'] -> (9/5 / (3/5 - ((1/4 / 2/3) / 5/7)))
[487764] ['1/4', '2/3', '3/5', '5/7', '9/7'] -> (9/7 / ((3/5 * 5/7) - (1/4 / 2/3)))
[487766] ['1/4', '2/3', '3/5', '5/8', '5/8'] -> (((1/4 / (5/8 - 3/5)) / 2/3) / 5/8)
[487770] ['1/4', '2/3', '3/5', '5/8', '7/2'] -> (7/2 / ((2/3 * (3/5 - 1/4)) * 5/8))
[487772] ['1/4', '2/3', '3/5', '5/8', '7/4'] -> (7/4 / (1/4 * (2/3 - (3/5 * 5/8))))
[487781] ['1/4', '2/3', '3/5', '5/8', '9/2'] -> ((2/3 / ((3/5 * 5/8) - 1/4)) * 9/2)
[487783] ['1/4', '2/3', '3/5', '5/8', '9/5'] -> (9/5 / (5/8 - ((1/4 + 2/3) * 3/5)))
[487787] ['1/4', '2/3', '3/5', '5/9', '6/5'] -> (6/5 / ((1/4 / 5/9) - (2/3 * 3/5)))
[487792] ['1/4', '2/3', '3/5', '5/9', '7/5'] -> (7/5 / (1/4 * ((5/9 / 2/3) - 3/5)))
[487802] ['1/4', '2/3', '3/5', '5/9', '9/5'] -> (9/5 / (((1/4 / 2/3) / 5/9) - 3/5))
[487823] ['1/4', '2/3', '3/5', '6/7', '6/7'] -> (6/7 / (3/5 * ((1/4 + 2/3) - 6/7)))
[487863] ['1/4', '2/3', '3/5', '7/3', '8/5'] -> (8/5 / ((1/4 * (3/5 + 7/3)) - 2/3))
[487876] ['1/4', '2/3', '3/5', '7/4', '8/3'] -> ((((7/4 / 3/5) - 2/3) / 1/4) * 8/3)
[487889] ['1/4', '2/3', '3/5', '7/5', '8/3'] -> ((3/5 + ((7/5 / 1/4) / 2/3)) * 8/3)
[487894] ['1/4', '2/3', '3/5', '7/5', '9/4'] -> ((((2/3 + 3/5) + 7/5) / 1/4) * 9/4)
[487895] ['1/4', '2/3', '3/5', '7/5', '9/5'] -> (9/5 / (3/5 - ((1/4 * 7/5) / 2/3)))
[487896] ['1/4', '2/3', '3/5', '7/5', '9/7'] -> (9/7 / ((3/5 / 7/5) - (1/4 / 2/3)))
[487902] ['1/4', '2/3', '3/5', '7/6', '8/5'] -> (8/5 / (1/4 * (7/6 - (3/5 / 2/3))))
[487907] ['1/4', '2/3', '3/5', '7/6', '9/5'] -> (9/5 / ((1/4 * 3/5) * (7/6 - 2/3)))
[487912] ['1/4', '2/3', '3/5', '7/8', '8/3'] -> ((2/3 / ((7/8 - 1/4) - 3/5)) - 8/3)
[487918] ['1/4', '2/3', '3/5', '7/8', '9/5'] -> (9/5 / ((2/3 - 3/5) * (1/4 + 7/8)))
[487923] ['1/4', '2/3', '3/5', '7/9', '8/5'] -> (((2/3 / (7/9 - 3/5)) / 1/4) * 8/5)
[487937] ['1/4', '2/3', '3/5', '8/3', '9/5'] -> ((((8/3 - 2/3) / 1/4) / 3/5) * 9/5)
[487944] ['1/4', '2/3', '3/5', '8/5', '9/4'] -> ((8/5 / ((2/3 * 3/5) - 1/4)) * 9/4)
[487945] ['1/4', '2/3', '3/5', '8/5', '9/5'] -> (((2/3 + (8/5 / 3/5)) / 1/4) * 9/5)
[487956] ['1/4', '2/3', '3/5', '8/9', '9/2'] -> ((((2/3 / 1/4) / 3/5) + 8/9) * 9/2)
[487963] ['1/4', '2/3', '3/5', '9/2', '9/5'] -> (9/5 / ((1/4 * (2/3 - 3/5)) * 9/2))
[487970] ['1/4', '2/3', '3/5', '9/5', '9/5'] -> (9/5 / (((1/4 * 9/5) / 2/3) - 3/5))
[487976] ['1/4', '2/3', '3/7', '3/7', '3/7'] -> ((3/7 + 3/7) / ((2/3 * 3/7) - 1/4))
[487977] ['1/4', '2/3', '3/7', '3/7', '3/8'] -> ((3/7 / 3/7) / ((2/3 - 1/4) - 3/8))
[487982] ['1/4', '2/3', '3/7', '3/7', '5/2'] -> ((3/7 / 3/7) / (2/3 - (1/4 * 5/2)))
[487985] ['1/4', '2/3', '3/7', '3/7', '5/6'] -> (((3/7 / 1/4) / 3/7) / (5/6 - 2/3))
[487992] ['1/4', '2/3', '3/7', '3/7', '7/3'] -> ((3/7 + 3/7) / ((2/3 / 7/3) - 1/4))
[487996] ['1/4', '2/3', '3/7', '3/7', '7/8'] -> ((3/7 / 3/7) / ((1/4 + 2/3) - 7/8))
[488000] ['1/4', '2/3', '3/7', '3/7', '8/7'] -> ((8/7 / 1/4) / ((3/7 + 3/7) - 2/3))
[488008] ['1/4', '2/3', '3/7', '3/8', '4/3'] -> (4/3 / ((2/3 / 3/7) - (3/8 / 1/4)))
[488020] ['1/4', '2/3', '3/7', '3/8', '6/7'] -> (6/7 / ((2/3 * 3/7) * (3/8 - 1/4)))
[488021] ['1/4', '2/3', '3/7', '3/8', '7/2'] -> ((((3/7 / 1/4) / 2/3) / 3/8) * 7/2)
[488022] ['1/4', '2/3', '3/7', '3/8', '7/3'] -> ((3/7 / ((2/3 - 1/4) - 3/8)) * 7/3)
[488037] ['1/4', '2/3', '3/7', '4/3', '4/3'] -> (4/3 / (1/4 * ((2/3 / 3/7) - 4/3)))
[488039] ['1/4', '2/3', '3/7', '4/3', '4/7'] -> (4/7 / (1/4 * (2/3 - (3/7 * 4/3))))
[488060] ['1/4', '2/3', '3/7', '4/3', '8/9'] -> ((4/3 / (3/7 - (1/4 / 2/3))) - 8/9)
[488069] ['1/4', '2/3', '3/7', '4/5', '5/2'] -> ((4/5 / (2/3 - (1/4 / 3/7))) * 5/2)
[488091] ['1/4', '2/3', '3/7', '4/5', '9/5'] -> (9/5 / (((1/4 / 2/3) / 3/7) - 4/5))
[488095] ['1/4', '2/3', '3/7', '4/7', '4/9'] -> ((4/7 / (3/7 - (1/4 / 2/3))) / 4/9)
[488096] ['1/4', '2/3', '3/7', '4/7', '5/2'] -> (((4/7 / (2/3 - 3/7)) / 1/4) * 5/2)
[488105] ['1/4', '2/3', '3/7', '4/7', '7/2'] -> ((4/7 / (2/3 - (1/4 / 3/7))) * 7/2)
[488106] ['1/4', '2/3', '3/7', '4/7', '7/3'] -> ((2/3 / ((1/4 / 3/7) - 4/7)) / 7/3)
[488107] ['1/4', '2/3', '3/7', '4/7', '7/4'] -> ((1/4 + 7/4) / ((3/7 / 4/7) - 2/3))
[488111] ['1/4', '2/3', '3/7', '4/7', '7/9'] -> (((2/3 / (4/7 - 3/7)) / 1/4) / 7/9)
[488117] ['1/4', '2/3', '3/7', '4/7', '9/4'] -> ((4/7 / (3/7 - (1/4 / 2/3))) * 9/4)
[488126] ['1/4', '2/3', '3/7', '4/9', '5/7'] -> (5/7 / (3/7 * (4/9 - (1/4 / 2/3))))
[488130] ['1/4', '2/3', '3/7', '4/9', '6/7'] -> (6/7 / (((3/7 * 4/9) / 2/3) - 1/4))
[488140] ['1/4', '2/3', '3/7', '4/9', '8/7'] -> (8/7 / (((3/7 / 4/9) - 1/4) - 2/3))
[488141] ['1/4', '2/3', '3/7', '4/9', '8/9'] -> (8/9 / ((2/3 - (1/4 / 3/7)) * 4/9))
[488142] ['1/4', '2/3', '3/7', '4/9', '9/2'] -> ((4/9 / (2/3 - (1/4 / 3/7))) * 9/2)
[488145] ['1/4', '2/3', '3/7', '4/9', '9/7'] -> (9/7 / (3/7 - ((1/4 * 2/3) / 4/9)))
[488149] ['1/4', '2/3', '3/7', '5/2', '5/4'] -> ((5/2 / (2/3 - (1/4 / 3/7))) / 5/4)
[488153] ['1/4', '2/3', '3/7', '5/2', '5/9'] -> (((5/2 / (3/7 - 1/4)) - 2/3) / 5/9)
[488158] ['1/4', '2/3', '3/7', '5/2', '7/4'] -> (((5/2 / (2/3 - 3/7)) / 1/4) / 7/4)
[488161] ['1/4', '2/3', '3/7', '5/2', '7/8'] -> (((5/2 / (3/7 - 1/4)) / 2/3) / 7/8)
[488163] ['1/4', '2/3', '3/7', '5/2', '8/3'] -> ((1/4 + ((5/2 / 2/3) / 3/7)) * 8/3)
[488166] ['1/4', '2/3', '3/7', '5/2', '8/9'] -> (((2/3 + (5/2 / 1/4)) / 3/7) - 8/9)
[488169] ['1/4', '2/3', '3/7', '5/2', '9/5'] -> (((5/2 / (3/7 - 1/4)) - 2/3) * 9/5)
[488174] ['1/4', '2/3', '3/7', '5/3', '5/6'] -> ((5/3 / (2/3 - (1/4 / 3/7))) / 5/6)
[488178] ['1/4', '2/3', '3/7', '5/3', '6/5'] -> ((5/3 / (2/3 - (1/4 / 3/7))) * 6/5)
[488179] ['1/4', '2/3', '3/7', '5/3', '6/7'] -> (((5/3 / (2/3 - 3/7)) / 1/4) * 6/7)
[488181] ['1/4', '2/3', '3/7', '5/3', '7/3'] -> ((2/3 / (3/7 - (1/4 * 5/3))) / 7/3)
[488184] ['1/4', '2/3', '3/7', '5/3', '7/6'] -> (((5/3 / (2/3 - 3/7)) / 1/4) / 7/6)
[488199] ['1/4', '2/3', '3/7', '5/4', '5/8'] -> ((5/4 / (2/3 - (1/4 / 3/7))) / 5/8)
[488201] ['1/4', '2/3', '3/7', '5/4', '6/5'] -> (6/5 / ((1/4 / 3/7) - (2/3 / 5/4)))
[488203] ['1/4', '2/3', '3/7', '5/4', '7/2'] -> ((((5/4 / 1/4) - 3/7) / 2/3) * 7/2)
[488208] ['1/4', '2/3', '3/7', '5/4', '7/8'] -> (((5/4 / (2/3 - 3/7)) / 1/4) / 7/8)
[488210] ['1/4', '2/3', '3/7', '5/4', '8/3'] -> ((((5/4 / 3/7) - 2/3) / 1/4) * 8/3)
[488211] ['1/4', '2/3', '3/7', '5/4', '8/5'] -> ((5/4 / (2/3 - (1/4 / 3/7))) * 8/5)
[488226] ['1/4', '2/3', '3/7', '5/6', '7/3'] -> (((3/7 / (5/6 - 2/3)) / 1/4) * 7/3)
[488234] ['1/4', '2/3', '3/7', '5/6', '8/7'] -> (8/7 / (1/4 * (5/6 - (3/7 / 2/3))))
[488239] ['1/4', '2/3', '3/7', '5/6', '9/7'] -> (9/7 / (3/7 - (1/4 * (2/3 + 5/6))))
[488243] ['1/4', '2/3', '3/7', '5/7', '5/9'] -> ((5/7 / (3/7 - (1/4 / 2/3))) / 5/9)
[488244] ['1/4', '2/3', '3/7', '5/7', '6/5'] -> ((5/7 / ((2/3 * 3/7) - 1/4)) * 6/5)
[488246] ['1/4', '2/3', '3/7', '5/7', '7/2'] -> ((((3/7 + 5/7) / 1/4) / 2/3) * 7/2)
[488252] ['1/4', '2/3', '3/7', '5/7', '7/9'] -> ((2/3 / ((5/7 - 1/4) - 3/7)) / 7/9)
[488255] ['1/4', '2/3', '3/7', '5/7', '8/7'] -> (8/7 / ((1/4 * 2/3) * (5/7 - 3/7)))
[488259] ['1/4', '2/3', '3/7', '5/7', '9/5'] -> ((5/7 / (3/7 - (1/4 / 2/3))) * 9/5)
[488260] ['1/4', '2/3', '3/7', '5/7', '9/7'] -> ((2/3 / ((5/7 - 1/4) - 3/7)) * 9/7)
[488265] ['1/4', '2/3', '3/7', '5/8', '6/7'] -> (6/7 / (2/3 * ((1/4 + 3/7) - 5/8)))
[488271] ['1/4', '2/3', '3/7', '5/8', '7/8'] -> ((1/4 / (3/7 - (2/3 * 5/8))) / 7/8)
[488275] ['1/4', '2/3', '3/7', '5/8', '8/7'] -> ((1/4 / (3/7 - (2/3 * 5/8))) * 8/7)
[488290] ['1/4', '2/3', '3/7', '5/9', '7/8'] -> (((2/3 / (5/9 - 3/7)) / 1/4) / 7/8)
[488294] ['1/4', '2/3', '3/7', '5/9', '8/7'] -> (((2/3 / (5/9 - 3/7)) / 1/4) * 8/7)
[488301] ['1/4', '2/3', '3/7', '6/5', '6/5'] -> (6/5 / ((1/4 / 3/7) + (2/3 - 6/5)))
[488302] ['1/4', '2/3', '3/7', '6/5', '6/7'] -> (6/7 / (((2/3 - 3/7) * 6/5) - 1/4))
[488306] ['1/4', '2/3', '3/7', '6/5', '7/5'] -> ((6/5 / ((2/3 * 3/7) - 1/4)) / 7/5)
[488320] ['1/4', '2/3', '3/7', '6/7', '7/2'] -> (((3/7 + (6/7 / 2/3)) / 1/4) * 7/2)
[488321] ['1/4', '2/3', '3/7', '6/7', '7/3'] -> ((6/7 / (2/3 - (1/4 / 3/7))) * 7/3)
[488327] ['1/4', '2/3', '3/7', '6/7', '8/3'] -> (((3/7 / (6/7 - 2/3)) / 1/4) * 8/3)
[488329] ['1/4', '2/3', '3/7', '6/7', '8/7'] -> (8/7 / (3/7 - (1/4 * (2/3 + 6/7))))
[488332] ['1/4', '2/3', '3/7', '6/7', '9/4'] -> (((2/3 + (6/7 / 3/7)) / 1/4) * 9/4)
[488340] ['1/4', '2/3', '3/7', '7/2', '7/6'] -> ((((7/2 / 1/4) / 2/3) - 3/7) * 7/6)
[488343] ['1/4', '2/3', '3/7', '7/2', '8/3'] -> ((((3/7 * 7/2) / 1/4) / 2/3) * 8/3)
[488350] ['1/4', '2/3', '3/7', '7/2', '9/7'] -> (((3/7 + (7/2 / 2/3)) / 1/4) + 9/7)
[488352] ['1/4', '2/3', '3/7', '7/3', '7/3'] -> ((((2/3 + 7/3) - 3/7) / 1/4) * 7/3)
[488353] ['1/4', '2/3', '3/7', '7/3', '7/4'] -> ((((2/3 + 3/7) + 7/3) / 1/4) * 7/4)
[488360] ['1/4', '2/3', '3/7', '7/3', '8/7'] -> (8/7 / ((2/3 + (3/7 / 1/4)) - 7/3))
[488369] ['1/4', '2/3', '3/7', '7/4', '7/6'] -> (7/6 / (1/4 * (7/4 - (2/3 / 3/7))))
[488370] ['1/4', '2/3', '3/7', '7/4', '7/8'] -> ((7/4 / (2/3 - (1/4 / 3/7))) / 7/8)
[488374] ['1/4', '2/3', '3/7', '7/4', '8/7'] -> ((7/4 / (2/3 - (1/4 / 3/7))) * 8/7)
[488376] ['1/4', '2/3', '3/7', '7/4', '9/2'] -> ((2/3 + ((1/4 + 7/4) / 3/7)) * 9/2)
[488377] ['1/4', '2/3', '3/7', '7/4', '9/4'] -> (9/4 / ((3/7 - (1/4 / 2/3)) * 7/4))
[488379] ['1/4', '2/3', '3/7', '7/4', '9/7'] -> (9/7 / ((7/4 - (3/7 / 1/4)) / 2/3))
[488391] ['1/4', '2/3', '3/7', '7/5', '9/5'] -> (9/5 / ((3/7 - (1/4 / 2/3)) * 7/5))
[488401] ['1/4', '2/3', '3/7', '7/6', '9/2'] -> ((((2/3 / 1/4) / 3/7) / 7/6) * 9/2)
[488412] ['1/4', '2/3', '3/7', '7/8', '9/2'] -> ((2/3 / ((3/7 * 7/8) - 1/4)) * 9/2)
[488416] ['1/4', '2/3', '3/7', '7/8', '9/8'] -> (9/8 / ((3/7 - (1/4 / 2/3)) * 7/8))
[488425] ['1/4', '2/3', '3/7', '7/9', '9/7'] -> (9/7 / (((1/4 / 2/3) / 7/9) - 3/7))
[488436] ['1/4', '2/3', '3/7', '8/5', '8/5'] -> ((((8/5 / 1/4) / 2/3) / 3/7) + 8/5)
[488437] ['1/4', '2/3', '3/7', '8/5', '8/7'] -> ((1/4 / (3/7 - (2/3 / 8/5))) * 8/7)
[488448] ['1/4', '2/3', '3/7', '8/7', '9/5'] -> (((2/3 + (8/7 / 3/7)) / 1/4) * 9/5)
[488450] ['1/4', '2/3', '3/7', '8/7', '9/8'] -> (9/8 / ((3/7 - (1/4 / 2/3)) / 8/7))
[488451] ['1/4', '2/3', '3/7', '8/9', '8/9'] -> ((8/9 / ((2/3 * 3/7) - 1/4)) - 8/9)
[488452] ['1/4', '2/3', '3/7', '8/9', '9/2'] -> ((((2/3 / 1/4) / 3/7) - 8/9) * 9/2)
[488453] ['1/4', '2/3', '3/7', '8/9', '9/4'] -> ((8/9 / (2/3 - (1/4 / 3/7))) * 9/4)
[488458] ['1/4', '2/3', '3/7', '9/2', '9/4'] -> (((1/4 * 2/3) + (9/2 / 3/7)) * 9/4)
[488464] ['1/4', '2/3', '3/7', '9/4', '9/7'] -> (9/7 / (3/7 - ((1/4 * 2/3) * 9/4)))
[488465] ['1/4', '2/3', '3/7', '9/4', '9/8'] -> ((9/4 / (2/3 - (1/4 / 3/7))) / 9/8)
[488469] ['1/4', '2/3', '3/7', '9/7', '9/7'] -> (9/7 / (((1/4 * 9/7) / 2/3) - 3/7))
[488472] ['1/4', '2/3', '3/8', '3/8', '3/8'] -> ((3/8 / ((2/3 - 1/4) - 3/8)) / 3/8)
[488478] ['1/4', '2/3', '3/8', '3/8', '5/3'] -> (5/3 / (((1/4 * 2/3) / 3/8) - 3/8))
[488479] ['1/4', '2/3', '3/8', '3/8', '5/4'] -> ((3/8 + (5/4 / 2/3)) / (1/4 * 3/8))
[488480] ['1/4', '2/3', '3/8', '3/8', '5/6'] -> (((3/8 / 1/4) / 3/8) / (5/6 - 2/3))
[488493] ['1/4', '2/3', '3/8', '3/8', '8/3'] -> ((3/8 * 8/3) / ((2/3 - 1/4) - 3/8))
[488494] ['1/4', '2/3', '3/8', '3/8', '8/5'] -> (8/5 / (2/3 - (3/8 / (1/4 + 3/8))))
[488502] ['1/4', '2/3', '3/8', '4/3', '4/3'] -> ((4/3 / ((2/3 - 1/4) - 3/8)) / 4/3)
[488505] ['1/4', '2/3', '3/8', '4/3', '4/9'] -> ((((2/3 / 1/4) + 4/3) / 3/8) / 4/9)
[488506] ['1/4', '2/3', '3/8', '4/3', '5/2'] -> (5/2 / ((2/3 - (1/4 / 4/3)) - 3/8))
[488516] ['1/4', '2/3', '3/8', '4/3', '7/3'] -> ((7/3 / 1/4) / ((2/3 - 3/8) * 4/3))
[488533] ['1/4', '2/3', '3/8', '4/5', '4/9'] -> ((2/3 / (3/8 - (1/4 / 4/5))) / 4/9)
[488534] ['1/4', '2/3', '3/8', '4/5', '5/2'] -> (((4/5 / (3/8 - 1/4)) / 2/3) * 5/2)
[488540] ['1/4', '2/3', '3/8', '4/5', '5/9'] -> ((2/3 / ((3/8 * 4/5) - 1/4)) / 5/9)
[488546] ['1/4', '2/3', '3/8', '4/5', '7/5'] -> (7/5 / ((1/4 * (2/3 - 3/8)) * 4/5))
[488551] ['1/4', '2/3', '3/8', '4/5', '8/5'] -> (8/5 / ((2/3 * (3/8 - 1/4)) * 4/5))
[488560] ['1/4', '2/3', '3/8', '4/7', '4/9'] -> ((2/3 / ((1/4 / 4/7) - 3/8)) / 4/9)
[488574] ['1/4', '2/3', '3/8', '4/7', '7/6'] -> ((1/4 / (4/7 - (3/8 / 2/3))) / 7/6)
[488576] ['1/4', '2/3', '3/8', '4/7', '7/9'] -> ((2/3 / (1/4 - (3/8 * 4/7))) / 7/9)
[488584] ['1/4', '2/3', '3/8', '4/7', '9/7'] -> ((2/3 / (1/4 - (3/8 * 4/7))) * 9/7)
[488586] ['1/4', '2/3', '3/8', '4/9', '4/9'] -> ((4/9 / ((2/3 - 1/4) - 3/8)) / 4/9)
[488588] ['1/4', '2/3', '3/8', '4/9', '5/3'] -> (5/3 / (((2/3 - 1/4) * 3/8) * 4/9))
[488604] ['1/4', '2/3', '3/8', '4/9', '8/5'] -> (((2/3 / (4/9 - 3/8)) / 1/4) / 8/5)
[488606] ['1/4', '2/3', '3/8', '4/9', '8/9'] -> (8/9 / ((2/3 * (3/8 - 1/4)) * 4/9))
[488613] ['1/4', '2/3', '3/8', '5/2', '5/3'] -> ((((5/2 / 1/4) / 2/3) / 3/8) / 5/3)
[488618] ['1/4', '2/3', '3/8', '5/2', '5/9'] -> (((2/3 * 5/2) / (3/8 - 1/4)) / 5/9)
[488631] ['1/4', '2/3', '3/8', '5/2', '8/9'] -> ((((5/2 / 1/4) - 2/3) / 3/8) - 8/9)
[488632] ['1/4', '2/3', '3/8', '5/2', '9/2'] -> ((((5/2 - 1/4) / 3/8) - 2/3) * 9/2)
[488633] ['1/4', '2/3', '3/8', '5/2', '9/4'] -> (((1/4 + (5/2 / 2/3)) / 3/8) * 9/4)
[488634] ['1/4', '2/3', '3/8', '5/2', '9/5'] -> (((2/3 * 5/2) / (3/8 - 1/4)) * 9/5)
[488639] ['1/4', '2/3', '3/8', '5/3', '5/6'] -> (((5/3 / (3/8 - 1/4)) / 2/3) / 5/6)
[488643] ['1/4', '2/3', '3/8', '5/3', '6/5'] -> (((5/3 / (3/8 - 1/4)) / 2/3) * 6/5)
[488645] ['1/4', '2/3', '3/8', '5/3', '7/2'] -> (7/2 / ((3/8 / 2/3) - (1/4 * 5/3)))
[488646] ['1/4', '2/3', '3/8', '5/3', '7/3'] -> (7/3 / (3/8 - ((1/4 * 2/3) * 5/3)))
[488648] ['1/4', '2/3', '3/8', '5/3', '7/5'] -> (7/5 / ((3/8 / 5/3) - (1/4 * 2/3)))
[488651] ['1/4', '2/3', '3/8', '5/3', '7/9'] -> (((2/3 + 5/3) / (3/8 - 1/4)) / 7/9)
[488655] ['1/4', '2/3', '3/8', '5/3', '8/9'] -> ((((2/3 + 5/3) / 1/4) / 3/8) - 8/9)
[488656] ['1/4', '2/3', '3/8', '5/3', '9/2'] -> ((5/3 / ((3/8 / 2/3) - 1/4)) * 9/2)
[488659] ['1/4', '2/3', '3/8', '5/3', '9/7'] -> (((2/3 + 5/3) / (3/8 - 1/4)) * 9/7)
[488663] ['1/4', '2/3', '3/8', '5/4', '5/7'] -> (((5/4 / (2/3 - 3/8)) / 1/4) / 5/7)
[488664] ['1/4', '2/3', '3/8', '5/4', '5/8'] -> (((5/4 / (3/8 - 1/4)) / 2/3) / 5/8)
[488665] ['1/4', '2/3', '3/8', '5/4', '5/9'] -> ((2/3 / ((3/8 / 5/4) - 1/4)) / 5/9)
[488671] ['1/4', '2/3', '3/8', '5/4', '7/5'] -> (((5/4 / (2/3 - 3/8)) / 1/4) * 7/5)
[488675] ['1/4', '2/3', '3/8', '5/4', '8/3'] -> (((3/8 + (5/4 / 2/3)) / 1/4) * 8/3)
[488676] ['1/4', '2/3', '3/8', '5/4', '8/5'] -> (((5/4 / (3/8 - 1/4)) / 2/3) * 8/5)
[488679] ['1/4', '2/3', '3/8', '5/4', '9/2'] -> ((1/4 + 9/2) / (2/3 - (3/8 * 5/4)))
[488682] ['1/4', '2/3', '3/8', '5/4', '9/7'] -> (9/7 / ((1/4 / (5/4 - 2/3)) - 3/8))
[488687] ['1/4', '2/3', '3/8', '5/6', '5/9'] -> ((((5/6 / 1/4) / 2/3) / 3/8) / 5/9)
[488698] ['1/4', '2/3', '3/8', '5/6', '8/5'] -> (8/5 / ((3/8 / (2/3 - 1/4)) - 5/6))
[488710] ['1/4', '2/3', '3/8', '5/7', '6/7'] -> (6/7 / (((1/4 / 2/3) + 3/8) - 5/7))
[488712] ['1/4', '2/3', '3/8', '5/7', '7/3'] -> (((2/3 + (5/7 / 3/8)) / 1/4) * 7/3)
[488718] ['1/4', '2/3', '3/8', '5/7', '8/3'] -> ((2/3 / (3/8 - (1/4 / 5/7))) - 8/3)
[488738] ['1/4', '2/3', '3/8', '5/8', '8/3'] -> ((2/3 / ((1/4 / 5/8) - 3/8)) - 8/3)
[488747] ['1/4', '2/3', '3/8', '5/9', '5/9'] -> ((5/9 / ((2/3 - 1/4) - 3/8)) / 5/9)
[488748] ['1/4', '2/3', '3/8', '5/9', '6/5'] -> (6/5 / (2/3 * ((1/4 / 5/9) - 3/8)))
[488750] ['1/4', '2/3', '3/8', '5/9', '7/2'] -> (7/2 / (3/8 * (5/9 - (1/4 * 2/3))))
[488762] ['1/4', '2/3', '3/8', '5/9', '9/4'] -> ((1/4 / (3/8 - (2/3 * 5/9))) / 9/4)
[488779] ['1/4', '2/3', '3/8', '6/5', '9/2'] -> (9/2 / (((2/3 - 1/4) * 3/8) * 6/5))
[488786] ['1/4', '2/3', '3/8', '6/7', '7/3'] -> (((6/7 / (3/8 - 1/4)) / 2/3) * 7/3)
[488787] ['1/4', '2/3', '3/8', '6/7', '7/4'] -> ((((6/7 / 1/4) / 2/3) / 3/8) * 7/4)
[488789] ['1/4', '2/3', '3/8', '6/7', '7/6'] -> ((6/7 / ((2/3 - 1/4) - 3/8)) * 7/6)
[488794] ['1/4', '2/3', '3/8', '6/7', '8/7'] -> (8/7 / (2/3 * ((3/8 * 6/7) - 1/4)))
[488801] ['1/4', '2/3', '3/8', '7/2', '7/2'] -> ((7/2 / ((2/3 - 1/4) - 3/8)) / 7/2)
[488802] ['1/4', '2/3', '3/8', '7/2', '7/3'] -> ((((7/2 / 1/4) / 2/3) / 3/8) / 7/3)
[488803] ['1/4', '2/3', '3/8', '7/2', '7/4'] -> (((7/2 / (3/8 - 1/4)) / 2/3) / 7/4)
[488810] ['1/4', '2/3', '3/8', '7/2', '8/7'] -> (8/7 / (((2/3 + 3/8) / 7/2) - 1/4))
[488811] ['1/4', '2/3', '3/8', '7/2', '8/9'] -> ((((2/3 * 7/2) / 1/4) / 3/8) - 8/9)
[488813] ['1/4', '2/3', '3/8', '7/2', '9/4'] -> ((2/3 + ((1/4 + 7/2) / 3/8)) * 9/4)
[488814] ['1/4', '2/3', '3/8', '7/2', '9/5'] -> ((((7/2 / 2/3) - 1/4) / 3/8) * 9/5)
[488815] ['1/4', '2/3', '3/8', '7/2', '9/7'] -> (9/7 / (((3/8 - 1/4) / 2/3) / 7/2))
[488817] ['1/4', '2/3', '3/8', '7/3', '7/3'] -> ((7/3 / ((2/3 - 1/4) - 3/8)) / 7/3)
[488820] ['1/4', '2/3', '3/8', '7/3', '7/6'] -> (((7/3 / (3/8 - 1/4)) / 2/3) / 7/6)
[488834] ['1/4', '2/3', '3/8', '7/4', '7/6'] -> ((((7/4 / 1/4) / 2/3) / 3/8) / 7/6)
