[2054536] ['5/6', '5/6', '7/4', '9/2', '9/4'] -> ((9/2 / ((7/4 - 5/6) - 5/6)) / 9/4)
[2061214] ['5/6', '6/7', '7/4', '7/5', '8/5'] -> (8/5 / ((7/5 - (5/6 / 7/4)) - 6/7))
[2061215] ['5/6', '6/7', '7/4', '7/5', '8/7'] -> (8/7 / (5/6 * (6/7 - (7/5 / 7/4))))
[2061219] ['5/6', '6/7', '7/4', '7/5', '9/5'] -> (9/5 / ((6/7 - 5/6) * (7/4 + 7/5)))
[2061222] ['5/6', '6/7', '7/4', '7/6', '7/6'] -> (((7/6 / (6/7 - 5/6)) / 7/4) / 7/6)
[2061225] ['5/6', '6/7', '7/4', '7/6', '8/3'] -> ((7/4 / (7/6 - (5/6 / 6/7))) * 8/3)
[2061227] ['5/6', '6/7', '7/4', '7/6', '8/7'] -> (8/7 / ((5/6 * 6/7) - (7/6 / 7/4)))
[2061236] ['5/6', '6/7', '7/4', '7/8', '8/3'] -> (((5/6 / (7/8 - 6/7)) / 7/4) - 8/3)
[2061240] ['5/6', '6/7', '7/4', '7/8', '9/2'] -> (9/2 / (((7/4 - 7/8) / 6/7) - 5/6))
[2061245] ['5/6', '6/7', '7/4', '7/9', '7/9'] -> (7/9 / (((6/7 - 5/6) * 7/4) * 7/9))
[2061249] ['5/6', '6/7', '7/4', '7/9', '8/9'] -> (((6/7 * 7/4) / (5/6 - 7/9)) * 8/9)
[2061253] ['5/6', '6/7', '7/4', '7/9', '9/7'] -> (9/7 / (((6/7 - 5/6) * 7/4) / 7/9))
[2061254] ['5/6', '6/7', '7/4', '7/9', '9/8'] -> (((6/7 * 7/4) / (5/6 - 7/9)) / 9/8)
[2061255] ['5/6', '6/7', '7/4', '8/3', '8/3'] -> (8/3 / (((6/7 - 5/6) * 7/4) * 8/3))
[2061259] ['5/6', '6/7', '7/4', '8/3', '9/2'] -> (((7/4 * (6/7 + 8/3)) - 5/6) * 9/2)
[2061264] ['5/6', '6/7', '7/4', '8/5', '8/5'] -> (8/5 / (((6/7 - 5/6) * 7/4) * 8/5))
[2061265] ['5/6', '6/7', '7/4', '8/5', '8/7'] -> (8/7 / (5/6 * ((8/5 / 7/4) - 6/7)))
[2061283] ['5/6', '6/7', '7/4', '8/9', '9/7'] -> ((6/7 / ((7/4 - 5/6) - 8/9)) / 9/7)
[2061285] ['5/6', '6/7', '7/4', '9/2', '9/2'] -> (((9/2 / (6/7 - 5/6)) / 7/4) / 9/2)
[2061290] ['5/6', '6/7', '7/4', '9/4', '9/4'] -> (9/4 / (((6/7 - 5/6) * 7/4) * 9/4))
[2061294] ['5/6', '6/7', '7/4', '9/5', '9/5'] -> (((9/5 / (6/7 - 5/6)) / 7/4) / 9/5)
[2061297] ['5/6', '6/7', '7/4', '9/7', '9/7'] -> (((9/7 / (6/7 - 5/6)) / 7/4) / 9/7)
[2061299] ['5/6', '6/7', '7/4', '9/8', '9/8'] -> (((9/8 / (6/7 - 5/6)) / 7/4) / 9/8)
[2061305] ['5/6', '6/7', '7/5', '7/5', '8/5'] -> ((8/5 / (6/7 - 5/6)) / (7/5 + 7/5))
[2061315] ['5/6', '6/7', '7/5', '7/6', '7/9'] -> (7/9 / (5/6 * (7/5 - (7/6 / 6/7))))
[2061332] ['5/6', '6/7', '7/5', '7/8', '9/4'] -> (((7/8 / (6/7 - 5/6)) / 7/5) - 9/4)
[2061333] ['5/6', '6/7', '7/5', '7/8', '9/5'] -> (9/5 / ((5/6 + 7/8) - (7/5 / 6/7)))
[2061338] ['5/6', '6/7', '7/5', '7/9', '8/5'] -> (8/5 / ((6/7 * 7/5) * (5/6 - 7/9)))
[2061358] ['5/6', '6/7', '7/5', '8/5', '9/2'] -> (9/2 / (((7/5 / 6/7) / 8/5) - 5/6))
[2061363] ['5/6', '6/7', '7/5', '8/7', '8/7'] -> (8/7 / (5/6 * ((6/7 * 7/5) - 8/7)))
[2061370] ['5/6', '6/7', '7/5', '8/9', '8/9'] -> (8/9 / ((5/6 * 7/5) * (8/9 - 6/7)))
[2061371] ['5/6', '6/7', '7/5', '8/9', '9/2'] -> (9/2 / (6/7 - ((5/6 / 7/5) / 8/9)))
[2061382] ['5/6', '6/7', '7/5', '9/4', '9/5'] -> (9/5 / (((6/7 - 5/6) * 7/5) * 9/4))
[2061392] ['5/6', '6/7', '7/6', '7/6', '7/8'] -> ((7/6 + 7/6) / ((5/6 / 6/7) - 7/8))
[2061401] ['5/6', '6/7', '7/6', '7/6', '9/7'] -> (((5/6 + 6/7) + 7/6) / (9/7 - 7/6))
[2061405] ['5/6', '6/7', '7/6', '7/8', '8/3'] -> (8/3 / (7/6 * ((5/6 / 7/8) - 6/7)))
[2061407] ['5/6', '6/7', '7/6', '7/8', '8/7'] -> (8/7 / ((6/7 * 7/6) - (5/6 / 7/8)))
[2061416] ['5/6', '6/7', '7/6', '7/9', '8/5'] -> (8/5 / ((6/7 * 7/6) - (7/9 / 5/6)))
[2061431] ['5/6', '6/7', '7/6', '8/3', '9/7'] -> (9/7 / ((6/7 - (5/6 / 7/6)) / 8/3))
[2061445] ['5/6', '6/7', '7/6', '8/7', '9/5'] -> (((6/7 / (7/6 - 8/7)) / 5/6) / 9/5)
[2061449] ['5/6', '6/7', '7/6', '8/9', '9/2'] -> ((8/9 / ((6/7 * 7/6) - 5/6)) * 9/2)
[2061450] ['5/6', '6/7', '7/6', '8/9', '9/4'] -> (9/4 / (7/6 * ((5/6 / 8/9) - 6/7)))
[2061452] ['5/6', '6/7', '7/6', '8/9', '9/7'] -> (9/7 / (6/7 - ((5/6 / 7/6) / 8/9)))
[2061458] ['5/6', '6/7', '7/6', '9/2', '9/8'] -> ((9/2 / ((6/7 * 7/6) - 5/6)) / 9/8)
[2061482] ['5/6', '6/7', '7/8', '7/9', '8/5'] -> (8/5 / (7/8 * ((7/9 / 5/6) - 6/7)))
[2061483] ['5/6', '6/7', '7/8', '7/9', '8/7'] -> (8/7 / (6/7 * ((7/9 / 7/8) - 5/6)))
[2061485] ['5/6', '6/7', '7/8', '7/9', '9/2'] -> (9/2 / (7/8 * ((5/6 / 7/9) - 6/7)))
[2061486] ['5/6', '6/7', '7/8', '7/9', '9/4'] -> ((5/6 / ((7/9 / 7/8) - 6/7)) - 9/4)
[2061487] ['5/6', '6/7', '7/8', '7/9', '9/5'] -> (9/5 / (7/8 - ((6/7 * 7/9) / 5/6)))
[2061514] ['5/6', '6/7', '7/8', '8/9', '8/9'] -> (((8/9 / (7/8 - 5/6)) / 6/7) - 8/9)
[2061515] ['5/6', '6/7', '7/8', '8/9', '9/2'] -> (9/2 / ((5/6 / 8/9) - (6/7 * 7/8)))
[2061516] ['5/6', '6/7', '7/8', '8/9', '9/4'] -> ((8/9 / (5/6 - (6/7 * 7/8))) * 9/4)
[2061518] ['5/6', '6/7', '7/8', '8/9', '9/7'] -> (9/7 / (6/7 * ((5/6 / 8/9) - 7/8)))
[2061521] ['5/6', '6/7', '7/8', '9/2', '9/4'] -> (9/4 / (((6/7 - 5/6) * 7/8) * 9/2))
[2061535] ['5/6', '6/7', '7/9', '7/9', '7/9'] -> ((6/7 * (7/9 + 7/9)) / (5/6 - 7/9))
[2061536] ['5/6', '6/7', '7/9', '7/9', '8/3'] -> ((8/3 / 6/7) / (7/9 - (5/6 * 7/9)))
[2061555] ['5/6', '6/7', '7/9', '8/5', '8/7'] -> ((8/5 / ((7/9 / 5/6) - 6/7)) * 8/7)
[2061557] ['5/6', '6/7', '7/9', '8/5', '9/2'] -> (9/2 / (6/7 - ((5/6 / 7/9) / 8/5)))
[2061562] ['5/6', '6/7', '7/9', '8/7', '8/7'] -> (8/7 / (6/7 * ((7/9 * 8/7) - 5/6)))
[2061564] ['5/6', '6/7', '7/9', '8/7', '9/2'] -> ((8/7 / ((5/6 / 7/9) - 6/7)) * 9/2)
[2061565] ['5/6', '6/7', '7/9', '8/7', '9/4'] -> ((5/6 / ((7/9 * 8/7) - 6/7)) - 9/4)
[2061569] ['5/6', '6/7', '7/9', '8/9', '8/9'] -> (8/9 / ((6/7 * 7/9) * (8/9 - 5/6)))
[2061573] ['5/6', '6/7', '7/9', '8/9', '9/7'] -> (9/7 / ((5/6 - 7/9) * (6/7 / 8/9)))
[2061579] ['5/6', '6/7', '7/9', '9/2', '9/8'] -> ((9/2 / (5/6 - (6/7 * 7/9))) / 9/8)
[2061593] ['5/6', '6/7', '8/3', '8/3', '8/9'] -> ((8/3 / (5/6 + 8/3)) / (8/9 - 6/7))
[2061594] ['5/6', '6/7', '8/3', '8/3', '9/2'] -> (((5/6 * 8/3) + (8/3 / 6/7)) * 9/2)
[2061602] ['5/6', '6/7', '8/3', '8/5', '9/2'] -> ((((8/3 / 5/6) / 6/7) + 8/5) * 9/2)
[2061627] ['5/6', '6/7', '8/3', '9/4', '9/7'] -> ((6/7 / (9/4 - (5/6 * 8/3))) / 9/7)
[2061671] ['5/6', '6/7', '8/7', '8/7', '8/7'] -> ((8/7 + 8/7) / ((5/6 * 8/7) - 6/7))
[2061679] ['5/6', '6/7', '8/7', '8/9', '9/2'] -> (9/2 / ((5/6 / 8/9) - (6/7 / 8/7)))
[2061681] ['5/6', '6/7', '8/7', '8/9', '9/5'] -> (((8/7 / (8/9 - 6/7)) / 5/6) / 9/5)
[2061687] ['5/6', '6/7', '8/7', '9/2', '9/7'] -> (9/7 / ((8/7 - 6/7) / (5/6 + 9/2)))
[2061699] ['5/6', '6/7', '8/9', '8/9', '8/9'] -> ((8/9 / (5/6 - (8/9 * 8/9))) / 6/7)
[2061701] ['5/6', '6/7', '8/9', '8/9', '9/4'] -> ((8/9 / ((5/6 / 6/7) - 8/9)) * 9/4)
[2061703] ['5/6', '6/7', '8/9', '8/9', '9/7'] -> (((8/9 / (8/9 - 5/6)) / 6/7) * 9/7)
[2061713] ['5/6', '6/7', '8/9', '9/4', '9/8'] -> ((9/4 / ((5/6 / 6/7) - 8/9)) / 9/8)
[2061718] ['5/6', '6/7', '8/9', '9/7', '9/8'] -> (((9/7 / (8/9 - 5/6)) / 6/7) / 9/8)
[2061719] ['5/6', '6/7', '8/9', '9/8', '9/8'] -> (((5/6 / (8/9 - 6/7)) - 9/8) - 9/8)
[2061733] ['5/6', '6/7', '9/2', '9/7', '9/8'] -> ((9/2 / (5/6 - (6/7 / 9/7))) / 9/8)
[2061736] ['5/6', '6/7', '9/4', '9/4', '9/5'] -> (9/5 / ((9/4 / 5/6) - (9/4 / 6/7)))
[2061737] ['5/6', '6/7', '9/4', '9/4', '9/7'] -> (9/7 / ((6/7 * 9/4) - (5/6 * 9/4)))
[2061759] ['5/6', '7/2', '7/2', '7/2', '7/6'] -> (7/2 / ((7/2 / (7/2 - 5/6)) - 7/6))
[2061774] ['5/6', '7/2', '7/2', '7/3', '7/6'] -> (7/3 / (7/2 - ((5/6 * 7/2) * 7/6)))
[2061775] ['5/6', '7/2', '7/2', '7/3', '7/8'] -> ((7/2 / (5/6 - (7/3 / 7/2))) / 7/8)
[2061777] ['5/6', '7/2', '7/2', '7/3', '8/3'] -> (((5/6 / 7/2) + 7/3) * (7/2 * 8/3))
[2061779] ['5/6', '7/2', '7/2', '7/3', '8/7'] -> ((7/2 * 8/7) / (5/6 - (7/3 / 7/2)))
[2061781] ['5/6', '7/2', '7/2', '7/3', '9/2'] -> ((7/2 + 9/2) / ((7/2 - 5/6) - 7/3))
[2061790] ['5/6', '7/2', '7/2', '7/4', '7/9'] -> ((7/2 + 7/4) * (7/2 + (5/6 / 7/9)))
[2061799] ['5/6', '7/2', '7/2', '7/4', '9/8'] -> (((7/2 * 7/2) / 7/4) / (9/8 - 5/6))
[2061808] ['5/6', '7/2', '7/2', '7/5', '9/2'] -> (((7/2 + 9/2) / 5/6) / (7/5 / 7/2))
[2061814] ['5/6', '7/2', '7/2', '7/6', '7/8'] -> (((7/2 + 7/2) / (7/6 - 5/6)) / 7/8)
[2061818] ['5/6', '7/2', '7/2', '7/6', '8/7'] -> (((7/2 + 7/2) / (7/6 - 5/6)) * 8/7)
[2061819] ['5/6', '7/2', '7/2', '7/6', '8/9'] -> (((7/2 + 7/6) / 7/2) / (8/9 - 5/6))
[2061827] ['5/6', '7/2', '7/2', '7/8', '8/3'] -> (((7/2 + (7/2 / 7/8)) / 5/6) * 8/3)
[2061829] ['5/6', '7/2', '7/2', '7/8', '8/7'] -> (8/7 / ((7/2 / 7/2) - (5/6 / 7/8)))
[2061832] ['5/6', '7/2', '7/2', '7/8', '9/4'] -> ((((7/2 - 5/6) * 7/2) / 7/8) * 9/4)
[2061836] ['5/6', '7/2', '7/2', '7/9', '7/9'] -> ((5/6 + (7/2 / 7/9)) * (7/2 / 7/9))
[2061837] ['5/6', '7/2', '7/2', '7/9', '8/3'] -> (((7/2 + 8/3) - 5/6) / (7/9 / 7/2))
[2061838] ['5/6', '7/2', '7/2', '7/9', '8/5'] -> (8/5 / ((7/2 / 7/2) - (7/9 / 5/6)))
[2061847] ['5/6', '7/2', '7/2', '8/3', '8/5'] -> ((((7/2 + 7/2) * 8/3) / 5/6) + 8/5)
[2061849] ['5/6', '7/2', '7/2', '8/3', '8/9'] -> ((((7/2 - 5/6) * 7/2) * 8/3) - 8/9)
[2061850] ['5/6', '7/2', '7/2', '8/3', '9/2'] -> (((7/2 + 7/2) * 8/3) + (5/6 + 9/2))
[2061853] ['5/6', '7/2', '7/2', '8/3', '9/7'] -> (((7/2 + 8/3) - 5/6) * (7/2 * 9/7))
[2061863] ['5/6', '7/2', '7/2', '8/7', '8/7'] -> (8/7 / ((7/2 / 7/2) - (5/6 * 8/7)))
[2061866] ['5/6', '7/2', '7/2', '8/7', '9/4'] -> ((((7/2 - 5/6) * 7/2) * 8/7) * 9/4)
[2061867] ['5/6', '7/2', '7/2', '8/7', '9/5'] -> (((7/2 + 8/7) - 5/6) * (7/2 * 9/5))
[2061896] ['5/6', '7/2', '7/3', '7/3', '7/9'] -> (((7/3 + 7/3) / 7/2) / (5/6 - 7/9))
[2061900] ['5/6', '7/2', '7/3', '7/3', '8/9'] -> (((7/3 + 7/3) / 7/2) / (8/9 - 5/6))
[2061906] ['5/6', '7/2', '7/3', '7/4', '7/4'] -> ((7/2 / (5/6 - (7/4 / 7/3))) / 7/4)
[2061908] ['5/6', '7/2', '7/3', '7/4', '7/6'] -> ((7/2 + 7/6) / ((5/6 * 7/3) - 7/4))
[2061924] ['5/6', '7/2', '7/3', '7/5', '8/3'] -> ((5/6 + ((7/2 + 7/3) * 7/5)) * 8/3)
[2061928] ['5/6', '7/2', '7/3', '7/5', '9/2'] -> ((7/3 + ((7/2 / 5/6) / 7/5)) * 9/2)
[2061941] ['5/6', '7/2', '7/3', '7/6', '9/4'] -> ((7/2 * (7/3 + (5/6 / 7/6))) * 9/4)
[2061953] ['5/6', '7/2', '7/3', '7/8', '9/5'] -> (9/5 / (7/8 - ((7/3 / 5/6) / 7/2)))
[2061960] ['5/6', '7/2', '7/3', '7/9', '8/9'] -> (((7/2 / (5/6 - 7/9)) / 7/3) * 8/9)
[2061962] ['5/6', '7/2', '7/3', '7/9', '9/4'] -> ((7/3 * (7/2 + (5/6 / 7/9))) * 9/4)
[2061965] ['5/6', '7/2', '7/3', '7/9', '9/8'] -> (((7/2 / (5/6 - 7/9)) / 7/3) / 9/8)
[2061968] ['5/6', '7/2', '7/3', '8/3', '8/7'] -> (((7/2 * (7/3 + 8/3)) / 5/6) * 8/7)
[2061971] ['5/6', '7/2', '7/3', '8/3', '9/4'] -> ((7/2 / ((7/3 / 5/6) - 8/3)) - 9/4)
[2061973] ['5/6', '7/2', '7/3', '8/3', '9/7'] -> ((((7/2 + 7/3) * 8/3) / 5/6) * 9/7)
[2061979] ['5/6', '7/2', '7/3', '8/5', '9/4'] -> ((((5/6 + 7/2) + 7/3) * 8/5) * 9/4)
[2061995] ['5/6', '7/2', '7/3', '8/9', '9/8'] -> (((7/2 / (8/9 - 5/6)) / 7/3) / 9/8)
[2062000] ['5/6', '7/2', '7/3', '9/2', '9/8'] -> ((9/2 / (5/6 - (7/3 / 7/2))) / 9/8)
[2062002] ['5/6', '7/2', '7/3', '9/4', '9/5'] -> (((7/2 * (5/6 + 7/3)) + 9/4) * 9/5)
[2062018] ['5/6', '7/2', '7/4', '7/4', '8/7'] -> ((7/2 * 8/7) / ((7/4 / 7/4) - 5/6))
[2062024] ['5/6', '7/2', '7/4', '7/4', '9/8'] -> (((7/2 + 7/4) + 7/4) / (9/8 - 5/6))
[2062025] ['5/6', '7/2', '7/4', '7/5', '7/5'] -> (7/5 / ((5/6 * (7/2 - 7/4)) - 7/5))
[2062039] ['5/6', '7/2', '7/4', '7/6', '7/8'] -> ((7/2 / (5/6 - (7/6 / 7/4))) / 7/8)
[2062041] ['5/6', '7/2', '7/4', '7/6', '8/3'] -> ((5/6 + (7/4 * (7/2 + 7/6))) * 8/3)
[2062043] ['5/6', '7/2', '7/4', '7/6', '8/7'] -> ((7/2 / (5/6 - (7/6 / 7/4))) * 8/7)
[2062071] ['5/6', '7/2', '7/4', '8/3', '8/3'] -> (((5/6 + 7/2) + (7/4 * 8/3)) * 8/3)
[2062075] ['5/6', '7/2', '7/4', '8/3', '9/2'] -> (9/2 / ((7/4 / 7/2) - (5/6 / 8/3)))
[2062080] ['5/6', '7/2', '7/4', '8/5', '8/5'] -> (8/5 / (((5/6 * 7/2) / 7/4) - 8/5))
[2062106] ['5/6', '7/2', '7/4', '9/4', '9/4'] -> (((7/2 - 5/6) * (7/4 + 9/4)) * 9/4)
[2062117] ['5/6', '7/2', '7/5', '7/5', '7/6'] -> (((7/2 / 5/6) + 7/5) / (7/5 - 7/6))
[2062121] ['5/6', '7/2', '7/5', '7/5', '8/5'] -> ((7/2 * 8/5) / (7/5 - (5/6 * 7/5)))
[2062122] ['5/6', '7/2', '7/5', '7/5', '8/7'] -> ((7/2 * 8/7) / ((7/5 / 7/5) - 5/6))
[2062133] ['5/6', '7/2', '7/5', '7/6', '8/5'] -> (8/5 / ((5/6 + (7/5 / 7/2)) - 7/6))
[2062147] ['5/6', '7/2', '7/5', '7/8', '9/2'] -> (((7/2 + (5/6 * 7/5)) / 7/8) * 9/2)
[2062153] ['5/6', '7/2', '7/5', '7/9', '8/3'] -> ((7/2 / ((5/6 * 7/5) - 7/9)) * 8/3)
[2062162] ['5/6', '7/2', '7/5', '8/3', '8/3'] -> (8/3 / (7/2 - (5/6 * (7/5 + 8/3))))
[2062171] ['5/6', '7/2', '7/5', '8/5', '8/5'] -> (8/5 / (((7/2 / 7/5) - 5/6) - 8/5))
[2062172] ['5/6', '7/2', '7/5', '8/5', '8/7'] -> (((7/2 / (8/5 - 7/5)) / 5/6) * 8/7)
[2062194] ['5/6', '7/2', '7/5', '9/2', '9/5'] -> (((5/6 + 9/2) / (7/5 / 7/2)) * 9/5)
[2062207] ['5/6', '7/2', '7/6', '7/6', '7/6'] -> ((7/2 + 7/6) / (7/6 - (5/6 * 7/6)))
[2062211] ['5/6', '7/2', '7/6', '7/6', '8/5'] -> ((7/2 * 8/5) / ((7/6 / 5/6) - 7/6))
[2062212] ['5/6', '7/2', '7/6', '7/6', '8/7'] -> ((7/2 * 8/7) / ((7/6 / 7/6) - 5/6))
[2062220] ['5/6', '7/2', '7/6', '7/8', '7/9'] -> ((7/2 / ((7/6 * 7/8) - 5/6)) / 7/9)
[2062225] ['5/6', '7/2', '7/6', '7/8', '9/2'] -> (9/2 / ((7/2 * (7/6 - 7/8)) - 5/6))
[2062232] ['5/6', '7/2', '7/6', '7/9', '8/5'] -> ((7/2 / (7/6 - (7/9 / 5/6))) * 8/5)
[2062233] ['5/6', '7/2', '7/6', '7/9', '8/7'] -> ((7/2 / (5/6 - (7/9 / 7/6))) * 8/7)
[2062235] ['5/6', '7/2', '7/6', '7/9', '9/2'] -> ((7/6 * (7/2 + (5/6 / 7/9))) * 9/2)
[2062236] ['5/6', '7/2', '7/6', '7/9', '9/4'] -> (((7/2 / (5/6 - 7/9)) / 7/6) / 9/4)
[2062242] ['5/6', '7/2', '7/6', '8/3', '8/7'] -> (8/7 / ((8/3 / 7/2) - (5/6 / 7/6)))
[2062244] ['5/6', '7/2', '7/6', '8/3', '9/2'] -> ((8/3 / (5/6 - (7/6 / 7/2))) * 9/2)
[2062247] ['5/6', '7/2', '7/6', '8/3', '9/7'] -> (((5/6 + 7/6) * (7/2 * 8/3)) * 9/7)
[2062250] ['5/6', '7/2', '7/6', '8/5', '8/7'] -> ((7/2 / ((5/6 * 8/5) - 7/6)) * 8/7)
[2062262] ['5/6', '7/2', '7/6', '8/7', '9/7'] -> (9/7 / (((7/6 / 8/7) - 5/6) / 7/2))
[2062285] ['5/6', '7/2', '7/8', '7/8', '7/8'] -> ((7/2 / ((7/8 / 7/8) - 5/6)) / 7/8)
[2062289] ['5/6', '7/2', '7/8', '7/8', '8/7'] -> ((7/2 * 8/7) / ((7/8 / 7/8) - 5/6))
[2062303] ['5/6', '7/2', '7/8', '7/9', '9/5'] -> (((7/2 / (7/8 - 7/9)) / 5/6) / 9/5)
[2062306] ['5/6', '7/2', '7/8', '8/3', '8/3'] -> ((5/6 + ((7/2 * 7/8) * 8/3)) * 8/3)
[2062323] ['5/6', '7/2', '7/8', '8/7', '8/7'] -> ((7/2 / ((7/8 * 8/7) - 5/6)) * 8/7)
[2062325] ['5/6', '7/2', '7/8', '8/7', '9/2'] -> (((5/6 + 7/2) + (7/8 * 8/7)) * 9/2)
[2062331] ['5/6', '7/2', '7/8', '8/9', '9/2'] -> ((5/6 + ((7/2 / 7/8) / 8/9)) * 9/2)
[2062337] ['5/6', '7/2', '7/8', '9/2', '9/4'] -> (((5/6 + (7/2 / 7/8)) * 9/2) + 9/4)
[2062340] ['5/6', '7/2', '7/8', '9/2', '9/8'] -> (9/8 / ((7/8 / (5/6 + 9/2)) / 7/2))
[2062342] ['5/6', '7/2', '7/8', '9/4', '9/5'] -> (9/5 / ((7/8 + (9/4 / 5/6)) - 7/2))
[2062354] ['5/6', '7/2', '7/9', '7/9', '8/7'] -> ((7/2 * 8/7) / ((7/9 / 7/9) - 5/6))
[2062355] ['5/6', '7/2', '7/9', '7/9', '8/9'] -> ((7/2 * 8/9) / (7/9 - (5/6 * 7/9)))
[2062360] ['5/6', '7/2', '7/9', '7/9', '9/8'] -> ((7/2 / (7/9 - (5/6 * 7/9))) / 9/8)
[2062361] ['5/6', '7/2', '7/9', '8/3', '8/3'] -> ((((5/6 + 7/2) + 8/3) / 7/9) * 8/3)
[2062368] ['5/6', '7/2', '7/9', '8/3', '9/7'] -> (9/7 / ((7/9 / 8/3) - (5/6 / 7/2)))
[2062387] ['5/6', '7/2', '7/9', '8/9', '9/4'] -> (((5/6 * 7/2) / (8/9 - 7/9)) - 9/4)
[2062391] ['5/6', '7/2', '7/9', '9/2', '9/2'] -> ((7/2 * ((5/6 / 7/9) + 9/2)) + 9/2)
[2062404] ['5/6', '7/2', '7/9', '9/7', '9/8'] -> ((7/2 / (7/9 - (5/6 / 9/7))) / 9/8)
[2062407] ['5/6', '7/2', '8/3', '8/3', '8/5'] -> (((7/2 * (8/3 + 8/3)) / 5/6) + 8/5)
[2062408] ['5/6', '7/2', '8/3', '8/3', '8/7'] -> ((7/2 * 8/7) / ((8/3 / 8/3) - 5/6))
[2062409] ['5/6', '7/2', '8/3', '8/3', '8/9'] -> (((5/6 + 7/2) * (8/3 + 8/3)) + 8/9)
[2062411] ['5/6', '7/2', '8/3', '8/3', '9/4'] -> ((8/3 * 9/4) / ((5/6 * 7/2) - 8/3))
[2062413] ['5/6', '7/2', '8/3', '8/3', '9/7'] -> ((((5/6 + 7/2) + 8/3) * 8/3) * 9/7)
[2062418] ['5/6', '7/2', '8/3', '8/5', '9/2'] -> ((8/5 / (7/2 - (8/3 / 5/6))) * 9/2)
[2062419] ['5/6', '7/2', '8/3', '8/5', '9/4'] -> (((7/2 * 8/3) + (5/6 * 8/5)) * 9/4)
[2062431] ['5/6', '7/2', '8/3', '8/9', '9/2'] -> (((5/6 * 8/3) + (7/2 * 8/9)) * 9/2)
[2062432] ['5/6', '7/2', '8/3', '8/9', '9/4'] -> ((((5/6 + 7/2) * 8/3) - 8/9) * 9/4)
[2062437] ['5/6', '7/2', '8/3', '9/2', '9/4'] -> ((8/3 / ((5/6 * 9/2) - 7/2)) * 9/4)
[2062440] ['5/6', '7/2', '8/3', '9/2', '9/8'] -> ((((5/6 * 7/2) + 8/3) * 9/2) - 9/8)
[2062444] ['5/6', '7/2', '8/3', '9/4', '9/8'] -> (((5/6 + (7/2 * 8/3)) * 9/4) + 9/8)
[2062445] ['5/6', '7/2', '8/3', '9/5', '9/5'] -> ((8/3 * (7/2 + (5/6 * 9/5))) * 9/5)
[2062451] ['5/6', '7/2', '8/5', '8/5', '8/5'] -> (8/5 / (((7/2 - 5/6) / 8/5) - 8/5))
[2062452] ['5/6', '7/2', '8/5', '8/5', '8/7'] -> ((7/2 * 8/7) / ((8/5 / 8/5) - 5/6))
[2062467] ['5/6', '7/2', '8/5', '8/9', '9/2'] -> ((8/5 + ((7/2 * 8/9) / 5/6)) * 9/2)
[2062478] ['5/6', '7/2', '8/5', '9/4', '9/5'] -> ((5/6 / (9/4 - (7/2 / 8/5))) * 9/5)
[2062487] ['5/6', '7/2', '8/7', '8/7', '8/7'] -> ((7/2 * 8/7) / ((8/7 / 8/7) - 5/6))
[2062495] ['5/6', '7/2', '8/7', '8/9', '9/2'] -> ((5/6 + ((7/2 * 8/7) / 8/9)) * 9/2)
[2062501] ['5/6', '7/2', '8/7', '9/2', '9/4'] -> (((5/6 + (7/2 * 8/7)) * 9/2) + 9/4)
[2062539] ['5/6', '7/2', '9/2', '9/2', '9/7'] -> ((9/2 * 9/2) + ((5/6 * 7/2) * 9/7))
[2062540] ['5/6', '7/2', '9/2', '9/2', '9/8'] -> ((9/2 / ((9/2 - 5/6) - 7/2)) / 9/8)
[2062541] ['5/6', '7/2', '9/2', '9/4', '9/4'] -> ((((5/6 + 7/2) * 9/2) + 9/4) + 9/4)
[2062544] ['5/6', '7/2', '9/2', '9/4', '9/8'] -> ((((7/2 - 5/6) * 9/2) * 9/4) / 9/8)
[2062547] ['5/6', '7/2', '9/2', '9/5', '9/8'] -> ((9/2 * ((7/2 / 5/6) + 9/5)) / 9/8)
[2062560] ['5/6', '7/2', '9/4', '9/8', '9/8'] -> (((7/2 * 9/4) / (9/8 - 5/6)) / 9/8)
[2062572] ['5/6', '7/3', '7/3', '7/3', '7/4'] -> ((7/3 + 7/3) / ((5/6 * 7/3) - 7/4))
[2062575] ['5/6', '7/3', '7/3', '7/3', '7/8'] -> (7/3 / ((7/3 * 7/8) - (5/6 * 7/3)))
[2062577] ['5/6', '7/3', '7/3', '7/3', '8/3'] -> ((7/3 / ((7/3 / 8/3) - 5/6)) / 7/3)
[2062579] ['5/6', '7/3', '7/3', '7/3', '8/7'] -> (7/3 / ((7/3 / 8/7) - (5/6 * 7/3)))
[2062585] ['5/6', '7/3', '7/3', '7/3', '9/8'] -> (((7/3 + 7/3) + 7/3) / (9/8 - 5/6))
[2062588] ['5/6', '7/3', '7/3', '7/4', '7/6'] -> ((7/3 / (5/6 - (7/4 / 7/3))) / 7/6)
[2062591] ['5/6', '7/3', '7/3', '7/4', '8/3'] -> ((5/6 + ((7/3 + 7/3) * 7/4)) * 8/3)
[2062609] ['5/6', '7/3', '7/3', '7/5', '9/4'] -> (((7/3 / 5/6) / 7/5) / (7/3 - 9/4))
[2062613] ['5/6', '7/3', '7/3', '7/6', '7/6'] -> ((7/3 + 7/3) / (7/6 - (5/6 * 7/6)))
[2062616] ['5/6', '7/3', '7/3', '7/6', '8/3'] -> ((5/6 + (7/3 * (7/3 + 7/6))) * 8/3)
