[778681] ['1/6', '1/8', '3/4', '4/3', '9/8'] -> ((((3/4 / 1/6) / 1/8) / 4/3) / 9/8)
[784145] ['1/6', '1/8', '6/7', '7/3', '8/9'] -> (((1/6 + (7/3 / 6/7)) / 1/8) + 8/9)
[784154] ['1/6', '1/8', '6/7', '7/4', '7/8'] -> (7/8 / ((1/6 - (1/8 / 6/7)) * 7/4))
[784156] ['1/6', '1/8', '6/7', '7/4', '8/3'] -> ((6/7 / (1/6 - (1/8 / 7/4))) * 8/3)
[784157] ['1/6', '1/8', '6/7', '7/4', '8/5'] -> ((((7/4 / 6/7) - 1/6) / 1/8) * 8/5)
[784160] ['1/6', '1/8', '6/7', '7/4', '9/2'] -> (9/2 / ((6/7 - (1/8 / 1/6)) * 7/4))
[784161] ['1/6', '1/8', '6/7', '7/4', '9/4'] -> ((((6/7 * 7/4) - 1/6) / 1/8) * 9/4)
[784162] ['1/6', '1/8', '6/7', '7/4', '9/5'] -> (((1/6 + (6/7 * 7/4)) / 1/8) * 9/5)
[784175] ['1/6', '1/8', '6/7', '7/5', '9/5'] -> (9/5 / (((1/6 * 6/7) * 7/5) - 1/8))
[784176] ['1/6', '1/8', '6/7', '7/5', '9/7'] -> (9/7 / ((1/6 * 6/7) - (1/8 / 7/5)))
[784185] ['1/6', '1/8', '6/7', '7/6', '9/2'] -> (9/2 / (1/6 * (1/8 + (6/7 * 7/6))))
[784196] ['1/6', '1/8', '6/7', '7/8', '9/2'] -> (((6/7 - (1/6 / 7/8)) / 1/8) * 9/2)
[784197] ['1/6', '1/8', '6/7', '7/8', '9/4'] -> (9/4 / ((6/7 - (1/8 / 1/6)) * 7/8))
[784201] ['1/6', '1/8', '6/7', '7/9', '7/9'] -> ((6/7 / (7/9 - (1/8 / 1/6))) * 7/9)
[784209] ['1/6', '1/8', '6/7', '7/9', '9/7'] -> ((6/7 / (7/9 - (1/8 / 1/6))) / 9/7)
[784214] ['1/6', '1/8', '6/7', '8/3', '8/9'] -> ((8/3 / (6/7 - (1/8 / 1/6))) - 8/9)
[784216] ['1/6', '1/8', '6/7', '8/3', '9/4'] -> (((8/3 / (1/6 + 1/8)) / 6/7) * 9/4)
[784218] ['1/6', '1/8', '6/7', '8/3', '9/7'] -> (9/7 / (6/7 * (1/8 - (1/6 / 8/3))))
[784220] ['1/6', '1/8', '6/7', '8/5', '8/5'] -> (8/5 / (((1/8 * 8/5) / 6/7) - 1/6))
[784231] ['1/6', '1/8', '6/7', '8/7', '9/4'] -> ((8/7 / (6/7 - (1/8 / 1/6))) * 9/4)
[784237] ['1/6', '1/8', '6/7', '8/9', '9/4'] -> (9/4 / (((1/6 / 6/7) / 8/9) - 1/8))
[784239] ['1/6', '1/8', '6/7', '8/9', '9/7'] -> (9/7 / (6/7 * ((1/6 / 8/9) - 1/8)))
[784242] ['1/6', '1/8', '6/7', '9/2', '9/4'] -> (9/4 / ((1/6 - (1/8 / 6/7)) * 9/2))
[784244] ['1/6', '1/8', '6/7', '9/2', '9/7'] -> (((9/2 / 1/8) - (6/7 / 1/6)) / 9/7)
[784249] ['1/6', '1/8', '6/7', '9/4', '9/8'] -> (9/8 / ((1/6 - (1/8 / 6/7)) * 9/4))
[784263] ['1/6', '1/8', '7/2', '7/2', '8/3'] -> (((7/2 / 1/8) / 7/2) + (8/3 / 1/6))
[784267] ['1/6', '1/8', '7/2', '7/2', '9/2'] -> ((9/2 / 1/6) / (1/8 + (7/2 / 7/2)))
[784272] ['1/6', '1/8', '7/2', '7/3', '7/3'] -> ((((7/2 - 7/3) / 1/6) / 1/8) / 7/3)
[784273] ['1/6', '1/8', '7/2', '7/3', '7/4'] -> (((7/2 / 1/8) + (7/3 / 1/6)) / 7/4)
[784276] ['1/6', '1/8', '7/2', '7/3', '7/8'] -> (7/8 / (1/8 / (7/2 - (1/6 / 7/3))))
[784279] ['1/6', '1/8', '7/2', '7/3', '8/5'] -> ((((7/3 / 1/8) - 1/6) - 7/2) * 8/5)
[784282] ['1/6', '1/8', '7/2', '7/3', '9/2'] -> (9/2 / (7/2 * (1/8 - (1/6 / 7/3))))
[784284] ['1/6', '1/8', '7/2', '7/3', '9/5'] -> (((1/6 + (7/2 / 7/3)) / 1/8) * 9/5)
[784286] ['1/6', '1/8', '7/2', '7/3', '9/8'] -> ((((1/6 + 7/2) / 1/8) - 7/3) / 9/8)
[784289] ['1/6', '1/8', '7/2', '7/4', '7/6'] -> (((7/2 - (1/8 / 7/4)) / 1/6) * 7/6)
[784296] ['1/6', '1/8', '7/2', '7/4', '9/2'] -> (((1/6 + (7/4 / 7/2)) / 1/8) * 9/2)
[784297] ['1/6', '1/8', '7/2', '7/4', '9/4'] -> (((1/6 + (7/4 / 1/8)) - 7/2) * 9/4)
[784299] ['1/6', '1/8', '7/2', '7/4', '9/7'] -> (9/7 / (1/8 / ((1/6 * 7/2) + 7/4)))
[784301] ['1/6', '1/8', '7/2', '7/5', '7/5'] -> (7/5 / (1/8 - ((1/6 * 7/5) / 7/2)))
[784312] ['1/6', '1/8', '7/2', '7/5', '9/7'] -> (9/7 / (1/8 / ((7/2 / 7/5) - 1/6)))
[784313] ['1/6', '1/8', '7/2', '7/5', '9/8'] -> (9/8 / (1/8 / (1/6 + (7/2 / 7/5))))
[784317] ['1/6', '1/8', '7/2', '7/6', '8/3'] -> ((((7/2 / 1/8) - 1/6) - 7/6) - 8/3)
[784320] ['1/6', '1/8', '7/2', '7/6', '8/9'] -> (((1/6 + (7/2 / 1/8)) - 7/6) * 8/9)
[784325] ['1/6', '1/8', '7/2', '7/6', '9/8'] -> (((1/6 + (7/2 / 1/8)) - 7/6) / 9/8)
[784328] ['1/6', '1/8', '7/2', '7/8', '8/3'] -> (((7/2 - 7/8) / (1/6 + 1/8)) * 8/3)
[784331] ['1/6', '1/8', '7/2', '7/8', '8/9'] -> ((((1/8 + 7/2) + 7/8) / 1/6) * 8/9)
[784336] ['1/6', '1/8', '7/2', '7/8', '9/8'] -> ((((1/8 + 7/2) + 7/8) / 1/6) / 9/8)
[784347] ['1/6', '1/8', '7/2', '8/3', '8/3'] -> ((((1/6 + 7/2) / 1/8) - 8/3) - 8/3)
[784349] ['1/6', '1/8', '7/2', '8/3', '8/7'] -> ((7/2 / ((1/8 * 8/3) - 1/6)) * 8/7)
[784351] ['1/6', '1/8', '7/2', '8/3', '9/2'] -> ((((7/2 - 1/6) - 8/3) / 1/8) * 9/2)
[784353] ['1/6', '1/8', '7/2', '8/3', '9/5'] -> (9/5 / ((1/6 / (7/2 - 8/3)) - 1/8))
[784354] ['1/6', '1/8', '7/2', '8/3', '9/7'] -> (9/7 / ((1/8 + (1/6 / 8/3)) / 7/2))
[784361] ['1/6', '1/8', '7/2', '8/5', '9/5'] -> (((7/2 + (1/8 * 8/5)) / 1/6) + 9/5)
[784373] ['1/6', '1/8', '7/2', '8/9', '9/4'] -> (((7/2 * 8/9) / (1/6 + 1/8)) * 9/4)
[784377] ['1/6', '1/8', '7/2', '9/2', '9/2'] -> (9/2 / (1/6 * ((1/8 + 9/2) - 7/2)))
[784383] ['1/6', '1/8', '7/2', '9/4', '9/5'] -> (((9/4 - (1/6 * 7/2)) / 1/8) * 9/5)
[784384] ['1/6', '1/8', '7/2', '9/4', '9/7'] -> ((((9/4 / 1/6) / 1/8) / 7/2) / 9/7)
[784391] ['1/6', '1/8', '7/2', '9/8', '9/8'] -> ((((7/2 + 9/8) - 1/8) / 1/6) / 9/8)
[784395] ['1/6', '1/8', '7/3', '7/3', '7/6'] -> ((7/3 - 7/6) / ((1/6 * 1/8) * 7/3))
[784398] ['1/6', '1/8', '7/3', '7/3', '8/3'] -> (((7/3 / 1/8) / 7/3) + (8/3 / 1/6))
[784399] ['1/6', '1/8', '7/3', '7/3', '8/5'] -> ((((7/3 - 1/6) / 1/8) - 7/3) * 8/5)
[784410] ['1/6', '1/8', '7/3', '7/4', '7/8'] -> (((7/3 + (1/6 * 7/4)) / 1/8) / 7/8)
[784416] ['1/6', '1/8', '7/3', '7/4', '9/2'] -> (9/2 / (1/8 * (1/6 + (7/3 / 7/4))))
[784421] ['1/6', '1/8', '7/3', '7/5', '7/5'] -> (7/5 / ((1/8 * 7/3) - (1/6 * 7/5)))
[784422] ['1/6', '1/8', '7/3', '7/5', '7/6'] -> ((((1/6 + 7/3) * 7/5) / 1/8) / 7/6)
[784429] ['1/6', '1/8', '7/3', '7/5', '9/2'] -> (9/2 / (1/8 * ((7/3 / 7/5) - 1/6)))
[784431] ['1/6', '1/8', '7/3', '7/5', '9/5'] -> (9/5 / ((1/8 - (1/6 / 7/3)) * 7/5))
[784432] ['1/6', '1/8', '7/3', '7/5', '9/7'] -> (9/7 / ((1/6 / (7/3 - 7/5)) - 1/8))
[784437] ['1/6', '1/8', '7/3', '7/6', '8/3'] -> ((((7/3 + 7/6) - 1/6) / 1/8) - 8/3)
[784441] ['1/6', '1/8', '7/3', '7/6', '9/2'] -> (((1/6 + (7/6 / 7/3)) / 1/8) * 9/2)
[784446] ['1/6', '1/8', '7/3', '7/8', '7/8'] -> (((7/3 / 1/6) + (7/8 / 1/8)) / 7/8)
[784448] ['1/6', '1/8', '7/3', '7/8', '8/3'] -> (((7/8 / (1/6 - 1/8)) / 7/3) * 8/3)
[784451] ['1/6', '1/8', '7/3', '7/8', '8/9'] -> ((((1/6 + 7/3) + 7/8) / 1/8) * 8/9)
[784453] ['1/6', '1/8', '7/3', '7/8', '9/4'] -> ((7/3 + ((1/6 + 7/8) / 1/8)) * 9/4)
[784457] ['1/6', '1/8', '7/3', '7/9', '7/9'] -> (7/9 / ((1/6 * 1/8) * (7/3 - 7/9)))
[784462] ['1/6', '1/8', '7/3', '7/9', '9/2'] -> (((7/3 - 7/9) / (1/6 + 1/8)) * 9/2)
[784463] ['1/6', '1/8', '7/3', '7/9', '9/4'] -> (((7/3 + 7/9) / (1/6 + 1/8)) * 9/4)
[784465] ['1/6', '1/8', '7/3', '7/9', '9/7'] -> (9/7 / (1/8 / ((7/9 / 1/6) - 7/3)))
[784469] ['1/6', '1/8', '7/3', '8/3', '8/7'] -> (((7/3 / (1/6 - 1/8)) / 8/3) * 8/7)
[784471] ['1/6', '1/8', '7/3', '8/3', '9/2'] -> (((7/3 / (1/6 + 1/8)) - 8/3) * 9/2)
[784472] ['1/6', '1/8', '7/3', '8/3', '9/4'] -> (((7/3 / (1/6 + 1/8)) + 8/3) * 9/4)
[784484] ['1/6', '1/8', '7/3', '8/7', '8/7'] -> ((((1/6 + 7/3) * 8/7) / 1/8) + 8/7)
[784486] ['1/6', '1/8', '7/3', '8/7', '9/2'] -> (9/2 / (1/8 + ((1/6 / 7/3) / 8/7)))
[784490] ['1/6', '1/8', '7/3', '8/7', '9/8'] -> (9/8 / ((1/8 - (1/6 / 7/3)) / 8/7))
[784500] ['1/6', '1/8', '7/3', '9/2', '9/7'] -> (9/7 / (1/8 / ((1/6 + 9/2) - 7/3)))
[784506] ['1/6', '1/8', '7/3', '9/5', '9/5'] -> ((7/3 / ((1/6 * 9/5) - 1/8)) * 9/5)
[784513] ['1/6', '1/8', '7/4', '7/4', '7/5'] -> ((7/4 / ((1/8 * 7/4) - 1/6)) / 7/5)
[784515] ['1/6', '1/8', '7/4', '7/4', '7/8'] -> ((7/4 - 7/8) / ((1/6 * 1/8) * 7/4))
[784521] ['1/6', '1/8', '7/4', '7/4', '9/2'] -> ((9/2 / 1/6) / (1/8 + (7/4 / 7/4)))
[784526] ['1/6', '1/8', '7/4', '7/5', '7/5'] -> (7/5 / (((7/4 - 1/6) - 1/8) - 7/5))
[784532] ['1/6', '1/8', '7/4', '7/5', '8/7'] -> (8/7 / ((1/6 / 7/5) - (1/8 / 7/4)))
[784534] ['1/6', '1/8', '7/4', '7/5', '9/2'] -> (9/2 / (1/6 * ((7/4 / 7/5) - 1/8)))
[784535] ['1/6', '1/8', '7/4', '7/5', '9/4'] -> ((7/4 / (7/5 - (1/6 / 1/8))) - 9/4)
[784539] ['1/6', '1/8', '7/4', '7/6', '7/6'] -> ((((7/4 - 7/6) / 1/6) / 1/8) / 7/6)
[784542] ['1/6', '1/8', '7/4', '7/6', '8/3'] -> (8/3 / ((1/6 - (1/8 / 7/4)) * 7/6))
[784548] ['1/6', '1/8', '7/4', '7/6', '9/5'] -> (((1/6 + (7/4 / 7/6)) / 1/8) * 9/5)
[784549] ['1/6', '1/8', '7/4', '7/6', '9/7'] -> (9/7 / ((1/8 / (1/6 + 7/6)) / 7/4))
[784553] ['1/6', '1/8', '7/4', '7/8', '8/3'] -> (((7/4 + 7/8) / (1/6 + 1/8)) * 8/3)
[784554] ['1/6', '1/8', '7/4', '7/8', '8/5'] -> ((((7/4 + 7/8) - 1/8) / 1/6) * 8/5)
[784557] ['1/6', '1/8', '7/4', '7/8', '9/2'] -> (((1/6 + (7/8 / 7/4)) / 1/8) * 9/2)
[784563] ['1/6', '1/8', '7/4', '7/9', '8/3'] -> (8/3 / (1/6 - ((1/8 * 7/9) / 7/4)))
[784566] ['1/6', '1/8', '7/4', '7/9', '8/9'] -> (8/9 / ((1/6 * (7/4 - 7/9)) - 1/8))
[784567] ['1/6', '1/8', '7/4', '7/9', '9/2'] -> ((((7/4 / 1/6) / 1/8) / 7/9) / 9/2)
[784568] ['1/6', '1/8', '7/4', '7/9', '9/4'] -> (((7/9 / (1/6 - 1/8)) / 7/4) * 9/4)
[784571] ['1/6', '1/8', '7/4', '7/9', '9/8'] -> (9/8 / (((1/6 * 1/8) * 7/4) / 7/9))
[784573] ['1/6', '1/8', '7/4', '8/3', '8/5'] -> ((((1/8 + 8/3) / 1/6) - 7/4) * 8/5)
[784582] ['1/6', '1/8', '7/4', '8/5', '8/7'] -> (8/7 / ((1/8 - (1/6 / 7/4)) * 8/5))
[784585] ['1/6', '1/8', '7/4', '8/5', '9/4'] -> (((7/4 / (1/6 - 1/8)) / 8/5) - 9/4)
[784589] ['1/6', '1/8', '7/4', '8/7', '8/7'] -> (8/7 / ((1/8 * 8/7) - (1/6 / 7/4)))
[784603] ['1/6', '1/8', '7/4', '9/2', '9/4'] -> (((7/4 + (1/8 / 9/2)) / 1/6) * 9/4)
[784605] ['1/6', '1/8', '7/4', '9/2', '9/7'] -> (9/7 / (((1/6 * 1/8) * 9/2) / 7/4))
[784608] ['1/6', '1/8', '7/4', '9/4', '9/5'] -> ((9/4 / ((1/8 * 7/4) - 1/6)) / 9/5)
[784612] ['1/6', '1/8', '7/4', '9/5', '9/7'] -> (9/7 / ((1/8 - (1/6 / 7/4)) * 9/5))
[784615] ['1/6', '1/8', '7/4', '9/7', '9/8'] -> (9/8 / (((1/6 * 1/8) * 7/4) * 9/7))
[784619] ['1/6', '1/8', '7/5', '7/5', '7/8'] -> ((7/5 / (7/5 - (1/6 / 1/8))) / 7/8)
[784621] ['1/6', '1/8', '7/5', '7/5', '8/3'] -> (((7/5 / 1/8) / 7/5) + (8/3 / 1/6))
[784623] ['1/6', '1/8', '7/5', '7/5', '8/7'] -> ((7/5 / (7/5 - (1/6 / 1/8))) * 8/7)
[784625] ['1/6', '1/8', '7/5', '7/5', '9/2'] -> ((9/2 / 1/6) / (1/8 + (7/5 / 7/5)))
[784626] ['1/6', '1/8', '7/5', '7/5', '9/4'] -> (((7/5 / 1/6) / 7/5) + (9/4 / 1/8))
[784637] ['1/6', '1/8', '7/5', '7/6', '9/2'] -> ((((7/6 / 7/5) - 1/6) / 1/8) * 9/2)
[784639] ['1/6', '1/8', '7/5', '7/6', '9/5'] -> (9/5 / (((1/6 * 7/5) / 7/6) - 1/8))
[784640] ['1/6', '1/8', '7/5', '7/6', '9/7'] -> (9/7 / ((1/6 / 7/6) - (1/8 / 7/5)))
[784653] ['1/6', '1/8', '7/5', '7/9', '7/9'] -> (7/9 / (1/8 - ((1/6 * 7/9) / 7/5)))
[784654] ['1/6', '1/8', '7/5', '7/9', '8/3'] -> ((((7/9 / 1/6) / 1/8) / 7/5) - 8/3)
[784673] ['1/6', '1/8', '7/5', '8/5', '8/7'] -> (((7/5 / (1/6 - 1/8)) / 8/5) * 8/7)
[784677] ['1/6', '1/8', '7/5', '8/5', '9/5'] -> (((7/5 + (1/6 * 8/5)) / 1/8) * 9/5)
[784684] ['1/6', '1/8', '7/5', '8/7', '9/5'] -> (9/5 / ((1/6 + 1/8) * (7/5 - 8/7)))
[784690] ['1/6', '1/8', '7/5', '8/9', '9/5'] -> ((8/9 / (7/5 - (1/6 / 1/8))) * 9/5)
[784702] ['1/6', '1/8', '7/5', '9/5', '9/5'] -> ((7/5 / (1/8 - (1/6 / 9/5))) / 9/5)
[784704] ['1/6', '1/8', '7/5', '9/5', '9/8'] -> ((9/5 / (7/5 - (1/6 / 1/8))) / 9/8)
[784711] ['1/6', '1/8', '7/6', '7/6', '8/3'] -> (((7/6 / 1/8) / 7/6) + (8/3 / 1/6))
[784714] ['1/6', '1/8', '7/6', '7/6', '8/9'] -> (((7/6 + 7/6) / 1/8) + (8/9 / 1/6))
[784715] ['1/6', '1/8', '7/6', '7/6', '9/2'] -> ((9/2 / 1/6) / (1/8 + (7/6 / 7/6)))
[784717] ['1/6', '1/8', '7/6', '7/6', '9/5'] -> ((7/6 + 7/6) / (1/6 - (1/8 / 9/5)))
[784718] ['1/6', '1/8', '7/6', '7/6', '9/7'] -> (9/7 / (1/8 - (1/6 / (7/6 + 7/6))))
[784722] ['1/6', '1/8', '7/6', '7/8', '8/3'] -> ((((7/6 / 1/6) / 1/8) / 7/8) / 8/3)
[784723] ['1/6', '1/8', '7/6', '7/8', '8/5'] -> ((((7/6 + 7/8) - 1/6) / 1/8) * 8/5)
[784726] ['1/6', '1/8', '7/6', '7/8', '9/2'] -> (9/2 / (1/8 * (1/6 + (7/6 / 7/8))))
[784737] ['1/6', '1/8', '7/6', '7/9', '9/4'] -> ((((7/6 / 7/9) - 1/6) / 1/8) * 9/4)
[784738] ['1/6', '1/8', '7/6', '7/9', '9/5'] -> (((1/6 + (7/6 / 7/9)) / 1/8) * 9/5)
[784739] ['1/6', '1/8', '7/6', '7/9', '9/7'] -> (9/7 / ((1/6 * 1/8) / (7/6 - 7/9)))
[784741] ['1/6', '1/8', '7/6', '8/3', '8/3'] -> (((7/6 + (1/8 * 8/3)) / 1/6) * 8/3)
[784745] ['1/6', '1/8', '7/6', '8/3', '9/2'] -> ((((7/6 - 1/6) / 1/8) - 8/3) * 9/2)
[784748] ['1/6', '1/8', '7/6', '8/3', '9/7'] -> (9/7 / ((1/8 - (1/6 / 8/3)) / 7/6))
[784750] ['1/6', '1/8', '7/6', '8/5', '8/5'] -> (8/5 / (((1/8 * 7/6) * 8/5) - 1/6))
[784760] ['1/6', '1/8', '7/6', '8/7', '9/2'] -> (9/2 / (1/8 * (1/6 + (7/6 * 8/7))))
[784768] ['1/6', '1/8', '7/6', '8/9', '9/5'] -> ((((7/6 - 8/9) / 1/6) / 1/8) * 9/5)
[784769] ['1/6', '1/8', '7/6', '8/9', '9/7'] -> (9/7 / (((1/6 / 8/9) - 1/8) / 7/6))
[784772] ['1/6', '1/8', '7/6', '9/2', '9/4'] -> (9/4 / ((1/6 - (1/8 * 7/6)) * 9/2))
[784779] ['1/6', '1/8', '7/6', '9/4', '9/8'] -> (9/8 / ((1/6 - (1/8 * 7/6)) * 9/4))
[784788] ['1/6', '1/8', '7/8', '7/8', '8/3'] -> (((7/8 / 1/8) / 7/8) + (8/3 / 1/6))
[784790] ['1/6', '1/8', '7/8', '7/8', '8/7'] -> (8/7 / ((1/6 / 7/8) - (1/8 / 7/8)))
[784791] ['1/6', '1/8', '7/8', '7/8', '8/9'] -> (((1/6 + 1/8) / 7/8) / (8/9 - 7/8))
[784792] ['1/6', '1/8', '7/8', '7/8', '9/2'] -> ((9/2 / 1/6) / (1/8 + (7/8 / 7/8)))
[784796] ['1/6', '1/8', '7/8', '7/8', '9/8'] -> (((1/8 + 7/8) / 1/6) / (9/8 - 7/8))
[784803] ['1/6', '1/8', '7/8', '7/9', '9/4'] -> ((((1/8 + 7/8) + 7/9) / 1/6) * 9/4)
[784807] ['1/6', '1/8', '7/8', '8/3', '8/3'] -> (((8/3 / 1/6) - (7/8 / 1/8)) * 8/3)
[784808] ['1/6', '1/8', '7/8', '8/3', '8/5'] -> ((((8/3 / 1/6) - 1/8) - 7/8) * 8/5)
[784810] ['1/6', '1/8', '7/8', '8/3', '8/9'] -> ((((7/8 + 8/3) - 1/6) / 1/8) * 8/9)
[784811] ['1/6', '1/8', '7/8', '8/3', '9/2'] -> (9/2 / ((1/8 * 8/3) - (1/6 * 7/8)))
[784814] ['1/6', '1/8', '7/8', '8/3', '9/7'] -> (9/7 / (1/8 - ((1/6 / 7/8) / 8/3)))
[784816] ['1/6', '1/8', '7/8', '8/5', '8/5'] -> (8/5 / ((7/8 * 8/5) - (1/6 / 1/8)))
[784821] ['1/6', '1/8', '7/8', '8/5', '9/5'] -> ((((1/6 + 7/8) * 8/5) / 1/8) * 9/5)
[784826] ['1/6', '1/8', '7/8', '8/7', '9/2'] -> (9/2 / (1/6 * (1/8 + (7/8 * 8/7))))
[784827] ['1/6', '1/8', '7/8', '8/7', '9/4'] -> ((((1/6 / 7/8) + 8/7) / 1/8) * 9/4)
[784835] ['1/6', '1/8', '7/8', '8/9', '9/7'] -> (9/7 / (((1/6 - 1/8) / 7/8) / 8/9))
[784837] ['1/6', '1/8', '7/8', '9/2', '9/2'] -> ((((1/8 + 7/8) + 9/2) - 1/6) * 9/2)
[784845] ['1/6', '1/8', '7/8', '9/4', '9/8'] -> (9/8 / (((1/6 * 7/8) - 1/8) * 9/4))
[784848] ['1/6', '1/8', '7/8', '9/5', '9/8'] -> ((7/8 / (1/8 - (1/6 / 9/5))) / 9/8)
[784853] ['1/6', '1/8', '7/9', '7/9', '8/3'] -> (((7/9 / 1/8) / 7/9) + (8/3 / 1/6))
[784858] ['1/6', '1/8', '7/9', '7/9', '9/4'] -> (((7/9 / 1/6) / 7/9) + (9/4 / 1/8))
[784860] ['1/6', '1/8', '7/9', '7/9', '9/7'] -> (9/7 / ((1/6 / 7/9) - (1/8 / 7/9)))
[784866] ['1/6', '1/8', '7/9', '8/3', '9/2'] -> (((7/9 / (1/6 + 1/8)) + 8/3) * 9/2)
[784870] ['1/6', '1/8', '7/9', '8/3', '9/8'] -> (9/8 / (1/6 / ((7/9 / 1/8) - 8/3)))
[784880] ['1/6', '1/8', '7/9', '8/7', '8/9'] -> (8/9 / (((1/6 - 1/8) * 7/9) * 8/7))
[784885] ['1/6', '1/8', '7/9', '8/7', '9/8'] -> (9/8 / (((1/6 - 1/8) / 7/9) / 8/7))
[784893] ['1/6', '1/8', '7/9', '9/2', '9/4'] -> (((1/8 + (7/9 * 9/2)) / 1/6) + 9/4)
[784898] ['1/6', '1/8', '7/9', '9/4', '9/5'] -> (((9/4 / 1/8) - (7/9 / 1/6)) * 9/5)
[784901] ['1/6', '1/8', '7/9', '9/5', '9/5'] -> ((7/9 / ((1/8 * 9/5) - 1/6)) * 9/5)
[784916] ['1/6', '1/8', '8/3', '8/5', '8/5'] -> (8/5 / ((1/8 * 8/3) - (1/6 * 8/5)))
[784919] ['1/6', '1/8', '8/3', '8/5', '9/2'] -> (9/2 / (1/8 * ((8/3 / 8/5) - 1/6)))
[784926] ['1/6', '1/8', '8/3', '8/7', '9/2'] -> (9/2 / ((1/8 * 8/3) - (1/6 / 8/7)))
[784929] ['1/6', '1/8', '8/3', '8/7', '9/7'] -> (9/7 / (1/8 - ((1/6 * 8/7) / 8/3)))
[784930] ['1/6', '1/8', '8/3', '8/7', '9/8'] -> (9/8 / ((1/8 / 8/7) - (1/6 / 8/3)))
[784932] ['1/6', '1/8', '8/3', '8/9', '9/2'] -> ((8/9 / ((1/8 * 8/3) - 1/6)) * 9/2)
[784933] ['1/6', '1/8', '8/3', '8/9', '9/4'] -> ((((1/6 * 8/3) + 8/9) / 1/8) * 9/4)
[784936] ['1/6', '1/8', '8/3', '8/9', '9/8'] -> (9/8 / (1/8 / ((8/9 / 1/6) - 8/3)))
[784938] ['1/6', '1/8', '8/3', '9/2', '9/4'] -> (((8/3 * 9/2) - (1/6 / 1/8)) * 9/4)
[784941] ['1/6', '1/8', '8/3', '9/2', '9/8'] -> ((9/2 / ((1/8 * 8/3) - 1/6)) / 9/8)
[784946] ['1/6', '1/8', '8/3', '9/5', '9/5'] -> (9/5 / ((1/8 / 1/6) - (9/5 / 8/3)))
[784951] ['1/6', '1/8', '8/3', '9/8', '9/8'] -> ((1/8 + ((8/3 + 9/8) / 1/6)) + 9/8)
[784955] ['1/6', '1/8', '8/5', '8/5', '9/2'] -> ((9/2 / 1/6) / (1/8 + (8/5 / 8/5)))
[784959] ['1/6', '1/8', '8/5', '8/5', '9/8'] -> (((8/5 + 8/5) / 1/6) * (1/8 + 9/8))
[784967] ['1/6', '1/8', '8/5', '8/9', '8/9'] -> (8/9 / (8/5 * ((1/6 * 8/9) - 1/8)))
[784973] ['1/6', '1/8', '8/5', '9/2', '9/2'] -> ((((1/6 / 1/8) / 8/5) + 9/2) * 9/2)
[784974] ['1/6', '1/8', '8/5', '9/2', '9/4'] -> (9/4 / ((1/8 - (1/6 / 8/5)) * 9/2))
[784981] ['1/6', '1/8', '8/5', '9/4', '9/8'] -> (9/8 / ((1/8 - (1/6 / 8/5)) * 9/4))
[784985] ['1/6', '1/8', '8/5', '9/7', '9/7'] -> (9/7 / ((9/7 / 8/5) - (1/8 / 1/6)))
[784987] ['1/6', '1/8', '8/5', '9/8', '9/8'] -> (9/8 / ((1/8 / 1/6) - (9/8 / 8/5)))
[784990] ['1/6', '1/8', '8/7', '8/7', '9/2'] -> ((9/2 / 1/6) / (1/8 + (8/7 / 8/7)))
[784993] ['1/6', '1/8', '8/7', '8/7', '9/7'] -> (((8/7 + 8/7) / 1/6) + (9/7 / 1/8))
[785002] ['1/6', '1/8', '8/7', '9/2', '9/4'] -> (9/4 / (((1/6 / 8/7) - 1/8) * 9/2))
[785009] ['1/6', '1/8', '8/7', '9/4', '9/8'] -> (9/8 / (((1/6 / 8/7) - 1/8) * 9/4))
[785017] ['1/6', '1/8', '8/9', '8/9', '9/2'] -> ((9/2 / 1/6) / (1/8 + (8/9 / 8/9)))
[785018] ['1/6', '1/8', '8/9', '8/9', '9/4'] -> (((8/9 / 1/6) / 8/9) + (9/4 / 1/8))
[785021] ['1/6', '1/8', '8/9', '8/9', '9/8'] -> (9/8 / ((1/6 / 8/9) - (1/8 / 8/9)))
[785033] ['1/6', '1/8', '8/9', '9/5', '9/8'] -> (9/8 / ((1/6 - (1/8 / 8/9)) * 9/5))
[785034] ['1/6', '1/8', '8/9', '9/7', '9/7'] -> (9/7 / (((1/6 / 1/8) - 9/7) / 8/9))
[785040] ['1/6', '1/8', '9/2', '9/2', '9/7'] -> (((9/2 + 9/2) / (1/6 + 1/8)) / 9/7)
[785045] ['1/6', '1/8', '9/2', '9/4', '9/8'] -> (9/8 / ((1/6 * 1/8) * (9/2 - 9/4)))
[785047] ['1/6', '1/8', '9/2', '9/5', '9/7'] -> (9/7 / (1/8 / ((9/2 / 9/5) - 1/6)))
[785048] ['1/6', '1/8', '9/2', '9/5', '9/8'] -> (9/8 / (1/8 / (1/6 + (9/2 / 9/5))))
[785055] ['1/6', '1/8', '9/4', '9/4', '9/8'] -> ((9/4 - 9/8) / ((1/6 * 1/8) * 9/4))
[785063] ['1/6', '1/8', '9/5', '9/5', '9/7'] -> ((9/5 / ((1/8 * 9/5) - 1/6)) / 9/7)
[785067] ['1/6', '1/8', '9/5', '9/8', '9/8'] -> (9/8 / (9/5 * (1/6 - (1/8 * 9/8))))
