[8952] ['1/4', '4/5', '7/3', '3', '7'] -> 3 + 7/3 * (1/4 + 7 / 4/5)
[10460] ['1/5', '9/7', '3', '7/2', '5'] -> (9/7 + 1/5 * 5) * 3 * 7/2
[10461] ['1/7', '2/9', '5/4', '3', '8'] -> 8 / (2/9 / 5/4) - 3 / 1/7
[10462] ['1/9', '8/7', '2', '5/2', '3'] -> 8/7 * (5/2 / 1/9 - 3 / 2)
[10463] ['5/8', '6/7', '7/5', '3', '6'] -> 6 / (5/8 * 6/7) / (7/5 / 3)
[10464] ['2/3', '6/5', '5/4', '3', '3'] -> 3 * 3 / (5/4 / 6/5 - 2/3)
[10465] ['3/5', '1', '4/3', '9/4', '4'] -> 4 * (1 + 9/4 / (3/5 / 4/3))
[10466] ['4/9', '5/7', '7/5', '3', '4'] -> 3 * (4 / 4/9 - 5/7 * 7/5)
[10467] ['2/7', '4/5', '4/3', '3', '7'] -> 4/5 * 7 * (2/7 + 4/3 * 3)
[10468] ['2/3', '6/5', '9/7', '3', '3'] -> (9/7 + 3) * 3 * (2/3 + 6/5)
[10469] ['7/9', '9/7', '7/5', '4', '9'] -> 7/9 * 4 * (9/7 + 9 / 7/5)
[10470] ['5/6', '9/7', '2', '7/3', '5'] -> 9/7 * 7/3 * (2 + 5 / 5/6)
[10471] ['1/9', '9/8', '2', '7/2', '8'] -> 7/2 / (1/9 * 9/8) - 8 / 2
[10472] ['2/9', '5/8', '1', '8/7', '8'] -> 8 / (2/9 * (5/8 + 1 / 8/7))
[10473] ['1/9', '8/9', '5/4', '7', '9'] -> 9 / (5/4 - 7 * 1/9 / 8/9)
[10474] ['7/9', '9/7', '8/5', '4', '9'] -> (4 - 8/5) * (9 + 7/9 * 9/7)
[10475] ['5/6', '9/7', '2', '5/2', '5'] -> 9/7 * (2 + 5 * (5/6 + 5/2))
[10476] ['4/9', '7/9', '6/7', '6', '8'] -> 8 / (4/9 - 7/9 * 6/7 / 6)
[10477] ['1/7', '2/9', '8/5', '3', '8'] -> 8/5 * (8 / 2/9 - 3 / 1/7)
[10478] ['1/4', '6/7', '3/2', '4', '6'] -> 6/7 * (6 + (3/2 + 4) / 1/4)
[10479] ['7/9', '9/7', '7/4', '4', '9'] -> 9 * (4 / 9/7 - 7/9 / 7/4)
[10480] ['5/6', '9/7', '2', '8/3', '5'] -> 2 + (5/6 + 8/3) * (9/7 + 5)
[10481] ['1/7', '2/9', '7/4', '3', '8'] -> 8 / 2/9 - 3 / (1/7 * 7/4)
[10482] ['2/9', '5/8', '1', '5/4', '8'] -> 8 / (2/9 * (1 + 5/8 / 5/4))
[10483] ['6/5', '9/7', '8/5', '3', '5'] -> (3 - 9/7) * 5 * (6/5 + 8/5)
[10484] ['3/5', '1', '7/5', '7/4', '4'] -> 7/5 / (3/5 * 7/4 - 1) - 4
[10485] ['7/9', '9/7', '9/5', '4', '9'] -> 4 * (7/9 * 9/7 + 9 / 9/5)
[10486] ['2/3', '6/5', '7/4', '3', '3'] -> 3 / (7/4 / 2/3 - 3 / 6/5)
[10487] ['2/7', '4/5', '7/4', '3', '7'] -> 3 + 4/5 * (7/4 + 7 / 2/7)
[10488] ['1/9', '7/6', '8/5', '2', '3'] -> 8/5 * 2 * (7/6 / 1/9 - 3)
[10489] ['1/7', '2/9', '9/5', '3', '8'] -> (3 - 1/7) * (8 + 2/9 * 9/5)
[10490] ['1/4', '6/7', '5/3', '4', '6'] -> (6 + 4 / 1/4) / 6/7 - 5/3
[10491] ['7/9', '9/7', '9/4', '4', '9'] -> 7/9 * 9 * (4 - 9/7 / 9/4)
[10492] ['1/5', '3/2', '7/4', '3', '5'] -> 3/2 / 7/4 * (3 + 5 / 1/5)
[10493] ['4/9', '7/9', '8/5', '6', '8'] -> (7/9 - 4/9 / 8/5) * 6 * 8
[10494] ['5/6', '7/5', '7/5', '2', '5'] -> (7/5 + 5) / (5/6 * 2 - 7/5)
[10495] ['3/5', '1', '3/2', '3/2', '4'] -> 4 * (1 + (3/2 + 3/2) / 3/5)
[10496] ['1/9', '7/6', '9/5', '2', '3'] -> (2 - 7/6) * (9/5 + 3 / 1/9)
[10497] ['2/7', '4/5', '7/3', '3', '7'] -> 2/7 * 7 / (3 - 7/3 / 4/5)
[10498] ['3/5', '1', '3/2', '7/4', '4'] -> 4 / (1 - 7/4 / (3/5 + 3/2))
[10499] ['1/4', '6/7', '9/4', '4', '6'] -> (4 - 1/4) / (6/7 / 6) - 9/4
[10500] ['4/9', '5/7', '5/2', '3', '4'] -> 5/2 * (4 / (4/9 * 5/7) - 3)
[10501] ['2/7', '4/5', '5/2', '3', '7'] -> 4/5 * (5/2 + 3 + 7 / 2/7)
[10502] ['5/6', '7/5', '8/5', '2', '5'] -> (7/5 + 8/5) * (2 + 5 / 5/6)
[10503] ['1/9', '8/7', '3/2', '2', '8'] -> (8 / (8/7 * 3/2) - 2) / 1/9
[10504] ['2/3', '5/4', '5/4', '3', '3'] -> 3 / (5/4 / 2/3 + 5/4 - 3)
[10505] ['4/9', '5/7', '3', '7/2', '4'] -> 7/2 * (4 / 4/9 - 5/7 * 3)
[10506] ['1/9', '9/8', '6/5', '7', '9'] -> 7 / (9/8 - 9 * 1/9 / 6/5)
[10507] ['2/7', '4/5', '8/3', '3', '7'] -> 7 * (2/7 / 3 + 8/3 / 4/5)
[10508] ['2/9', '5/8', '1', '9/4', '8'] -> (8 / (2/9 * 9/4) - 1) / 5/8
[10509] ['2/3', '5/4', '9/7', '3', '3'] -> 2/3 / (3 / 3 - 5/4 / 9/7)
[10510] ['1/5', '8/5', '3', '7/2', '5'] -> 5 * (8/5 * 7/2 - 1/5) - 3
[10511] ['6/5', '9/7', '3', '9/2', '5'] -> 3 + 6/5 / 9/7 * 9/2 * 5
[10512] ['1/9', '9/8', '5/4', '7', '9'] -> 9 / (5/4 - 7 * 1/9 * 9/8)
[10513] ['5/8', '8/9', '6/5', '3', '6'] -> 6 / (8/9 / 5/8 - 6/5) - 3
[10514] ['2/3', '5/4', '4/3', '3', '3'] -> 2/3 / (4/3 / 3 - 5/4 / 3)
[10515] ['2/9', '5/8', '1', '7/2', '8'] -> 1 / 2/9 / (5/8 - 7/2 / 8)
[10516] ['5/6', '7/5', '2', '8/3', '5'] -> (7/5 + 5) / (8/3 - 2 / 5/6)
[10517] ['5/8', '8/9', '5/4', '3', '6'] -> 6 * (3 / 8/9 - (5/8 - 5/4))
[10518] ['1/4', '7/8', '9/5', '4', '6'] -> 4 / (7/8 / 1/4 - 6 / 9/5)
[10519] ['1/5', '5/3', '3', '7/2', '5'] -> 1/5 + 7/2 * (5 + 3 / 5/3)
[10520] ['2/7', '5/6', '8/9', '3', '7'] -> 8/9 * (5/6 * 3 + 7 / 2/7)
[10521] ['4/9', '3/4', '6/7', '3', '4'] -> 4 / (6/7 * (4/9 - 3/4 / 3))
[10522] ['7/9', '7/5', '7/2', '4', '9'] -> 4 / (7/9 / 7/5 - 7/2 / 9)
[10523] ['2/9', '2/3', '5/7', '1', '8'] -> (2/3 + 8 / (5/7 + 1)) / 2/9
[10524] ['1/5', '7/4', '7/4', '3', '5'] -> 3 * (5 * (1/5 + 7/4) - 7/4)
[10525] ['2/7', '5/6', '9/8', '3', '7'] -> (5/6 * 3 + 7 / 2/7) / 9/8
[10526] ['6/5', '7/5', '7/4', '3', '5'] -> (7/5 + 7/4) * (3 + 5) - 6/5
[10527] ['1/7', '1/4', '1/2', '3', '8'] -> 3 / (1/4 - 1/7) - 1/2 * 8
[10528] ['3/5', '1', '7/4', '7/4', '4'] -> 4 / (7/4 / 3/5 - (1 + 7/4))
[10529] ['5/8', '8/9', '3/2', '3', '6'] -> 3/2 / (5/8 - 3 / (8/9 * 6))
[10530] ['4/9', '3/4', '8/7', '3', '4'] -> 8/7 / (4/9 * 3/4) * (3 + 4)
[10531] ['1/9', '8/7', '2', '7/2', '8'] -> 8 / (1/9 * 7/2) / (2 - 8/7)
[10532] ['7/9', '3/2', '8/5', '4', '9'] -> (9 + 4 / 3/2) / (7/9 / 8/5)
[10533] ['2/9', '2/3', '6/7', '1', '8'] -> (6/7 * (8 - 1) - 2/3) / 2/9
[10534] ['3/5', '1', '7/4', '9/5', '4'] -> (1 + 7/4 * 4) / (3/5 / 9/5)
[10535] ['1/5', '7/4', '3', '9/2', '5'] -> 9/2 / (7/4 - 5 / (1/5 + 3))
[10536] ['4/9', '3/4', '9/7', '3', '4'] -> 4 * (3/4 + 3 / (4/9 * 9/7))
[10537] ['5/8', '8/9', '9/4', '3', '6'] -> (3 + 6 * 8/9 * 9/4) / 5/8
[10538] ['4/9', '4/5', '7/4', '6', '8'] -> 8 / (4/9 / 7/4) - 6 / 4/5
[10539] ['3/5', '1', '7/4', '7/3', '4'] -> 7/3 / (7/4 - 1 / 3/5) - 4
[10540] ['1/9', '7/6', '6/5', '2', '8'] -> 2 / (7/6 / 6/5 - 1/9 * 8)
[10541] ['3/5', '1', '7/4', '5/2', '4'] -> 4 / (7/4 / (3/5 * 5/2) - 1)
[10542] ['1/7', '1/4', '7/9', '3', '8'] -> 8 + (1/7 + 3 / 7/9) / 1/4
[10543] ['5/6', '7/4', '7/4', '2', '5'] -> (2 + 5) / (7/4 - 5/6 * 7/4)
[10544] ['6/5', '5/3', '3', '7/2', '5'] -> (3 + 6/5 * 7/2) * (5 - 5/3)
[10545] ['3/5', '1', '7/4', '8/3', '4'] -> 4 / (7/4 - (3/5 + 1)) - 8/3
[10546] ['4/9', '4/5', '5/2', '6', '8'] -> 4/5 * 5/2 * (8 / 4/9 - 6)
[10547] ['5/6', '7/4', '9/5', '2', '5'] -> 9/5 * 5 * (7/4 * 2 - 5/6)
[10548] ['1/7', '1/4', '5/6', '3', '8'] -> (3 / (1/4 - 1/7) - 8) / 5/6
[10549] ['3/5', '1', '7/4', '7/2', '4'] -> 4 / (1 - 7/4 / (3/5 * 7/2))
[10550] ['1/7', '1/4', '8/9', '3', '8'] -> 8 / (3 * (1/4 - 1/7)) - 8/9
[10551] ['1/9', '9/7', '4/3', '2', '3'] -> (2 + 4/3 / 1/9) * (3 - 9/7)
[10552] ['2/3', '9/7', '5/3', '3', '3'] -> (2/3 + 5/3) * (9/7 + 3 * 3)
[10553] ['6/5', '7/4', '7/3', '3', '5'] -> 7/3 * 3 * 5 * 6/5 / 7/4
[10554] ['2/7', '6/7', '8/5', '3', '7'] -> 6/7 * 8/5 * (7 + 3 / 2/7)
[10555] ['4/9', '5/6', '6/7', '6', '8'] -> (5/6 + 4/9 * 6) * 6/7 * 8
[10556] ['5/6', '9/5', '2', '8/3', '5'] -> 5/6 * 2 + 5 * (9/5 + 8/3)
[10557] ['1/7', '1/4', '6/5', '3', '8'] -> 6/5 * (3 / (1/4 - 1/7) - 8)
[10558] ['5/8', '8/7', '6/5', '3', '6'] -> 3 * 6 / (5/8 * 8/7) - 6/5
[10559] ['7/9', '8/5', '7/3', '4', '9'] -> 7/3 / (7/9 / 8/5) * (9 - 4)
[10560] ['4/9', '7/9', '9/8', '3', '4'] -> 3 / (7/9 + 9/8 - 4/9 * 4)
[10561] ['1/5', '8/3', '3', '7/2', '5'] -> (5 + 3 / 1/5) / (7/2 - 8/3)
[10562] ['5/6', '2', '9/4', '9/4', '5'] -> (5/6 + 5) * 2 * 9/4 - 9/4
[10563] ['2/3', '9/7', '9/4', '3', '3'] -> 2/3 * 3 / (3 / 9/7 - 9/4)
[10564] ['1/4', '9/8', '9/7', '4', '6'] -> 4 / (6 / 9/7 - 9/8 / 1/4)
[10565] ['5/8', '8/7', '5/4', '3', '6'] -> 8/7 * 6 * (3 + 5/8 / 5/4)
[10566] ['2/9', '5/7', '6/7', '1', '8'] -> 8 / (6/7 * (2/9 + 1) - 5/7)
[10567] ['1/7', '1/4', '8/5', '3', '8'] -> (3 - 1/7) * (8 + 1/4 * 8/5)
[10568] ['2/9', '2/9', '1/4', '3', '5'] -> 3 + 2/9 / 2/9 + 5 / 1/4
[10569] ['4/9', '7/9', '7/5', '3', '4'] -> 3 * (4/9 + 4) / (7/9 / 7/5)
[10570] ['2/9', '5/7', '7/8', '1', '8'] -> 8 / (2/9 * 7/8) / (5/7 + 1)
[10571] ['2/9', '2/9', '2/7', '3', '5'] -> 3 + (5 + 2/9 / 2/9) / 2/7
[10572] ['2/7', '7/8', '7/6', '3', '7'] -> (7 / 2/7 - 7/6 * 3) / 7/8
[10573] ['7/9', '5/3', '5/3', '4', '9'] -> 4 * (7/9 * 9 - 5/3 / 5/3)
[10574] ['1/9', '8/7', '8/5', '7', '9'] -> (8/7 + 1/9 * 9) * 8/5 * 7
[10575] ['1/9', '6/5', '7/4', '2', '8'] -> (8 / 6/5 - 2) / (1/9 * 7/4)
[10576] ['5/8', '8/7', '5/3', '3', '6'] -> 8/7 * 5/3 * (3 + 6 / 5/8)
[10577] ['1/9', '9/7', '2', '5/2', '3'] -> (2 * 5/2 - 3 / 9/7) / 1/9
[10578] ['3/5', '1', '7/2', '7/2', '4'] -> 7/2 + (3/5 + 7/2) * (1 + 4)
[10579] ['1/7', '1/4', '7/3', '3', '8'] -> 3 / (1/7 / 8 + 1/4 / 7/3)
[10580] ['2/7', '7/8', '6/5', '3', '7'] -> (7 + 3 / 2/7) / (7/8 / 6/5)
[10581] ['4/9', '7/9', '3', '4', '9/2'] -> (4 + 4/9 / 3) / (7/9 / 9/2)
[10582] ['1/9', '6/5', '2', '9/4', '8'] -> 6/5 * (9/4 / 1/9 - 2 / 8)
[10583] ['2/9', '5/7', '1', '7/6', '8'] -> 8 / ((2/9 + 1) / 7/6 - 5/7)
[10584] ['1/4', '9/8', '7/3', '4', '6'] -> 4 / (7/3 / 6 - 1/4 / 9/8)
[10585] ['7/9', '5/3', '7/2', '4', '9'] -> (5/3 - 7/9) * 7/2 * 9 - 4
[10586] ['2/9', '2/9', '5/7', '3', '5'] -> 3 * (2/9 / 2/9 + 5 / 5/7)
[10587] ['4/9', '4/5', '5/6', '3', '4'] -> (4/5 + 3 * 4) / (4/9 / 5/6)
[10588] ['5/8', '5/8', '5/7', '1', '4'] -> 4 * (5/8 / (5/7 - 5/8) - 1)
[10589] ['1/9', '6/5', '2', '5/2', '8'] -> 5/2 * (2 + 6/5 / 1/9) - 8
[10590] ['5/8', '8/7', '9/4', '3', '6'] -> 6 / (5/8 + 9/4 - 3 / 8/7)
[10591] ['2/3', '7/5', '7/5', '3', '3'] -> 3 * (7/5 + (7/5 + 3) / 2/3)
[10592] ['5/8', '8/7', '7/3', '3', '6'] -> (5/8 + 7/3 / 8/7) * (3 + 6)
[10593] ['5/4', '9/7', '9/7', '3', '5'] -> (9/7 + 3) / (5 * (9/7 - 5/4))
[10594] ['2/9', '5/7', '1', '4/3', '8'] -> (5/7 + 1) * (8 + 4/3 / 2/9)
[10595] ['1/9', '4/3', '8/5', '2', '3'] -> 4/3 / (2 - (1/9 + 3) / 8/5)
[10596] ['1/9', '5/4', '5/4', '2', '8'] -> 8 / (1/9 * (2 + 5/4 / 5/4))
[10597] ['6/7', '6/7', '6/5', '2', '5'] -> 5 * (6/7 + 6/5) / (6/7 / 2)
[10598] ['5/8', '8/7', '8/3', '3', '6'] -> 8/7 * 8/3 * (6 + 5/8 * 3)
[10599] ['7/9', '9/5', '9/5', '4', '9'] -> 4 * (7/9 * 9 - 9/5 / 9/5)
[10600] ['5/4', '9/7', '4/3', '3', '5'] -> 9/7 * 5 * (4/3 + 3 / 5/4)
[10601] ['4/9', '4/5', '8/9', '3', '4'] -> (4/5 + 4) * (3 + 8/9 / 4/9)
[10602] ['1/9', '8/7', '9/2', '7', '9'] -> (1/9 + 7) * (9 / 8/7 - 9/2)
[10603] ['1/9', '5/4', '7/5', '2', '8'] -> 8 / (1/9 * (7/5 + 2 / 5/4))
[10604] ['2/7', '7/8', '5/2', '3', '7'] -> (5/2 / 7/8 - (3 - 7)) / 2/7
[10605] ['4/9', '6/7', '8/5', '6', '8'] -> 8/5 * (8 / (4/9 * 6/7) - 6)
[10606] ['5/8', '8/7', '3', '7/2', '6'] -> 6 / (7/2 - (5/8 + 3 / 8/7))
[10607] ['4/9', '4/5', '9/8', '3', '4'] -> 4 / 4/5 / (4/9 * 3 - 9/8)
[10608] ['1/9', '5/4', '7/4', '2', '8'] -> 8 / (1/9 / 5/4) / (7/4 + 2)
[10609] ['5/8', '5/8', '1', '9/7', '4'] -> 1 / (9/7 - (5/8 + 5/8)) - 4
[10610] ['5/4', '9/7', '5/3', '3', '5'] -> (5/3 + 3) * 5 / (5/4 / 9/7)
[10611] ['4/9', '6/7', '5/3', '6', '8'] -> 6/7 * (5/3 * 6 + 8 / 4/9)
[10612] ['2/7', '7/8', '3', '9/2', '7'] -> (9/2 * 7 - 3 / 2/7) / 7/8
[10613] ['2/9', '2/9', '7/6', '3', '5'] -> 7/6 + (5 + 2/9 / 3) / 2/9
[10614] ['5/8', '7/6', '6/5', '3', '6'] -> 3 / (5/8 * 6) / (6/5 - 7/6)
[10615] ['1/9', '5/4', '9/5', '2', '8'] -> (8 - 2) / (9/5 * 1/9 * 5/4)
[10616] ['5/4', '9/7', '7/4', '3', '5'] -> 5 * (3 + 7/4 / (5/4 / 9/7))
[10617] ['4/9', '6/7', '7/4', '6', '8'] -> 7/4 * (8 / 4/9 - 6/7) - 6
[10618] ['2/9', '2/9', '5/4', '3', '5'] -> 2/9 * 3 / (5/4 / 5 - 2/9)
[10619] ['4/9', '4/5', '7/6', '3', '4'] -> 4 / (4/9 / 4/5 - 7/6 / 3)
[10620] ['1/7', '1/3', '3/8', '3', '8'] -> 3 / (8 - 3/8 / (1/7 * 1/3))
[10621] ['2/9', '5/7', '1', '9/5', '8'] -> 9/5 * (5/7 + 1) * (8 - 2/9)
[10622] ['7/9', '9/5', '8/3', '4', '9'] -> 8/3 / (4 - 9 * 7/9 / 9/5)
[10623] ['2/7', '8/9', '6/5', '3', '7'] -> 8/9 * (3 / 6/5 + 7 / 2/7)
[10624] ['5/4', '9/7', '9/5', '3', '5'] -> 5/4 * 3 * (5 + 9/5 / 9/7)
[10625] ['6/7', '6/7', '8/5', '2', '5'] -> 8/5 * 5 * (2 + 6/7 / 6/7)
[10626] ['2/3', '7/5', '8/3', '3', '3'] -> (2/3 + 8/3) * (3 + 7/5 * 3)
[10627] ['5/8', '7/6', '9/7', '3', '6'] -> 3 * 6 / (9/7 - 5/8 / 7/6)
[10628] ['2/7', '8/9', '5/4', '3', '7'] -> 7 * (5/4 * 3 - 2/7 / 8/9)
[10629] ['5/8', '5/8', '1', '5/3', '4'] -> 1 / (5/3 / (5/8 * 4) - 5/8)
[10630] ['5/8', '7/6', '4/3', '3', '6'] -> 3 * (5/8 * 4/3 + 7/6 + 6)
[10631] ['1/9', '9/7', '9/7', '2', '8'] -> 8 / (1/9 * (2 + 9/7 / 9/7))
[10632] ['2/9', '2/9', '7/5', '3', '5'] -> 3 * (2/9 / 2/9 + 7/5 * 5)
[10633] ['2/9', '5/7', '1', '5/2', '8'] -> (5/7 + 5/2) * (8 - 2/9) - 1
[10634] ['6/7', '6/7', '7/4', '2', '5'] -> (5 + 6/7 / 6/7) / (2 - 7/4)
[10635] ['4/9', '4/5', '7/5', '3', '4'] -> 4 * (4/5 / 4/9 + 7/5 * 3)
[10636] ['5/8', '7/6', '7/5', '3', '6'] -> 6 / (5/8 / 7/6) / (7/5 / 3)
[10637] ['1/9', '9/7', '7/5', '2', '8'] -> 7/5 * 8 * (2 + 1/9 * 9/7)
[10638] ['2/9', '2/9', '7/4', '3', '5'] -> 2/9 / (7/4 - (2/9 + 5) / 3)
[10639] ['1/9', '7/5', '2', '5/2', '3'] -> 2 / (1/9 / 7/5) - 3 / 5/2
[10640] ['2/3', '3/2', '3/2', '3', '3'] -> 3 * (3/2 + 3 * (2/3 + 3/2))
[10641] ['1/9', '7/6', '5/3', '7', '9'] -> 7/6 * (9 + 5/3 * 7) - 1/9
[10642] ['6/7', '6/7', '2', '7/3', '5'] -> (6/7 + 6/7 * 5) * 2 * 7/3
[10643] ['1/7', '1/3', '5/8', '3', '8'] -> (8 + 3 / (1/7 / 1/3)) / 5/8
[10644] ['2/9', '2/9', '9/4', '3', '5'] -> 3 * 2/9 * 9/4 + 5 / 2/9
[10645] ['1/4', '7/6', '9/5', '4', '6'] -> 6 / 9/5 + (7/6 + 4) / 1/4
[10646] ['2/9', '5/7', '1', '7/2', '8'] -> 8 / 2/9 / (5/7 * 7/2 - 1)
[10647] ['5/8', '5/8', '1', '9/4', '4'] -> 1 / (9/4 / (4 - 5/8) - 5/8)
[10648] ['4/9', '7/8', '6/5', '6', '8'] -> (6 + 8 / (4/9 * 6/5)) / 7/8
[10649] ['4/9', '4/5', '7/4', '3', '4'] -> (4/5 + 4) * (3 / 4/9 - 7/4)
[10650] ['6/7', '6/7', '2', '5/2', '5'] -> 5 * 2 * 5/2 - 6/7 / 6/7
[10651] ['7/9', '9/4', '4', '9/2', '9'] -> 9/4 * (7/9 + 9 + 4 / 9/2)
[10652] ['2/9', '5/7', '1', '9/2', '8'] -> 5/7 * 9/2 * (8 - 2/9) - 1
[10653] ['5/8', '5/8', '1', '7/3', '4'] -> 4 / (5/8 + 1 - 5/8 * 7/3)
[10654] ['4/9', '7/8', '9/7', '6', '8'] -> 9/7 * 6 * 8 * 4/9 * 7/8
[10655] ['5/8', '7/6', '5/2', '3', '6'] -> 3 / (7/6 - 5/8 - 5/2 / 6)
[10656] ['1/7', '1/3', '3/4', '3', '8'] -> 8 + 3/4 * (1/3 + 3 / 1/7)
[10657] ['7/9', '5/2', '8/3', '4', '9'] -> (8/3 + 9) * 4 / (7/9 * 5/2)
[10658] ['2/9', '1/4', '2/7', '3', '5'] -> 5 / (1/4 / 2/7 - 2/9 * 3)
[10659] ['5/8', '5/8', '1', '7/2', '4'] -> 1 / 5/8 + 4 / (5/8 / 7/2)
[10660] ['1/7', '1/3', '4/5', '3', '8'] -> 3 + 8 / (4/5 * (1/7 + 1/3))
[10661] ['5/8', '5/8', '1', '4', '9/2'] -> 1 + 4 * (9/2 + 5/8 + 5/8)
[10662] ['1/9', '9/7', '7/4', '2', '8'] -> (8 - 2) / (7/4 * 1/9 * 9/7)
[10663] ['2/9', '3/4', '7/8', '1', '8'] -> 8 / (3/4 - 2/9 * (7/8 + 1))
[10664] ['4/9', '4/5', '3', '4', '9/2'] -> (4/5 + 4) * (3 + 4/9 * 9/2)
[10665] ['5/8', '2/3', '5/7', '1', '4'] -> (1 + 4) / (5/8 / 5/7 - 2/3)
[10666] ['6/7', '7/8', '5/4', '2', '5'] -> 5 / (2 / 6/7 - (7/8 + 5/4))
[10667] ['4/9', '5/6', '5/6', '3', '4'] -> 3 * (4 / 4/9 - 5/6 / 5/6)
[10668] ['1/4', '5/4', '9/7', '4', '6'] -> 6 / (1/4 + 5/4 - 9/7) - 4
[10669] ['1/7', '1/3', '6/5', '3', '8'] -> (3 - 1/7) * (8 + 1/3 * 6/5)
[10670] ['2/3', '8/5', '5/2', '3', '3'] -> 5/2 * 3 * 3 * 2/3 * 8/5
[10671] ['4/9', '7/8', '5/3', '6', '8'] -> 5/3 / (7/8 - (4/9 + 6) / 8)
[10672] ['6/7', '7/8', '4/3', '2', '5'] -> 5 / (7/8 / 2) / (4/3 - 6/7)
[10673] ['2/9', '1/4', '3/5', '3', '5'] -> (3 + 5 / 3/5) / (2/9 + 1/4)
[10674] ['4/9', '5/6', '6/7', '3', '4'] -> (3 / 6/7 - 5/6) / (4/9 / 4)
[10675] ['1/9', '8/5', '2', '5/2', '3'] -> 2 * 5/2 / (3 * 1/9 / 8/5)
[10676] ['2/3', '8/5', '3', '3', '7/2'] -> 8/5 * (3 / 2/3 + 3 * 7/2)
[10677] ['1/9', '9/7', '2', '5/2', '8'] -> 1/9 + 5/2 * (8 + 2 / 9/7)
[10678] ['5/8', '2/3', '1', '8/7', '4'] -> 4 / 2/3 / (1 / 8/7 - 5/8)
[10679] ['4/5', '4/5', '8/7', '4', '9'] -> 4 * 9 / (4/5 + 4/5 / 8/7)
[10680] ['1/7', '1/3', '8/5', '3', '8'] -> 8/5 * (8 + 3 / (1/7 / 1/3))
[10681] ['1/7', '1/3', '7/4', '3', '8'] -> 8 + 7/4 * (1/7 + 3 / 1/3)
[10682] ['4/9', '7/8', '5/2', '6', '8'] -> 6 / (4/9 * (7/8 - 5/2 / 8))
[10683] ['2/3', '5/3', '5/2', '3', '3'] -> 3 * (5/3 / 2/3 + 5/2 + 3)
[10684] ['1/9', '9/7', '2', '7/2', '8'] -> 8 / (2 / (9/7 * 7/2) - 1/9)
[10685] ['6/7', '7/8', '7/4', '2', '5'] -> (7/8 + 7/4) * (2 * 5 - 6/7)
[10686] ['1/9', '6/5', '3/2', '7', '9'] -> 7 / (1/9 + 3/2 / 9) - 6/5
[10687] ['5/8', '2/3', '1', '5/3', '4'] -> 1 / (5/8 - (2/3 + 5/3) / 4)
[10688] ['4/9', '5/6', '6/5', '3', '4'] -> 3 * (4 / 4/9 - 5/6 * 6/5)
[10689] ['2/7', '9/8', '6/5', '3', '7'] -> (3 / 6/5 + 7 / 2/7) / 9/8
[10690] ['6/7', '7/8', '9/5', '2', '5'] -> 9/5 * 2 * 5 / (6/7 * 7/8)
[10691] ['5/8', '9/7', '3/2', '3', '6'] -> 6 / (3/2 / (3 - 9/7) - 5/8)
[10692] ['4/5', '4/5', '4', '9/2', '9'] -> 4/5 * 9 / (4/5 + 4 - 9/2)
[10693] ['2/3', '7/4', '7/3', '3', '3'] -> 2/3 / ((7/3 + 3) / 3 - 7/4)
[10694] ['4/9', '8/9', '9/7', '6', '8'] -> 9/7 * (4/9 + 8/9) * (6 + 8)
[10695] ['4/9', '5/6', '5/4', '3', '4'] -> 4 / (5/4 / 5/6 - 4/9 * 3)
[10696] ['2/7', '9/8', '5/4', '3', '7'] -> 7 * (5/4 * 3 - 2/7 * 9/8)
[10697] ['1/4', '9/7', '9/4', '4', '6'] -> 9/7 * (4 / 1/4 + 6 / 9/4)
[10698] ['2/9', '7/9', '7/9', '1', '8'] -> 8 / (7/9 - 1 - (2/9 - 7/9))
[10699] ['2/3', '7/4', '5/2', '3', '3'] -> 3 / (3 / 2/3 - 7/4 * 5/2)
[10700] ['2/9', '1/4', '6/5', '3', '5'] -> (6/5 / 2/9 + 3 / 5) / 1/4
[10701] ['5/4', '9/5', '5/2', '3', '5'] -> (3 + 9/5 * 5) / (5/4 / 5/2)
[10702] ['4/9', '5/6', '9/7', '3', '4'] -> 4 / (5/6 - 4/9) / (9/7 / 3)
[10703] ['4/9', '8/9', '7/5', '6', '8'] -> 8 / (8/9 - 4/9 * 7/5) - 6
[10704] ['5/8', '5/7', '7/9', '1', '4'] -> (5/7 + 4) / (1 - 5/8 / 7/9)
[10705] ['1/4', '9/7', '5/2', '4', '6'] -> 6 + 9/7 * (4 + 5/2 / 1/4)
[10706] ['2/9', '7/9', '4/5', '1', '8'] -> 8 / (2/9 / (1 - 4/5) - 7/9)
[10707] ['5/8', '9/7', '7/4', '3', '6'] -> 9/7 * 7/4 + 6 * (5/8 + 3)
[10708] ['4/9', '5/6', '7/5', '3', '4'] -> 4 / (4/9 * 3 - 5/6 * 7/5)
[10709] ['2/9', '1/4', '9/7', '3', '5'] -> ((3 + 5) / 9/7 - 2/9) / 1/4
[10710] ['4/5', '5/6', '9/8', '4', '9'] -> 5/6 * 4 * (9 / 9/8 - 4/5)
[10711] ['6/7', '7/8', '2', '8/3', '5'] -> (2 + 5 / 7/8) / (6/7 / 8/3)
[10712] ['1/9', '9/5', '2', '9/4', '3'] -> (9/4 + 2 / (9/5 + 3)) / 1/9
[10713] ['5/8', '9/7', '9/5', '3', '6'] -> (6 + 3 / 9/7) / (5/8 / 9/5)
