[62658] ['1/4', '3/8', '5/9', '5', '8'] -> (5 / 5/9 - 3/8 * 8) / 1/4
[63788] ['3/7', '8/9', '1', '7/2', '9'] -> 9 / (3/7 * 7/2 - 1 / 8/9)
[63789] ['2/5', '2/5', '1', '3/2', '2'] -> (2/5 + 2) / (3/2 - (2/5 + 1))
[63790] ['1/2', '7/8', '1', '9/5', '7'] -> (1 + 9/5) / (7/8 / (1/2 + 7))
[63791] ['1/8', '7/8', '5/2', '7', '7'] -> (5/2 / 1/8 + 7 / 7) / 7/8
[63792] ['9/8', '6/5', '9/4', '5', '5'] -> 9/4 / (9/8 / 6/5) * (5 + 5)
[63793] ['1/4', '7/5', '7/2', '5', '8'] -> (8 - 5 * 7/5 / 7/2) / 1/4
[63794] ['3/7', '8/9', '1', '9/2', '9'] -> 9 / 3/7 - (1 - 8/9 * 9/2)
[63795] ['1/9', '5/8', '8/5', '7', '8'] -> 8/5 / (1/9 / 5/8) + 7 + 8
[63796] ['2/5', '2/5', '1', '8/5', '2'] -> (1 + 2 / 2/5) / (2/5 / 8/5)
[63797] ['1/8', '7/9', '1', '7/5', '6'] -> (6 / 7/5 - 1 / 7/9) / 1/8
[63798] ['1/8', '7/8', '9/2', '7', '7'] -> 9/2 / (1/8 + 7/8 / (7 + 7))
[63799] ['1/4', '7/5', '9/2', '5', '8'] -> (7/5 + 5) * (8 + 1/4 - 9/2)
[63800] ['3/8', '8/5', '7/4', '6', '6'] -> 6 / (7/4 - 8/5) - 6 / 3/8
[63801] ['1/9', '5/8', '7/4', '7', '8'] -> 8 * (5/8 / 1/9 - 7/4) - 7
[63802] ['1/8', '7/9', '1', '3/2', '6'] -> 1 / 3/2 / (7/9 - 1/8 * 6)
[63803] ['5/7', '1', '7/4', '7/3', '6'] -> 7/4 * (5/7 - 1 + 7/3 * 6)
[63804] ['9/8', '6/5', '7/2', '5', '5'] -> (5 + 7/2 * 5) / (9/8 / 6/5)
[63805] ['1/9', '2/5', '3/7', '4', '8'] -> 3/7 * (4 / 1/9 + 8 / 2/5)
[63806] ['3/8', '8/5', '7/3', '6', '6'] -> 7/3 * 6 + 6 / (3/8 * 8/5)
[63807] ['9/8', '6/5', '9/2', '5', '5'] -> 5 / (5 * 6/5 / 9/2 - 9/8)
[63808] ['1/2', '8/9', '1', '8/7', '7'] -> 7 / (8/7 / 8/9 - 1) - 1/2
[63809] ['5/7', '1', '7/4', '8/3', '6'] -> 8/3 * (6 + 7/4 * (5/7 + 1))
[63810] ['1/9', '5/8', '9/4', '7', '8'] -> 7 / (1/9 / 8 + 5/8 / 9/4)
[63811] ['2/5', '2/5', '1', '2', '9/4'] -> (2/5 + 2) / (1 - 2/5 * 9/4)
[63812] ['2/7', '5/9', '2/3', '2', '5'] -> (2 / 2/7 + 5 / 5/9) / 2/3
[63813] ['3/8', '8/5', '7/2', '6', '6'] -> 8/5 * 6 * (7/2 - 3/8) - 6
[63814] ['2/7', '5/9', '3/5', '2', '2'] -> 2 * (2 / (2/7 * 5/9) - 3/5)
[63815] ['1/8', '7/9', '1', '5/2', '6'] -> (5/2 - 1 / 6) / (1/8 * 7/9)
[63816] ['3/8', '8/7', '5/2', '9', '9'] -> 8/7 * 9 * (9 - 5/2 / 3/8)
[63817] ['2/7', '5/9', '5/7', '2', '5'] -> 2 + (5 + 5/7 / 5/9) / 2/7
[63818] ['5/7', '1', '9/5', '9/4', '6'] -> 6 / (9/4 - 5/7 * (1 + 9/5))
[63819] ['3/7', '1', '9/8', '8/5', '9'] -> (1 + 9/8 * 8/5) * (9 - 3/7)
[63820] ['1/9', '5/8', '9/2', '7', '8'] -> (7 + 5/8 * 8) / (1/9 * 9/2)
[63821] ['2/5', '2/5', '1', '2', '9/2'] -> (2 * 9/2 - (2/5 - 1)) / 2/5
[63822] ['9/8', '5/4', '7/3', '5', '5'] -> 5 / 5 / (9/8 + 5/4 - 7/3)
[63823] ['3/8', '4/9', '5/9', '4', '9'] -> 3/8 / 5/9 * (4 * 9 - 4/9)
[63824] ['1/9', '2/3', '5/7', '7', '8'] -> (5/7 - 2/3) * 8 / (1/9 / 7)
[63825] ['1/2', '8/9', '1', '3/2', '7'] -> 3/2 * 7 / (1 - 1/2 / 8/9)
[63826] ['8/9', '3/2', '7/4', '3', '9'] -> 3 + 8/9 * 3/2 * 7/4 * 9
[63827] ['5/7', '1', '9/5', '8/3', '6'] -> (1 + 6) * 8/3 * 5/7 * 9/5
[63828] ['2/7', '5/9', '5/6', '2', '5'] -> (5/6 + 5) / (5/9 / (2/7 + 2))
[63829] ['1/4', '9/5', '9/2', '5', '8'] -> (8 - 5 * 9/5 / 9/2) / 1/4
[63830] ['3/8', '5/3', '5/2', '6', '6'] -> 6 * (5/2 / 3/8 - 5/3) - 6
[63831] ['3/7', '1', '9/8', '5/2', '9'] -> 9 / (3/7 * (1 + 5/2) - 9/8)
[63832] ['2/5', '3/7', '4/9', '1', '2'] -> (2 / (2/5 * 3/7) - 1) / 4/9
[63833] ['3/8', '4/9', '3/5', '4', '9'] -> 3/8 * 9 * (4/9 + 4 / 3/5)
[63834] ['1/9', '2/3', '4/5', '7', '8'] -> (8 - 2/3 * 7) / (1/9 / 4/5)
[63835] ['3/8', '7/4', '7/4', '6', '6'] -> 6 * 7/4 * 7/4 - (3/8 - 6)
[63836] ['5/7', '1', '9/5', '9/2', '6'] -> (1 + 5/7 * 9/5) * (9/2 + 6)
[63837] ['1/2', '8/9', '1', '9/4', '7'] -> 9/4 / (1/2 / 8/9) * (7 - 1)
[63838] ['3/8', '7/6', '4/3', '9', '9'] -> 9 + 9 * (7/6 + 3/8 * 4/3)
[63839] ['1/9', '2/5', '9/8', '4', '8'] -> 2/5 * (8 / (1/9 * 9/8) - 4)
[63840] ['9/8', '9/7', '3/2', '5', '5'] -> 5 / 5 / (3/2 / 9/7 - 9/8)
[63841] ['1/9', '2/3', '6/5', '7', '8'] -> 2/3 / 1/9 + 6/5 * (7 + 8)
[63842] ['2/7', '2/7', '4/9', '5', '8'] -> 5 + 2/7 / 2/7 + 8 / 4/9
[63843] ['3/8', '4/9', '6/7', '4', '9'] -> 6/7 * (3/8 + 4) + 9 / 4/9
[63844] ['3/8', '9/5', '8/3', '6', '6'] -> 6 / 3/8 / (6 / 9/5 - 8/3)
[63845] ['2/7', '5/9', '8/7', '2', '5'] -> 2/7 + 5 * (8/7 + 2 / 5/9)
[63846] ['8/9', '7/4', '9/5', '3', '9'] -> (9/5 + 9) / (7/4 / (8/9 + 3))
[63847] ['1/8', '8/9', '8/5', '7', '7'] -> 8/5 * (1/8 + 7 + 7 / 8/9)
[63848] ['1/8', '4/5', '1', '4/3', '6'] -> (6 - 1) / (4/3 * 1/8 / 4/5)
[63849] ['2/7', '5/9', '8/9', '2', '2'] -> 2 / (5/9 / (2/7 * 2) - 8/9)
[63850] ['2/7', '5/9', '7/6', '2', '5'] -> 5 * (2/7 + 2) / (5/9 / 7/6)
[63851] ['2/7', '2/7', '5/8', '5', '8'] -> 8 * 5/8 * 5 - 2/7 / 2/7
[63852] ['1/2', '1', '9/8', '6/5', '7'] -> 7 / (1/2 / 6/5 + 1 - 9/8)
[63853] ['1/9', '2/5', '9/7', '4', '8'] -> 2/5 * (4 + 8 / (1/9 * 9/7))
[63854] ['5/7', '1', '5/2', '7/2', '6'] -> 6 * (5/7 * 7/2 - (1 - 5/2))
[63855] ['1/8', '4/5', '1', '7/3', '6'] -> 1 / (1/8 * 4/5) + 7/3 * 6
[63856] ['3/8', '4/9', '6/5', '4', '9'] -> (4 + 9) / (4/9 * 6/5) - 3/8
[63857] ['9/8', '9/7', '7/3', '5', '5'] -> 9/7 * 7/3 / (9/8 - 5 / 5)
[63858] ['2/5', '3/7', '4/5', '1', '2'] -> 4/5 * 2 / (1 - 2/5 / 3/7)
[63859] ['3/7', '1', '8/7', '9/2', '9'] -> 9/2 * (9 - (1 + 8/7 / 3/7))
[63860] ['1/9', '2/5', '3/2', '4', '8'] -> 3/2 * (4 / 1/9 - 8 / 2/5)
[63861] ['3/8', '7/3', '7/3', '6', '6'] -> 3/8 * 6 * (6 + 7/3 + 7/3)
[63862] ['1/9', '5/7', '5/7', '7', '8'] -> 5/7 / (1/9 * 5/7) + 7 + 8
[63863] ['3/7', '1', '7/6', '7/6', '9'] -> 9 * (3/7 * 7/6 + 1 + 7/6)
[63864] ['1/8', '5/6', '8/9', '1', '6'] -> 1 / (1/8 * 6) / (8/9 - 5/6)
[63865] ['3/8', '7/3', '7/2', '6', '6'] -> 6 * (7/3 + 3/8 * 6) - 7/2
[63866] ['1/8', '8/9', '7/2', '7', '7'] -> 8/9 * (7/2 / 1/8 - 7 / 7)
[63867] ['5/7', '1', '8/3', '7/2', '6'] -> 8/3 * 6 * (5/7 * 7/2 - 1)
[63868] ['1/8', '5/6', '1', '9/8', '6'] -> (6 / 1/8 - 1) / (5/6 + 9/8)
[63869] ['2/5', '3/7', '6/7', '1', '2'] -> 6/7 * 2 / (3/7 / 2/5 - 1)
[63870] ['1/2', '1', '9/8', '9/4', '7'] -> 9/4 / (1/2 * 9/8) * (7 - 1)
[63871] ['3/8', '4/9', '9/5', '4', '9'] -> 3/8 * 9/5 * (4 * 9 - 4/9)
[63872] ['8/9', '9/5', '3', '9/2', '9'] -> (9/5 + 3) * (9 - 8/9 * 9/2)
[63873] ['2/7', '5/9', '4/3', '2', '2'] -> (2 + 4/3 / 2/7) / (5/9 / 2)
[63874] ['9/8', '9/7', '7/2', '5', '5'] -> (5 + 7/2 * (9/7 + 5)) / 9/8
[63875] ['5/7', '1', '7/2', '7/2', '6'] -> 6 * (5/7 * (7/2 + 7/2) - 1)
[63876] ['1/8', '9/8', '8/7', '7', '7'] -> 8/7 * 7 + 7 + 9/8 / 1/8
[63877] ['3/7', '1', '7/6', '8/5', '9'] -> 7/6 * 8/5 * 9 * (3/7 + 1)
[63878] ['1/9', '2/5', '5/2', '4', '8'] -> 8 / (1/9 * (4 - 2/5 * 5/2))
[63879] ['1/8', '9/8', '7/6', '7', '7'] -> 7 / (7/6 * (9/8 - 1/8 * 7))
[63880] ['1/8', '5/6', '1', '9/7', '6'] -> 1 / (5/6 / 6 - 1/8 / 9/7)
[63881] ['9/8', '4/3', '4/3', '5', '5'] -> 4/3 * 4/3 + 5 / (9/8 / 5)
[63882] ['2/7', '5/9', '3/2', '2', '2'] -> 2 / 3/2 / (2 - 5/9 / 2/7)
[63883] ['2/7', '2/7', '7/3', '5', '8'] -> (5 - 7/3) * (8 + 2/7 / 2/7)
[63884] ['1/9', '2/5', '7/2', '4', '8'] -> 8 / (1/9 * 2/5) / (7/2 + 4)
[63885] ['3/8', '1/2', '4/7', '4', '9'] -> 3/8 + (9 + 1/2 + 4) / 4/7
[63886] ['1/2', '1', '8/7', '9/5', '7'] -> (1 + 9/5) * 8/7 * (1/2 + 7)
[63887] ['2/7', '2/7', '9/2', '5', '8'] -> 8 * (2/7 + 2/7 * (9/2 + 5))
[63888] ['3/7', '1', '7/6', '9/4', '9'] -> 9/4 * (9 + 7/6 * (3/7 + 1))
[63889] ['1/9', '5/7', '7/8', '7', '8'] -> 5/7 / 1/9 / (8 / 7 - 7/8)
[63890] ['3/8', '1/2', '5/7', '4', '9'] -> (1/2 + 9) / (5/7 - 3/8) - 4
[63891] ['2/5', '2/5', '4/7', '6', '6'] -> 4/7 * 6 * (6 + 2/5 / 2/5)
[63892] ['2/5', '3/7', '1', '7/6', '2'] -> 2 / 7/6 / (3/7 / 2/5 - 1)
[63893] ['9/8', '4/3', '5/3', '5', '5'] -> (4/3 + 5/3) / (9/8 - 5 / 5)
[63894] ['9/8', '8/7', '4/3', '3', '9'] -> 9 * ((4/3 + 3) / 8/7 - 9/8)
[63895] ['1/9', '5/7', '9/8', '7', '8'] -> (8 - 5/7 * 7) / (1/9 * 9/8)
[63896] ['1/8', '9/8', '9/7', '7', '7'] -> 1/8 + 7 + 7 * (9/8 + 9/7)
[63897] ['3/4', '3/4', '1', '7/6', '6'] -> 6 / (3/4 + 3/4) / (7/6 - 1)
[63898] ['3/4', '3/4', '1', '6/5', '6'] -> 6 / ((3/4 + 3/4) / 6/5 - 1)
[63899] ['2/5', '3/7', '1', '5/4', '2'] -> 2 / (5/4 * (1 - 2/5 / 3/7))
[63900] ['9/8', '4/3', '9/5', '5', '5'] -> (5 - 9/5) * 5 * 9/8 * 4/3
[63901] ['2/7', '5/9', '2', '7/3', '5'] -> (2 + 2/7 * 7/3) / (5/9 / 5)
[63902] ['1/8', '9/8', '7/5', '7', '7'] -> (7 / 7/5 - 9/8) / 1/8 - 7
[63903] ['2/7', '5/9', '2', '5/2', '5'] -> 2 + 5/2 / 5/9 + 5 / 2/7
[63904] ['2/5', '2/5', '7/8', '6', '6'] -> (6 + 2/5 * 6) / (2/5 * 7/8)
[63905] ['2/7', '1/3', '5/9', '5', '8'] -> (1/3 + 5/9 * 5) * (8 - 2/7)
[63906] ['1/2', '1', '7/6', '7/5', '7'] -> (1 + 7) / (7/6 / 7/5 - 1/2)
[63907] ['1/8', '9/8', '3/2', '7', '7'] -> (7 + 7 / 1/8) / (9/8 + 3/2)
[63908] ['9/8', '8/7', '9/5', '3', '9'] -> 8/7 * 9/5 * (9 + 3 / 9/8)
[63909] ['2/5', '3/7', '1', '7/5', '2'] -> (7/5 / (3/7 - 2/5) - 1) / 2
[63910] ['2/5', '2/5', '8/9', '6', '6'] -> 6 + (2/5 + 6) / (2/5 * 8/9)
[63911] ['3/7', '1', '6/5', '5/3', '9'] -> 1 + 6/5 * 5/3 + 9 / 3/7
[63912] ['3/4', '3/4', '1', '8/5', '6'] -> (1 + 3/4 + 3/4) * 8/5 * 6
[63913] ['2/5', '2/5', '9/8', '6', '6'] -> 6 + (2/5 + 6) / (2/5 / 9/8)
[63914] ['1/8', '6/7', '1', '7/5', '6'] -> 6/7 / (1/8 * 6 - 1 / 7/5)
[63915] ['1/8', '9/8', '9/5', '7', '7'] -> 9/5 * (7 + (1/8 + 7) / 9/8)
[63916] ['3/7', '1', '6/5', '7/4', '9'] -> 9 / (1 - 7/4 * 3/7 / 6/5)
[63917] ['1/2', '1', '7/6', '9/5', '7'] -> (1 + 7) * 9/5 * (1/2 + 7/6)
[63918] ['2/5', '2/5', '8/7', '6', '6'] -> (6 + 2/5 * 6) / (2/5 / 8/7)
[63919] ['1/8', '6/7', '1', '3/2', '6'] -> (6 - (1 + 3/2)) / (1/8 / 6/7)
[63920] ['9/8', '8/7', '3', '9/2', '9'] -> 8/7 * (9 + 9/2 / (9/8 / 3))
[63921] ['2/7', '1/3', '3/4', '5', '8'] -> 8 / 2/7 - 3/4 * (1/3 + 5)
[63922] ['1/9', '5/7', '7/5', '7', '8'] -> 7/5 / (1/9 / 5/7) + 7 + 8
[63923] ['2/7', '4/7', '4/7', '2', '5'] -> (4/7 + 4/7 * 5) / (2/7 / 2)
[63924] ['3/4', '7/9', '4/5', '1', '6'] -> 4/5 * (1 / (7/9 - 3/4) - 6)
[63925] ['3/8', '5/9', '3/5', '4', '9'] -> (4 + 9) / (5/9 * (3/8 + 3/5))
[63926] ['9/8', '7/6', '6/5', '3', '9'] -> 9/8 * (9 / (6/5 / 3) - 7/6)
[63927] ['2/7', '4/7', '3/5', '2', '5'] -> (2/7 + 2 / 5) / (3/5 - 4/7)
[63928] ['1/8', '6/7', '1', '9/5', '6'] -> (6/7 + 6 / (1 + 9/5)) / 1/8
[63929] ['1/9', '3/7', '7/8', '4', '8'] -> (4 / (3/7 * 7/8) - 8) / 1/9
[63930] ['9/8', '7/5', '9/4', '5', '5'] -> (5 + 7/5 * 5) / (9/8 / 9/4)
[63931] ['3/8', '5/4', '7/3', '9', '9'] -> 7/3 / (5/4 / 9 - 3/8 / 9)
[63932] ['1/2', '1', '6/5', '4/3', '7'] -> 6/5 * 4/3 * (1 + 7 / 1/2)
[63933] ['2/5', '2/5', '7/3', '6', '6'] -> 6 * (6 + 2/5 - 7/3) - 2/5
[63934] ['1/9', '3/7', '8/9', '4', '8'] -> (8/9 + 8) / (3/7 - 1/9) - 4
[63935] ['2/5', '3/7', '1', '2', '9/4'] -> 9/4 * (2 / (2/5 * 3/7) - 1)
[63936] ['9/8', '7/5', '7/3', '5', '5'] -> 9/8 * (5 + 5 * 7/5 * 7/3)
[63937] ['2/7', '4/7', '5/8', '2', '2'] -> (2/7 + 2 / 2) / (5/8 - 4/7)
[63938] ['1/8', '6/7', '1', '8/3', '6'] -> (1 + 6 / 6/7) / (1/8 * 8/3)
[63939] ['1/9', '5/7', '5/3', '7', '8'] -> 5/3 / 7 * 8 / (1/9 * 5/7)
[63940] ['3/4', '7/9', '1', '5/4', '6'] -> (1 / (7/9 - 3/4) - 6) / 5/4
[63941] ['9/8', '7/5', '5/2', '5', '5'] -> (5 - 7/5) / (9/8 / (5/2 + 5))
[63942] ['3/7', '1', '5/4', '8/5', '9'] -> 1 + 5/4 * 8/5 + 9 / 3/7
[63943] ['1/8', '8/7', '9/7', '7', '7'] -> 7 * (8/7 / 1/8 + 9/7 - 7)
[63944] ['3/4', '7/9', '1', '7/5', '6'] -> 6 / (3/4 / 7/9 - 1 / 7/5)
[63945] ['9/8', '7/6', '7/4', '3', '9'] -> 9 / (3 - (9/8 + 7/4 / 7/6))
[63946] ['2/7', '1/3', '6/5', '5', '8'] -> 8 * (5 / 6/5 - 1/3 / 2/7)
[63947] ['3/7', '1', '5/4', '5/3', '9'] -> (5/4 + 5/3) * (9 - 3/7) - 1
[63948] ['9/8', '7/5', '7/2', '5', '5'] -> (5 + 7/5 / 7/2) / (9/8 / 5)
[63949] ['2/5', '3/7', '5/9', '6', '6'] -> (3/7 + 6) * (2/5 + 5/9 * 6)
[63950] ['1/8', '7/8', '1', '7/6', '6'] -> (1 + 6 / 1/8) / (7/8 + 7/6)
[63951] ['1/8', '8/7', '3/2', '7', '7'] -> (8/7 + 7) / (1/8 + 3/2 / 7)
[63952] ['2/7', '4/7', '6/7', '2', '2'] -> (2 + 4/7 + 6/7) / (2/7 / 2)
[63953] ['3/4', '7/9', '1', '9/5', '6'] -> 7/9 * 6 / (3/4 - 1 / 9/5)
[63954] ['2/5', '3/7', '5/8', '6', '6'] -> 2/5 + 6 / 3/7 + 6 / 5/8
[63955] ['9/8', '3/2', '3/2', '5', '5'] -> (3/2 + 3/2) / (9/8 - 5 / 5)
[63956] ['1/9', '5/7', '7/2', '7', '8'] -> (5/7 + 7) * 8 * 1/9 * 7/2
[63957] ['2/7', '4/7', '7/6', '2', '5'] -> (4/7 + 2 + 5 / 7/6) / 2/7
[63958] ['9/8', '6/5', '5/4', '3', '9'] -> 9 / (3 - (9/8 + 6/5 * 5/4))
[63959] ['1/8', '7/8', '1', '9/5', '6'] -> 6 / (7/8 - (1/8 + 1) / 9/5)
[63960] ['9/8', '3/2', '8/5', '5', '5'] -> 3/2 * 5 * (5 - 9/8 * 8/5)
[63961] ['1/9', '5/7', '9/2', '7', '8'] -> 8 / 7 / (5/7 / 9/2 - 1/9)
[63962] ['3/7', '1', '9/7', '9/5', '9'] -> 9 * (1 + 9/7 / (3/7 * 9/5))
[63963] ['1/2', '1', '5/4', '7/3', '7'] -> 7 / (1/2 * 7/3) / (5/4 - 1)
[63964] ['9/8', '3/2', '5/3', '5', '5'] -> 5 / (5 * (3/2 - 9/8) - 5/3)
[63965] ['2/5', '4/9', '5/9', '1', '2'] -> 5/9 * 2 / (4/9 - 2/5) - 1
[63966] ['1/9', '3/7', '9/5', '4', '8'] -> (4 - 1/9) * 8 * 3/7 * 9/5
[63967] ['2/7', '1/3', '9/5', '5', '8'] -> (1/3 + 5 / 9/5) * (8 - 2/7)
[63968] ['3/8', '9/7', '5/2', '9', '9'] -> (9/7 + 9) * (9 - 5/2 / 3/8)
[63969] ['2/5', '4/9', '4/7', '1', '2'] -> (2 / (4/7 - 2/5) - 1) / 4/9
[63970] ['1/9', '3/7', '9/4', '4', '8'] -> (8 - 4 / 9/4) / (1/9 / 3/7)
[63971] ['3/8', '5/9', '8/5', '4', '9'] -> 3/8 * 8/5 + (4 + 9) / 5/9
[63972] ['2/7', '4/7', '5/3', '2', '5'] -> 4/7 * 2 / (5/3 / 5 - 2/7)
[63973] ['3/8', '9/7', '8/3', '9', '9'] -> 3/8 + 9 * 9 / (9/7 * 8/3)
[63974] ['9/8', '3/2', '5/2', '5', '5'] -> 5 / (5 / (3/2 * 5/2) - 9/8)
[63975] ['2/5', '3/7', '5/6', '6', '6'] -> (6 / 3/7 - 6) / (2/5 * 5/6)
[63976] ['3/4', '4/5', '8/9', '1', '6'] -> 6 / (4/5 + 1) / (8/9 - 3/4)
[63977] ['1/2', '1', '9/7', '7/5', '7'] -> (1 + 9/7) * 7/5 * (1/2 + 7)
[63978] ['1/9', '3/7', '5/2', '4', '8'] -> 3/7 * (5/2 * 8 + 4 / 1/9)
[63979] ['9/8', '3/2', '7/2', '5', '5'] -> (5 * 5 - (3/2 - 7/2)) / 9/8
[63980] ['2/5', '3/7', '7/8', '6', '6'] -> (6 / 2/5 - 6) / (3/7 * 7/8)
[63981] ['1/2', '1', '9/7', '8/5', '7'] -> (1 + 8/5 / 1/2) * (7 - 9/7)
[63982] ['3/7', '1', '4/3', '3/2', '9'] -> 1 + 4/3 * 3/2 + 9 / 3/7
[63983] ['1/8', '8/9', '1', '9/7', '6'] -> ((6 - 1) / 9/7 - 8/9) / 1/8
[63984] ['2/7', '3/5', '3/5', '2', '5'] -> 5 * (3/5 + 2 / (2/7 / 3/5))
[63985] ['1/9', '3/4', '6/5', '7', '8'] -> (7 / 3/4 - 8 / 6/5) / 1/9
[63986] ['1/8', '7/6', '5/4', '7', '7'] -> 7 / 7 / (1/8 + 7/6 - 5/4)
[63987] ['9/8', '8/5', '8/5', '5', '5'] -> 5 * (8/5 + 5 - 9/8 * 8/5)
[63988] ['1/9', '3/4', '5/4', '7', '8'] -> (5/4 / 3/4 - (7 - 8)) / 1/9
[63989] ['2/5', '4/9', '7/9', '1', '2'] -> 1 / (7/9 / (2 - 2/5) - 4/9)
[63990] ['1/8', '7/6', '9/7', '7', '7'] -> (9/7 * 7 - 7 / 7/6) / 1/8
[63991] ['2/7', '4/7', '5/3', '2', '2'] -> 4/7 * 2 / (2 - (2/7 + 5/3))
[63992] ['3/8', '4/7', '3/5', '4', '9'] -> 4/7 * (3/8 + 4) * (3/5 + 9)
[63993] ['1/8', '7/6', '4/3', '7', '7'] -> 7 / 7 / (4/3 - (1/8 + 7/6))
[63994] ['1/2', '1', '9/7', '9/4', '7'] -> (1/2 + 7) / (9/7 - 1) - 9/4
[63995] ['1/8', '8/9', '1', '8/5', '6'] -> 8/5 * (6 + 1 / (1/8 * 8/9))
[63996] ['2/5', '3/7', '6/5', '6', '6'] -> (6 / 3/7 - 6) / (2/5 / 6/5)
[63997] ['9/8', '9/7', '8/5', '3', '9'] -> 9/7 * 8/5 * (9 + 3 / 9/8)
[63998] ['3/7', '1', '4/3', '5/2', '9'] -> 9 / 3/7 / (5/2 / 4/3 - 1)
[63999] ['2/5', '4/9', '5/6', '1', '2'] -> 2 / (5/6 * (1 - 2/5 / 4/9))
[64000] ['1/2', '1', '9/7', '8/3', '7'] -> 9/7 * (8/3 + (1 + 7) / 1/2)
[64001] ['2/7', '3/8', '5/8', '5', '8'] -> 8 / 2/7 - (5 - (3/8 + 5/8))
[64002] ['1/8', '8/9', '1', '5/3', '6'] -> (6 - (1 + 5/3) / 8/9) / 1/8
[64003] ['2/5', '3/7', '5/4', '6', '6'] -> 6 + 5/4 * (2/5 + 6 / 3/7)
[64004] ['3/4', '4/5', '1', '8/3', '6'] -> 8/3 * (6 / (3/4 * 4/5) - 1)
[64005] ['2/7', '4/7', '2', '2', '9/4'] -> 2 / (2 / (2/7 + 4/7) - 9/4)
[64006] ['2/7', '3/8', '2/3', '5', '8'] -> 5 - 2/3 / 2/7 + 8 / 3/8
[64007] ['1/8', '7/6', '8/5', '7', '7'] -> (7 / (1/8 * 8/5) - 7) / 7/6
[64008] ['9/8', '5/3', '7/3', '5', '5'] -> 5 / (9/8 / 5/3 - 7/3 / 5)
[64009] ['1/9', '4/9', '7/5', '4', '8'] -> (7/5 + 4) * 8 * (1/9 + 4/9)
[64010] ['2/5', '4/9', '7/8', '1', '2'] -> 2 / (4/9 - 2/5) / (7/8 + 1)
[64011] ['1/9', '3/4', '8/5', '7', '8'] -> (7 - 8 / 8/5) / (1/9 * 3/4)
[64012] ['2/7', '3/8', '3/4', '5', '8'] -> 8 / (2/7 * 3/4) - 5 / 3/8
[64013] ['3/4', '5/6', '6/7', '1', '6'] -> 6 / 3/4 / (1 / 6/7 - 5/6)
[64014] ['3/7', '1', '7/5', '9/4', '9'] -> 9/4 * (9 + 1 / (3/7 * 7/5))
[64015] ['2/5', '3/7', '5/3', '6', '6'] -> (6 - 2/5) * 6 * 3/7 * 5/3
[64016] ['9/8', '5/3', '7/2', '5', '5'] -> 5 / (5/3 * 7/2 - 9/8 * 5)
[64017] ['2/7', '3/5', '7/8', '2', '5'] -> 5 / (2/7 / 3/5) / (7/8 / 2)
[64018] ['2/7', '3/8', '7/9', '5', '8'] -> (5 / 3/8 - 8) / (2/7 * 7/9)
[64019] ['3/7', '1', '7/5', '8/3', '9'] -> 3/7 + (1 + 8/3) / (7/5 / 9)
[64020] ['1/8', '1', '9/8', '6/5', '6'] -> 6 / (1/8 + 9/8) / (6/5 - 1)
[64021] ['1/8', '7/6', '8/3', '7', '7'] -> (7 + 7 / (1/8 * 8/3)) / 7/6
[64022] ['2/7', '3/5', '5/8', '2', '2'] -> (2 + 2 / 2/7) / (3/5 * 5/8)
[64023] ['2/5', '4/9', '1', '7/6', '2'] -> 1 / (7/6 / (2/5 + 2) - 4/9)
[64024] ['3/4', '5/6', '1', '7/5', '6'] -> 6 / (3/4 * 5/6) / (7/5 - 1)
[64025] ['1/9', '7/9', '4/5', '7', '8'] -> 7 + 7/9 / 1/9 + 8 / 4/5
[64026] ['2/7', '3/8', '5/6', '5', '8'] -> 3/8 * 8 + 5 / (2/7 * 5/6)
[64027] ['2/7', '3/5', '8/7', '2', '5'] -> 8/7 * 2 * 5 / (2/7 / 3/5)
[64028] ['9/8', '7/5', '5/3', '3', '9'] -> 9 / (3 - 5/3 * 9/8 * 7/5)
[64029] ['3/7', '1', '3/2', '5/2', '9'] -> 5/2 - (1 - 3/2) + 9 / 3/7
[64030] ['2/7', '3/5', '7/9', '2', '2'] -> (2 + 2 / 3/5) / (2/7 * 7/9)
[64031] ['1/9', '1/2', '6/5', '4', '8'] -> 6/5 * (4 / 1/9 - 8 / 1/2)
[64032] ['9/8', '7/5', '7/4', '3', '9'] -> 9 / 3 / (7/4 / 7/5 - 9/8)
[64033] ['3/4', '6/7', '8/9', '1', '6'] -> 6 / (1 / 8/9 - 3/4 / 6/7)
[64034] ['2/7', '3/8', '9/8', '5', '8'] -> 5 / 2/7 + 8 - (3/8 + 9/8)
[64035] ['3/8', '7/5', '9/2', '9', '9'] -> 9 + (9 + 9/2 / 3/8) / 7/5
[64036] ['1/2', '1', '7/5', '8/3', '7'] -> 8/3 * (7 / (1/2 * 7/5) - 1)
[64037] ['9/8', '7/4', '8/3', '5', '5'] -> 5 / ((5 - 8/3) / 7/4 - 9/8)
[64038] ['1/9', '7/9', '9/8', '7', '8'] -> (7 + 9/8 * 8) / (7/9 - 1/9)
[64039] ['1/8', '6/5', '4/3', '7', '7'] -> (6/5 * (4/3 + 7) - 7) / 1/8
[64040] ['2/7', '3/8', '6/5', '5', '8'] -> 3/8 * 8 + 5 / (2/7 / 6/5)
[64041] ['9/8', '7/5', '9/4', '3', '9'] -> 9 / (7/5 * (3 - 9/8) - 9/4)
