[1] ['4/7', '3/5', '8/5', '3', '5'] -> 3/5 + 3 * (5 + 8/5 / 4/7)
[1816] ['2/9', '9/5', '9/4', '3', '4'] -> 2/9 * 3 / (9/4 - 4 / 9/5)
[1817] ['1/7', '4/9', '5/6', '3', '7'] -> 3 / (5/6 / (4/9 * 7) - 1/7)
[1818] ['7/9', '9/5', '9/4', '3', '7'] -> 9/4 * (3 / 9/5 + 7 / 7/9)
[1819] ['3/5', '6/7', '9/5', '3', '5'] -> (9/5 + 3 * 5) * 6/7 / 3/5
[1820] ['4/7', '3/5', '2', '8/3', '5'] -> 5 * (2 + 8/3 * 3/5 / 4/7)
[1821] ['4/9', '7/8', '7/3', '3', '3'] -> 3 / (7/3 - (7/8 + 4/9 * 3))
[1822] ['3/7', '5/4', '5/4', '4', '9'] -> 4 - 5/4 / 5/4 + 9 / 3/7
[1823] ['2/9', '3/4', '9/5', '6', '8'] -> 2/9 / (3/4 - 8 / (9/5 * 6))
[1824] ['3/4', '4/5', '9/7', '2', '7'] -> 2 * (3/4 + 7 * 9/7 / 4/5)
[1825] ['1/9', '3/4', '9/7', '3', '5'] -> 3/4 * (5 / (1/9 * 9/7) - 3)
[1826] ['3/7', '5/4', '4/3', '4', '9'] -> 5/4 + (4 + 9) / (3/7 * 4/3)
[1827] ['3/4', '3/2', '9/5', '7', '8'] -> 9/5 / (3/4 * 3/2) * (7 + 8)
[1828] ['2/9', '9/5', '5/2', '3', '4'] -> 3 / (5/2 / (9/5 * 4) - 2/9)
[1829] ['5/6', '8/7', '7/6', '2', '2'] -> 8/7 / (2 / 7/6 - 5/6 * 2)
[1830] ['3/7', '4/9', '1', '5/4', '4'] -> (4 * 5/4 / 3/7 - 1) / 4/9
[1831] ['7/9', '9/5', '3', '7/2', '7'] -> (7 - 3 / 9/5) * 7/2 / 7/9
[1832] ['1/3', '9/8', '6/5', '3', '6'] -> (6 / ((1/3 + 3) * 6/5) - 9/8))
[1833] ['2/9', '7/9', '7/9', '6', '8'] -> 8 / (2/9 * 6 - 7/9 / 7/9)
[1834] ['3/5', '6/7', '5/2', '3', '5'] -> 5 * (5/2 + 3 - 3/5 / 6/7)
[1835] ['3/4', '4/5', '3/2', '2', '7'] -> 3/2 * 2 * (7 / 4/5 - 3/4)
[1836] ['3/4', '3/2', '7/3', '7', '8'] -> (7 + 8) / (3/4 * (7/3 - 3/2))
[1837] ['1/7', '4/9', '7/6', '3', '7'] -> (7 + 7/6 * (1/7 + 3)) / 4/9
[1838] ['2/9', '9/4', '9/4', '3', '4'] -> (3 + 9/4 * 4) / (2/9 * 9/4)
[1839] ['1/3', '9/8', '9/7', '3', '6'] -> (3 + 6 / 1/3) * 9/7 / 9/8
[1840] ['1/8', '1/5', '3/4', '4', '6'] -> 6 / (1/5 * (3/4 + 1/8 * 4))
[1841] ['5/6', '8/7', '5/4', '2', '2'] -> 2 / (8/7 * (2 - 5/6) - 5/4)
[1842] ['1/9', '3/4', '9/5', '3', '5'] -> (3 / 1/9 - 9/5 * 5) / 3/4
[1843] ['3/7', '4/9', '1', '3/2', '4'] -> 4 / (1 - 3/7 * (4/9 + 3/2))
[1844] ['7/9', '9/4', '8/3', '3', '7'] -> 9/4 * 3 * (7 - (7/9 + 8/3))
[1845] ['3/4', '4/5', '9/5', '2', '7'] -> 2 * (9/5 * 7 - 3/4 * 4/5)
[1846] ['5/6', '8/7', '9/7', '2', '2'] -> 2 / (8/7 - (5/6 + 9/7) / 2)
[1847] ['3/7', '5/4', '7/3', '4', '9'] -> (5/4 - 3/7 / 4) * 7/3 * 9
[1848] ['1/7', '4/9', '5/4', '3', '7'] -> 7 * (5/4 * 3 - 1/7 / 4/9)
[1849] ['3/4', '4/5', '2', '9/4', '7'] -> 4/5 * 2 * (9/4 * 7 - 3/4)
[1850] ['2/9', '5/2', '5/2', '3', '4'] -> (5/2 + 3 / 2/9) * (4 - 5/2)
[1851] ['3/7', '5/4', '5/2', '4', '9'] -> 9 / (3/7 * (4 - 5/4 * 5/2))
[1852] ['1/8', '1/5', '6/7', '4', '6'] -> 6/7 * (6 / 1/8 - 4 / 1/5)
[1853] ['3/4', '8/5', '9/2', '7', '8'] -> (7 - 9/2) * 8 * 3/4 * 8/5
[1854] ['7/9', '7/3', '5/2', '3', '7'] -> (7/3 + 7) / (7/9 * (3 - 5/2))
[1855] ['3/5', '7/8', '7/6', '3', '5'] -> 5 * (3/5 + 3) * 7/6 / 7/8
[1856] ['3/7', '5/4', '8/3', '4', '9'] -> 9 + 5/4 * (8/3 + 4 / 3/7)
[1857] ['2/9', '3', '7/2', '7/2', '4'] -> 7/2 * 4 - (7/2 - 3 / 2/9)
[1858] ['3/7', '4/9', '1', '7/4', '4'] -> (4 + 1 / 7/4) / (3/7 * 4/9)
[1859] ['3/4', '4/5', '2', '8/3', '7'] -> (7 / 4/5 - 2) * 8/3 / 3/4
[1860] ['2/9', '4/5', '6/7', '6', '8'] -> 4/5 * 6/7 * (8 + 6 / 2/9)
[1861] ['3/4', '4/5', '2', '7/2', '7'] -> (7/2 * 7 - 2) * 4/5 / 3/4
[1862] ['3/7', '4/9', '1', '9/5', '4'] -> (1 + 9/5) * (4 / 4/9 - 3/7)
[1863] ['4/7', '5/8', '5/4', '2', '5'] -> (5 / 4/7 - 5/4) * 2 / 5/8
[1864] ['3/4', '7/4', '9/5', '7', '8'] -> 9/5 * (8 + 7 / (3/4 * 7/4))
[1865] ['2/9', '4/5', '7/8', '6', '8'] -> 8 * 7/8 / 2/9 - 6 / 4/5
[1866] ['5/6', '8/7', '5/3', '2', '2'] -> 8/7 / (2 / (2 - 5/6) - 5/3)
[1867] ['1/4', '1/4', '7/9', '3', '4'] -> 4 / (3 * (1/4 - 1/4 * 7/9))
[1868] ['3/4', '5/6', '8/9', '2', '7'] -> 7 / (3/4 * (5/6 - 8/9 / 2))
[1869] ['1/8', '1/5', '8/7', '4', '6'] -> 4 + 6 / (1/8 + 1/5 / 8/7)
[1870] ['3/5', '7/8', '5/3', '3', '5'] -> 3/5 / (3 / (5 - 5/3) - 7/8)
[1871] ['3/4', '9/5', '9/5', '7', '8'] -> 9/5 * 7 / (3/4 - 9/5 / 8)
[1872] ['4/9', '8/9', '9/5', '3', '3'] -> (9/5 + 3) * (3 + 8/9 / 4/9)
[1873] ['3/7', '4/9', '1', '8/3', '4'] -> 1 + (4 + 8/3 / 3/7) / 4/9
[1874] ['1/7', '4/9', '9/5', '3', '7'] -> (3 / 9/5 - 1/7) * 7 / 4/9
[1875] ['1/8', '1/4', '5/9', '1', '8'] -> 8 / (5/9 - 1/4 / (1/8 + 1))
[1876] ['1/4', '1/4', '8/7', '3', '4'] -> (3 / (4 * 1/4) - (1/4 / 8/7)))
[1877] ['3/5', '7/8', '7/3', '3', '5'] -> 7/3 * 3 * 5 * 3/5 / 7/8
[1878] ['2/9', '4/5', '8/7', '6', '8'] -> 8 / (2/9 * 8/7) - 6 / 4/5
[1879] ['4/9', '9/8', '9/8', '3', '3'] -> 3 / (4/9 * 9/8 - 9/8 / 3)
[1880] ['1/7', '4/9', '9/4', '3', '7'] -> (1/7 + 4/9 * 9/4) * 3 * 7
[1881] ['4/5', '4/5', '6/5', '3', '7'] -> 6/5 * (3 * 7 - 4/5 / 4/5)
[1882] ['3/4', '5/6', '9/7', '2', '7'] -> 7 * (2 + 9/7 * 5/6 / 3/4)
[1883] ['1/4', '1/4', '9/7', '3', '4'] -> 4 / (3 * (1/4 - 1/4 / 9/7))
[1884] ['1/8', '1/5', '4/3', '4', '6'] -> 1/5 / (4/3 / (4 + 6) - 1/8)
[1885] ['1/3', '7/6', '9/5', '3', '6'] -> (9/5 + 3) * 6 * (7/6 - 1/3)
[1886] ['3/7', '4/9', '1', '4', '9/2'] -> (4 / (9/2 * (4/9 / 3/7)) - 1))
[1887] ['3/7', '4/3', '9/4', '4', '9'] -> (9 + 4/3 * 9/4) / 3/7 - 4
[1888] ['4/5', '4/5', '5/3', '3', '7'] -> 5/3 * 3 * (4/5 * 7 - 4/5)
[1889] ['3/5', '7/8', '3', '7/2', '5'] -> (3 + 3/5 * 5) * 7/2 / 7/8
[1890] ['2/9', '4/5', '9/7', '6', '8'] -> (8 / 4/5 - 6 / 9/7) / 2/9
[1891] ['1/8', '1/4', '7/9', '1', '8'] -> (8 - 1) / (7/9 * (1/8 + 1/4))
[1892] ['3/4', '9/5', '7/2', '7', '8'] -> (8 + 7 / 7/2) * 9/5 / 3/4
[1893] ['5/6', '8/7', '2', '2', '5/2'] -> 2 / (5/6 - 5/2 + 2 / 8/7)
[1894] ['4/9', '9/8', '7/6', '3', '3'] -> 9/8 + (7/6 + 3 * 3) / 4/9
[1895] ['3/7', '1/2', '5/9', '1', '4'] -> 4 / (3/7 * (5/9 + 1) - 1/2)
[1896] ['1/9', '7/9', '5/2', '3', '5'] -> (5 + 7/9 / 1/9) / (3 - 5/2)
[1897] ['4/5', '4/5', '7/4', '3', '7'] -> 3 * ((4/5 + 7) / 4/5 - 7/4)
[1898] ['3/7', '4/3', '5/2', '4', '9'] -> 9 / (5/2 / (3/7 * 4/3) - 4)
[1899] ['1/4', '2/7', '4/9', '3', '4'] -> (4 / ((2/7 * 3) * 4/9) - 1/4))
[1900] ['4/7', '5/8', '7/4', '2', '5'] -> (2 + 4/7 * 7/4) * 5 / 5/8
[1901] ['3/5', '7/8', '3', '9/2', '5'] -> 3 / ((9/2 - 7/8) / 5 - 3/5)
[1902] ['1/7', '4/9', '3', '7/2', '7'] -> (3 / (1/7 * (7/2 / 4/9)) - 7))
[1903] ['5/6', '8/7', '2', '2', '8/3'] -> 2 / (8/3 - (5/6 + 2 / 8/7))
[1904] ['1/8', '1/4', '6/7', '1', '8'] -> (1 - 1/8) * 8 * 6/7 / 1/4
[1905] ['1/3', '6/5', '9/4', '3', '6'] -> 3 / (1/3 * 6 - 9/4 / 6/5)
[1906] ['4/5', '4/5', '5/2', '3', '7'] -> 5/2 * (3 + 7) - 4/5 / 4/5
[1907] ['4/7', '5/8', '9/5', '2', '5'] -> 9/5 / (2 / (4/7 * 5) - 5/8)
[1908] ['2/9', '4/5', '9/4', '6', '8'] -> 9/4 * (2/9 + 6) + 8 / 4/5
[1909] ['3/5', '8/9', '8/7', '3', '5'] -> (3/5 + 5) * (3 + 8/7 / 8/9)
[1910] ['3/7', '7/5', '7/4', '4', '9'] -> 9 / (7/4 - 7/5) - 3/7 * 4
[1911] ['1/8', '1/4', '1', '9/7', '8'] -> 9/7 / (1/8 + 1/4) * (8 - 1)
[1912] ['2/9', '4/5', '7/3', '6', '8'] -> 8 * (7/3 / 2/9 - 6 / 4/5)
[1913] ['1/7', '1/2', '3/5', '3', '7'] -> (3 - 1/7) * 7 * 3/5 / 1/2
[1914] ['1/8', '2/9', '2/5', '4', '6'] -> (4 / 2/9 - 6 / 2/5) / 1/8
[1915] ['1/9', '4/5', '7/8', '3', '5'] -> (4/5 / 1/9 - 3) * 5 / 7/8
[1916] ['3/4', '6/7', '6/7', '2', '7'] -> (6/7 + 6/7 * 2) * 7 / 3/4
[1917] ['5/6', '7/6', '9/7', '2', '2'] -> 2 / (5/6 - 7/6 * 9/7 / 2)
[1918] ['3/7', '1/2', '4/5', '1', '4'] -> 1 / (3/7 / 4/5 - 1/2) - 4
[1919] ['1/8', '2/9', '3/7', '4', '6'] -> 2/9 * (6 / (1/8 * 3/7) - 4)
[1920] ['4/5', '5/6', '9/8', '3', '7'] -> 7 / (4/5 * 5/6 - 9/8 / 3)
[1921] ['3/7', '7/5', '8/3', '4', '9'] -> 8/3 / (3/7 - 4 / (7/5 * 9))
[1922] ['2/9', '4/5', '7/2', '6', '8'] -> 8 / (2/9 * 4/5) - 7/2 * 6
[1923] ['1/7', '1/2', '7/9', '3', '7'] -> (3 / 1/7 - 7 / 7/9) / 1/2
[1924] ['1/3', '9/7', '8/5', '3', '6'] -> 8/5 * 3 * (1/3 + 6 / 9/7)
[1925] ['7/9', '7/9', '7/9', '7', '8'] -> 7 * 8 / (7/9 + 7/9 + 7/9)
[1926] ['4/7', '5/8', '2', '9/2', '5'] -> 4/7 * (5/8 + 2) + 9/2 * 5
[1927] ['1/7', '1/2', '4/5', '3', '7'] -> 7 * ((1/7 + 3) / 4/5 - 1/2)
[1928] ['1/9', '4/5', '8/7', '3', '5'] -> 8/7 * 5 * (4/5 / 1/9 - 3)
[1929] ['1/4', '2/7', '8/9', '3', '4'] -> (3 / 2/7 - 4 / 8/9) / 1/4
[1930] ['1/3', '9/7', '9/5', '3', '6'] -> (9/5 + 3) * (1/3 + 6 / 9/7)
[1931] ['3/7', '1/2', '1', '9/8', '4'] -> (4 / (3/7 * (1 / 9/8)) - 1/2))
[1932] ['5/6', '7/6', '9/5', '2', '2'] -> (2 / (5/6 * (7/6 * 9/5)) - 2))
[1933] ['1/8', '2/9', '3/5', '4', '6'] -> (4 / 3/5 - 6) / (1/8 * 2/9)
[1934] ['1/8', '2/7', '2/5', '1', '8'] -> (8 + 1 / 2/5) * 2/7 / 1/8
[1935] ['1/9', '4/5', '7/6', '3', '5'] -> 4/5 / (1/9 - 7/6 / 3 *
)[1936] ['4/7', '2/3', '7/9', '2', '5'] -> (2/3 + 2 * 5) / (4/7 * 7/9)
[1937] ['3/5', '8/9', '7/5', '3', '5'] -> 5 / (3/5 / 8/9 - 7/5 / 3)
[1938] ['7/9', '7/9', '5/6', '7', '8'] -> (7/9 / (7/9 * (7 / 8)) - 5/6))
[1939] ['5/6', '7/6', '2', '2', '7/3'] -> 2 / (7/6 / 7/3 - 5/6 / 2)
[1940] ['1/4', '2/7', '6/5', '3', '4'] -> 3 / (1/4 * 6/5) + 4 / 2/7
[1941] ['4/7', '2/3', '4/5', '2', '5'] -> 4/5 / (2 / (4/7 * 5) - 2/3)
[1942] ['3/5', '8/9', '3/2', '3', '5'] -> 8/9 * 3/2 * 5 * (3/5 + 3)
[1943] ['5/6', '7/6', '2', '2', '5/2'] -> 2 / (7/6 * 5/2 - (5/6 + 2))
[1944] ['7/9', '7/9', '6/7', '7', '8'] -> 7/9 / (7/9 / 6/7 - 7 / 8)
[1945] ['4/9', '9/8', '9/5', '3', '3'] -> 3 / (9/5 * (4/9 - 9/8 / 3))
[1946] ['1/9', '4/5', '9/7', '3', '5'] -> 5 * (4/5 + 9/7 * (1/9 + 3))
[1947] ['4/7', '2/3', '5/6', '2', '5'] -> 4/7 / (5/6 - 2/3) * (2 + 5)
[1948] ['3/7', '1/2', '1', '7/5', '4'] -> 4 / (1 - 1/2 / (3/7 * 7/5))
[1949] ['1/8', '2/9', '4/5', '4', '6'] -> 4/5 * (6 / 1/8 - 4 / 2/9)
[1950] ['1/7', '1/2', '8/5', '3', '7'] -> 3 / (7 * 1/7 / 8/5 - 1/2)
[1951] ['3/4', '6/7', '8/5', '2', '7'] -> (6/7 + 2) * 7 * 3/4 * 8/5
[1952] ['7/9', '7/9', '7/8', '7', '8'] -> 7 + (7/9 + 7/8) * 8 / 7/9
[1953] ['4/9', '9/8', '9/4', '3', '3'] -> (9/4 + 3 / 4/9) * 3 / 9/8
[1954] ['3/7', '3/2', '8/3', '4', '9'] -> 3/2 + 4 / 8/3 + 9 / 3/7
[1955] ['1/9', '4/5', '7/4', '3', '5'] -> (7/4 + 5 / 4/5) / (1/9 * 3)
[1956] ['2/9', '5/6', '7/5', '6', '8'] -> 8 * (7/5 + 6 * 2/9 / 5/6)
[1957] ['3/5', '8/9', '9/4', '3', '5'] -> (3 - 3/5) * 5 * 8/9 * 9/4
[1958] ['1/3', '7/5', '3/2', '3', '6'] -> (3/2 + 6) * 3 * (7/5 - 1/3)
[1959] ['1/8', '2/9', '6/5', '4', '6'] -> (4 + 6) / (6/5 * (1/8 + 2/9))
[1960] ['7/9', '7/9', '9/8', '7', '8'] -> 7 + 8 * (9/8 + 7/9 / 7/9)
[1961] ['3/7', '8/5', '7/4', '4', '9'] -> 3/7 * (9 / (7/4 - 8/5) - 4)
[1962] ['4/9', '8/7', '7/6', '3', '3'] -> 8/7 / (3 - (4/9 + 3) / 7/6)
[1963] ['1/7', '1/2', '9/4', '3', '7'] -> 3 / (1/2 * 9/4 - 1/7 * 7)
[1964] ['4/7', '2/3', '9/8', '2', '5'] -> 2 * (5 / (4/7 * 2/3) - 9/8)
[1965] ['4/5', '6/7', '6/7', '3', '7'] -> 3 * (6/7 / (6/7 - 4/5) - 7)
[1966] ['1/3', '7/5', '9/4', '3', '6'] -> 9/4 * (6 + 7/5 * (1/3 + 3))
[1967] ['1/4', '1/3', '5/7', '3', '4'] -> 1/3 / (1/4 - 5/7 / 3) - 4
[1968] ['1/7', '5/9', '5/9', '3', '7'] -> (1/7 + 5/9 / 5/9) * 3 * 7
[1969] ['1/9', '4/5', '3', '7/2', '5'] -> (3 / 1/9 - 5) / 4/5 - 7/2
[1970] ['4/7', '2/3', '8/7', '2', '5'] -> 8/7 * 5 / (4/7 - 2/3 / 2)
[1971] ['3/4', '7/8', '6/5', '2', '7'] -> 6/5 * 7 * (2 + 3/4 / 7/8)
[1972] ['2/9', '6/7', '8/9', '6', '8'] -> 8 * (6 / 6/7 - 8/9 / 2/9)
[1973] ['3/5', '9/8', '8/7', '3', '5'] -> (3/5 + 5) * (3 + 9/8 * 8/7)
[1974] ['1/3', '7/5', '8/3', '3', '6'] -> (3 + 7/5 / 1/3) * (6 - 8/3)
[1975] ['3/7', '5/9', '5/9', '1', '4'] -> 4 / (5/9 - 5/9 / (3/7 + 1))
[1976] ['5/6', '6/5', '3/2', '2', '2'] -> 2 / (5/6 - 2 + 3/2 / 6/5)
[1977] ['7/9', '7/9', '5/4', '7', '8'] -> 7/9 + 7 + 8 * (7/9 + 5/4)
[1978] ['4/7', '2/3', '6/5', '2', '5'] -> (2/3 + 6/5) * 5 * (4/7 + 2)
[1979] ['4/9', '8/7', '9/7', '3', '3'] -> (8/7 / (3 * 4/9) - (9/7 / 3)))
[1980] ['1/7', '5/9', '5/8', '3', '7'] -> 3 / (5/8 / 5/9 - 1/7 * 7)
[1981] ['3/4', '7/8', '9/5', '2', '7'] -> (2 + 7 / 7/8) * 9/5 / 3/4
[1982] ['7/9', '7/9', '9/7', '7', '8'] -> 8 + 7 * (9/7 + 7/9 / 7/9)
[1983] ['4/7', '2/3', '5/4', '2', '5'] -> 5 / (5/4 / (2 - 4/7) - 2/3)
[1984] ['5/6', '6/5', '5/3', '2', '2'] -> 2 / ((5/6 + 5/3) / 6/5 - 2)
[1985] ['1/8', '2/7', '1', '7/6', '8'] -> (1 + 8) * 7/6 * 2/7 / 1/8
[1986] ['3/7', '8/5', '4', '9/2', '9'] -> 9 / (9/2 / (8/5 + 4) - 3/7)
[1987] ['3/7', '5/9', '2/3', '1', '4'] -> 2/3 / (1 / (3/7 * 4) - 5/9)
[1988] ['1/9', '5/6', '8/7', '3', '5'] -> 8/7 * (3 / 1/9 - 5 / 5/6)
[1989] ['3/7', '5/9', '5/7', '1', '4'] -> (4 + 5/7 + 1) / (3/7 * 5/9)
[1990] ['4/5', '6/7', '5/4', '3', '7'] -> 6/7 * 7 * (3 + 4/5 * 5/4)
[1991] ['1/3', '8/5', '3', '7/2', '6'] -> 8/5 * 6 * (7/2 - 1/3 * 3)
[1992] ['4/7', '2/3', '8/5', '2', '5'] -> (2 + 5 * 8/5 / 4/7) / 2/3
[1993] ['1/8', '1/4', '5/7', '4', '6'] -> 6 / (5/7 - 1/8 / 1/4) - 4
[1994] ['2/9', '6/7', '8/5', '6', '8'] -> (8 / 6/7 - 6) * 8/5 / 2/9
[1995] ['1/9', '5/6', '9/7', '3', '5'] -> 5 * (1/9 + 3) * 9/7 / 5/6
[1996] ['3/4', '8/9', '5/4', '2', '7'] -> 2 * 7 / (5/4 - 3/4 * 8/9)
[1997] ['1/7', '5/9', '4/5', '3', '7'] -> (3 - 1/7 / 5/9) * 7 / 4/5
[1998] ['3/5', '9/8', '3', '9/2', '5'] -> (3 + 3/5 * 5) * 9/2 / 9/8
[1999] ['4/5', '6/7', '5/3', '3', '7'] -> 5/3 * 3 * 7 * 4/5 * 6/7
[2000] ['4/7', '2/3', '2', '7/3', '5'] -> 7/3 * (4/7 + 2 * 5) - 2/3
[2001] ['4/9', '8/7', '7/3', '3', '3'] -> 8/7 / (4/9 * 3 - 3 / 7/3)
[2002] ['3/5', '8/7', '7/6', '3', '5'] -> 8/7 * 7/6 * 5 * (3/5 + 3)
[2003] ['4/5', '6/7', '7/4', '3', '7'] -> 6/7 * (7/4 + 7 * 3 / 4/5)
[2004] ['3/4', '8/9', '8/5', '2', '7'] -> 8/5 * (7 * 2 / 8/9 - 3/4)
[2005] ['7/9', '4/5', '6/7', '7', '8'] -> (7 + 8 / (4/5 * 6/7)) / 7/9
[2006] ['3/7', '5/9', '8/9', '1', '4'] -> 4 * (8/9 / (5/9 - 3/7) - 1)
[2007] ['3/5', '8/7', '5/4', '3', '5'] -> 8/7 * 5/4 * 3 * (3/5 + 5)
[2008] ['1/8', '1/4', '9/5', '4', '6'] -> 4 / (6 * 1/8 / 9/5 - 1/4)
[2009] ['1/7', '5/9', '9/8', '3', '7'] -> 7 * (5/9 + 3 - 1/7 / 9/8)
[2010] ['5/6', '5/4', '2', '2', '8/3'] -> 2 / (2 / 8/3 - 5/6 / 5/4)
[2011] ['4/9', '8/7', '8/3', '3', '3'] -> 8/7 * (3 + 3 * 8/3 / 4/9)
[2012] ['3/4', '8/9', '7/4', '2', '7'] -> 8/9 * (3/4 + 7 * (7/4 + 2))
[2013] ['5/6', '5/4', '2', '2', '7/2'] -> 2 / ((7/2 - 5/6) / 2 - 5/4)
[2014] ['1/8', '2/7', '1', '9/2', '8'] -> 8 / 2/7 - 9/2 / (1/8 + 1)
[2015] ['3/5', '8/7', '4/3', '3', '5'] -> 8/7 * 3 * (5 / 3/5 - 4/3)
[2016] ['3/7', '9/5', '8/3', '4', '9'] -> (9/5 + 9) * (8/3 / 3/7 - 4)
[2017] ['1/7', '5/9', '8/7', '3', '7'] -> (7 + 8/7 / 1/7) / 5/9 - 3
[2018] ['1/8', '2/7', '1/3', '4', '6'] -> (6 * 1/3 / 2/7 - 4) / 1/8
[2019] ['2/9', '7/8', '6/5', '6', '8'] -> 6/5 * (6 / 2/9 - 7/8 * 8)
[2020] ['3/4', '8/9', '9/5', '2', '7'] -> 9/5 * (2 * 7 - 3/4 * 8/9)
[2021] ['5/6', '9/7', '4/3', '2', '2'] -> 4/3 / (5/6 - 2 / (9/7 * 2))
[2022] ['4/9', '8/7', '3', '3', '7/2'] -> 3 * 7/2 * 8/7 / 4/9 - 3
[2023] ['4/5', '6/7', '8/3', '3', '7'] -> 7 * (3 / 4/5 - 6/7 / 8/3)
[2024] ['3/7', '9/5', '4', '9/2', '9'] -> (9/5 - 3/7) * (9 + 4 + 9/2)
[2025] ['3/4', '8/9', '2', '7/3', '7'] -> (7/3 + 7) * 2 / 3/4 - 8/9
[2026] ['1/7', '5/9', '5/4', '3', '7'] -> 5/4 * 7 * (3 - 1/7 / 5/9)
[2027] ['1/4', '2/5', '5/7', '3', '4'] -> 3 / (5/7 * (2/5 - 1/4)) - 4
[2028] ['4/7', '5/7', '6/7', '2', '5'] -> (2 + 4/7 + 6/7) * 5 / 5/7
[2029] ['3/8', '2/5', '4/9', '3', '6'] -> (3/8 + 3) * (6 + 4/9 / 2/5)
[2030] ['4/9', '7/6', '6/5', '3', '3'] -> 3 / (7/6 / 4/9 - 3 / 6/5)
[2031] ['3/5', '8/7', '7/4', '3', '5'] -> (3 - 3/5) * 5 * 8/7 * 7/4
[2032] ['4/5', '7/8', '8/9', '3', '7'] -> (7 / ((7/8 - 4/5) * 8/9) + 3))
[2033] ['2/9', '7/8', '8/5', '6', '8'] -> 6 / (2/9 * 8/5) - (7/8 - 8)
[2034] ['7/9', '4/5', '7/6', '7', '8'] -> (7 + 8 * 7/6 / 4/5) / 7/9
[2035] ['1/7', '5/9', '3/2', '3', '7'] -> (3 - 1/7) * 7 / (5/9 * 3/2)
[2036] ['4/9', '7/6', '5/4', '3', '3'] -> 3 / (7/6 * 5/4 - 4/9 * 3)
[2037] ['3/8', '2/5', '4/7', '3', '6'] -> 3/8 + (6 + 3 / 2/5) / 4/7
[2038] ['1/8', '2/7', '3/5', '4', '6'] -> 2/7 * (4 + 6 / (1/8 * 3/5))
[2039] ['4/9', '7/6', '9/7', '3', '3'] -> (3 / (7/6 * 3) - (9/7 / 4/9)))
[2040] ['1/4', '2/5', '7/8', '3', '4'] -> 4 * ((3 - 1/4) / 2/5 - 7/8)
[2041] ['4/7', '5/7', '7/6', '2', '5'] -> 4/7 * 5 / (2 - (5/7 + 7/6))
[2042] ['3/5', '8/7', '7/3', '3', '5'] -> 7/3 * 3 * 5 * 3/5 * 8/7
[2043] ['2/9', '7/8', '9/5', '6', '8'] -> (8 - 6 / 9/5) / (2/9 * 7/8)
[2044] ['1/7', '5/9', '9/5', '3', '7'] -> (1/7 + 5/9 * 9/5) * 3 * 7
[2045] ['4/5', '7/8', '7/6', '3', '7'] -> 3 * (7 / 4/5 - 7/8 / 7/6)
[2046] ['1/9', '6/7', '4/3', '3', '5'] -> (6/7 + 3) * (5 - (1/9 - 4/3))
[2047] ['1/4', '2/5', '8/9', '3', '4'] -> 4 / (2/5 - 1/4) - 8/9 * 3
[2048] ['2/9', '7/8', '5/2', '6', '8'] -> (8 / 2/9 - 5/2 * 6) / 7/8
[2049] ['3/7', '5/9', '1', '8/5', '4'] -> (4 / 3/7 - 1) * 8/5 / 5/9
[2050] ['4/7', '5/7', '4/3', '2', '5'] -> 5 * (4/7 + 2) * 4/3 / 5/7
[2051] ['1/7', '5/9', '9/4', '3', '7'] -> 9/4 * 7 * (5/9 * 3 - 1/7)
[2052] ['3/4', '9/8', '8/5', '2', '7'] -> 8/5 * (7 * 9/8 * 2 - 3/4)
[2053] ['5/6', '9/7', '2', '2', '9/4'] -> 2 / (9/4 / 9/7 - 5/6 * 2)
[2054] ['1/9', '6/7', '7/5', '3', '5'] -> 7/5 * ((5 - 3) / 1/9 - 6/7)
[2055] ['2/9', '7/8', '8/3', '6', '8'] -> (8 + 8/3 - 6) / (2/9 * 7/8)
[2056] ['4/7', '5/7', '7/5', '2', '5'] -> 5 * (4/7 + 2 * (5/7 + 7/5))
[2057] ['3/5', '8/7', '3', '7/2', '5'] -> 8/7 * 7/2 * (3 + 3/5 * 5)
[2058] ['1/8', '2/7', '8/9', '4', '6'] -> (6 + 4 / 8/9) * 2/7 / 1/8
[2059] ['1/4', '2/5', '9/7', '3', '4'] -> (9/7 + 3) * (4 + 2/5 / 1/4)
[2060] ['7/9', '4/5', '7/5', '7', '8'] -> (7/5 / (7/9 * (7 / 8)) - 4/5))
[2061] ['2/9', '8/9', '9/8', '6', '8'] -> 8 / (2/9 * 6 - 8/9 * 9/8)
[2062] ['1/9', '6/7', '5/3', '3', '5'] -> (3 / 1/9 - 5) / 6/7 - 5/3
[2063] ['3/4', '8/7', '6/5', '2', '7'] -> 6/5 * 7 * (2 + 3/4 * 8/7)
[2064] ['7/9', '4/5', '3/2', '7', '8'] -> 7 / 7/9 + 8 * 3/2 / 4/5
[2065] ['3/8', '2/5', '7/6', '3', '6'] -> 3 / (7/6 - 2/5 / 3/8) - 6
[2066] ['5/6', '9/7', '2', '2', '8/3'] -> 8/3 / (5/6 * 2 - 2 / 9/7)
[2067] ['4/9', '4/9', '4/7', '4', '9'] -> 9 * (4 * 4/9 / 4/7 - 4/9)
[2068] ['1/7', '5/9', '3', '9/2', '7'] -> 9/2 * (3 + 5/9 / 1/7) - 7
[2069] ['3/5', '7/6', '5/4', '3', '5'] -> (3 + 5) / (7/6 / 5/4 - 3/5)
