[89506] ['2/9', '2/9', '5/3', '6', '9'] -> 5/3 * (6 + 9) - 2/9 / 2/9
[90653] ['1/6', '5/7', '8/5', '6', '7'] -> (7 - 8/5) / 1/6 - 6 / 5/7
[90654] ['4/7', '7/8', '9/8', '5', '9'] -> (5 / 7/8 + 9 / 9/8) / 4/7
[90655] ['1/5', '4/7', '3', '7/2', '9'] -> (3 + 9 / 1/5) / (4/7 * 7/2)
[90656] ['1/2', '8/9', '5/2', '4', '4'] -> (4 * 4 - 5/2) * 8/9 / 1/2
[90657] ['7/6', '8/5', '7/2', '8', '8'] -> 8 / (8 / 8/5 - (7/6 + 7/2))
[90658] ['1/3', '3/4', '6/7', '1', '3'] -> 1 / (1/3 - 3/4 / 6/7 *
)[90659] ['5/9', '8/7', '8/5', '2', '4'] -> 8/5 / (8/7 / 5/9 - 2) - 4
[90660] ['2/9', '5/6', '6/5', '6', '9'] -> (9 / 6/5 - 5/6) / 2/9 - 6
[90661] ['4/7', '7/8', '6/5', '5', '9'] -> 6/5 * 5 + 9 / (4/7 * 7/8)
[90662] ['9/5', '9/5', '9/5', '5', '8'] -> 8 * (5 - (9/5 + 9/5) / 9/5)
[90663] ['1/2', '8/9', '7/2', '4', '4'] -> (7/2 + 4 + 4 / 8/9) / 1/2
[90664] ['1/9', '1/4', '1', '8/5', '3'] -> 1 / (1/4 - 3 * 1/9 / 8/5)
[90665] ['1/3', '3/4', '1', '8/7', '3'] -> 1 / (1/3 / 8/7 - 3/4 / 3)
[90666] ['2/9', '5/6', '9/7', '6', '9'] -> (6 / 2/9 - 9 / 9/7) / 5/6
[90667] ['1/6', '5/7', '9/4', '6', '7'] -> 5/7 * 7 / (9/4 / 6 - 1/6)
[90668] ['9/5', '9/5', '9/4', '5', '8'] -> 9/4 * 8 + 5 + 9/5 / 9/5
[90669] ['1/2', '9/8', '8/7', '4', '4'] -> 8/7 * (1/2 + 4 * (9/8 + 4))
[90670] ['1/8', '6/7', '1', '1', '7/4'] -> (1 + 1) * 7/4 * 6/7 / 1/8
[90671] ['1/7', '6/7', '1', '7/5', '2'] -> (6/7 + 2) * (7/5 + 1 / 1/7)
[90672] ['2/9', '5/6', '7/5', '6', '9'] -> 5/6 * (6 * 7/5 / 2/9 - 9)
[90673] ['5/7', '4/5', '1', '8/5', '5'] -> 5 * (8/5 / (1 - 5/7) - 4/5)
[90674] ['4/7', '7/8', '9/7', '5', '9'] -> (5 + 9 / 9/7) / (4/7 * 7/8)
[90675] ['1/2', '9/8', '7/6', '4', '4'] -> 4 / (1/2 / 4 - (9/8 - 7/6))
[90676] ['1/8', '7/9', '9/7', '5', '6'] -> (9/7 / (1/8 * (5 / 7/9)) - 6))
[90677] ['1/9', '1/4', '1', '3', '7/2'] -> (3 / ((1/9 * 1/4) * 1) + 7/2))
[90678] ['1/3', '3/4', '1', '4/3', '3'] -> (4/3 + 1 / 3/4) * 3 / 1/3
[90679] ['1/5', '5/8', '5/7', '3', '9'] -> 5/8 * 3 * (1/5 + 9 / 5/7)
[90680] ['4/7', '7/8', '4/3', '5', '9'] -> 4/3 / (5 / 9 - 4/7 * 7/8)
[90681] ['2/9', '5/6', '9/5', '6', '9'] -> (9 + 6 / 2/9) / (5/6 * 9/5)
[90682] ['1/6', '5/7', '7/2', '6', '7'] -> (6 / (1/6 * (5/7 * 7)) - 7/2))
[90683] ['2/9', '8/7', '9/5', '5', '7'] -> 8/7 * 7 * (2/9 + 5 / 9/5)
[90684] ['9/5', '9/4', '9/4', '5', '8'] -> (9/5 * 5 - 9/4) * 8 / 9/4
[90685] ['1/2', '9/8', '9/7', '4', '4'] -> (1/2 + 4) / (9/7 - 9/8) - 4
[90686] ['4/7', '7/8', '7/5', '5', '9'] -> 9 / (5 * (7/8 - 4/7 * 7/5))
[90687] ['1/9', '2/7', '2/5', '1', '3'] -> 1 / (1/9 * 2/7) - 3 / 2/5
[90688] ['7/6', '7/4', '9/5', '8', '8'] -> 9/5 * (8 + 8 * 7/6 / 7/4)
[90689] ['1/6', '5/7', '9/2', '6', '7'] -> (6 / (7 * (1/6 * 9/2)) - 5/7))
[90690] ['1/2', '9/8', '7/5', '4', '4'] -> (7/5 + 4) * (4 + 1/2 / 9/8)
[90691] ['1/8', '7/8', '7/8', '1', '1'] -> (7/8 / 7/8 + 1 + 1) / 1/8
[90692] ['9/5', '9/4', '7/2', '5', '8'] -> 7/2 * 8 - 5 * 9/5 / 9/4
[90693] ['7/6', '7/4', '5/2', '8', '8'] -> 8 * (5/2 + 7/4 / 7/6) - 8
[90694] ['2/9', '8/7', '5/2', '5', '7'] -> 8/7 + 5/2 / 7 + 5 / 2/9
[90695] ['1/5', '5/8', '6/7', '3', '9'] -> 9 / (3 / 6/7 - 5/8 / 1/5)
[90696] ['1/2', '9/8', '8/5', '4', '4'] -> 4 * 4 / (9/8 - 1/2) - 8/5
[90697] ['1/8', '7/9', '7/4', '5', '6'] -> (5 / 7/9 - 6 / 7/4) / 1/8
[90698] ['1/8', '7/8', '8/9', '1', '1'] -> (7/8 + 1 + 1 / 8/9) / 1/8
[90699] ['9/5', '7/3', '7/3', '5', '8'] -> 8 / (5 * (7/3 - 9/5) - 7/3)
[90700] ['5/9', '8/7', '2', '8/3', '4'] -> (4 - 8/7) * (2 + 8/3) / 5/9
[90701] ['7/6', '7/4', '9/2', '8', '8'] -> 9/2 * 8 - 8 * 7/4 / 7/6
[90702] ['4/7', '7/8', '5/3', '5', '9'] -> (9 + 5 / 5/3) / (4/7 * 7/8)
[90703] ['1/6', '3/4', '8/7', '6', '7'] -> (6 + 8/7 * 7) / (3/4 - 1/6)
[90704] ['1/8', '7/8', '1', '1', '8/7'] -> (7/8 * 8/7 + 1 + 1) / 1/8
[90705] ['2/9', '8/7', '9/2', '5', '7'] -> (8/7 - 2/9) * 9/2 * 7 - 5
[90706] ['1/8', '7/9', '9/5', '5', '6'] -> (6 / (1/8 * (5 / 9/5)) - 7/9))
[90707] ['9/5', '7/3', '5/2', '5', '8'] -> 9/5 * 5/2 * (8 + 7/3 - 5)
[90708] ['2/9', '6/7', '8/9', '6', '9'] -> (9 + 6 / 6/7) / (8/9 - 2/9)
[90709] ['1/5', '5/8', '7/6', '3', '9'] -> 9 / (7/6 * 3 - 5/8 / 1/5)
[90710] ['1/7', '7/8', '1', '6/5', '2'] -> (7/8 + 1) * (2 / 1/7 - 6/5)
[90711] ['7/6', '9/5', '9/4', '8', '8'] -> (8 + 8 / 9/5) * 9/4 / 7/6
[90712] ['2/9', '7/6', '6/5', '5', '7'] -> 5 * 7 / (2/9 + 7/6) - 6/5
[90713] ['1/8', '7/8', '1', '1', '9/7'] -> (1 + 7/8 * (1 + 9/7)) / 1/8
[90714] ['7/6', '9/5', '7/3', '8', '8'] -> 7/6 * 9/5 * (8 + 8 / 7/3)
[90715] ['1/9', '2/7', '3/4', '1', '3'] -> (1 / (1/9 * 3) - (3/4 / 2/7)))
[90716] ['1/8', '7/9', '7/2', '5', '6'] -> (5 - 7/2 / 7/9) * 6 / 1/8
[90717] ['4/7', '7/8', '7/3', '5', '9'] -> 7/3 / (5 / (4/7 * 9) - 7/8)
[90718] ['5/9', '7/6', '5/4', '2', '4'] -> 7/6 * 4 / (2 - (5/9 + 5/4))
[90719] ['1/3', '7/9', '1', '5/4', '3'] -> 3 / (5/4 / (1/3 + 7/9) - 1)
[90720] ['1/8', '7/8', '1', '1', '7/5'] -> (1 + 1 / 7/8) * 7/5 / 1/8
[90721] ['2/9', '6/7', '6/5', '6', '9'] -> 6 / (2/9 * 6/7) - 9 / 6/5
[90722] ['1/6', '3/4', '9/2', '6', '7'] -> 9/2 * (7 - 1/6) - (3/4 + 6)
[90723] ['1/8', '7/8', '1', '1', '5/3'] -> (7/8 + 1) * 5/3 / 1/8 - 1
[90724] ['1/7', '7/8', '1', '8/5', '2'] -> 8/5 * (2 / (1/7 * 7/8) - 1)
[90725] ['7/6', '9/5', '9/2', '8', '8'] -> (8 + 8 * 9/2 / 9/5) / 7/6
[90726] ['4/7', '7/8', '9/2', '5', '9'] -> 9 / (7/8 * (4/7 + 5) - 9/2)
[90727] ['5/7', '5/6', '8/9', '1', '5'] -> (5 / (5/7 * (1 / 8/9)) - 5/6))
[90728] ['1/3', '7/9', '1', '4/3', '3'] -> 4/3 / (7/9 / (3 - 1) - 1/3)
[90729] ['1/2', '8/7', '8/3', '4', '4'] -> (8/7 + 4) * (8/3 + 1/2 * 4)
[90730] ['5/9', '7/6', '7/4', '2', '4'] -> 2 / (5/9 * (4 - 7/4) - 7/6)
[90731] ['1/8', '4/5', '6/7', '5', '6'] -> (6 / 6/7 - 4/5 * 5) / 1/8
[90732] ['1/5', '5/8', '3', '7/2', '9'] -> 9 / (7/2 - (3 + 1/5 * 5/8))
[90733] ['5/7', '5/6', '1', '7/6', '5'] -> (1 + 5 / 5/7) / (7/6 - 5/6)
[90734] ['1/9', '2/7', '8/9', '1', '3'] -> 8/9 / (1/9 * 2/7) - (1 + 3)
[90735] ['3/8', '7/6', '8/5', '3', '8'] -> 8 / (3 / 8/5 - (3/8 + 7/6))
[90736] ['2/9', '7/6', '7/4', '5', '7'] -> 7 / 2/9 - 5 * 7/4 / 7/6
[90737] ['1/2', '7/6', '6/5', '4', '4'] -> 4 * (4 + 6/5 * (1/2 + 7/6))
[90738] ['1/8', '7/8', '1', '1', '7/3'] -> (1 + 1 / 1/8) * 7/3 / 7/8
[90739] ['1/9', '2/7', '1', '9/8', '3'] -> 1 / (3 * 1/9 / 2/7 - 9/8)
[90740] ['1/3', '7/9', '1', '8/5', '3'] -> 8/5 * (1/3 + 3) / (1 - 7/9)
[90741] ['1/7', '7/8', '1', '2', '8/3'] -> (2 / 7/8 - 1) * 8/3 / 1/7
[90742] ['7/6', '5/2', '5/2', '8', '8'] -> (8 + 8 / 5/2) * 5/2 / 7/6
[90743] ['5/9', '7/6', '2', '7/2', '4'] -> (4 + 2 * (7/6 + 7/2)) / 5/9
[90744] ['1/2', '7/6', '7/5', '4', '4'] -> (4 + 4) / (7/6 / 7/5 - 1/2)
[90745] ['1/8', '7/8', '1', '1', '9/2'] -> ((9/2 - 1) / 7/8 - 1) / 1/8
[90746] ['1/5', '2/3', '6/7', '3', '9'] -> 2/3 * 6/7 * (9 / 1/5 - 3)
[90747] ['4/7', '8/9', '7/6', '5', '9'] -> 5 / 8/9 + 9 * 7/6 / 4/7
[90748] ['5/7', '5/6', '1', '5/4', '5'] -> (5 / (5/4 * (5/6 / 5/7)) - 1))
[90749] ['5/9', '6/5', '6/5', '2', '4'] -> 4 * (6/5 + 6/5 + 2 / 5/9)
[90750] ['7/6', '5/2', '9/2', '8', '8'] -> 8 / (5/2 * (9/2 - 7/6) - 8)
[90751] ['1/6', '7/9', '9/8', '6', '7'] -> (6 / 1/6 - 7 / 7/9) / 9/8
[90752] ['9/2', '9/2', '9/2', '5', '8'] -> 8 * (5 - (9/2 + 9/2) / 9/2)
[90753] ['1/8', '8/9', '1', '1', '9/8'] -> (8/9 * 9/8 + 1 + 1) / 1/8
[90754] ['5/7', '5/6', '1', '9/7', '5'] -> (5/7 + 5) / (5/6 * (9/7 - 1))
[90755] ['1/5', '2/3', '7/8', '3', '9'] -> (2/3 * 9 + 3 / 1/5) / 7/8
[90756] ['3/8', '6/5', '9/7', '3', '8'] -> (3 / 9/7 + 8 / 6/5) / 3/8
[90757] ['1/9', '1/9', '1/9', '5', '9'] -> 9 + 5 / (1/9 + 1/9 + 1/9)
[90758] ['5/9', '6/5', '9/7', '2', '4'] -> 4 / (2 - (5/9 + 9/7)) - 6/5
[90759] ['1/6', '7/9', '8/7', '6', '7'] -> 8/7 * (6 * 7/9 / 1/6 - 7)
[90760] ['2/9', '7/6', '5/2', '5', '7'] -> (7 - (7/6 + 5/2 / 5)) / 2/9
[90761] ['4/7', '8/9', '5/4', '5', '9'] -> 5/4 + (5 + 8/9 * 9) / 4/7
[90762] ['1/5', '2/3', '8/7', '3', '9'] -> 8/7 * (2/3 * 9 + 3 / 1/5)
[90763] ['1/9', '2/7', '1', '7/5', '3'] -> (1 / 1/9 - 3 / 7/5) / 2/7
[90764] ['2/9', '6/7', '9/2', '6', '9'] -> 6/7 * (2/9 + 6) * (9 - 9/2)
[90765] ['6/5', '6/5', '7/5', '8', '8'] -> (8 + 8 * (6/5 + 7/5)) / 6/5
[90766] ['1/7', '8/9', '1', '8/7', '2'] -> 1 + (2 + 8/7 / 8/9) / 1/7
[90767] ['1/2', '6/5', '7/3', '4', '4'] -> 4 / (7/3 / 4 - 1/2 / 6/5)
[90768] ['2/9', '7/8', '7/8', '6', '9'] -> 6 / (2/9 * 9 - (7/8 + 7/8))
[90769] ['4/7', '8/9', '7/5', '5', '9'] -> 8/9 * 9 * (5 / 7/5 - 4/7)
[90770] ['1/8', '8/9', '1', '1', '5/4'] -> (1 + 8/9 * (1 + 5/4)) / 1/8
[90771] ['2/9', '6/5', '6/5', '5', '7'] -> 6/5 * (5 * 6/5 / 2/9 - 7)
[90772] ['1/6', '7/9', '9/7', '6', '7'] -> (9/7 * (7/9 + 7) - 6) / 1/6
[90773] ['1/5', '2/3', '7/4', '3', '9'] -> 9 * 2/3 / 1/5 / (3 - 7/4)
[90774] ['1/9', '2/7', '1', '7/4', '3'] -> (3 + 1 / 1/9) / (2/7 * 7/4)
[90775] ['3/8', '6/5', '3', '9/2', '8'] -> 8 * (9/2 / 6/5 - 3/8) - 3
[90776] ['6/5', '6/5', '5/2', '8', '8'] -> (5/2 - 6/5 / 6/5) * (8 + 8)
[90777] ['2/9', '7/8', '8/7', '6', '9'] -> 9 * (8/7 + 6 * 2/9 / 7/8)
[90778] ['1/3', '4/5', '7/8', '1', '3'] -> (3 / (1/3 * (1 / 4/5)) - 7/8))
[90779] ['6/5', '6/5', '7/2', '8', '8'] -> 8 * 6/5 * 7/2 - 6/5 * 8
[90780] ['1/9', '2/7', '1', '9/4', '3'] -> 3 / (1 - 9/4 * 1/9 / 2/7)
[90781] ['1/7', '8/9', '1', '5/4', '2'] -> 5/4 + (1 + 2 / 8/9) / 1/7
[90782] ['4/7', '8/9', '5/3', '5', '9'] -> 9 * (5/3 + 8/9 / 4/7) - 5
[90783] ['3/8', '5/4', '9/7', '3', '8'] -> (5/4 * 8 - 3) * 9/7 / 3/8
[90784] ['1/9', '1/9', '3/5', '5', '9'] -> 3/5 * 5 * (9 - 1/9 / 1/9)
[90785] ['1/3', '4/5', '1', '9/8', '3'] -> 1 / (1/3 / 4/5 - 9/8 / 3)
[90786] ['6/5', '6/5', '9/2', '8', '8'] -> 8 * (6/5 * (8 - 9/2) - 6/5)
[90787] ['2/9', '6/5', '4/3', '5', '7'] -> 5 / (2/9 * 6/5) + 7 / 4/3
[90788] ['5/7', '5/6', '1', '7/3', '5'] -> 5 * (5/7 + 1) * 7/3 / 5/6
[90789] ['1/7', '8/9', '1', '9/7', '2'] -> (1 + 2) * 9/7 * 8/9 / 1/7
[90790] ['1/6', '7/9', '9/5', '6', '7'] -> 7 / (9/5 * 1/6 * 7/9) - 6
[90791] ['1/9', '1/9', '5/7', '5', '9'] -> (5/7 + 1/9 / 1/9) * (5 + 9)
[90792] ['5/7', '5/6', '1', '8/3', '5'] -> (5/7 + 5) * (1 + 8/3 / 5/6)
[90793] ['1/8', '8/9', '1', '1', '7/4'] -> 1 + (7/4 + 1 / 8/9) / 1/8
[90794] ['1/7', '8/9', '1', '4/3', '2'] -> 4/3 / (1/7 * (8/9 - 1 / 2))
[90795] ['4/7', '8/9', '9/5', '5', '9'] -> 5 + 9/5 * (9 + 8/9 / 4/7)
[90796] ['5/9', '5/4', '8/5', '2', '4'] -> 2 / (5/9 * (4 - 8/5) - 5/4)
[90797] ['5/7', '6/7', '7/8', '1', '5'] -> (5 / (5/7 * (1 / 6/7)) - 7/8))
[90798] ['1/8', '8/9', '1', '1', '5/2'] -> 8/9 * ((1 + 5/2) / 1/8 - 1)
[90799] ['1/5', '5/7', '7/6', '3', '9'] -> 5/7 * 7/6 * 9 * (1/5 + 3)
[90800] ['1/9', '1/3', '4/7', '1', '3'] -> 3 + (1/3 + 1) / (1/9 * 4/7)
[90801] ['5/9', '5/4', '9/5', '2', '4'] -> (2 + 4) / (5/4 - 5/9 * 9/5)
[90802] ['2/9', '6/5', '5/3', '5', '7'] -> (7 + 6/5 - 5) * 5/3 / 2/9
[90803] ['1/8', '1', '1', '9/8', '9/8'] -> (1 + 1 + 9/8 / 9/8) / 1/8
[90804] ['2/9', '7/8', '4/3', '6', '9'] -> (4/3 / 2/9 + 6 + 9) / 7/8
[90805] ['1/6', '4/5', '7/8', '6', '7'] -> (7 / (4/5 * 7/8) - 6) / 1/6
[90806] ['1/3', '4/5', '1', '4/3', '3'] -> (1 + 4/3 / 4/5) * 3 / 1/3
[90807] ['5/7', '6/7', '1', '6/5', '5'] -> (6/7 + 6/5 * 5) / (1 - 5/7)
[90808] ['1/8', '1', '1', '9/8', '8/7'] -> (1 + 9/8 + 1 / 8/7) / 1/8
[90809] ['1/2', '9/7', '5/2', '4', '4'] -> 4 * (5/2 + (1/2 + 4) / 9/7)
[90810] ['4/7', '8/9', '9/2', '5', '9'] -> 9 * (8/9 / 4/7 + 5 / 9/2)
[90811] ['1/7', '8/9', '1', '5/3', '2'] -> (5/3 / 1/7 - 1) * 2 / 8/9
[90812] ['5/9', '5/4', '2', '8/3', '4'] -> (8/3 + 2 * 4) * 5/4 / 5/9
[90813] ['6/5', '9/7', '4/3', '8', '8'] -> 6/5 * (8 + 9/7 * (4/3 + 8))
[90814] ['1/8', '1', '1', '9/8', '7/6'] -> (1 + 1) / (1/8 + 9/8 - 7/6)
[90815] ['1/9', '1/9', '8/7', '5', '9'] -> 9 / (5 * 1/9 / 8/7 - 1/9)
[90816] ['1/5', '5/7', '7/4', '3', '9'] -> (9 - 3) / (7/4 * 1/5 * 5/7)
[90817] ['1/8', '6/7', '9/8', '5', '6'] -> (5 - 9/8) / 1/8 - 6 / 6/7
[90818] ['3/8', '9/7', '8/3', '3', '8'] -> 9/7 * (8/3 + 8 + 3 / 3/8)
[90819] ['1/6', '4/5', '8/7', '6', '7'] -> (7 * 8/7 / 4/5 - 6) / 1/6
[90820] ['1/8', '1', '1', '9/8', '6/5'] -> 1 / ((1/8 + 9/8) / 6/5 - 1)
[90821] ['5/9', '5/4', '2', '4', '9/2'] -> 4 / ((5/4 + 2) / 9/2 - 5/9)
[90822] ['1/8', '1', '1', '9/8', '5/4'] -> (1 + (1 + 5/4) / 9/8) / 1/8
[90823] ['1/7', '8/9', '1', '9/5', '2'] -> 8/9 * 9/5 * (1 + 2 / 1/7)
[90824] ['1/3', '4/5', '1', '7/3', '3'] -> (1 + 7/3) * 3 * 4/5 / 1/3
[90825] ['1/5', '5/7', '5/2', '3', '9'] -> (9 / (1/5 * 5/7) - 3) / 5/2
[90826] ['4/7', '9/8', '5/4', '5', '9'] -> 5/4 + (5 + 9 / 9/8) / 4/7
[90827] ['6/5', '9/7', '9/5', '8', '8'] -> (8 + 9/5 * 8) * 9/7 / 6/5
[90828] ['1/2', '7/5', '5/3', '4', '4'] -> 5/3 * 4 * 4 * (7/5 - 1/2)
[90829] ['1/9', '1/3', '1', '7/4', '3'] -> 3 + (1/3 + 1) * 7/4 / 1/9
[90830] ['2/9', '7/8', '5/2', '6', '9'] -> (9 - 5/2) / 2/9 - 7/8 * 6
[90831] ['1/7', '8/9', '1', '2', '7/3'] -> ((1 + 7/3) / 1/7 - 2) / 8/9
[90832] ['1/5', '5/7', '8/3', '3', '9'] -> 1/5 + (9 + 8/3 * 3) / 5/7
[90833] ['1/8', '1', '1', '9/8', '7/5'] -> (1 + 7/5) * (1 + 9/8 / 1/8)
[90834] ['1/8', '6/7', '4/3', '5', '6'] -> 6 / (1/8 + 4/3) * 5 / 6/7
[90835] ['1/8', '1', '1', '9/8', '8/5'] -> 9/8 / (1/8 * (1 - 1 / 8/5))
[90836] ['4/7', '9/8', '7/5', '5', '9'] -> (5 / 7/5 - 4/7) * 9 / 9/8
[90837] ['1/3', '4/5', '1', '3', '9/2'] -> 9/2 * (1/3 + (1 + 3) / 4/5)
[90838] ['1/9', '1/9', '8/5', '5', '9'] -> 8/5 * (1/9 / 1/9 + 5 + 9)
[90839] ['1/2', '7/5', '7/3', '4', '4'] -> 4 / ((4 - 1/2) / 7/5 - 7/3)
[90840] ['1/6', '4/5', '4/3', '6', '7'] -> 7 / (1/6 * 4/3) - 6 / 4/5
[90841] ['5/7', '6/7', '1', '5/2', '5'] -> (5 + 6/7 + 1) * 5/2 / 5/7
[90842] ['3/8', '7/5', '7/3', '3', '8'] -> (3 + 8 / 7/3) * 7/5 / 3/8
[90843] ['6/5', '9/7', '8/3', '8', '8'] -> 8 / 9/7 + 8 * 8/3 / 6/5
[90844] ['1/9', '3/8', '3/7', '1', '3'] -> 3/8 * (1 + 3 / (1/9 * 3/7))
[90845] ['2/9', '8/9', '9/7', '6', '9'] -> (8/9 + 6) / 2/9 - 9 / 9/7
[90846] ['1/8', '6/7', '8/5', '5', '6'] -> (8/5 + 6 / (6/7 * 5)) / 1/8
[90847] ['1/3', '5/6', '8/9', '1', '3'] -> 1/3 / (8/9 - 5/6) * (1 + 3)
[90848] ['3/8', '7/5', '5/2', '3', '8'] -> (8 - (7/5 + 3)) * 5/2 / 3/8
[90849] ['1/7', '1', '9/8', '9/8', '2'] -> 1 + 9/8 + (9/8 + 2) / 1/7
[90850] ['2/9', '5/4', '9/5', '5', '7'] -> (5 + 7) / (9/5 * 2/9 * 5/4)
[90851] ['6/5', '9/7', '9/2', '8', '8'] -> 6/5 * (8 * 9/2 / 9/7 - 8)
[90852] ['1/7', '1', '9/8', '7/6', '2'] -> (1 / (1/7 * (9/8 + 7/6)) - 2))
[90853] ['1/3', '5/6', '1', '6/5', '3'] -> 6/5 * (1/3 + 3) / (1 - 5/6)
[90854] ['1/8', '1', '1', '8/7', '5/4'] -> (5/4 + (1 + 1) / 8/7) / 1/8
[90855] ['1/9', '1/8', '1/7', '5', '9'] -> 5 / (1/9 + 1/8 / 1/7 *
)[90856] ['1/5', '3/4', '8/7', '3', '9'] -> (9 / (1/5 * (3 / 8/7)) - 3/4))
[90857] ['1/2', '7/4', '9/5', '4', '4'] -> 4 * (1/2 / (9/5 - 7/4) - 4)
[90858] ['1/8', '1', '1', '8/7', '4/3'] -> 1 / (4/3 / 8/7 - (1/8 + 1))
[90859] ['1/8', '6/7', '5/2', '5', '6'] -> (6 + 5/2 - 5) * 6/7 / 1/8
[90860] ['4/7', '9/8', '7/3', '5', '9'] -> 9/8 * (7/3 + 5) + 9 / 4/7
[90861] ['1/9', '3/8', '4/5', '1', '3'] -> 1 / (3 * 1/9 / 4/5 - 3/8)
[90862] ['5/9', '9/7', '2', '7/3', '4'] -> 2 / (9/7 / 4 - 5/9 / 7/3)
[90863] ['5/7', '7/8', '1', '4/3', '5'] -> (5 / ((5/7 * 7/8) * 4/3) - 1))
[90864] ['1/6', '4/5', '7/2', '6', '7'] -> (7/2 - 7 + 6 / 4/5) / 1/6
[90865] ['1/9', '1/8', '1/5', '5', '9'] -> 1/5 / (1/9 / 5 - 1/8 / 9)
[90866] ['1/8', '1', '1', '8/7', '3/2'] -> 8/7 * (1 + (1 + 3/2) / 1/8)
[90867] ['2/9', '9/8', '9/7', '6', '9'] -> 9 + (2/9 + 6) * (9/8 + 9/7)
[90868] ['1/7', '1', '9/8', '7/5', '2'] -> 7/5 * (1/7 + 2) / (9/8 - 1)
[90869] ['1/8', '1', '1', '8/7', '8/5'] -> (1 + 1 / 8/7) * 8/5 / 1/8
[90870] ['4/7', '9/8', '7/2', '5', '9'] -> (5 - 4/7 * 7/2) * 9 / 9/8
[90871] ['1/6', '5/6', '5/6', '6', '7'] -> (5/6 * 7 - 5/6) / 1/6 - 6
[90872] ['1/2', '9/5', '7/2', '4', '4'] -> 4 * (7/2 + (1/2 + 4) / 9/5)
[90873] ['6/5', '7/5', '7/3', '8', '8'] -> 8 + 6/5 / 7/5 * 7/3 * 8
[90874] ['5/9', '9/7', '2', '4', '9/2'] -> (5/9 + 9/2) * 9/7 * 4 - 2
[90875] ['4/7', '8/7', '8/7', '5', '9'] -> (8/7 - (4/7 - 8/7)) * (5 + 9)
[90876] ['2/9', '9/8', '9/5', '6', '9'] -> (9 / (9/5 * (2/9 * 6)) - 9/8))
[90877] ['1/3', '6/7', '7/8', '1', '3'] -> 1 / (7/8 * (1/3 - 6/7 / 3))
[90878] ['1/8', '8/9', '8/9', '5', '6'] -> 6 * (5 - (8/9 + 1/8 * 8/9))
[90879] ['1/8', '1', '1', '8/7', '9/4'] -> (9/4 + 1 / 8/7) / 1/8 - 1
[90880] ['1/7', '1', '9/8', '7/4', '2'] -> (1 + 2 / 1/7) / (7/4 - 9/8)
[90881] ['5/9', '5/9', '5/9', '4', '4'] -> 4 * (4 + (5/9 + 5/9) / 5/9)
[90882] ['1/5', '7/9', '7/8', '3', '9'] -> 9 / (1/5 * (3 - 7/8 / 7/9))
[90883] ['1/6', '5/6', '5/4', '6', '7'] -> 5/6 / 5/4 * (7 / 1/6 - 6)
[90884] ['5/7', '7/8', '1', '7/4', '5'] -> (1 + 5 / 7/4) / (7/8 - 5/7)
[90885] ['1/7', '1', '9/8', '9/5', '2'] -> (1 + 2 / 1/7) * 9/5 / 9/8
[90886] ['5/9', '5/9', '4/7', '4', '4'] -> 4 * (4 / 4/7 - 5/9 / 5/9)
[90887] ['2/9', '8/7', '8/7', '6', '9'] -> 9 * (8/7 + 6 * 2/9 * 8/7)
[90888] ['1/9', '1/8', '4/7', '5', '9'] -> 5 / (1/9 / 4/7 + 1/8 / 9)
[90889] ['1/8', '8/9', '8/7', '5', '6'] -> 8/9 * 6 * (1/8 + 5 / 8/7)
[90890] ['5/7', '7/8', '1', '9/5', '5'] -> 9/5 * 5 / (1 - 5/7 * 7/8)
[90891] ['1/8', '1', '1', '7/6', '7/6'] -> (1 + 1 + 7/6 / 7/6) / 1/8
[90892] ['1/9', '1/8', '5/8', '5', '9'] -> 5 * 5/8 / 1/8 - 1/9 * 9
[90893] ['1/8', '8/9', '7/6', '5', '6'] -> (5 / ((1/8 * 6) * 7/6) - 8/9))
[90894] ['2/9', '9/7', '5/2', '5', '7'] -> 7 / (2/9 * 9/7) - 5/2 / 5
[90895] ['1/7', '1', '9/8', '2', '7/3'] -> 9/8 * ((1 + 7/3) / 1/7 - 2)
[90896] ['1/3', '6/7', '1', '5/4', '3'] -> 3 / (5/4 / 6/7 - (1/3 + 1))
[90897] ['1/8', '1', '1', '7/6', '7/5'] -> 1 / (1 - 1/8 - 7/6 / 7/5)
[90898] ['2/9', '8/7', '5/4', '6', '9'] -> 9 / (5/4 / 2/9 - 6 / 8/7)
[90899] ['1/8', '8/9', '6/5', '5', '6'] -> 5 * (6/5 / (1/8 * 8/9) - 6)
[90900] ['6/5', '8/5', '9/2', '8', '8'] -> 8 / (9/2 - 8 / (6/5 * 8/5))
[90901] ['5/9', '7/5', '8/5', '2', '4'] -> 4 / (5/9 - 7/5 / (8/5 + 2))
[90902] ['5/7', '7/8', '1', '5/2', '5'] -> (1 + 5) * 5/2 / (5/7 * 7/8)
[90903] ['1/7', '1', '9/8', '2', '5/2'] -> 1 / (5/2 / (1/7 + 2) - 9/8)
[90904] ['1/5', '7/9', '7/6', '3', '9'] -> (1/5 + 3) * (9 - 7/6 / 7/9)
[90905] ['2/9', '9/7', '8/3', '5', '7'] -> (9/7 + 5 / 7) * 8/3 / 2/9
[90906] ['5/9', '5/9', '7/9', '4', '4'] -> (4 + 4) / (5/9 + 5/9 - 7/9)
[90907] ['5/9', '7/5', '5/3', '2', '4'] -> (7/5 + 4) * 2 * (5/9 + 5/3)
