[71605] ['4/9', '4/7', '7/2', '5', '8'] -> (4/9 * (5 + (8 / (4/7 / 7/2))))
[72947] ['1/5', '5/6', '7/2', '7', '7'] -> ((7 + 7) / (7/2 * (1/5 * 5/6)))
[72948] ['2/7', '1', '7/6', '5/3', '5'] -> (((5/3 * 5) / (2/7 * 7/6)) - 1)
[72949] ['7/9', '1', '9/8', '9/5', '7'] -> (7 / (7/9 * (1 - (9/8 / 9/5))))
[72950] ['3/5', '8/7', '7/5', '6', '6'] -> (7/5 * ((8/7 + 6) + (6 / 3/5)))
[72951] ['1/5', '6/7', '6/7', '7', '7'] -> ((7 / (1/5 / 6/7)) - (6/7 * 7))
[72952] ['1/2', '3/5', '8/7', '5', '8'] -> ((1/2 + (3/5 * 5)) * (8 - 8/7))
[72953] ['4/7', '4/7', '5/6', '9', '9'] -> ((9 - 5/6) * (9 * (4/7 * 4/7)))
[72954] ['3/4', '6/7', '7/8', '1', '9'] -> ((6/7 + (1 / 7/8)) / (3/4 / 9))
[72955] ['4/7', '4/7', '6/7', '9', '9'] -> ((9 + 9) / (6/7 / (4/7 + 4/7)))
[72956] ['1/9', '1', '8/5', '5/2', '7'] -> (((1 + (7 / 1/9)) / 5/2) - 8/5)
[72957] ['3/4', '8/9', '1', '1', '8/5'] -> (1 / ((3/4 * 8/9) - (1 / 8/5)))
[72958] ['5/9', '6/7', '1', '6/5', '2'] -> ((2 / (5/9 * (1 - 6/7))) - 6/5)
[72959] ['4/9', '9/8', '7/5', '2', '5'] -> (5 * (2 + (7/5 / (4/9 * 9/8))))
[72960] ['7/9', '1', '9/8', '7/2', '7'] -> ((7/2 / (7/9 * 9/8)) * (7 - 1))
[72961] ['3/4', '8/9', '1', '1', '5/3'] -> ((1 + 1) * (5/3 / (8/9 - 3/4)))
[72962] ['5/6', '7/8', '9/5', '5', '6'] -> ((5 - (5/6 * 9/5)) / (7/8 / 6))
[72963] ['1/4', '5/7', '1', '9/4', '6'] -> (6 * (9/4 + ((1/4 + 1) / 5/7)))
[72964] ['1/7', '7/5', '3/2', '4', '4'] -> (3/2 * ((4 / (1/7 * 7/5)) - 4))
[72965] ['3/7', '5/8', '2', '2', '9/4'] -> ((2 + (2 / 3/7)) / (5/8 / 9/4))
[72966] ['3/5', '8/7', '9/5', '6', '6'] -> (8/7 * ((9/5 * (6 + 6)) - 3/5))
[72967] ['2/7', '1', '7/6', '5/2', '5'] -> (((5 + (5/2 / 7/6)) / 2/7) - 1)
[72968] ['4/7', '4/7', '8/9', '9', '9'] -> (9 + ((4/7 + (8/9 * 9)) / 4/7))
[72969] ['5/9', '6/7', '1', '4/3', '2'] -> (4/3 / ((1 / 6/7) - (5/9 * 2)))
[72970] ['1/2', '3/5', '9/4', '5', '8'] -> ((9/4 * 8) + (5 / (1/2 / 3/5)))
[72971] ['1/7', '7/5', '5/3', '4', '4'] -> ((4 + 4) / (5/3 * (1/7 * 7/5)))
[72972] ['3/4', '6/7', '1', '6/5', '9'] -> ((9 / (1 - (3/4 * 6/7))) - 6/5)
[72973] ['2/7', '1', '7/6', '8/3', '5'] -> (1 + ((8/3 + 5) / (2/7 * 7/6)))
[72974] ['1/5', '6/7', '8/7', '7', '7'] -> ((7 + 7) + ((6/7 + 8/7) / 1/5))
[72975] ['7/9', '1', '8/7', '7/6', '7'] -> ((8/7 * 7) / (1 - (7/9 / 7/6)))
[72976] ['4/7', '4/7', '9/8', '9', '9'] -> (9 + ((4/7 + (9 / 9/8)) / 4/7))
[72977] ['1/9', '1', '5/3', '9/5', '7'] -> ((1 + 7) / (9/5 * (1/9 * 5/3)))
[72978] ['7/6', '6/5', '7/2', '4', '6'] -> ((6 / (6/5 - 7/6)) / (7/2 + 4))
[72979] ['3/5', '8/7', '7/3', '6', '6'] -> (7/3 * (6 + (3/5 * (8/7 + 6))))
[72980] ['3/4', '6/7', '1', '7/5', '9'] -> (9 / (1 - ((3/4 / 6/7) / 7/5)))
[72981] ['1/5', '6/7', '5/4', '7', '7'] -> (7 / ((5/4 / (1/5 * 6/7)) - 7))
[72982] ['4/7', '4/7', '7/6', '9', '9'] -> ((7/6 * (4/7 + 4/7)) * (9 + 9))
[72983] ['3/5', '8/7', '5/2', '6', '6'] -> (6 / (3/5 - (5/2 / (8/7 + 6))))
[72984] ['3/4', '8/9', '1', '1', '8/3'] -> (1 / (3/4 - ((8/9 + 1) / 8/3)))
[72985] ['7/9', '1', '8/7', '5/4', '7'] -> (7 / (7/9 * (5/4 - (1 / 8/7))))
[72986] ['3/4', '6/7', '1', '8/5', '9'] -> (8/5 * (1 + (9 / (3/4 * 6/7))))
[72987] ['1/9', '1', '5/3', '5/2', '7'] -> ((7 + (1 / 1/9)) / (5/3 / 5/2))
[72988] ['3/5', '8/7', '8/3', '6', '6'] -> ((6 / 3/5) + (6 / (8/7 / 8/3)))
[72989] ['7/9', '1', '8/7', '9/7', '7'] -> (7 * (8/7 + (9/7 * (7/9 + 1))))
[72990] ['1/5', '6/7', '4/3', '7', '7'] -> ((4/3 - 6/7) * (7 * (1/5 + 7)))
[72991] ['4/9', '9/8', '2', '5/2', '5'] -> (2 * ((5/2 * 5) - (4/9 * 9/8)))
[72992] ['1/2', '5/8', '8/9', '5', '8'] -> (8 / (8/9 * (1/2 - (5/8 / 5))))
[72993] ['2/7', '1', '6/5', '8/5', '5'] -> (5 * ((6/5 / 2/7) - (1 - 8/5)))
[72994] ['3/5', '8/7', '9/2', '6', '6'] -> ((6 / (8/7 / 6)) - (9/2 / 3/5))
[72995] ['1/5', '6/7', '7/5', '7', '7'] -> ((7 / 1/5) - (7/5 * (6/7 + 7)))
[72996] ['4/9', '8/7', '8/7', '2', '5'] -> (8/7 + (5 * (2 + (8/7 / 4/9))))
[72997] ['7/6', '5/4', '9/5', '4', '6'] -> ((5/4 * 9/5) * (6 + (7/6 * 4)))
[72998] ['5/6', '8/9', '5/3', '5', '6'] -> ((8/9 * 6) * (5 - (5/6 / 5/3)))
[72999] ['3/5', '7/6', '7/6', '6', '6'] -> ((6 / 3/5) + (6 * (7/6 + 7/6)))
[73000] ['1/5', '6/7', '3/2', '7', '7'] -> ((6/7 / 3/2) * (7 + (7 / 1/5)))
[73001] ['3/4', '1', '1', '9/8', '8/7'] -> (1 / ((1 / (3/4 * 8/7)) - 9/8))
[73002] ['1/5', '6/7', '8/5', '7', '7'] -> ((7 * (6/7 + 8/5)) - (1/5 - 7))
[73003] ['5/9', '6/7', '1', '2', '9/4'] -> (2 / ((5/9 * 9/4) - (1 / 6/7)))
[73004] ['5/6', '8/9', '9/5', '5', '6'] -> ((8/9 * 5) * ((6 / 5/6) - 9/5))
[73005] ['4/7', '4/7', '3/2', '9', '9'] -> (9 + (3/2 * (9 + (4/7 / 4/7))))
[73006] ['3/5', '7/6', '9/7', '6', '6'] -> ((7/6 * 9/7) * (6 + (6 / 3/5)))
[73007] ['1/4', '7/9', '6/7', '1', '6'] -> (6/7 / (1/4 - (1 / (7/9 * 6))))
[73008] ['1/9', '1', '7/4', '9/2', '7'] -> ((7/4 - 1) * (9/2 * (1/9 + 7)))
[73009] ['3/5', '7/6', '3/2', '6', '6'] -> ((6 / (3/5 * (3/2 - 7/6))) - 6)
[73010] ['4/9', '8/7', '9/7', '2', '5'] -> (8/7 / ((4/9 * (5 - 2)) - 9/7))
[73011] ['1/9', '1', '9/5', '9/5', '7'] -> ((9/5 / 1/9) + (7 - (1 - 9/5)))
[73012] ['7/9', '1', '8/7', '9/4', '7'] -> ((8/7 * 7) / (7/9 - (1 / 9/4)))
[73013] ['3/4', '1', '1', '9/8', '4/3'] -> (1 / ((9/8 - 4/3) - (3/4 - 1)))
[73014] ['1/5', '6/7', '7/3', '7', '7'] -> ((7/3 / (1/5 / 6/7)) + (7 + 7))
[73015] ['7/6', '7/5', '5/3', '4', '6'] -> (((7/6 + 7/5) * (4 + 6)) - 5/3)
[73016] ['4/7', '4/7', '5/2', '9', '9'] -> ((9 * (4/7 * 9)) / (5/2 - 4/7))
[73017] ['7/9', '1', '8/7', '5/2', '7'] -> ((1 + (8/7 * 5/2)) * (7 - 7/9))
[73018] ['1/4', '7/9', '1', '7/6', '6'] -> (6 / ((7/6 / 7/9) - (1/4 + 1)))
[73019] ['1/5', '6/7', '8/3', '7', '7'] -> ((1/5 + 7) * ((6/7 * 7) - 8/3))
[73020] ['4/9', '8/7', '3/2', '2', '5'] -> (8/7 * ((5 / (4/9 / 2)) - 3/2))
[73021] ['5/6', '9/8', '8/5', '5', '6'] -> (5 * ((6 / (5/6 * 9/8)) - 8/5))
[73022] ['1/7', '3/2', '4', '4', '9/2'] -> ((4 / (1/7 / 3/2)) - (4 * 9/2))
[73023] ['3/5', '7/6', '7/3', '6', '6'] -> (7/3 + ((6 + (7/6 * 6)) / 3/5))
[73024] ['3/4', '1', '1', '9/8', '8/5'] -> (1 / ((3/4 / 9/8) - (1 / 8/5)))
[73025] ['3/4', '8/9', '1', '7/6', '9'] -> (9 * (7/6 + (1 / (3/4 * 8/9))))
[73026] ['5/6', '9/8', '5/3', '5', '6'] -> ((5 - (5/6 / 5/3)) / (9/8 / 6))
[73027] ['3/4', '1', '1', '9/8', '5/3'] -> ((5/3 + (1 / 3/4)) / (9/8 - 1))
[73028] ['2/7', '1', '5/4', '4/3', '5'] -> ((4/3 * (5/4 + (5 / 2/7))) - 1)
[73029] ['3/7', '2/3', '5/4', '2', '2'] -> (2 / ((2 / 2/3) - (5/4 / 3/7)))
[73030] ['1/7', '8/5', '7/4', '4', '4'] -> ((8/5 * 4) * (4 - (1/7 * 7/4)))
[73031] ['5/9', '7/8', '8/9', '1', '2'] -> (1 / ((5/9 * 7/8) - (8/9 / 2)))
[73032] ['3/4', '8/9', '1', '6/5', '9'] -> ((8/9 + (1 / 3/4)) * (6/5 * 9))
[73033] ['3/4', '1', '1', '9/8', '7/4'] -> (3/4 / ((1 + 1) - (9/8 * 7/4)))
[73034] ['1/5', '7/8', '7/8', '7', '7'] -> ((7 + (7 / 1/5)) / (7/8 + 7/8))
[73035] ['7/6', '3/2', '8/5', '4', '6'] -> (3/2 / ((7/6 / 8/5) - (4 / 6)))
[73036] ['4/9', '8/7', '7/4', '2', '5'] -> (5 / (4/9 * (2 - (7/4 / 8/7))))
[73037] ['3/4', '1', '1', '9/8', '9/5'] -> (1 / (((3/4 + 9/8) / 9/5) - 1))
[73038] ['5/9', '7/8', '1', '9/8', '2'] -> (2 / (9/8 - (5/9 * (7/8 + 1))))
[73039] ['1/5', '7/8', '8/9', '7', '7'] -> (8/9 * ((7 / 1/5) - (7 / 7/8)))
[73040] ['3/4', '1', '1', '9/8', '7/3'] -> ((1 + 7/3) / ((1 / 9/8) - 3/4))
[73041] ['3/4', '1', '1', '9/8', '5/2'] -> (1 / (5/2 - (9/8 + (1 / 3/4))))
[73042] ['1/4', '7/9', '1', '5/3', '6'] -> ((5/3 / (1/4 * (1 - 7/9))) - 6)
[73043] ['2/7', '1', '5/4', '7/4', '5'] -> ((5/4 + 7/4) + ((1 + 5) / 2/7))
[73044] ['1/2', '5/7', '5/6', '5', '8'] -> ((5 * 8) / (1/2 + (5/6 / 5/7)))
[73045] ['5/9', '7/8', '1', '7/6', '2'] -> (7/6 / (7/8 * (5/9 - (1 / 2))))
[73046] ['3/4', '1', '1', '9/8', '8/3'] -> ((1 + (3/4 * 8/3)) / (9/8 - 1))
[73047] ['7/6', '8/5', '9/4', '4', '6'] -> ((4 + (9/4 * 6)) / (7/6 / 8/5))
[73048] ['1/9', '1', '7/3', '5/2', '7'] -> ((7/3 + 7) / (1/9 * (1 + 5/2)))
[73049] ['3/4', '8/9', '1', '9/5', '9'] -> ((8/9 + (1 / 3/4)) * (9/5 + 9))
[73050] ['2/7', '1', '5/4', '9/5', '5'] -> (5/4 * (((1 + 5) / 2/7) - 9/5))
[73051] ['3/5', '5/4', '7/3', '6', '6'] -> ((7/3 + 6) * (6 * (3/5 / 5/4)))
[73052] ['1/5', '7/8', '5/4', '7', '7'] -> (((7 / (1/5 * 5/4)) - 7) / 7/8)
[73053] ['5/6', '8/7', '9/7', '5', '6'] -> (8/7 / ((9/7 / 6) - (5/6 / 5)))
[73054] ['1/9', '1', '5/2', '5/2', '7'] -> ((5/2 * 7) - (5/2 - (1 / 1/9)))
[73055] ['7/9', '1', '6/5', '6/5', '7'] -> ((6/5 + 6/5) * (1 + (7 / 7/9)))
[73056] ['1/2', '5/7', '9/8', '5', '8'] -> ((8 + (5 / 5/7)) / (9/8 - 1/2))
[73057] ['2/7', '1', '5/4', '9/4', '5'] -> (((1 + 5) / (2/7 / 5/4)) - 9/4)
[73058] ['5/9', '7/8', '1', '9/7', '2'] -> ((1 + 2) / ((7/8 / 9/7) - 5/9))
[73059] ['1/7', '5/3', '7/4', '4', '4'] -> (4 / ((5/3 / 4) - (1/7 * 7/4)))
[73060] ['3/4', '1', '9/8', '8/7', '9'] -> ((9/8 + (1 / 8/7)) / (3/4 / 9))
[73061] ['1/9', '1', '5/2', '8/3', '7'] -> (8/3 / ((1 / (7 - 5/2)) - 1/9))
[73062] ['7/9', '1', '6/5', '5/4', '7'] -> ((7 / (5/4 * (1 - 7/9))) - 6/5)
[73063] ['3/4', '1', '1', '8/7', '7/6'] -> ((1 / (3/4 + 1)) / (7/6 - 8/7))
[73064] ['2/7', '1', '5/4', '7/3', '5'] -> ((1 + 5) / ((5/4 / 7/3) - 2/7))
[73065] ['7/6', '8/5', '4', '9/2', '6'] -> (8/5 * ((9/2 * (7/6 * 4)) - 6))
[73066] ['1/7', '5/3', '9/5', '4', '4'] -> ((9/5 * 4) + (4 / (1/7 * 5/3)))
[73067] ['1/5', '7/8', '3/2', '7', '7'] -> (7 / ((7 / 3/2) - (7/8 / 1/5)))
[73068] ['1/9', '1', '7/2', '7/2', '7'] -> ((7/2 * 7) - (1/9 * (1 + 7/2)))
[73069] ['1/7', '5/3', '9/4', '4', '4'] -> (9/4 * ((5/3 / 1/7) - (4 / 4)))
[73070] ['7/9', '1', '6/5', '4/3', '7'] -> ((1 + 7) / ((4/3 / 6/5) - 7/9))
[73071] ['3/5', '9/7', '4/3', '6', '6'] -> (9/7 * (((6 + 6) / 3/5) - 4/3))
[73072] ['4/9', '7/6', '6/5', '2', '5'] -> ((7/6 + (5 / 6/5)) / (4/9 / 2))
[73073] ['3/4', '1', '9/8', '7/4', '9'] -> (9 / ((3/4 - 1) - (9/8 - 7/4)))
[73074] ['1/8', '1/8', '1/8', '1', '7'] -> ((7 - (1 / (1/8 + 1/8))) / 1/8)
[73075] ['5/9', '7/8', '1', '8/5', '2'] -> ((1 / 5/9) / (7/8 - (8/5 / 2)))
[73076] ['1/5', '7/8', '5/3', '7', '7'] -> (7 / ((5/3 / (1/5 / 7/8)) - 7))
[73077] ['3/7', '2/3', '2', '2', '8/3'] -> (8/3 * (2 + (2 / (3/7 * 2/3))))
[73078] ['7/9', '1', '6/5', '3/2', '7'] -> ((7 / ((7/9 + 1) - 3/2)) - 6/5)
[73079] ['5/6', '8/7', '5/3', '5', '6'] -> ((8/7 / 5/3) * (6 * (5/6 + 5)))
[73080] ['1/5', '7/8', '7/4', '7', '7'] -> ((7/4 / (1/5 * 7/8)) + (7 + 7))
[73081] ['1/8', '1/8', '1/7', '1', '7'] -> ((1 - 1/7) * (7 / (1/8 + 1/8)))
[73082] ['3/4', '1', '1', '8/7', '7/5'] -> (8/7 / (1 - (1 / (3/4 * 7/5))))
[73083] ['5/9', '7/8', '1', '5/3', '2'] -> ((5/3 / 5/9) / (2 - (7/8 + 1)))
[73084] ['7/6', '9/5', '7/2', '4', '6'] -> (7/2 * (4 + (6 / (7/6 * 9/5))))
[73085] ['3/7', '2/3', '2', '2', '9/2'] -> ((2 / 2/3) + (9/2 / (3/7 / 2)))
[73086] ['4/9', '7/6', '9/7', '2', '5'] -> ((7/6 * 9/7) + (5 / (4/9 / 2)))
[73087] ['5/6', '8/7', '9/5', '5', '6'] -> ((8/7 * 6) * (5 - (5/6 * 9/5)))
[73088] ['3/5', '9/7', '8/5', '6', '6'] -> (9/7 * (6 + ((8/5 + 6) / 3/5)))
[73089] ['1/8', '1/8', '1/5', '1', '7'] -> ((7 + (1 / 1/8)) / (1/8 / 1/5))
[73090] ['1/4', '4/5', '1', '7/6', '6'] -> (1 / ((1/4 * 6) - (7/6 / 4/5)))
[73091] ['1/2', '5/7', '9/4', '5', '8'] -> ((9/4 - 1/2) * (8 + (5/7 + 5)))
[73092] ['2/7', '1', '9/7', '7/4', '5'] -> (((1 / 7/4) + (9/7 + 5)) / 2/7)
[73093] ['5/6', '8/7', '7/3', '5', '6'] -> ((8/7 * 6) * (5 + (5/6 - 7/3)))
[73094] ['6/5', '5/4', '9/7', '4', '6'] -> ((6 / ((6/5 * 5/4) - 9/7)) - 4)
[73095] ['4/9', '7/6', '8/5', '2', '5'] -> ((2 + (8/5 / 4/9)) / (7/6 / 5))
[73096] ['5/9', '7/8', '1', '2', '5/2'] -> ((1 / 5/9) / (7/8 - (2 / 5/2)))
[73097] ['1/5', '7/8', '7/2', '7', '7'] -> ((7 / 1/5) - (7 + (7/2 / 7/8)))
[73098] ['3/7', '5/7', '4/5', '2', '2'] -> (2 / ((5/7 / (3/7 * 4/5)) - 2))
[73099] ['3/4', '1', '8/7', '8/5', '9'] -> ((8/7 + 8/5) * (9 + (3/4 - 1)))
[73100] ['7/9', '1', '6/5', '9/4', '7'] -> ((7 / (6/5 * (1 - 7/9))) - 9/4)
[73101] ['5/6', '7/6', '9/7', '5', '6'] -> ((6 / (5/6 * 7/6)) / (9/7 / 5))
[73102] ['3/7', '5/7', '6/7', '2', '2'] -> ((6/7 * 2) / (3/7 - (5/7 / 2)))
[73103] ['2/7', '1', '9/7', '5/2', '5'] -> ((5 / (2/7 / 9/7)) - (1 - 5/2))
[73104] ['7/9', '1', '6/5', '5/2', '7'] -> ((6/5 * 5/2) * ((7 / 7/9) - 1))
[73105] ['1/5', '8/9', '8/9', '7', '7'] -> ((8/9 * ((7 / 1/5) - 7)) - 8/9)
[73106] ['3/5', '9/7', '7/3', '6', '6'] -> (((7/3 * 6) / (3/5 / 9/7)) - 6)
[73107] ['1/8', '1/8', '3/5', '1', '7'] -> ((1 + 7) / (1/8 + (1/8 / 3/5)))
[73108] ['5/9', '7/8', '1', '2', '9/2'] -> (1 / ((5/9 * 7/8) - (2 / 9/2)))
[73109] ['3/7', '5/7', '7/8', '2', '2'] -> (2 / ((7/8 * 2) - (5/7 / 3/7)))
[73110] ['3/4', '1', '8/7', '5/2', '9'] -> ((8/7 * 9) * ((5/2 / 3/4) - 1))
[73111] ['4/9', '7/6', '2', '7/3', '5'] -> ((2 + 5) / ((7/6 / 4/9) - 7/3))
[73112] ['7/9', '1', '6/5', '8/3', '7'] -> ((1 + 7) * (7/9 + (8/3 / 6/5)))
[73113] ['1/5', '8/9', '9/8', '7', '7'] -> ((((7 / 1/5) - 7) / 9/8) - 8/9)
[73114] ['2/7', '1', '9/7', '9/2', '5'] -> (((1 + 5) * (9/2 - 2/7)) - 9/7)
[73115] ['2/7', '1', '4/3', '4/3', '5'] -> ((4/3 + (4/3 / 2/7)) * (5 - 1))
[73116] ['1/5', '8/9', '8/7', '7', '7'] -> (8/9 * ((7 / 1/5) - (8/7 * 7)))
[73117] ['3/5', '9/7', '8/3', '6', '6'] -> (9/7 * ((8/3 + 6) + (6 / 3/5)))
[73118] ['4/9', '7/6', '2', '7/2', '5'] -> ((5 + (7/6 / 7/2)) / (4/9 / 2))
[73119] ['5/9', '8/9', '1', '9/8', '2'] -> (1 / ((5/9 / 2) + (8/9 - 9/8)))
[73120] ['1/8', '1/8', '4/5', '1', '7'] -> (((1 / (1/8 * 4/5)) - 7) / 1/8)
[73121] ['4/9', '7/6', '2', '9/2', '5'] -> (((9/2 * 5) - 7/6) / (4/9 * 2))
[73122] ['3/5', '9/7', '7/2', '6', '6'] -> (7/2 * ((6 / (3/5 / 9/7)) - 6))
[73123] ['5/9', '8/9', '1', '8/7', '2'] -> (1 / ((5/9 / 8/7) - (8/9 / 2)))
[73124] ['3/7', '5/7', '8/7', '2', '2'] -> (2 / ((2 / 8/7) - (5/7 / 3/7)))
[73125] ['6/5', '9/7', '9/5', '4', '6'] -> ((6 / ((9/5 / 6/5) - 9/7)) - 4)
[73126] ['1/8', '1/8', '5/6', '1', '7'] -> ((1 / 1/8) / (7 - (5/6 / 1/8)))
[73127] ['1/4', '5/6', '1', '9/8', '6'] -> ((1/4 * 6) / (1 - (5/6 * 9/8)))
[73128] ['3/4', '1', '7/6', '8/5', '9'] -> (8/5 * (1 + (9 / (3/4 / 7/6))))
[73129] ['4/9', '6/5', '6/5', '2', '5'] -> (((6/5 + (2 * 5)) / 4/9) - 6/5)
[73130] ['5/6', '5/4', '9/7', '5', '6'] -> ((5/6 / 5/4) + (6 / (9/7 / 5)))
[73131] ['3/5', '9/7', '9/2', '6', '6'] -> (9/2 * ((6 / 3/5) - (6 / 9/7)))
[73132] ['5/9', '8/9', '1', '7/6', '2'] -> (1 / ((5/9 / 8/9) - (7/6 / 2)))
[73133] ['2/7', '1', '4/3', '8/5', '5'] -> (8/5 / (1 - (4/3 / (2/7 * 5))))
[73134] ['3/4', '1', '1', '7/6', '6/5'] -> (1 / ((3/4 * 7/6) - (1 / 6/5)))
[73135] ['1/7', '9/4', '7/3', '4', '4'] -> ((9/4 * 7/3) * (4 + (1/7 * 4)))
[73136] ['4/9', '6/5', '9/7', '2', '5'] -> ((5 / ((9/7 / 2) - 4/9)) - 6/5)
[73137] ['1/8', '1/8', '8/9', '1', '7'] -> (8/9 * ((7 / (1/8 + 1/8)) - 1))
[73138] ['1/7', '9/4', '5/2', '4', '4'] -> (((5/2 / 1/7) - 4) / (9/4 / 4))
[73139] ['3/5', '4/3', '7/4', '6', '6'] -> ((6 / 3/5) + (6 * (4/3 * 7/4)))
[73140] ['6/5', '9/7', '8/3', '4', '6'] -> (8/3 / (4 - (6 / (6/5 * 9/7))))
[73141] ['3/4', '1', '1', '7/6', '9/7'] -> ((1 / 7/6) / (1 - (3/4 * 9/7)))
[73142] ['4/9', '6/5', '7/5', '2', '5'] -> ((7/5 + 5) * (2 / (4/9 * 6/5)))
[73143] ['1/7', '9/4', '8/3', '4', '4'] -> (9/4 * ((8/3 / 1/7) - (4 + 4)))
[73144] ['4/7', '5/8', '5/8', '9', '9'] -> (9 * ((5/8 / (5/8 - 4/7)) - 9))
[73145] ['1/5', '8/9', '4/3', '7', '7'] -> ((((7 - 4/3) / 1/5) - 7) / 8/9)
[73146] ['6/5', '9/7', '4', '9/2', '6'] -> (6/5 * (6 + (9/2 / (9/7 / 4))))
[73147] ['3/5', '4/3', '9/4', '6', '6'] -> (((9/4 * 6) / (3/5 / 4/3)) - 6)
[73148] ['3/4', '1', '6/5', '4/3', '9'] -> (9 / (3/4 * (4/3 - (1 / 6/5))))
[73149] ['5/9', '8/9', '1', '8/5', '2'] -> (2 / (((5/9 + 1) / 8/5) - 8/9))
[73150] ['7/9', '1', '5/4', '9/4', '7'] -> ((1 + 7) * (5/4 + (7/9 * 9/4)))
[73151] ['6/5', '4/3', '7/4', '4', '6'] -> (6 / ((4 / 6/5) - (4/3 + 7/4)))
[73152] ['5/6', '9/7', '3/2', '5', '6'] -> ((6 / (9/7 / 5)) - (5/6 - 3/2))
[73153] ['3/4', '1', '1', '7/6', '7/4'] -> ((1 + 1) / (3/4 - (7/6 / 7/4)))
[73154] ['3/7', '5/7', '5/3', '2', '2'] -> (2 / ((2 / (3/7 + 5/7)) - 5/3))
[73155] ['5/9', '8/9', '1', '9/5', '2'] -> ((5/9 / (9/5 - (8/9 * 2))) - 1)
[73156] ['4/9', '6/5', '2', '9/4', '5'] -> (2 / ((4/9 * 6/5) - (9/4 / 5)))
[73157] ['2/7', '1', '4/3', '8/3', '5'] -> (4/3 + (8/3 * (5 + (1 / 2/7))))
[73158] ['3/5', '7/5', '7/5', '6', '6'] -> ((6 + (6 / 7/5)) / (3/5 / 7/5))
[73159] ['1/5', '8/9', '8/5', '7', '7'] -> (1/5 + (8/5 * (7 + (7 / 8/9))))
[73160] ['1/2', '7/9', '3/2', '5', '8'] -> ((5 * 8) / (1/2 + (7/9 * 3/2)))
[73161] ['1/8', '1/8', '1', '8/5', '7'] -> ((1 + (1/8 * 7)) / (1/8 / 8/5))
[73162] ['3/4', '1', '6/5', '7/2', '9'] -> (9 * ((3/4 - 1) + (7/2 / 6/5)))
[73163] ['2/7', '1', '4/3', '7/2', '5'] -> (1 + (4/3 * (5 + (7/2 / 2/7))))
[73164] ['5/9', '8/9', '1', '2', '7/3'] -> (((5/9 + 7/3) / (1 - 8/9)) - 2)
[73165] ['1/7', '8/3', '7/2', '4', '4'] -> (4 / ((8/3 / 4) - (1/7 * 7/2)))
[73166] ['1/8', '1/8', '1', '5/3', '7'] -> ((1 + 7) / (1/8 + (1/8 * 5/3)))
[73167] ['1/4', '6/7', '1', '5/3', '6'] -> (6 / (5/3 - (1/4 + (1 / 6/7))))
[73168] ['6/5', '7/5', '7/3', '4', '6'] -> ((7/5 * (4 + (7/3 * 6))) - 6/5)
[73169] ['3/4', '1', '5/4', '9/7', '9'] -> ((1 + 9/7) * ((5/4 * 9) - 3/4))
[73170] ['2/7', '1', '7/5', '7/5', '5'] -> ((1 + 7/5) / (5 - (7/5 / 2/7)))
[73171] ['1/5', '8/9', '7/4', '7', '7'] -> (8/9 * (7 + (7 / (1/5 * 7/4))))
[73172] ['5/6', '9/7', '9/5', '5', '6'] -> (6 + ((5/6 + 5) * (9/7 + 9/5)))
[73173] ['4/7', '5/8', '5/6', '9', '9'] -> ((9 / 4/7) + (9 - (5/8 / 5/6)))
[73174] ['5/9', '8/9', '1', '2', '7/2'] -> ((1 + (2 * 7/2)) / (8/9 - 5/9))
[73175] ['1/2', '7/9', '7/4', '5', '8'] -> (8 * (7/9 + (5 / (1/2 + 7/4))))
[73176] ['1/5', '8/9', '9/4', '7', '7'] -> ((9/4 / (1/5 / 8/9)) + (7 + 7))
[73177] ['7/9', '1', '9/7', '7/5', '7'] -> ((1 + 7/5) * (9/7 * (7/9 + 7)))
[73178] ['1/6', '1/6', '3/7', '4', '4'] -> ((4 / (3/7 * (1/6 + 1/6))) - 4)
[73179] ['2/7', '1', '7/5', '7/4', '5'] -> ((1 + 7/5) * (5 / (2/7 * 7/4)))
[73180] ['4/9', '5/4', '7/5', '2', '5'] -> (2 + (5 * (5/4 + (7/5 / 4/9))))
[73181] ['1/6', '1/6', '4/9', '4', '4'] -> ((4/9 / (1/6 * 1/6)) + (4 + 4))
[73182] ['3/5', '5/3', '7/4', '6', '6'] -> ((6 + (3/5 * 5/3)) / (7/4 / 6))
[73183] ['4/9', '5/4', '3/2', '2', '5'] -> ((3/2 + (2 / 4/9)) / (5/4 / 5))
[73184] ['3/4', '1', '1', '6/5', '8/5'] -> (6/5 / ((8/5 / (1 + 1)) - 3/4))
[73185] ['1/6', '1/6', '4/7', '4', '4'] -> (4 * ((4 / 4/7) - (1/6 / 1/6)))
[73186] ['5/6', '9/7', '9/2', '5', '6'] -> ((9/7 * (5/6 + (9/2 * 5))) - 6)
[73187] ['4/7', '5/8', '6/5', '9', '9'] -> ((9 / 4/7) + (9 - (5/8 * 6/5)))
[73188] ['4/9', '5/4', '8/5', '2', '5'] -> ((5 / (4/9 / 8/5)) / (2 - 5/4))
[73189] ['3/4', '1', '9/7', '5/2', '9'] -> ((9/7 + 9) * ((5/2 / 3/4) - 1))
[73190] ['1/6', '1/6', '3/5', '4', '4'] -> (4 + (4 / (3/5 * (1/6 + 1/6))))
[73191] ['2/7', '1', '7/5', '7/3', '5'] -> ((7/5 + 7/3) * (5 * (2/7 + 1)))
