[89511] ['2/7', '1', '9/7', '7/4', '3'] -> 2/7 / ((9/7 + 7/4) / 3 - 1)
[91564] ['1/4', '4/9', '9/5', '6', '9'] -> 4/9 * 9/5 * (9 / 1/4 - 6)
[91565] ['5/9', '3/4', '7/4', '4', '4'] -> (4 + 4 / (3/4 / 7/4)) / 5/9
[91566] ['1/9', '1/4', '7/5', '5', '9'] -> (7/5 * 5 - 1/9 * 9) / 1/4
[91567] ['1/6', '2/7', '3/2', '8', '8'] -> 2/7 * 3/2 * (8 + 8 / 1/6)
[91568] ['9/7', '5/2', '5/2', '8', '8'] -> 9/7 * (5/2 + 8) + 5/2 + 8
[91569] ['3/8', '2/5', '1', '9/8', '3'] -> 1 + (9/8 + 3 / 2/5) / 3/8
[91570] ['4/7', '5/7', '9/8', '2', '4'] -> 2 / (5/7 - 4/7 * 9/8) - 4
[91571] ['5/7', '1', '7/4', '5/2', '5'] -> (5/7 + 5) * 7/4 * 5/2 - 1
[91572] ['9/7', '5/2', '8/3', '8', '8'] -> 9/7 * (5/2 * (8/3 + 8) - 8)
[91573] ['1/9', '1/4', '8/5', '5', '9'] -> 9 / (1/9 * (1/4 + 5 / 8/5))
[91574] ['1/7', '1/5', '1/2', '1', '1'] -> (1 / 1/7 + 1 / 1/5) / 1/2
[91575] ['3/8', '2/5', '1', '8/7', '3'] -> 8/7 * (1 + 3 / (3/8 * 2/5))
[91576] ['1/9', '5/8', '1', '6/5', '3'] -> (3 - 1) / (6/5 * 1/9 * 5/8)
[91577] ['5/7', '1', '7/4', '8/3', '5'] -> 8/3 * (7/4 * (5/7 + 5) - 1)
[91578] ['2/5', '5/7', '3', '9/2', '8'] -> (2/5 + 8) * 5/7 * 9/2 - 3
[91579] ['9/7', '5/2', '9/2', '8', '8'] -> (5/2 + 8) * 8 * 9/7 / 9/2
[91580] ['1/7', '1/5', '6/5', '5', '6'] -> (5 / 1/7 - (1/5 + 6)) / 6/5
[91581] ['5/9', '3/4', '7/3', '4', '4'] -> 4 / (7/3 / 4 - 5/9 * 3/4)
[91582] ['1/9', '1/4', '9/5', '5', '9'] -> (9/5 + 9) * 5 * 1/9 / 1/4
[91583] ['5/7', '1', '7/4', '7/2', '5'] -> (1 + 5/7 * 5) * (7/4 + 7/2)
[91584] ['2/9', '1/4', '6/7', '3', '9'] -> 9 / (2/9 * 3 - 1/4 / 6/7)
[91585] ['9/7', '7/2', '7/2', '8', '8'] -> 7/2 + 8 + 8 + 9/7 * 7/2
[91586] ['1/7', '1/5', '3/5', '1', '1'] -> (1 + 1 / 1/7) / (1/5 / 3/5)
[91587] ['1/7', '1/5', '4/3', '5', '6'] -> 6 * (5 / (4/3 - 1/7) - 1/5)
[91588] ['1/9', '1/4', '7/2', '5', '9'] -> 5 / (1/9 + 1/4 * 7/2 / 9)
[91589] ['2/5', '3/4', '6/7', '3', '8'] -> (3 - 6/7) / (3/4 / (2/5 + 8))
[91590] ['1/5', '2/9', '4/3', '6', '7'] -> 4/3 / (7 / 6 - 2/9 / 1/5)
[91591] ['5/9', '3/4', '7/2', '4', '4'] -> (7/2 * 4 - 4) / (5/9 * 3/4)
[91592] ['9/7', '9/2', '9/2', '8', '8'] -> 9/2 + 8 + 8 + 9/2 / 9/7
[91593] ['1/7', '1/5', '2/3', '1', '1'] -> 2/3 * (1 + 1 / (1/7 * 1/5))
[91594] ['1/7', '1/5', '3/2', '5', '6'] -> 3/2 + 5 + 6 / (1/7 + 1/5)
[91595] ['3/5', '3/4', '5/6', '5', '9'] -> 9 / (5/6 * (3/5 - 3/4 / 5))
[91596] ['5/9', '3/4', '4', '4', '9/2'] -> 4 / ((4 - 3/4) / 9/2 - 5/9)
[91597] ['4/7', '5/7', '2', '9/4', '4'] -> 2 * (5/7 + 4 * (4/7 + 9/4))
[91598] ['2/5', '3/4', '8/7', '3', '8'] -> (2/5 + 8) * (3 / 3/4 - 8/7)
[91599] ['5/7', '1', '9/5', '5/2', '5'] -> (9/5 + 1 / 5/7) * (5/2 + 5)
[91600] ['5/9', '7/9', '7/9', '4', '4'] -> 4 / (5/9 - (7/9 + 7/9) / 4)
[91601] ['1/4', '5/9', '5/8', '6', '9'] -> 9 / (1/4 * 6 - 5/8 / 5/9)
[91602] ['1/9', '2/3', '4/5', '1', '3'] -> (3 - (2/3 - 1)) / (1/9 / 4/5)
[91603] ['3/8', '2/5', '1', '8/3', '3'] -> (1 + 3) / (3/8 * 2/5) - 8/3
[91604] ['2/5', '3/4', '9/7', '3', '8'] -> (9/7 + 3) * (3/4 * 8 - 2/5)
[91605] ['1/7', '1/5', '5/2', '5', '6'] -> 5/2 * (5 + 6 - 1/5 / 1/7)
[91606] ['3/5', '3/4', '8/7', '5', '9'] -> 9 / (3/5 / 8/7 - 3/4 / 5)
[91607] ['4/7', '3/4', '7/9', '2', '4'] -> 4 / (4/7 * 3/4) / (7/9 / 2)
[91608] ['1/5', '2/9', '9/4', '6', '7'] -> 7 / (6 * 1/5 * 2/9) - 9/4
[91609] ['1/6', '1/3', '4/5', '8', '8'] -> 8 / (1/3 / 4/5 - 1/6) - 8
[91610] ['4/3', '7/5', '7/4', '8', '8'] -> 4/3 * (8 + 8 / (7/5 / 7/4))
[91611] ['1/4', '5/9', '4/5', '6', '9'] -> 6 * 9 * (5/9 / 4/5 - 1/4)
[91612] ['5/9', '7/9', '9/7', '4', '4'] -> 4 * (5/9 / 7/9 + 9/7 + 4)
[91613] ['1/5', '2/9', '7/3', '6', '7'] -> (7 - 1/5 * (7/3 + 6)) / 2/9
[91614] ['1/6', '1/4', '3/7', '1', '2'] -> 2 / (1/6 * 3/7) - 1 / 1/4
[91615] ['1/9', '2/3', '1', '8/5', '3'] -> 8/5 * 3 * (2/3 / 1/9 - 1)
[91616] ['5/9', '7/9', '4/3', '4', '4'] -> 4/3 / (7/9 / 4 - 5/9 / 4)
[91617] ['3/5', '3/4', '9/7', '5', '9'] -> 3/4 * 5 * (9 / 9/7 - 3/5)
[91618] ['5/7', '1', '9/4', '8/3', '5'] -> 9/4 * (1 + 8/3 + 5 / 5/7)
[91619] ['1/5', '2/9', '8/3', '6', '7'] -> 8/3 / (2/9 / 1/5 + 6 - 7)
[91620] ['2/9', '2/7', '1/2', '3', '9'] -> 2/7 * (3 + 9 / (2/9 * 1/2))
[91621] ['2/9', '2/7', '5/9', '3', '9'] -> 9 / 2/7 - 3 / (2/9 / 5/9)
[91622] ['1/6', '1/3', '9/7', '8', '8'] -> 1/3 * 9/7 * (8 + 8 / 1/6)
[91623] ['3/8', '3/7', '5/6', '1', '3'] -> 1 / (3/7 * (3/8 - 5/6 / 3))
[91624] ['5/7', '1', '7/3', '5/2', '5'] -> 7/3 * 5/2 * (5 - 5/7) - 1
[91625] ['1/7', '1/5', '1', '1', '7/6'] -> (1 / 1/5 - 1) / (1/7 * 7/6)
[91626] ['5/9', '7/9', '7/4', '4', '4'] -> 4 * (5/9 + 4 * 7/9 * 7/4)
[91627] ['1/6', '1/4', '7/9', '1', '2'] -> (7/9 + 1) / (1/6 / (1/4 + 2))
[91628] ['3/5', '7/9', '7/9', '5', '9'] -> 3/5 * 5 * (9 - 7/9 / 7/9)
[91629] ['4/7', '3/4', '7/5', '2', '4'] -> (2 + 4) / (7/5 * (3/4 - 4/7))
[91630] ['1/7', '1/5', '1', '1', '6/5'] -> (1 / 1/7 - (1 + 6/5)) / 1/5
[91631] ['3/5', '7/9', '6/7', '5', '9'] -> 7/9 * 6/7 + (5 + 9) / 3/5
[91632] ['1/6', '1/4', '8/9', '1', '2'] -> (2 + 1/6 / 1/4) / (1 - 8/9)
[91633] ['1/7', '1/5', '1', '1', '5/4'] -> (1 / 1/7 - 1) / (1/5 * 5/4)
[91634] ['5/7', '1', '5/2', '5/2', '5'] -> (5/2 + 5/2 / 5/7) * (5 - 1)
[91635] ['1/6', '3/8', '2/5', '8', '8'] -> 8 / 8 / (1/6 / 2/5 - 3/8)
[91636] ['1/6', '1/4', '1', '8/7', '2'] -> 1 / (2 * 1/6 / 8/7 - 1/4)
[91637] ['1/7', '2/9', '2/5', '5', '6'] -> (2/5 + 5) * (6 - 2/9 / 1/7)
[91638] ['5/7', '1', '5/2', '8/3', '5'] -> 5/2 * 8/3 * (5 - 1 / 5/7)
[91639] ['1/6', '3/8', '3/7', '8', '8'] -> (8 / 3/7 - 8) / (1/6 / 3/8)
[91640] ['3/8', '3/7', '1', '7/5', '3'] -> 3 / (7/5 * (3/8 + 3/7) - 1)
[91641] ['2/9', '2/7', '3/4', '3', '9'] -> (9 / 2/7 - 3 / 2/9) / 3/4
[91642] ['5/9', '4/5', '5/6', '4', '4'] -> (4 - 4/5 * 5/6) / (5/9 / 4)
[91643] ['3/5', '7/9', '8/7', '5', '9'] -> 8/7 * 5 * 9 * 3/5 * 7/9
[91644] ['1/9', '2/7', '7/8', '5', '9'] -> (5 + 1/9 * 9) / (2/7 * 7/8)
[91645] ['1/6', '1/4', '1', '9/7', '2'] -> (2 - 1/4) / (1/6 / (1 + 9/7))
[91646] ['1/9', '5/7', '8/9', '1', '3'] -> (8/9 + 3) / (1/9 / 5/7) - 1
[91647] ['5/9', '4/5', '6/7', '4', '4'] -> 6/7 * (4 / (5/9 / 4) - 4/5)
[91648] ['2/9', '2/7', '4/5', '3', '9'] -> 4/5 * (9 / 2/9 - 3 / 2/7)
[91649] ['3/5', '7/9', '7/6', '5', '9'] -> 7/9 / 7/6 + (5 + 9) / 3/5
[91650] ['1/6', '3/8', '4/7', '8', '8'] -> (8 + 8) / (3/8 + 1/6 / 4/7)
[91651] ['1/7', '1/5', '1', '1', '3/2'] -> (1 + 1 / (1/7 * 1/5)) / 3/2
[91652] ['5/9', '4/5', '7/8', '4', '4'] -> 4 / (5/9 * 4) / (7/8 - 4/5)
[91653] ['4/7', '7/9', '7/9', '2', '4'] -> 2 * 4 / (7/9 - 4/7 * 7/9)
[91654] ['2/9', '2/7', '7/8', '3', '9'] -> 9 * 2/9 / 2/7 / (7/8 / 3)
[91655] ['5/7', '1', '8/3', '9/2', '5'] -> 9/2 * (1 - 8/3 + 5 / 5/7)
[91656] ['4/3', '7/4', '5/2', '8', '8'] -> 7/4 / (5/2 - 4/3) * (8 + 8)
[91657] ['1/4', '4/7', '5/8', '6', '9'] -> 6 + 9 / (4/7 * (1/4 + 5/8))
[91658] ['1/7', '1/5', '1', '1', '5/3'] -> (1 + 1 / 1/7) / (1/5 * 5/3)
[91659] ['3/5', '7/9', '7/4', '5', '9'] -> (5 + 9) / (3/5 * (7/4 - 7/9))
[91660] ['5/7', '1', '9/2', '9/2', '5'] -> (5/7 + 1) * (5 + 9/2 + 9/2)
[91661] ['1/7', '1/5', '1', '1', '7/4'] -> (1 + 1 / 1/5) / (1/7 * 7/4)
[91662] ['1/6', '2/7', '3/8', '1', '2'] -> (1 / 2/7 - 2) / (1/6 * 3/8)
[91663] ['2/9', '2/7', '6/5', '3', '9'] -> 6/5 * 9 * (3 - 2/9 / 2/7)
[91664] ['3/5', '7/9', '9/4', '5', '9'] -> 5 / (7/9 * 9/4) * (9 - 3/5)
[91665] ['5/9', '4/5', '7/6', '4', '4'] -> (4 / (5/9 / 4) - 4/5) / 7/6
[91666] ['2/5', '7/9', '4/3', '3', '8'] -> 8 / (4/3 / (2/5 * 3) - 7/9)
[91667] ['4/7', '7/9', '6/7', '2', '4'] -> (6/7 + 2 / 7/9) / (4/7 / 4)
[91668] ['3/4', '3/4', '8/9', '1', '5'] -> 3/4 * 5 / (1 - 3/4 / 8/9)
[91669] ['1/7', '2/9', '2/3', '5', '6'] -> 6 * (5 - 2/9) - 2/3 / 1/7
[91670] ['2/9', '2/7', '5/4', '3', '9'] -> (9 / 2/9 - 3 / 2/7) / 5/4
[91671] ['4/3', '9/5', '7/2', '8', '8'] -> 4/3 / (8 - (7/2 + 8 / 9/5))
[91672] ['3/5', '7/9', '5/2', '5', '9'] -> 5 + 5/2 * (3/5 + 7/9 * 9)
[91673] ['1/6', '3/8', '4/5', '8', '8'] -> (8 - 3/8 * 8) / (1/6 / 4/5)
[91674] ['2/5', '7/9', '3/2', '3', '8'] -> 8 / 2/5 / (7/9 * 3 - 3/2)
[91675] ['1/9', '2/7', '4/3', '5', '9'] -> (2/7 * (5 + 9) - 4/3) / 1/9
[91676] ['3/8', '4/9', '1/2', '1', '3'] -> (3 - 1) / (1/2 * 3/8 * 4/9)
[91677] ['1/7', '1/5', '1', '1', '7/3'] -> (1/5 + 1 / 1/7) * (1 + 7/3)
[91678] ['1/7', '2/9', '3/4', '5', '6'] -> (2/9 + 6) * 3/4 * (1/7 + 5)
[91679] ['1/6', '3/8', '6/7', '8', '8'] -> 3/8 * (8 + 8 / (1/6 * 6/7))
[91680] ['4/3', '9/4', '9/4', '8', '8'] -> 9/4 * (8 + 8 / (4/3 * 9/4))
[91681] ['2/5', '7/9', '9/4', '3', '8'] -> (8 / 2/5 - 3 / 9/4) / 7/9
[91682] ['2/9', '2/7', '3/2', '3', '9'] -> 2/9 * 9 * (3/2 + 3 / 2/7)
[91683] ['1/4', '4/7', '8/9', '6', '9'] -> 6 + (1/4 + 9 / 4/7) / 8/9
[91684] ['4/3', '7/3', '7/3', '8', '8'] -> (8 + 4/3 - 7/3) / (7/3 / 8)
[91685] ['5/9', '4/5', '8/5', '4', '4'] -> 4 * (4 / 5/9 - 4/5) - 8/5
[91686] ['3/4', '3/4', '1', '8/5', '5'] -> 5 * 3/4 * 8/5 / (1 - 3/4)
[91687] ['1/7', '2/9', '7/8', '5', '6'] -> 6 / 2/9 / (7/8 / 1/7 - 5)
[91688] ['1/9', '5/7', '1', '7/3', '3'] -> (5/7 * 3 - 1) / (1/9 / 7/3)
[91689] ['4/7', '7/9', '7/6', '2', '4'] -> (7/6 + 2 / 4/7) / (7/9 / 4)
[91690] ['4/3', '7/2', '7/2', '8', '8'] -> 8 / (4/3 + 7/2 + 7/2 - 8)
[91691] ['2/5', '7/9', '5/2', '3', '8'] -> (2/5 + 8) / (7/9 / 5/2) - 3
[91692] ['1/9', '5/7', '1', '5/2', '3'] -> 5/2 * (1 / (1/9 * 5/7) - 3)
[91693] ['3/5', '4/5', '8/9', '5', '9'] -> (5 + (4/5 + 9) / 3/5) / 8/9
[91694] ['1/5', '1/4', '4/3', '6', '7'] -> 6 * (7 / 4/3 - 1/4 / 1/5)
[91695] ['7/5', '7/5', '7/5', '8', '8'] -> 8 + (7/5 + 7/5) / (7/5 / 8)
[91696] ['3/8', '4/9', '1', '8/7', '3'] -> 1 / 3 / (4/9 / 8/7 - 3/8)
[91697] ['2/5', '7/9', '3', '9/2', '8'] -> (3 + 8) / 2/5 - 7/9 * 9/2
[91698] ['1/4', '4/7', '7/5', '6', '9'] -> 4/7 * 7/5 * (9 / 1/4 - 6)
[91699] ['3/4', '7/9', '4/5', '1', '5'] -> 5 / (3/4 / 4/5) / (1 - 7/9)
[91700] ['7/5', '7/5', '9/5', '8', '8'] -> (8 + 8 * (7/5 + 9/5)) / 7/5
[91701] ['1/6', '2/7', '5/6', '1', '2'] -> (5/6 + 1 / 2/7) / 1/6 - 2
[91702] ['1/6', '3/8', '9/4', '8', '8'] -> 8 / 1/6 / (8 - 9/4 / 3/8)
[91703] ['4/7', '7/9', '9/7', '2', '4'] -> 2 * 4 / (7/9 - 4/7 / 9/7)
[91704] ['2/9', '2/7', '3', '9/2', '9'] -> 2/9 * 3 * (9/2 + 9 / 2/7)
[91705] ['2/5', '4/5', '8/9', '3', '8'] -> (3 + 8 / 8/9) / (2/5 / 4/5)
[91706] ['1/5', '1/4', '7/3', '6', '7'] -> (1/5 + 7) * (7/3 / 1/4 - 6)
[91707] ['1/7', '2/9', '6/5', '5', '6'] -> 5 / (2/9 - 1/7 / 6) - 6/5
[91708] ['7/5', '7/5', '5/2', '8', '8'] -> (5/2 - 7/5 / 7/5) * (8 + 8)
[91709] ['3/4', '7/9', '7/8', '1', '5'] -> 5 / (1 / 3/4 - 7/8 / 7/9)
[91710] ['1/7', '2/9', '3/8', '1', '1'] -> 1 / (1/7 * 3/8) / (1 - 2/9)
[91711] ['1/6', '2/7', '1', '5/4', '2'] -> 1 / (5/4 / 2 - 1/6 / 2/7)
[91712] ['7/5', '7/5', '7/2', '8', '8'] -> (8 + 8) / (7/5 / (7/2 - 7/5))
[91713] ['3/5', '4/5', '7/2', '5', '9'] -> 9 / (3/5 * (5 - 7/2 / 4/5))
[91714] ['4/7', '7/9', '3/2', '2', '4'] -> 4 * (3/2 + 2 / (4/7 * 7/9))
[91715] ['1/7', '2/9', '4/3', '5', '6'] -> (2/9 + 6) / (4/3 / (1/7 + 5))
[91716] ['2/9', '1/3', '5/7', '3', '9'] -> (3 - 5/7) * (9 + 1/3 / 2/9)
[91717] ['1/6', '2/5', '4/9', '8', '8'] -> (8 / 4/9 - 8) / (1/6 / 2/5)
[91718] ['1/5', '1/4', '7/2', '6', '7'] -> (7 - 1/4 * 6) / 1/5 - 7/2
[91719] ['5/9', '5/6', '9/8', '4', '4'] -> 4 * (5/6 / 5/9 + 9/8 * 4)
[91720] ['2/5', '4/5', '9/7', '3', '8'] -> 8 / (3 / 9/7 - 4/5 / 2/5)
[91721] ['1/9', '3/4', '1', '8/7', '3'] -> 3/4 * 8/7 * (1 + 3 / 1/9)
[91722] ['1/9', '2/7', '9/2', '5', '9'] -> 9 * (1/9 + 9/2) - 5 / 2/7
[91723] ['1/7', '2/9', '7/5', '5', '6'] -> 7/5 * ((1/7 + 5) / 2/9 - 6)
[91724] ['3/5', '5/6', '7/8', '5', '9'] -> (5 / 5/6 + 9 / 3/5) / 7/8
[91725] ['5/9', '5/6', '8/7', '4', '4'] -> (8/7 + 4) * (4 + 5/9 / 5/6)
[91726] ['1/6', '2/7', '1', '7/5', '2'] -> (2 / (2/7 * 7/5) - 1) / 1/6
[91727] ['1/6', '2/5', '5/9', '8', '8'] -> 8 / (5/9 / (1/6 * 2/5) - 8)
[91728] ['5/9', '5/6', '7/6', '4', '4'] -> (4 + 4) / (5/6 / 5/9 - 7/6)
[91729] ['3/5', '5/6', '8/9', '5', '9'] -> 8/9 / 5/6 / (3/5 - 5 / 9)
[91730] ['1/7', '2/9', '3/2', '5', '6'] -> 6 / 1/7 / (3/2 / 2/9 - 5)
[91731] ['2/9', '1/3', '7/5', '3', '9'] -> (7/5 - 1/3) * (9 + 3 / 2/9)
[91732] ['7/5', '3/2', '7/4', '8', '8'] -> 8 / (3/2 - 7/4 / 7/5) - 8
[91733] ['1/7', '2/9', '1/2', '1', '1'] -> (1 / 2/9 - 1) / 1/7 - 1/2
[91734] ['5/9', '5/6', '5/4', '4', '4'] -> (4 - 5/6 / 5/4) / (5/9 / 4)
[91735] ['7/5', '3/2', '9/5', '8', '8'] -> (8 + 9/5 * 8) / (7/5 / 3/2)
[91736] ['3/4', '7/9', '1', '5/4', '5'] -> 5 / (3/4 * 5/4) / (1 - 7/9)
[91737] ['1/7', '2/9', '5/9', '1', '1'] -> (1 + 1 / 1/7) / (5/9 - 2/9)
[91738] ['3/8', '1/2', '4/5', '1', '3'] -> (3 / (4/5 - 1/2) - 1) / 3/8
[91739] ['3/5', '5/6', '8/7', '5', '9'] -> 8/7 * (5 / 5/6 + 9 / 3/5)
[91740] ['5/9', '5/6', '9/7', '4', '4'] -> 9/7 * 4 * (4 + 5/9 / 5/6)
[91741] ['1/9', '1/3', '7/8', '5', '9'] -> 5 / (1/3 + 7/8 - 1/9 * 9)
[91742] ['1/7', '2/9', '4/7', '1', '1'] -> (1 + 4/7 / 2/9) / 1/7 - 1
[91743] ['7/5', '3/2', '7/3', '8', '8'] -> 7/5 * 3/2 * (8 + 8 / 7/3)
[91744] ['1/7', '2/9', '3/5', '1', '1'] -> (1 / 1/7 - 1 / 3/5) / 2/9
[91745] ['5/9', '5/6', '8/5', '4', '4'] -> (5/6 + 4 / 8/5) / (5/9 / 4)
[91746] ['1/9', '3/4', '1', '9/5', '3'] -> (3 + 1 / 9/5) / (1/9 / 3/4)
[91747] ['3/4', '7/9', '1', '3/2', '5'] -> 5 / 3/4 / (7/9 + 1 - 3/2)
[91748] ['1/5', '2/7', '5/8', '6', '7'] -> 6 / (1/5 * 2/7) / (5/8 * 7)
[91749] ['1/7', '2/9', '9/4', '5', '6'] -> 5 / 6 / (1/7 * 2/9) - 9/4
[91750] ['1/4', '3/5', '4/3', '6', '9'] -> 3/5 * 4/3 * (9 / 1/4 - 6)
[91751] ['1/6', '1/3', '5/7', '1', '2'] -> (5/7 + 1) / (1/6 / (1/3 + 2))
[91752] ['7/5', '3/2', '9/2', '8', '8'] -> 7/5 * (9/2 + 8) - (3/2 - 8)
[91753] ['2/5', '6/7', '7/8', '3', '8'] -> 3 / (6/7 * 7/8) + 8 / 2/5
[91754] ['5/9', '5/6', '9/4', '4', '4'] -> 9/4 * 4 * 4 * 5/9 / 5/6
[91755] ['1/5', '2/7', '7/9', '6', '7'] -> 7 / (1/5 * 7/9) - 6 / 2/7
[91756] ['1/6', '2/5', '8/9', '8', '8'] -> (1/6 * 8 + 8 / 2/5) / 8/9
[91757] ['4/7', '7/9', '2', '4', '9/2'] -> (4 - 4/7) * 9/2 * 7/9 * 2
[91758] ['3/5', '6/7', '7/8', '5', '9'] -> 9 / (7/8 * (3/5 - 6/7 / 5))
[91759] ['1/9', '7/9', '1', '9/8', '3'] -> 3 / (9/8 * (1 - (1/9 + 7/9)))
[91760] ['1/6', '1/3', '7/9', '1', '2'] -> (1 + (1/3 + 2) / 7/9) / 1/6
[91761] ['1/9', '3/8', '2/5', '5', '9'] -> (5 / (1/9 / 2/5) - 9) / 3/8
[91762] ['1/7', '2/9', '8/3', '5', '6'] -> 8/3 / 1/7 / (6 - (2/9 + 5))
[91763] ['1/6', '2/5', '9/8', '8', '8'] -> 9/8 * (1/6 * 8 + 8 / 2/5)
[91764] ['7/5', '5/3', '7/4', '8', '8'] -> 5/3 * (8 + 8 * 7/5 / 7/4)
[91765] ['3/4', '7/9', '1', '9/5', '5'] -> (1 + 9/5) * 5 / (3/4 * 7/9)
[91766] ['1/5', '2/7', '5/6', '6', '7'] -> (6 - 2/7 * 7) / (1/5 * 5/6)
[91767] ['1/6', '1/3', '6/7', '1', '2'] -> (2 / 6/7 - 1) / (1/6 * 1/3)
[91768] ['1/9', '3/8', '3/7', '5', '9'] -> 5 / (1/9 + 3/8 / 3/7 / 9)
[91769] ['5/9', '6/7', '6/7', '4', '4'] -> 4 * (5/9 + 4 / (6/7 * 6/7))
[91770] ['7/5', '5/3', '9/4', '8', '8'] -> 9/4 * (8 * 7/5 * 5/3 - 8)
[91771] ['1/6', '1/3', '1', '9/7', '2'] -> (1 + 9/7 * (1/3 + 2)) / 1/6
[91772] ['7/5', '5/3', '7/3', '8', '8'] -> 7/5 * (8 + 7/3 + 8) - 5/3
[91773] ['3/5', '6/7', '5/4', '5', '9'] -> (9 / (6/7 - 3/5) - 5) / 5/4
[91774] ['2/5', '6/7', '7/6', '3', '8'] -> 3 + 6/7 * 7/6 + 8 / 2/5
[91775] ['1/7', '1/4', '3/8', '5', '6'] -> 6 + (5 + 1/4 / 1/7) / 3/8
[91776] ['3/5', '6/7', '4/3', '5', '9'] -> (4/3 - 6/7) * 9 * (3/5 + 5)
[91777] ['3/8', '5/9', '7/8', '1', '3'] -> 1 / (3/8 * (3 - 5/9) - 7/8)
[91778] ['1/9', '7/9', '1', '9/5', '3'] -> (9/5 + 1 / 1/9) * (3 - 7/9)
[91779] ['1/9', '3/8', '5/7', '5', '9'] -> 3/8 * 9 * (1/9 + 5 / 5/7)
[91780] ['1/9', '7/9', '1', '9/4', '3'] -> (1 / 9/4 - (7/9 - 3)) / 1/9
[91781] ['2/9', '3/8', '8/5', '3', '9'] -> (3/8 + 9 / 8/5) / 2/9 - 3
[91782] ['5/9', '6/7', '7/6', '4', '4'] -> 4 * (5/9 + 4 / (6/7 / 7/6))
[91783] ['7/5', '7/4', '9/4', '8', '8'] -> (8 - 7/4 / 7/5) / (9/4 / 8)
[91784] ['2/5', '6/7', '4/3', '3', '8'] -> 4/3 * (2/5 + 8) * (3 - 6/7)
[91785] ['4/7', '4/5', '8/7', '2', '4'] -> (2 + 8/7 / 4/5) / (4/7 / 4)
[91786] ['1/7', '2/9', '8/9', '1', '1'] -> (1 / 1/7 - 1) / (2/9 / 8/9)
[91787] ['1/9', '3/8', '7/9', '5', '9'] -> 9 + 5 / (3/8 * (1/9 + 7/9))
[91788] ['1/5', '2/7', '7/6', '6', '7'] -> (6 / 1/5 - 2/7 * 7) / 7/6
[91789] ['1/9', '7/9', '1', '5/2', '3'] -> 5/2 * (3 + 7/9 / 1/9) - 1
[91790] ['3/5', '6/7', '7/4', '5', '9'] -> (3/5 + 5) * (9 / 7/4 - 6/7)
[91791] ['7/5', '7/4', '7/3', '8', '8'] -> 7/3 * (8 / 7/5 + 8 / 7/4)
[91792] ['1/7', '2/9', '1', '1', '9/8'] -> (1 / 1/7 - 1) / (2/9 * 9/8)
[91793] ['2/5', '6/7', '3/2', '3', '8'] -> (2/5 + 8) * (6/7 + 3 / 3/2)
[91794] ['3/8', '5/9', '1', '7/6', '3'] -> 1 / (5/9 - (3/8 + 7/6) / 3)
[91795] ['1/6', '2/5', '5/2', '8', '8'] -> 8 / (1/6 * 8 - 2/5 * 5/2)
[91796] ['7/5', '7/4', '5/2', '8', '8'] -> 8 + 7/5 / 7/4 * 5/2 * 8
[91797] ['3/4', '4/5', '1', '7/6', '5'] -> 4/5 * 5 / (1 / 3/4 - 7/6)
[91798] ['4/7', '4/5', '6/5', '2', '4'] -> 4/5 / (6/5 / 2 - 4/7) - 4
[91799] ['3/5', '6/7', '9/4', '5', '9'] -> 9 / (3/5 * 5 - 9/4 / 6/7)
[91800] ['2/5', '6/7', '5/3', '3', '8'] -> 6/7 * (5/3 + 3) + 8 / 2/5
[91801] ['1/6', '2/5', '7/2', '8', '8'] -> 8 / ((7/2 - 1/6) / 2/5 - 8)
[91802] ['1/5', '2/7', '3/2', '6', '7'] -> 3/2 * (6 + 7 / (1/5 / 2/7))
[91803] ['1/7', '1/4', '2/3', '5', '6'] -> 2/3 + 5 / 6 / (1/7 * 1/4)
[91804] ['1/6', '3/8', '8/9', '1', '2'] -> (2 + 1 / 1/6) / (3/8 * 8/9)
[91805] ['7/5', '7/4', '7/2', '8', '8'] -> (7/2 - 7/4) * (8 + 8 / 7/5)
[91806] ['1/7', '2/9', '1', '1', '6/5'] -> (1 + 1) / (2/9 - 1/7) - 6/5
[91807] ['4/7', '4/5', '4/3', '2', '4'] -> 4 / (2 / 4/5 - 4/3 / 4/7)
[91808] ['3/5', '6/7', '9/2', '5', '9'] -> 5 * 3/5 * 9/2 + 9 / 6/7
[91809] ['5/9', '6/7', '5/3', '4', '4'] -> 6/7 * 4 * (4 + 5/3 / 5/9)
[91810] ['1/6', '3/8', '1', '6/5', '2'] -> (2 / (1/6 * 6/5) - 1) / 3/8
[91811] ['7/5', '9/5', '9/5', '8', '8'] -> 8 * (8 - (9/5 + 7/5 + 9/5))
[91812] ['2/5', '6/7', '7/3', '3', '8'] -> 8 / (2/5 * 6/7) - (7/3 - 3)
[91813] ['4/7', '4/5', '7/5', '2', '4'] -> 4/5 / (2 - (4/7 + 7/5)) - 4
[91814] ['3/5', '7/8', '8/9', '5', '9'] -> 3/5 * 5 / (9 * (8/9 - 7/8))
[91815] ['7/5', '9/5', '9/4', '8', '8'] -> (8 + 7/5 * 8) / (9/5 / 9/4)
[91816] ['1/9', '3/8', '7/5', '5', '9'] -> 3/8 * 9 * (1/9 + 7/5 * 5)
[91817] ['3/8', '5/9', '1', '5/2', '3'] -> 5/2 / (3/8 * 5/9) * (3 - 1)
