[53704] ['1/8', '2/5', '7/4', '8', '8'] -> (8 / (1/8 + (7/4 / (2/5 + 8))))
[58096] ['3/4', '9/7', '3/2', '5', '5'] -> ((5 + 5) / ((3/2 / 9/7) - 3/4))
[58097] ['1/2', '5/6', '8/7', '4', '8'] -> (8 / (8/7 * (1/2 - (5/6 / 4))))
[58098] ['1/5', '1/5', '7/6', '5', '8'] -> (5 / ((1/5 * 7/6) - (1/5 / 8)))
[58099] ['9/8', '7/6', '9/5', '7', '7'] -> (9/5 / ((7 / (7 - 7/6)) - 9/8))
[58100] ['1/9', '1/4', '3/4', '7', '7'] -> ((((1/4 + 7) / 3/4) - 7) / 1/9)
[58101] ['1/5', '3/7', '2', '9/4', '5'] -> (2 / ((5 * (1/5 / 3/7)) - 9/4))
[58102] ['1/5', '4/3', '2', '2', '5/2'] -> ((2 / 4/3) + ((2 + 5/2) / 1/5))
[58103] ['3/4', '9/7', '8/5', '5', '5'] -> ((9/7 * 8/5) * (5 + (5 / 3/4)))
[58104] ['2/5', '2/3', '1', '7/2', '7'] -> ((1 + 7/2) * (7 - (2/3 / 2/5)))
[58105] ['1/2', '5/6', '9/7', '4', '8'] -> ((9/7 * 8) * (4 - (5/6 / 1/2)))
[58106] ['9/8', '7/6', '5/2', '7', '7'] -> ((7 - 5/2) * (7 / (9/8 * 7/6)))
[58107] ['1', '8/7', '9/5', '5/2', '5'] -> ((8/7 * (1 + 9/5)) * (5/2 + 5))
[58108] ['3/7', '3/5', '5/3', '3', '3'] -> (3 * ((3/5 * 5/3) + (3 / 3/7)))
[58109] ['7/9', '9/7', '8/5', '4', '7'] -> ((9/7 * (7/9 + 7)) * (4 - 8/5))
[58110] ['5/9', '7/8', '1', '9/7', '6'] -> (6 / (7/8 * (1 - (5/9 * 9/7))))
[58111] ['2/5', '5/7', '5/7', '1', '7'] -> (((5/7 + 5/7) / (2/5 / 7)) - 1)
[58112] ['9/8', '7/6', '9/2', '7', '7'] -> ((9/2 / 9/8) / (7/6 - (7 / 7)))
[58113] ['1/4', '4/3', '8/5', '9', '9'] -> ((4/3 * 8/5) * (9 + (1/4 * 9)))
[58114] ['1/5', '1/5', '7/4', '5', '8'] -> ((8 + (1/5 + 1/5)) / (7/4 / 5))
[58115] ['1/4', '5/9', '8/5', '6', '6'] -> (6 + ((1/4 + 6) / (5/9 / 8/5)))
[58116] ['1/9', '1/4', '5/6', '7', '7'] -> (((1/4 * (7 + 7)) - 5/6) / 1/9)
[58117] ['3/7', '3/5', '7/4', '3', '3'] -> ((7/4 * 3) * ((3 / 3/5) - 3/7))
[58118] ['2/9', '3/7', '5/9', '4', '9'] -> ((9 - (5/9 - 4)) / (2/9 / 3/7))
[58119] ['9/8', '6/5', '6/5', '7', '7'] -> (6/5 / ((6/5 * (7 - 9/8)) - 7))
[58120] ['7/9', '9/7', '7/4', '4', '7'] -> (7 * (4 - ((7/9 * 9/7) / 7/4)))
[58121] ['1/5', '1/5', '9/4', '5', '8'] -> ((9/4 * 8) + (5 + (1/5 / 1/5)))
[58122] ['1/4', '4/3', '9/5', '9', '9'] -> (9 + (9 / (9/5 * (1/4 * 4/3))))
[58123] ['3/4', '9/7', '9/4', '5', '5'] -> ((3/4 - (9/4 / 9/7)) + (5 * 5))
[58124] ['3/7', '3/5', '9/4', '3', '3'] -> ((9/4 + 3) * ((3 / 3/5) - 3/7))
[58125] ['5/9', '7/8', '1', '7/5', '6'] -> ((1 + 6) / (5/9 * (7/5 - 7/8)))
[58126] ['1/9', '1/4', '7/8', '7', '7'] -> (7 / (1/9 * (7/8 + (1/4 * 7))))
[58127] ['1/4', '7/5', '7/5', '9', '9'] -> ((9 + 9) / ((7/5 / 7/5) - 1/4))
[58128] ['1/4', '5/9', '5/2', '6', '6'] -> (5/2 + (6 * (1/4 + (5/9 * 6))))
[58129] ['2/5', '5/7', '8/9', '1', '7'] -> ((1 + (7 / 5/7)) / (2/5 / 8/9))
[58130] ['7/9', '9/7', '8/3', '4', '7'] -> (9/7 + ((7 + (8/3 * 4)) / 7/9))
[58131] ['1/9', '1/4', '9/8', '7', '7'] -> (((7 - 1/9) / (1/4 / 9/8)) - 7)
[58132] ['1/5', '4/9', '5/9', '2', '5'] -> ((5 / 1/5) - (2 - (4/9 + 5/9)))
[58133] ['5/9', '7/8', '1', '8/5', '6'] -> (6 / ((1 / (5/9 * 8/5)) - 7/8))
[58134] ['3/7', '3/5', '5/2', '3', '3'] -> (3 + ((3/5 + 3) / (3/7 / 5/2)))
[58135] ['1', '8/7', '9/4', '8/3', '5'] -> (9/4 * ((5 / (8/7 / 8/3)) - 1))
[58136] ['1/4', '4/7', '3/5', '6', '6'] -> ((6 / (4/7 * (3/5 - 1/4))) - 6)
[58137] ['1/2', '7/8', '8/9', '4', '8'] -> ((1/2 / (8/9 - 7/8)) - (4 + 8))
[58138] ['1/7', '3/2', '9/2', '8', '8'] -> ((8 / (1/7 / 3/2)) / (8 - 9/2))
[58139] ['2/5', '5/7', '1', '7/6', '7'] -> ((1 + 7) / (7/6 * (2/5 * 5/7)))
[58140] ['1/5', '2/9', '3/8', '5', '8'] -> ((8 - (5 * (1/5 / 3/8))) / 2/9)
[58141] ['1/4', '7/5', '5/3', '9', '9'] -> (((7/5 * 9) - 9) / (1/4 / 5/3))
[58142] ['9/8', '6/5', '7/5', '7', '7'] -> ((7 / 7) / ((7/5 / 6/5) - 9/8))
[58143] ['1/4', '4/7', '5/8', '6', '6'] -> ((6 + 6) / (4/7 * (1/4 + 5/8)))
[58144] ['1/5', '3/2', '5/3', '2', '2'] -> ((2 + (2 / 5/3)) / (1/5 / 3/2))
[58145] ['9/8', '6/5', '3/2', '7', '7'] -> (3/2 / ((7 / 7) - (9/8 / 6/5)))
[58146] ['5/9', '7/8', '1', '9/4', '6'] -> ((6 * (5/9 + 1)) / (7/8 / 9/4))
[58147] ['1/7', '8/5', '7/4', '8', '8'] -> (8 * (1/7 + (8 / (8/5 * 7/4))))
[58148] ['3/7', '5/8', '5/8', '3', '3'] -> (3 * ((5/8 / 5/8) + (3 / 3/7)))
[58149] ['1/5', '2/9', '3/7', '5', '8'] -> ((8 / 3/7) / ((1/5 * 5) - 2/9))
[58150] ['1/5', '3/2', '7/4', '2', '2'] -> ((2 / 1/5) / (7/4 - (2 / 3/2)))
[58151] ['7/9', '4/3', '5/2', '4', '7'] -> (4/3 / ((5/2 / (7 - 4)) - 7/9))
[58152] ['9/8', '6/5', '5/3', '7', '7'] -> ((9/8 * 5/3) * (7 - (6/5 - 7)))
[58153] ['1/4', '7/5', '5/2', '9', '9'] -> ((7/5 + (9 / 9)) / (1/4 / 5/2))
[58154] ['5/9', '7/8', '1', '7/3', '6'] -> ((7/3 / (5/9 * 7/8)) * (6 - 1))
[58155] ['1', '8/7', '7/3', '7/2', '5'] -> (5 / ((1 / 8/7) - (7/3 / 7/2)))
[58156] ['3/7', '5/8', '2/3', '3', '3'] -> ((3 + (3 / 3/7)) / (5/8 * 2/3))
[58157] ['1/9', '1/4', '9/7', '7', '7'] -> ((7 - (7 * (1/9 * 9/7))) / 1/4)
[58158] ['2/5', '5/7', '1', '7/5', '7'] -> ((7 - 7/5) / (2/5 / (5/7 + 1)))
[58159] ['7/9', '7/5', '7/5', '4', '7'] -> ((7 - 7/9) / (7/5 / (7/5 + 4)))
[58160] ['3/7', '5/8', '3/4', '3', '3'] -> (3 / ((5/8 * 3) - (3/4 / 3/7)))
[58161] ['1', '8/7', '5/2', '5/2', '5'] -> (5/2 + ((1 + 5/2) * (8/7 + 5)))
[58162] ['1/7', '8/5', '7/3', '8', '8'] -> ((7/3 * (1/7 + 8)) + (8 / 8/5))
[58163] ['1/5', '4/9', '6/7', '2', '5'] -> (((2 / 6/7) - 1/5) / (4/9 / 5))
[58164] ['7/9', '7/5', '8/5', '4', '7'] -> (4 * ((7 / 7/9) - (7/5 + 8/5)))
[58165] ['1/2', '8/9', '7/5', '4', '8'] -> ((1/2 * (8/9 + 8)) * (7/5 + 4))
[58166] ['5/9', '8/9', '8/9', '1', '6'] -> ((6 * (8/9 + 8/9)) / (1 - 5/9))
[58167] ['1/9', '1/4', '3/2', '7', '7'] -> ((7 / (1/9 * 1/4)) / (3/2 * 7))
[58168] ['1/5', '5/3', '5/3', '2', '2'] -> (2 * ((5/3 / 1/5) + (5/3 + 2)))
[58169] ['1/4', '4/7', '5/4', '6', '6'] -> ((4/7 * 6) * (6 - (1/4 - 5/4)))
[58170] ['1/7', '8/5', '8/3', '8', '8'] -> ((8 / 1/7) / ((8 / 8/5) - 8/3))
[58171] ['9/8', '6/5', '5/2', '7', '7'] -> ((6/5 * 5/2) / (9/8 - (7 / 7)))
[58172] ['5/9', '8/9', '1', '9/8', '6'] -> (5/9 / ((8/9 / 6) + (1 - 9/8)))
[58173] ['1', '8/7', '9/2', '9/2', '5'] -> (9/2 / (5 - ((1 + 9/2) / 8/7)))
[58174] ['7/9', '7/5', '7/4', '4', '7'] -> ((7/5 + 4) / (7/4 / (7/9 + 7)))
[58175] ['1/4', '3/2', '9/5', '9', '9'] -> ((9 - (9 / 9/5)) / (1/4 / 3/2))
[58176] ['1/5', '4/9', '9/8', '2', '5'] -> ((5 / 1/5) - (2 * (4/9 * 9/8)))
[58177] ['3/4', '7/5', '7/3', '5', '5'] -> ((5 * ((5 / 3/4) - 7/5)) - 7/3)
[58178] ['1/5', '2/9', '4/5', '5', '8'] -> ((1/5 - 5) + (8 / (2/9 / 4/5)))
[58179] ['7/9', '7/5', '7/3', '4', '7'] -> ((7 + (7/3 + 4)) / (7/9 / 7/5))
[58180] ['1/5', '5/3', '2', '2', '7/2'] -> ((5/3 * 2) * (1/5 + (2 * 7/2)))
[58181] ['5/9', '8/9', '1', '5/4', '6'] -> ((6 * (5/9 / 5/4)) / (1 - 8/9))
[58182] ['3/7', '5/8', '6/5', '3', '3'] -> ((3 / 5/8) / (3 - (6/5 / 3/7)))
[58183] ['3/4', '7/5', '5/2', '5', '5'] -> (5/2 + ((3/4 + 7/5) * (5 + 5)))
[58184] ['1/9', '1/4', '9/5', '7', '7'] -> ((7 / 1/4) - (1/9 + (7 / 9/5)))
[58185] ['1/4', '8/5', '8/5', '9', '9'] -> ((9 + 9) / ((8/5 / 8/5) - 1/4))
[58186] ['2/9', '3/7', '7/5', '4', '9'] -> ((9 / 7/5) - (3/7 - (4 / 2/9)))
[58187] ['5/9', '8/9', '1', '9/7', '6'] -> ((8/9 * 6) / ((1 / 9/7) - 5/9))
[58188] ['1', '7/6', '7/6', '7/5', '5'] -> (((7/6 * 5) / (7/5 - 7/6)) - 1)
[58189] ['1/5', '4/9', '7/6', '2', '5'] -> (((7/6 * 2) - 1/5) / (4/9 / 5))
[58190] ['3/7', '5/8', '5/4', '3', '3'] -> (3 / ((3/7 * (3 - 5/4)) - 5/8))
[58191] ['3/4', '7/5', '8/3', '5', '5'] -> ((3/4 * 8/3) * (5 + (7/5 * 5)))
[58192] ['7/9', '7/5', '8/3', '4', '7'] -> (8/3 / (4 - (7 * (7/9 / 7/5))))
[58193] ['2/5', '5/7', '1', '8/3', '7'] -> ((1 + (2/5 * 5/7)) * (8/3 * 7))
[58194] ['9/8', '5/4', '9/7', '7', '7'] -> (9/7 / (((5/4 + 7) / 7) - 9/8))
[58195] ['1', '7/6', '7/6', '8/5', '5'] -> (8/5 / ((1 - 7/6) + (7/6 / 5)))
[58196] ['1/2', '9/8', '7/3', '4', '8'] -> (8 / (4 * (7/3 - (9/8 / 1/2))))
[58197] ['2/5', '5/7', '1', '7/2', '7'] -> ((5/7 + 1) * ((7 / 2/5) - 7/2))
[58198] ['3/7', '5/8', '7/5', '3', '3'] -> ((3 / (3/7 * 5/8)) / (7/5 / 3))
[58199] ['1/5', '2/9', '9/8', '5', '8'] -> ((2/9 * 8) + (5 / (1/5 * 9/8)))
[58200] ['2/9', '3/7', '5/3', '4', '9'] -> (((5/3 + 9) / 3/7) - (2/9 * 4))
[58201] ['1/7', '5/3', '7/2', '8', '8'] -> ((8 - (8 / 7/2)) / (1/7 * 5/3))
[58202] ['1', '7/6', '7/6', '5/3', '5'] -> ((1 + 5) * (5/3 + (7/6 + 7/6)))
[58203] ['1/4', '8/5', '5/2', '9', '9'] -> ((9 / (8/5 - 1/4)) / (5/2 / 9))
[58204] ['1/9', '1/4', '7/2', '7', '7'] -> ((7 / (1/9 * 1/4)) / (7/2 + 7))
[58205] ['5/9', '1', '9/8', '9/8', '6'] -> (6 / ((5/9 * (9/8 + 9/8)) - 1))
[58206] ['1/5', '7/4', '2', '2', '5/2'] -> (5/2 + (2 * (2 + (7/4 / 1/5))))
[58207] ['2/9', '3/7', '7/4', '4', '9'] -> ((2/9 * 9) / ((7/4 / 3/7) - 4))
[58208] ['1/4', '4/7', '8/3', '6', '6'] -> (8/3 * ((6 / 4/7) - (1/4 * 6)))
[58209] ['5/9', '1', '9/8', '8/7', '6'] -> (6 / ((1 / 8/7) - (5/9 * 9/8)))
[58210] ['9/8', '5/4', '3/2', '7', '7'] -> (9/8 + (3/2 * (7 + (5/4 + 7))))
[58211] ['1/4', '4/7', '9/2', '6', '6'] -> (4/7 * (9/2 + (6 * (1/4 + 6))))
[58212] ['1/7', '7/4', '7/3', '8', '8'] -> (8 / (7/3 - (8 * (1/7 * 7/4))))
[58213] ['3/4', '3/2', '5/2', '5', '5'] -> (5 * (5 - ((3/4 / 3/2) / 5/2)))
[58214] ['1', '7/6', '7/6', '9/4', '5'] -> (9/4 * ((5 * (7/6 + 7/6)) - 1))
[58215] ['3/7', '5/8', '9/4', '3', '3'] -> (3 / ((5/8 / 3/7) - (3 / 9/4)))
[58216] ['1/5', '2/9', '5/4', '5', '8'] -> ((1/5 - 5) + (8 / (2/9 * 5/4)))
[58217] ['2/9', '3/7', '7/3', '4', '9'] -> ((2/9 + 9) + ((7/3 + 4) / 3/7))
[58218] ['1/4', '5/3', '7/3', '9', '9'] -> (((7/3 * 9) - (5/3 * 9)) / 1/4)
[58219] ['1/9', '2/7', '3/8', '7', '7'] -> (7 / (2/7 + ((1/9 * 3/8) / 7)))
[58220] ['5/9', '1', '9/8', '6/5', '6'] -> (6 / (1 - (6/5 * (5/9 * 9/8))))
[58221] ['1/5', '9/5', '2', '2', '7/3'] -> (((2 * 7/3) - 2) / (1/5 / 9/5))
[58222] ['1/2', '7/6', '9/5', '4', '8'] -> ((9/5 * 8) * (4 - (7/6 / 1/2)))
[58223] ['3/7', '5/8', '5/2', '3', '3'] -> ((3/7 + 3) * (3 + (5/2 / 5/8)))
[58224] ['1/5', '2/9', '9/7', '5', '8'] -> (8 / (5 * (2/9 - (1/5 / 9/7))))
[58225] ['1/4', '5/3', '8/3', '9', '9'] -> ((9 + 9) / (8/3 - (1/4 + 5/3)))
[58226] ['1', '7/6', '7/6', '8/3', '5'] -> ((5 * (8/3 + (7/6 + 7/6))) - 1)
[58227] ['1/5', '4/9', '2', '9/4', '5'] -> ((5 / 1/5) - (2 - (4/9 * 9/4)))
[58228] ['2/9', '4/9', '3/5', '4', '9'] -> ((9 - (4/9 / 4)) / (2/9 / 3/5))
[58229] ['1/5', '9/5', '2', '2', '9/2'] -> ((2 + (9/5 / 9/2)) / (1/5 / 2))
[58230] ['2/5', '3/4', '1', '9/8', '7'] -> ((1 + 7) * (9/8 + (3/4 / 2/5)))
[58231] ['3/7', '5/8', '3', '3', '9/2'] -> (3 / (9/2 - (3 / (3/7 / 5/8))))
[58232] ['1/9', '2/7', '4/9', '7', '7'] -> (((7 - (1/9 / 7)) / 2/7) - 4/9)
[58233] ['1/4', '7/4', '7/4', '9', '9'] -> ((9 + 9) / ((7/4 / 7/4) - 1/4))
[58234] ['9/8', '5/4', '7/3', '7', '7'] -> ((7 / 7) / ((9/8 + 5/4) - 7/3))
[58235] ['2/5', '3/4', '1', '7/6', '7'] -> (7 / ((1 + 7/6) - (3/4 / 2/5)))
[58236] ['3/7', '2/3', '2/3', '3', '3'] -> (3 * ((2/3 / 2/3) + (3 / 3/7)))
[58237] ['3/4', '8/5', '7/3', '5', '5'] -> (5 * ((8/5 / 3/4) - (7/3 - 5)))
[58238] ['7/9', '8/5', '9/4', '4', '7'] -> (((7/9 + 7) * (8/5 * 9/4)) - 4)
[58239] ['1/5', '2', '2', '9/4', '7/3'] -> (9/4 * ((7/3 / 1/5) - (2 / 2)))
[58240] ['1/4', '7/4', '9/5', '9', '9'] -> (((9 - 7/4) / 1/4) - (9 / 9/5))
[58241] ['9/8', '5/4', '8/3', '7', '7'] -> (8/3 / ((5/4 / 9/8) - (7 / 7)))
[58242] ['1/2', '5/4', '9/7', '4', '8'] -> (4 * ((1/2 / (9/7 - 5/4)) - 8))
[58243] ['1/5', '2', '2', '9/4', '5/2'] -> ((2 * (2 + (9/4 / 1/5))) - 5/2)
[58244] ['3/4', '8/5', '7/2', '5', '5'] -> ((8/5 * 5) / (5 - (7/2 / 3/4)))
[58245] ['1/7', '9/5', '5/2', '8', '8'] -> (((8 / (5/2 - 9/5)) - 8) / 1/7)
[58246] ['9/8', '5/4', '7/2', '7', '7'] -> ((7/2 * (7 + (5/4 / 7))) - 9/8)
[58247] ['1/7', '9/5', '8/3', '8', '8'] -> ((((8 / 1/7) - 8) / 9/5) - 8/3)
[58248] ['1/4', '9/5', '5/2', '9', '9'] -> ((9 / 9/5) + (9 + (5/2 / 1/4)))
[58249] ['1/2', '9/7', '7/5', '4', '8'] -> (4 + ((1/2 + 9/7) * (7/5 * 8)))
[58250] ['2/5', '3/4', '1', '5/3', '7'] -> ((7 / (2/5 * 3/4)) - (1 - 5/3))
[58251] ['3/4', '5/3', '5/3', '5', '5'] -> ((5 + 5) / (5/3 - (3/4 * 5/3)))
[58252] ['5/9', '1', '9/8', '7/3', '6'] -> ((1 + (7/3 * 6)) / (5/9 * 9/8))
[58253] ['1/5', '2', '2', '7/3', '7/3'] -> (2 * ((7/3 / 1/5) - (2 - 7/3)))
[58254] ['9/8', '9/7', '9/7', '7', '7'] -> (7 + (7 * (9/7 + (9/7 / 9/8))))
[58255] ['1', '7/6', '6/5', '3/2', '5'] -> ((6/5 / 3/2) * (5 / (7/6 - 1)))
[58256] ['7/9', '8/5', '7/2', '4', '7'] -> (4 + (8/5 * (7/2 + (7 / 7/9))))
[58257] ['2/5', '3/4', '1', '7/4', '7'] -> (((7/4 + 7) / (3/4 - 2/5)) - 1)
[58258] ['1/5', '1/4', '2/7', '5', '8'] -> ((8 / 2/7) - (5 * (1/5 / 1/4)))
[58259] ['9/8', '9/7', '4/3', '7', '7'] -> ((9/8 * 4/3) * (7 + (9/7 * 7)))
[58260] ['1/9', '2/7', '5/8', '7', '7'] -> (7 / (1/9 * (5/8 + (2/7 * 7))))
[58261] ['3/4', '5/3', '5/2', '5', '5'] -> (5 / ((3/4 * (5 - 5/2)) - 5/3))
[58262] ['2/9', '1/2', '4/7', '4', '9'] -> (((2/9 * 9) / (4/7 - 1/2)) - 4)
[58263] ['1/4', '5/8', '7/9', '6', '6'] -> ((6 * ((7/9 * 6) - 5/8)) - 1/4)
[58264] ['3/4', '5/3', '8/3', '5', '5'] -> (8/3 * (5 + (5 / (3/4 * 5/3))))
[58265] ['3/7', '2/3', '8/7', '3', '3'] -> ((8/7 / (3/7 * 2/3)) * (3 + 3))
[58266] ['1/5', '2', '2', '7/3', '9/2'] -> (9/2 * ((2 / 1/5) - (2 * 7/3)))
[58267] ['1/5', '1/4', '4/9', '5', '8'] -> ((8 / 4/9) / ((1/5 * 5) - 1/4))
[58268] ['9/8', '9/7', '8/5', '7', '7'] -> (8/5 * (7 + (7 / (9/8 / 9/7))))
[58269] ['1/7', '9/4', '7/3', '8', '8'] -> (9/4 * (8 + (8 * (1/7 * 7/3))))
[58270] ['2/9', '1/2', '5/7', '4', '9'] -> ((9 / (5/7 - 1/2)) - (4 / 2/9))
[58271] ['1/5', '2', '2', '5/2', '8/3'] -> ((2 * 5/2) * (8/3 * (2 - 1/5)))
[58272] ['3/7', '2/3', '6/5', '3', '3'] -> (((3 + 3) / (2/3 - 3/7)) - 6/5)
[58273] ['1/4', '5/8', '9/7', '6', '6'] -> ((6 * ((6 / 9/7) - 5/8)) - 1/4)
[58274] ['2/5', '3/4', '1', '8/3', '7'] -> (((1 + 7) / (2/5 * 3/4)) - 8/3)
[58275] ['1/4', '8/3', '7/2', '9', '9'] -> (9 / ((1/4 + 7/2) - (9 / 8/3)))
[58276] ['1', '7/6', '6/5', '7/3', '5'] -> ((6/5 + (1 / 7/6)) * (7/3 * 5))
[58277] ['7/9', '5/3', '7/2', '4', '7'] -> ((5/3 * 4) / (7/9 - (7/2 / 7)))
[58278] ['5/9', '1', '8/7', '9/7', '6'] -> ((8/7 * 6) / (1 - (5/9 * 9/7)))
[58279] ['3/4', '7/4', '9/4', '5', '5'] -> (((7/4 + 5) + (9/4 * 5)) / 3/4)
[58280] ['1/7', '9/4', '9/2', '8', '8'] -> ((9/4 / 9/2) * ((8 / 1/7) - 8))
[58281] ['1', '7/6', '6/5', '8/3', '5'] -> (1 + ((7/6 + 8/3) * (6/5 * 5)))
[58282] ['2/5', '7/9', '7/9', '1', '7'] -> (((7/9 + 7) / (2/5 * 7/9)) - 1)
[58283] ['1/5', '1/2', '7/4', '2', '5'] -> (((1/2 + 5) / 1/5) - (7/4 * 2))
[58284] ['3/4', '7/4', '8/3', '5', '5'] -> (8/3 * ((3/4 - 7/4) + (5 + 5)))
[58285] ['1/9', '2/7', '8/9', '7', '7'] -> ((7 - ((1/9 + 8/9) / 7)) / 2/7)
[58286] ['1', '7/6', '5/4', '9/7', '5'] -> ((1 + 5) / ((7/6 * 9/7) - 5/4))
[58287] ['2/9', '1/2', '6/5', '4', '9'] -> ((2/9 + (1/2 * 4)) * (6/5 * 9))
[58288] ['1/5', '1/4', '6/7', '5', '8'] -> ((8 - (1/5 * 5)) / (1/4 / 6/7))
[58289] ['1/2', '7/5', '8/3', '4', '8'] -> (((7/5 * 8/3) * (8 - 1/2)) - 4)
[58290] ['2/5', '7/9', '5/6', '1', '7'] -> (((7 / 7/9) - 1) / (2/5 * 5/6))
[58291] ['3/4', '9/5', '9/5', '5', '5'] -> (((9/5 * 5) + (9/5 * 5)) / 3/4)
[58292] ['2/9', '1/2', '5/4', '4', '9'] -> ((1/2 * 4) / (2/9 - (5/4 / 9)))
[58293] ['1/5', '1/4', '8/9', '5', '8'] -> (8/9 * ((1/4 * 8) + (5 / 1/5)))
[58294] ['1/9', '2/7', '8/7', '7', '7'] -> ((8/7 / 1/9) + (7 - (2/7 - 7)))
[58295] ['3/7', '2/3', '8/5', '3', '3'] -> ((3 + (3 / 3/7)) / (2/3 / 8/5))
[58296] ['1/7', '5/2', '8/3', '8', '8'] -> ((8/3 + (8 / (5/2 + 8))) / 1/7)
[58297] ['3/4', '9/5', '7/3', '5', '5'] -> ((9/5 + 5) / (3/4 - (7/3 / 5)))
[58298] ['1/5', '1/4', '8/7', '5', '8'] -> (((8 / 8/7) - (1/5 * 5)) / 1/4)
[58299] ['2/7', '2/7', '4/7', '9', '9'] -> ((2/7 + 4/7) + (9 * (2/7 * 9)))
[58300] ['2/9', '2/9', '3/7', '2', '2'] -> (2 + ((2/9 + (2 / 3/7)) / 2/9))
[58301] ['1/9', '2/7', '6/5', '7', '7'] -> ((2/7 * 6/5) * (7 + (7 / 1/9)))
[58302] ['2/9', '2/9', '4/9', '2', '2'] -> ((2 + (2/9 + 4/9)) / (2/9 / 2))
[58303] ['1/5', '1/4', '7/6', '5', '8'] -> ((8 - (1/5 * 5)) / (1/4 * 7/6))
[58304] ['1/7', '8/3', '7/2', '8', '8'] -> ((8/3 * (1/7 + 8)) + (8 / 7/2))
[58305] ['3/7', '2/3', '9/5', '3', '3'] -> (9/5 * (((3 + 3) / 3/7) - 2/3))
[58306] ['2/5', '7/9', '8/9', '1', '7'] -> ((7/9 + (8/9 / 2/5)) * (1 + 7))
[58307] ['1/9', '2/7', '5/4', '7', '7'] -> ((7 / 1/9) / (7 - (5/4 / 2/7)))
[58308] ['2/9', '1/2', '8/5', '4', '9'] -> ((9 * (2/9 + (4 / 8/5))) - 1/2)
[58309] ['2/9', '2/9', '5/9', '2', '2'] -> ((2/9 + (2 * (5/9 + 2))) / 2/9)
[58310] ['2/7', '2/7', '5/7', '9', '9'] -> (((9 - (2/7 - 5/7)) / 2/7) - 9)
[58311] ['3/7', '2/3', '9/4', '3', '3'] -> (9/4 * ((2/3 + 3) + (3 / 3/7)))
[58312] ['1', '7/6', '9/7', '3/2', '5'] -> ((1 + 5) / (7/6 * (3/2 - 9/7)))
[58313] ['1/9', '2/7', '9/7', '7', '7'] -> (((7 - 1/9) / (2/7 / 9/7)) - 7)
[58314] ['7/9', '9/4', '7/2', '4', '7'] -> ((7/2 + 7) * (4 / (7/9 * 9/4)))
[58315] ['2/9', '2/9', '3/5', '2', '2'] -> ((2 / 2/9) + (2 / (2/9 * 3/5)))
[58316] ['1/7', '9/2', '9/2', '8', '8'] -> (((1/7 + 8) * (8 - 9/2)) - 9/2)
[58317] ['1', '7/6', '9/7', '8/5', '5'] -> ((5 / (7/6 / 8/5)) / (9/7 - 1))
[58318] ['9/8', '4/3', '3/2', '7', '7'] -> ((7 + 7) / (4/3 - (9/8 / 3/2)))
[58319] ['1/9', '2/7', '4/3', '7', '7'] -> (((2/7 * (7 + 7)) - 4/3) / 1/9)
[58320] ['2/5', '7/9', '1', '8/7', '7'] -> ((1 + (8/7 / 2/5)) * (7 - 7/9))
[58321] ['2/9', '2/9', '5/8', '2', '2'] -> (2 / ((2/9 * (2 - 5/8)) - 2/9))
[58322] ['5/9', '1', '8/7', '9/4', '6'] -> ((8/7 * 9/4) * (6 * (5/9 + 1)))
[58323] ['7/9', '9/4', '4', '9/2', '7'] -> ((9/2 + (7 / 7/9)) / (9/4 / 4))
[58324] ['3/7', '5/7', '7/9', '3', '3'] -> ((3 + (3 / 7/9)) / (5/7 - 3/7))
[58325] ['1/6', '1/6', '2/7', '8', '8'] -> ((8 / 2/7) / ((1/6 * 8) - 1/6))
[58326] ['3/4', '7/3', '8/3', '5', '5'] -> ((5 + 5) / ((3/4 + 7/3) - 8/3))
[58327] ['2/5', '7/9', '1', '6/5', '7'] -> (((7 / 7/9) - 1) / (2/5 / 6/5))
[58328] ['1', '7/6', '9/7', '9/5', '5'] -> ((7/6 * 9/5) * (5 * (1 + 9/7)))
[58329] ['5/9', '1', '8/7', '7/3', '6'] -> ((7/3 / (5/9 / 8/7)) * (6 - 1))
[58330] ['2/7', '2/7', '5/6', '9', '9'] -> ((9 - (9 * (2/7 * 5/6))) / 2/7)
[58331] ['1/6', '1/6', '2/5', '8', '8'] -> ((8 / ((1/6 / 2/5) - 1/6)) - 8)
[58332] ['9/8', '4/3', '5/3', '7', '7'] -> ((4/3 + 5/3) / (9/8 - (7 / 7)))
[58333] ['2/9', '2/9', '7/9', '2', '2'] -> (((2 * (7/9 + 2)) - 2/9) / 2/9)
[58334] ['7/9', '5/2', '7/2', '4', '7'] -> ((7/9 * 4) * (7 + (5/2 / 7/2)))
[58335] ['1', '7/6', '9/7', '9/4', '5'] -> (5 / (9/4 * (1 - (7/6 / 9/7))))
[58336] ['5/9', '1', '8/7', '5/2', '6'] -> ((8/7 * 6) * ((5/2 / 5/9) - 1))
[58337] ['5/9', '5/9', '8/7', '4', '8'] -> (4 * ((8 / 8/7) - (5/9 / 5/9)))
[58338] ['3/7', '5/7', '8/9', '3', '3'] -> ((3 * 3) / ((5/7 / 8/9) - 3/7))
[58339] ['3/4', '8/3', '8/3', '5', '5'] -> (8/3 * ((5 / 3/4) - (8/3 - 5)))
[58340] ['1/5', '5/9', '6/7', '2', '5'] -> ((5 - (2 / 6/7)) / (1/5 * 5/9))
